filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-11-10,1995-05-12,0.589698650601,0.198321749253,0.188343792292,0.192736575613,0.782252613197,0.431001305602,0.411328640672,0.393383321792,349,17,28,23,410,1182,16,64,39,620,2322,20,55,30,1216,35797,1585,2395,2199,23349
1995-05-12,1995-03-30,1995-08-14,0.682253296571,0.475845783108,0.537862387778,0.206528117188,0.91130114369,0.745544973764,0.756218386658,0.417026059637,17,28,23,410,14,16,64,39,620,19,20,55,30,1216,20,1585,2395,2199,23349,1493
1995-08-14,1995-05-12,1995-11-13,0.630110705099,0.53041729095,0.182395386991,0.561079331548,0.889093109967,0.785468092042,0.386331147592,0.77295750922,28,23,410,14,16,64,39,620,19,27,55,30,1216,20,26,2395,2199,23349,1493,2147
1995-11-13,1995-08-14,1996-03-29,0.645357417585,0.177973668889,0.532660655753,0.622003937391,0.903942271702,0.380691252499,0.763550955142,0.829071200252,23,410,14,16,21,39,620,19,27,28,30,1216,20,26,28,2199,23349,1493,2147,2269
1996-03-29,1995-11-13,1996-05-15,0.508795515158,0.335887859683,0.323596738875,0.326829542193,0.739359858458,0.577256984579,0.555354137586,0.554737802078,410,14,16,21,129,620,19,27,28,335,1216,20,26,28,485,23349,1493,2147,2269,12829
1996-05-15,1996-03-29,1996-08-14,0.216340361771,0.159342628233,0.162885597798,0.265163797893,0.455142109725,0.397844138289,0.398788442061,0.586726032156,14,16,21,129,40,19,27,28,335,170,20,26,28,485,372,1493,2147,2269,12829,6388
1996-08-14,1996-05-15,1996-11-14,0.551204608036,0.427079619881,0.32883292088,0.194838410679,0.851844954603,0.750650313887,0.596692614485,0.441505538631,16,21,129,40,20,27,28,335,170,70,26,28,485,372,59,2147,2269,12829,6388,2702
1996-11-14,1996-08-14,1997-03-28,0.530148321346,0.320256256274,0.178135900034,0.656811811322,0.84832231306,0.588662264022,0.42839291387,0.848776270102,21,129,40,20,15,28,335,170,70,80,28,485,372,59,84,2269,12829,6388,2702,2862
1997-03-28,1996-11-14,1997-05-15,0.736369475724,0.226792439315,0.439979419819,0.449311654619,0.923743333715,0.52565750051,0.665608615762,0.663675164608,129,40,20,15,111,335,170,70,80,237,485,372,59,84,329,12829,6388,2702,2862,11430
1997-05-15,1997-03-28,1997-08-14,0.214903840445,0.28569190692,0.304051782006,0.322495745662,0.501288161339,0.580002782138,0.586040278408,0.588804438157,40,20,15,111,42,170,70,80,237,72,372,59,84,329,199,6388,2702,2862,11430,3884
1997-08-14,1997-05-15,1997-11-14,0.592415514002,0.504429647023,0.450804014074,0.379100539231,0.876377043331,0.782123699423,0.683659428947,0.610478242837,20,15,111,42,38,70,80,237,72,70,59,84,329,199,59,2702,2862,11430,3884,3276
1997-11-14,1997-08-14,1998-03-31,0.613209235336,0.460334343956,0.366593471287,0.68169519322,0.881526750447,0.690421107872,0.621537070866,0.843778764504,15,111,42,38,30,80,237,72,70,75,84,329,199,59,86,2862,11430,3884,3276,3413
1998-03-31,1997-11-14,1998-05-15,0.618334073366,0.425496614427,0.320107626043,0.354309111175,0.813534957254,0.675053508286,0.556561323853,0.577742131141,111,42,38,30,266,237,72,70,75,549,329,199,59,86,1061,11430,3884,3276,3413,21967
1998-05-15,1998-03-31,1998-08-14,0.344352143844,0.4628151386,0.538693365413,0.393701785242,0.657166346669,0.768106386637,0.796093681031,0.626511503852,42,38,30,266,26,72,70,75,549,38,199,59,86,1061,47,3884,3276,3413,21967,2506
1998-08-14,1998-05-15,1998-11-16,0.475803638363,0.497939305471,0.373248632966,0.736189803072,0.801832988778,0.783043224355,0.628585082397,0.894656712107,38,30,266,26,30,70,75,549,38,81,59,86,1061,47,98,3276,3413,21967,2506,3623
1998-11-16,1998-08-14,1999-03-31,0.564204114194,0.369200829126,0.640300772937,0.665842001322,0.856394307272,0.62687229303,0.8617681881,0.879385130898,30,266,26,30,56,75,549,38,81,119,86,1061,47,98,97,3413,21967,2506,3623,4185
1999-03-31,1998-11-16,1999-05-17,0.674177403115,0.471318397899,0.455084471768,0.489979474418,0.855275984767,0.731714946309,0.729407475183,0.747967053699,266,26,30,56,207,549,38,81,119,450,1061,47,98,97,501,21967,2506,3623,4185,17269
1999-05-17,1999-03-31,1999-08-16,0.438230522101,0.390941275827,0.422050084716,0.636914580231,0.730462096396,0.709299402211,0.726742596218,0.815963289716,26,30,56,207,93,38,81,119,450,254,47,98,97,501,240,2506,3623,4185,17269,5889
1999-08-16,1999-05-17,1999-11-15,0.470935228562,0.481026133221,0.53371280585,0.597966753785,0.803985634865,0.80762409069,0.763479150592,0.798846565204,30,56,207,93,69,81,119,450,254,233,98,97,501,240,200,3623,4185,17269,5889,5629
1999-11-15,1999-08-16,2000-03-30,0.482665497342,0.473140220046,0.453401137181,0.600907515127,0.800835635191,0.737159883836,0.736260824573,0.850854404368,56,207,93,69,101,119,450,254,233,309,97,501,240,200,234,4185,17269,5889,5629,7066
2000-03-30,1999-11-15,2000-05-15,0.688070037496,0.461448829528,0.473484856479,0.567820165683,0.910988092383,0.749702034247,0.751623315679,0.794387605107,207,93,69,101,275,450,254,233,309,751,501,240,200,234,809,17269,5889,5629,7066,21502
2000-05-15,2000-03-30,2000-05-23,0.409036046003,0.471868597712,0.561421070247,0.507584507069,0.702416709339,0.783396286114,0.841906224544,0.743133784014,93,69,101,275,51,254,233,309,751,202,240,200,234,809,108,5889,5629,7066,21502,3718
