filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-09,1995-05-10,0.681108012108,0.279162435132,0.262561282151,0.271365616462,0.8705952968,0.489360268936,0.460704305444,0.463681418681,149,35,33,33,245,432,60,88,75,499,963,7,17,4,1084,19707,2336,2998,2857,23382
1995-05-10,1995-03-28,1995-08-03,0.558473354634,0.467315656989,0.503875867257,0.275663003544,0.864772141183,0.761546738493,0.795061854208,0.487116245943,35,33,33,245,41,60,88,75,499,26,7,17,4,1084,6,2336,2998,2857,23382,2283
1995-08-03,1995-05-10,1995-11-13,0.557530174727,0.50746372933,0.270030489227,0.608251542422,0.844899825461,0.799296348583,0.482343636877,0.832597140169,33,33,245,41,43,88,75,499,26,31,17,4,1084,6,4,2998,2857,23382,2283,2950
1995-11-13,1995-08-03,1996-03-26,0.567268587973,0.239754206644,0.523867482602,0.564860642217,0.869435215671,0.444035450334,0.819753073664,0.826303115716,33,245,41,43,41,75,499,26,31,50,4,1084,6,4,5,2857,23382,2283,2950,3028
1996-03-26,1995-11-13,1996-05-14,0.812516984997,0.325726517936,0.319974350845,0.316076862341,0.927413484809,0.559628147584,0.549469071405,0.528334440687,245,41,43,41,187,499,26,31,50,319,1084,6,4,5,773,23382,2283,2950,3028,18665
1996-05-14,1996-03-26,1996-08-12,0.38022398379,0.30979202093,0.31088322039,0.376870219087,0.668577743965,0.599889102523,0.6004291699,0.639764715633,41,43,41,187,46,26,31,50,319,87,6,4,5,773,153,2283,2950,3028,18665,4923
1996-08-12,1996-05-14,1996-11-13,0.671875637762,0.512502035149,0.299568671287,0.377419358017,0.909370636483,0.805758067741,0.496977515791,0.593642462791,43,41,187,46,18,31,50,319,87,31,4,5,773,153,9,2950,3028,18665,4923,2746
1996-11-13,1996-08-12,1997-03-27,0.654537217472,0.317088210397,0.367067846729,0.66593244652,0.912724837611,0.517592516588,0.607537460974,0.861795854406,41,187,46,18,25,50,319,87,31,43,5,773,153,9,5,3028,18665,4923,2746,2960
1997-03-27,1996-11-13,1997-05-13,0.872744891545,0.364789358933,0.310241534254,0.323513638131,0.967177517991,0.614358432923,0.496797738114,0.512715807622,187,46,18,25,146,319,87,31,43,209,773,153,9,5,683,18665,4923,2746,2960,16100
1997-05-13,1997-03-27,1997-08-14,0.419007146563,0.53128108249,0.545019028312,0.377914163546,0.680314404519,0.779635397592,0.808014540699,0.599814552874,46,18,25,146,28,87,31,43,209,29,153,9,5,683,7,4923,2746,2960,16100,2539
1997-08-14,1997-05-13,1997-11-10,0.71144243141,0.555269649149,0.355929011844,0.614317262008,0.914079716968,0.82172343823,0.562570085646,0.83957025543,18,25,146,28,38,31,43,209,29,39,9,5,683,7,20,2746,2960,16100,2539,3224
1997-11-10,1997-08-14,1998-03-30,0.340815566948,0.680908843899,0.328667497239,0.392914881593,0.484946367795,0.782786329862,0.473233980681,0.499636494312,25,146,28,38,56,43,209,29,39,136,5,683,7,20,456,2960,16100,2539,3224,7085
1998-03-30,1997-11-10,1998-05-14,0.912295202594,0.372422920505,0.358990654651,0.653762458288,0.974963007202,0.593070293623,0.566386456017,0.755656059131,146,28,38,56,181,209,29,39,136,253,683,7,20,456,771,16100,2539,3224,7085,18583
1998-05-14,1998-03-30,1998-08-13,0.664686020622,0.524697322383,0.299648647655,0.349480071543,0.901069081074,0.806376811171,0.454662181796,0.559644903951,28,38,56,181,29,29,39,136,253,41,7,20,456,771,6,2539,3224,7085,18583,2235
1998-08-13,1998-05-14,1998-11-13,0.351548784924,0.894259350937,0.638923982678,0.303851230287,0.507642780035,0.956451072657,0.742647926063,0.450862184179,38,56,181,29,69,39,136,253,41,153,20,456,771,6,457,3224,7085,18583,2235,7354
1998-11-13,1998-08-13,1999-03-29,0.91620884626,0.640786343966,0.306368703824,0.939182986844,0.974837673641,0.748302453821,0.453916643191,0.973406749025,56,181,29,69,80,136,253,41,153,148,456,771,6,457,460,7085,18583,2235,7354,7391
1999-03-29,1998-11-13,1999-05-13,0.723985019925,0.369148573556,0.266906866669,0.271648487159,0.85468843595,0.614335429842,0.428412598039,0.434191723611,181,29,69,80,224,253,41,153,148,194,771,6,457,460,334,18583,2235,7354,7391,17072
1999-05-13,1999-03-29,1999-08-12,0.56828044668,0.293200796685,0.304716162015,0.454905970002,0.849198580036,0.452452538006,0.460101849135,0.71679834924,29,69,80,224,54,41,153,148,194,46,6,457,460,334,19,2235,7354,7391,17072,3553
1999-08-12,1999-05-13,1999-11-12,0.328756622319,0.279701119775,0.432877052632,0.613926526463,0.46485720119,0.421192633005,0.672575136848,0.825364311773,69,80,224,54,97,153,148,194,46,64,457,460,334,19,25,7354,7391,17072,3553,5087
