filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-31,1997-03-26,1997-05-15,0.340590129856,0.304024907379,0.366296665925,0.119868033047,0.56320691544,0.5935915603,0.620816219794,0.249423620554,12,35,23,2,182,92,226,186,0,432,45,229,93,5,662,1285,4551,2596,262,16988
1997-05-15,1997-03-31,1997-08-14,0.489644730367,0.762259741416,0.177206713333,0.434206018407,0.716495260128,0.880505697787,0.310474480012,0.689210063344,35,23,2,182,31,226,186,0,432,219,229,93,5,662,97,4551,2596,262,16988,3374
1997-08-14,1997-05-15,1997-11-14,0.60425134776,0.154051893466,0.449993462683,0.699671612972,0.769492450318,0.284463958027,0.746730259728,0.829862852812,23,2,182,31,47,186,0,432,219,269,93,5,662,97,236,2596,262,16988,3374,5692
1997-11-14,1997-08-14,1998-03-27,0.163721667846,0.378224029855,0.699227140825,0.613777740765,0.305182302286,0.675186959394,0.881522701213,0.808663177971,2,182,31,47,34,0,432,219,269,212,5,662,97,236,124,262,16988,3374,5692,3871
1998-03-27,1997-11-14,1998-05-14,0.535471938959,0.461866203026,0.499001429341,0.419444920077,0.757047951355,0.703141385524,0.751131813553,0.689225404361,182,31,47,34,296,432,219,269,212,650,662,97,236,124,740,16988,3374,5692,3871,18735
1998-05-14,1998-03-27,1998-05-20,0.720533400114,0.557994789379,0.588604389353,0.50519584295,0.917083150691,0.780362176803,0.846162443858,0.724445353046,31,47,34,296,23,219,269,212,650,202,97,236,124,740,98,3374,5692,3871,18735,3485
1998-05-20,1998-05-14,1998-08-12,0.190676538061,0.154561076487,0.305481339696,0.180998572491,0.461810653223,0.418536186361,0.500395096011,0.447744426273,47,34,296,23,4,269,212,650,202,9,236,124,740,98,42,5692,3871,18735,3485,848
1998-08-12,1998-05-20,1998-11-12,0.522263492963,0.522589847798,0.728943409923,0.179998233054,0.785908218384,0.753746400129,0.83693400438,0.443528677082,34,296,23,4,48,212,650,202,9,249,124,740,98,42,210,3871,18735,3485,848,5248
1998-11-12,1998-08-12,1999-03-31,0.487155616466,0.80263029736,0.178242716109,0.708704820936,0.728775653994,0.922696584805,0.442799683454,0.840614072615,296,23,4,48,30,650,202,9,249,237,740,98,42,210,107,18735,3485,848,5248,4304
1999-03-31,1998-11-12,1999-05-17,0.54517651929,0.328727089803,0.656357903384,0.55927553546,0.75808742128,0.514509473566,0.857378012953,0.767657430067,23,4,48,30,176,202,9,249,237,526,98,42,210,107,494,3485,848,5248,4304,18797
1999-05-17,1999-03-31,1999-08-13,0.182721106085,0.539715493777,0.576050974623,0.549417923529,0.436267542962,0.741572334257,0.755837697653,0.734286147061,4,48,30,176,119,9,249,237,526,422,42,210,107,494,379,848,5248,4304,18797,7313
1999-08-13,1999-05-17,1999-11-12,0.659302069056,0.708389820075,0.602989119706,0.656263134976,0.868807573857,0.888137676647,0.8117222014,0.783278230045,48,30,176,119,36,249,237,526,422,288,210,107,494,379,173,5248,4304,18797,7313,5019
1999-11-12,1999-08-13,2000-03-29,0.742602535784,0.557152938108,0.645385424783,0.841429049322,0.925694747934,0.767671310607,0.790429341188,0.927245140118,30,176,119,36,39,237,526,422,288,280,107,494,379,173,150,4304,18797,7313,5019,4834
2000-03-29,1999-11-12,2000-05-12,0.816271792507,0.481896714385,0.48701104875,0.429704224688,0.923264405422,0.689293012742,0.720637552991,0.666267934032,176,119,36,39,182,526,422,288,280,472,494,379,173,150,764,18797,7313,5019,4834,21082
2000-05-12,2000-03-29,2000-08-14,0.539514174303,0.644041995843,0.645045099626,0.448528595364,0.748357672595,0.866014212324,0.871281253707,0.670710806234,119,36,39,182,27,422,288,280,472,168,379,173,150,764,100,7313,5019,4834,21082,3519
2000-08-14,2000-05-12,2000-11-13,0.554728846078,0.447982989067,0.600389105084,0.567393248156,0.796557415419,0.706307965244,0.835989875704,0.741420268514,36,39,182,27,56,288,280,472,168,195,173,150,764,100,280,5019,4834,21082,3519,5902
2000-11-13,2000-08-14,2001-03-29,0.170612208574,0.542216419029,0.17110027882,0.303950677573,0.348762646268,0.639592951791,0.324062632557,0.480734090847,39,182,27,56,120,280,472,168,195,408,150,764,100,280,915,4834,21082,3519,5902,14808
2001-03-29,2000-11-13,2001-05-15,0.696872928339,0.545831699879,0.500711107362,0.195000028034,0.828204546234,0.822606939897,0.758718500737,0.357124338713,182,27,56,120,93,472,168,195,408,179,764,100,280,915,117,21082,3519,5902,14808,10907
2001-05-15,2001-03-29,2001-08-14,0.612246658946,0.48848607772,0.186483193077,0.586641728624,0.877776110918,0.709506371072,0.337733768718,0.819876549412,27,56,120,93,32,168,195,408,179,60,100,280,915,117,38,3519,5902,14808,10907,2747
2001-08-14,2001-05-15,2001-11-09,0.692722296341,0.342704667026,0.393333146806,0.333961004736,0.847480883805,0.519878277796,0.60051551876,0.492586522059,56,120,93,32,255,195,408,179,60,436,280,915,117,38,887,5902,14808,10907,2747,15634
2001-11-09,2001-08-14,2002-03-21,0.192437217027,0.528249828431,0.758149270863,0.324866280355,0.353511118742,0.774616440142,0.901464005756,0.475421875239,120,93,32,255,33,408,179,60,436,75,915,117,38,887,36,14808,10907,2747,15634,3163
2002-03-21,2001-11-09,2002-05-14,0.638674716976,0.405033060972,0.829507742168,0.379103822435,0.796879716094,0.635022230645,0.908758601903,0.609331526275,93,32,255,33,260,179,60,436,75,492,117,38,887,36,727,10907,2747,15634,3163,19895
2002-05-14,2002-03-21,2002-08-14,0.473688608745,0.19417322479,0.429594356961,0.398696634337,0.741506425864,0.341576929369,0.701108420445,0.557778705511,32,255,33,260,37,60,436,75,492,95,38,887,36,727,34,2747,15634,3163,19895,3370
2002-08-14,2002-05-14,2002-11-14,0.523971861982,0.377044027073,0.584377569354,0.539677900973,0.676288426494,0.662768081286,0.762500547154,0.731609210789,255,33,260,37,88,436,75,492,95,183,887,36,727,34,181,15634,3163,19895,3370,6834
2002-11-14,2002-08-14,2003-03-20,0.42855566743,0.345137555756,0.505590891432,0.547485892299,0.713061238038,0.538611345125,0.744701134795,0.729404036684,33,260,37,88,66,75,492,95,183,204,36,727,34,181,155,3163,19895,3370,6834,6882
2003-03-20,2002-11-14,2003-05-14,0.595923240395,0.494819049143,0.523817303507,0.570625047247,0.7497314782,0.744318994571,0.74612209487,0.767227003166,260,37,88,66,175,492,95,183,204,348,727,34,181,155,237,19895,3370,6834,6882,16244
2003-05-14,2003-03-20,2003-08-14,0.472498837511,0.397446691722,0.526113544691,0.633991799472,0.758180824439,0.664168384834,0.778562615824,0.808618160985,37,88,66,175,88,95,183,204,348,116,34,181,155,237,48,3370,6834,6882,16244,5254
2003-08-14,2003-05-14,2003-11-13,0.499025882587,0.330247612733,0.429485359622,0.42657928779,0.75430703632,0.561078748849,0.654221200461,0.610995999115,88,66,175,88,199,183,204,348,116,340,181,155,237,48,605,6834,6882,16244,5254,15635
2003-11-13,2003-08-14,2004-03-03,0.569019453693,0.565416521661,0.666633802783,0.468914274562,0.840122177183,0.7849709786,0.865425370767,0.636326103762,66,175,88,199,99,204,348,116,340,140,155,237,48,605,56,6882,16244,5254,15635,7469
2004-03-03,2003-11-13,2004-05-10,0.491656889574,0.351455726659,0.437087914474,0.371005182373,0.696193984477,0.580232263612,0.671963675021,0.596320509832,175,88,199,99,497,348,116,340,140,976,237,48,605,56,1602,16244,5254,15635,7469,37101
2004-05-10,2004-03-03,2004-08-09,0.69076811216,0.418927694392,0.663144819265,0.37196035638,0.904117399908,0.626366171826,0.868040308935,0.595201177207,88,199,99,497,108,116,340,140,976,146,48,605,56,1602,75,5254,15635,7469,37101,7077
2004-08-09,2004-05-10,2004-11-08,0.440472911833,0.618599517511,0.342841593362,0.741254233265,0.640870534233,0.848088360578,0.56471686937,0.875838153609,199,99,497,108,110,340,140,976,146,175,605,56,1602,75,86,15635,7469,37101,7077,8037
2004-11-08,2004-08-09,2005-03-15,0.722297724062,0.338399714932,0.707012823286,0.768299751973,0.914780058766,0.563318277379,0.868309693726,0.9044856093,99,497,108,110,113,140,976,146,175,175,56,1602,75,86,95,7469,37101,7077,8037,8180
2005-03-15,2004-11-08,2005-05-05,0.536147178047,0.628853908267,0.615610398802,0.617122853843,0.728455494505,0.806067037844,0.785631917537,0.787955879437,497,108,110,113,266,976,146,175,175,454,1602,75,86,95,445,37101,7077,8037,8180,22350
2005-05-05,2005-03-15,2005-08-03,0.737495836597,0.645433094587,0.635414809696,0.640724839027,0.924502991671,0.832615496913,0.827097531478,0.812398755331,108,110,113,266,77,146,175,175,454,176,75,86,95,445,103,7077,8037,8180,22350,7659
2005-08-03,2005-05-05,2005-11-02,0.693932864215,0.577467743296,0.534695964785,0.650589373137,0.904256271289,0.820290969265,0.729099686274,0.821155782698,110,113,266,77,116,175,175,454,176,217,86,95,445,103,200,8037,8180,22350,7659,11064
2005-11-02,2005-08-03,2006-03-10,0.668208342864,0.589524018294,0.60482752485,0.599696806355,0.843155299921,0.793032112804,0.787997902059,0.791265671026,113,266,77,116,143,175,454,176,217,284,95,445,103,200,382,8180,22350,7659,11064,13761
2006-03-10,2005-11-02,2006-05-08,0.506525813947,0.377943149021,0.357969278382,0.390475631358,0.796673522858,0.698897209835,0.687337898869,0.711465801537,266,77,116,143,394,454,176,217,284,957,445,103,200,382,1292,22350,7659,11064,13761,33271
2006-05-08,2006-03-10,2006-08-03,0.668439766594,0.520821374831,0.586557965463,0.384523723882,0.865248296177,0.743414288399,0.800355302758,0.696441906808,77,116,143,394,86,176,217,284,957,191,103,200,382,1292,141,7659,11064,13761,33271,9885
2006-08-03,2006-05-08,2006-11-01,0.492136614492,0.473132409068,0.322854947662,0.556817457398,0.739335099673,0.742025331586,0.642404718966,0.7797668204,116,143,394,86,155,217,284,957,191,334,200,382,1292,141,600,11064,13761,33271,9885,16403
2006-11-01,2006-08-03,2007-03-01,0.690685479624,0.346110191122,0.696686921643,0.553937073966,0.846738320904,0.651228952171,0.845593406221,0.755230565181,143,394,86,155,110,284,957,191,334,202,382,1292,141,600,84,13761,33271,9885,16403,11577
2007-03-01,2006-11-01,2007-05-02,0.481496718132,0.635648780551,0.520034308141,0.552341564481,0.770927031408,0.810613846559,0.750786058627,0.710656421241,394,86,155,110,424,957,191,334,202,717,1292,141,600,84,964,33271,9885,16403,11577,34875
2007-05-02,2007-03-01,2007-07-31,0.649878995159,0.42375364132,0.597149444464,0.510919786322,0.835955189225,0.655566750289,0.790078212907,0.657546973671,86,155,110,424,90,191,334,202,717,161,141,600,84,964,64,9885,16403,11577,34875,8785
2007-07-31,2007-05-02,2007-10-31,0.542669079369,0.58174196959,0.691996102947,0.669131109185,0.793302510652,0.801343411185,0.811464802694,0.809090959837,155,110,424,90,209,334,202,717,161,401,600,84,964,64,412,16403,11577,34875,8785,18673
2007-10-31,2007-07-31,2008-02-27,0.753538828447,0.464283557019,0.665606901839,0.676216966212,0.897530378465,0.621161385509,0.822647981966,0.821290551152,110,424,90,209,147,202,717,161,401,306,84,964,64,412,128,11577,34875,8785,18673,14606
2008-02-27,2007-10-31,2008-04-25,0.831811276553,0.564144595295,0.715283661652,0.549244204966,0.930895561154,0.706003775574,0.828494971657,0.687550487577,424,90,209,147,423,717,161,401,306,758,964,64,412,128,1021,34875,8785,18673,14606,37256
2008-04-25,2008-02-27,2008-07-25,0.785975584659,0.598254044355,0.62783388952,0.549943770214,0.927205095248,0.780025422157,0.80366495841,0.702720716508,90,209,147,423,108,161,401,306,758,181,64,412,128,1021,78,8785,18673,14606,37256,9251
2008-07-25,2008-04-25,2008-10-24,0.70578319051,0.608031328045,0.505072850451,0.730831861869,0.861774079423,0.804481302045,0.667075806986,0.8454108194,209,147,423,108,138,401,306,758,181,216,412,128,1021,78,102,18673,14606,37256,9251,11665
2008-10-24,2008-07-25,2009-02-20,0.825095549937,0.488560050613,0.691486811143,0.709888747188,0.926756935489,0.658005992987,0.835244651914,0.853584539421,147,423,108,138,166,306,758,181,216,228,128,1021,78,102,105,14606,37256,9251,11665,12064
2009-02-20,2008-10-24,2009-04-24,0.809697703301,0.649328145283,0.61564357739,0.609487940377,0.897120137701,0.781971892718,0.756517144234,0.754470685129,423,108,138,166,328,758,181,216,228,552,1021,78,102,105,324,37256,9251,11665,12064,28758
2009-04-24,2009-02-20,2009-07-24,0.810150210496,0.62798352306,0.631762157457,0.613938648149,0.927052196265,0.788761245004,0.79690724353,0.741788672561,108,138,166,328,126,181,216,228,552,231,78,102,105,324,119,9251,11665,12064,28758,10146
2009-07-24,2009-04-24,2009-10-23,0.805961647641,0.624603801757,0.587572085768,0.762324057823,0.928056098892,0.810499262901,0.729973380945,0.858336450187,138,166,328,126,146,216,228,552,231,290,102,105,324,119,132,11665,12064,28758,10146,12684
2009-10-23,2009-07-24,2010-02-19,0.83133426327,0.578704496209,0.725248330026,0.754730426011,0.94068057649,0.735796046712,0.852632394764,0.871279910107,166,328,126,146,155,228,552,231,290,306,105,324,119,132,144,12064,28758,10146,12684,13100
2010-02-19,2009-10-23,2010-04-23,0.897926894185,0.635503873768,0.622094269095,0.621937793363,0.964109231944,0.76707021905,0.755532757248,0.76089157908,328,126,146,155,350,552,231,290,306,628,324,119,132,144,472,28758,10146,12684,13100,31135
2010-04-23,2010-02-19,2010-07-23,0.724394021875,0.596015890412,0.585706003945,0.657554363429,0.878672234975,0.772601909134,0.771205927622,0.791790290914,126,146,155,350,122,231,290,306,628,333,119,132,144,472,270,10146,12684,13100,31135,12343
2010-07-23,2010-04-23,2010-10-22,0.122528083189,0.0972002028594,0.10744831719,0.117060675571,0.232072771867,0.206189221357,0.21388586683,0.223942455015,146,155,350,122,287,290,306,628,333,4505,132,144,472,270,683,12684,13100,31135,12343,37142
2010-10-22,2010-07-23,2011-02-22,0.120526984661,0.0960146426608,0.102083803872,0.992865687813,0.216672357539,0.19199895677,0.198935653754,0.991985606188,155,350,122,287,274,306,628,333,4505,4815,144,472,270,683,450,13100,31135,12343,37142,35705
2011-02-22,2010-10-22,2011-04-21,0.546570576511,0.376809019963,0.273738554065,0.253942193409,0.790266377746,0.625543242076,0.306948472988,0.28206782336,350,122,287,274,609,628,333,4505,4815,1231,472,270,683,450,743,31135,12343,37142,35705,61188
2011-04-21,2011-02-22,2011-07-22,0.39105691031,0.267427155573,0.244369683011,0.794983209287,0.669975390367,0.298369625338,0.267956763783,0.777728855112,122,287,274,609,486,333,4505,4815,1231,975,270,683,450,743,956,12343,37142,35705,61188,34735
2011-07-22,2011-04-21,2011-10-21,0.126811460413,0.113007096826,0.358321523388,0.305038965544,0.223556731843,0.19999795099,0.548863231222,0.5071308485,287,274,609,486,577,4505,4815,1231,975,785,683,450,743,956,1499,37142,35705,61188,34735,49302
2011-10-21,2011-07-22,2012-02-17,0.118498688947,0.343804075076,0.2913482216,0.967315159007,0.206789061266,0.540884440253,0.497857618075,0.970371539946,274,609,486,577,614,4815,1231,975,785,878,450,743,956,1499,1561,35705,61188,34735,49302,51332
2012-02-17,2011-10-21,2012-04-20,0.401337568375,0.317719273169,0.960964444067,0.945226768392,0.621658915877,0.533914703669,0.949931589007,0.941200276009,609,486,577,614,1726,1231,975,785,878,2320,743,956,1499,1561,4152,61188,34735,49302,51332,132618
2012-04-20,2012-02-17,2012-07-20,0.294163314296,0.9787408209,0.963085286112,0.969504550627,0.49581527946,0.976759713821,0.966460446969,0.958895091995,486,577,614,1726,725,975,785,878,2320,903,956,1499,1561,4152,1714,34735,49302,51332,132618,52030
2012-07-20,2012-04-20,2012-10-19,0.986886273553,0.959172946141,0.959594013043,0.986358877108,0.99091852301,0.965277054085,0.949179370101,0.984206848913,577,614,1726,725,730,785,878,2320,903,948,1499,1561,4152,1714,1614,49302,51332,132618,52030,51834
2012-10-19,2012-07-20,2013-02-19,0.971154730423,0.958852593382,0.983871423916,0.985790787545,0.980369147195,0.950034702728,0.984517411554,0.985466454416,614,1726,725,730,730,878,2320,903,948,933,1561,4152,1714,1614,1626,51332,132618,52030,51834,51666
2013-02-19,2012-10-19,2013-04-23,0.991187632806,0.971731886389,0.967533873954,0.968182084665,0.993670554425,0.964447793458,0.958448292851,0.959773165144,1726,725,730,730,1542,2320,903,948,933,2016,4152,1714,1614,1626,3487,132618,52030,51834,51666,122514
2013-04-23,2013-02-19,2013-07-23,0.990986159441,0.983729099818,0.984993348356,0.972068532443,0.994464600436,0.982957188351,0.984680520139,0.963466717449,725,730,730,1542,707,903,948,933,2016,784,1714,1614,1626,3487,1695,52030,51834,51666,122514,51580
2013-07-23,2013-04-23,2013-10-22,0.949780957758,0.945091959468,0.939124842427,0.952316281992,0.956571394768,0.951121808852,0.937714712676,0.957264896564,730,730,1542,707,1366,948,933,2016,784,1443,1614,1626,3487,1695,3842,51834,51666,122514,51580,90608
2013-10-22,2013-07-23,2014-02-18,0.798218626374,0.745862094925,0.771731355495,0.686122508451,0.8865859015,0.836987283672,0.865429542325,0.783114022328,730,1542,707,1366,437,933,2016,784,1443,795,1626,3487,1695,3842,1158,51666,122514,51580,90608,45972
2014-02-18,2013-10-22,2014-04-25,0.775739591732,0.744954316093,0.663194478463,0.942477323457,0.875858561512,0.828785250752,0.751104471842,0.937722345099,1542,707,1366,437,1081,2016,784,1443,795,1968,3487,1695,3842,1158,2439,122514,51580,90608,45972,107861
2014-04-25,2014-02-18,2014-07-25,0.779950307397,0.68609997843,0.975615978507,0.944969967641,0.874490678131,0.779807244111,0.975739245061,0.935397157091,707,1366,437,1081,350,784,1443,795,1968,539,1695,3842,1158,2439,987,51580,90608,45972,107861,37409
2014-07-25,2014-04-25,2014-10-24,0.0726637435987,0.0987377671304,0.103788747592,0.0902289387493,0.211218445441,0.264139902889,0.274980401234,0.241833688431,1366,437,1081,350,398,1443,795,1968,539,916,3842,1158,2439,987,2272,90608,45972,107861,37409,39963
2014-10-24,2014-07-25,2015-02-17,0.985123617306,0.939438330149,0.975126284868,0.111372980687,0.991118479086,0.936044211216,0.974764125708,0.278246934983,437,1081,350,398,440,795,1968,539,916,724,1158,2439,987,2272,1117,45972,107861,37409,39963,46072
2015-02-17,2014-10-24,2015-04-28,0.98415962313,0.937550843058,0.103139316587,0.937775241347,0.992199481486,0.931194031067,0.27104204723,0.935406689697,1081,350,398,440,1112,1968,539,916,724,1981,2439,987,2272,1117,2367,107861,37409,39963,46072,111495
2015-04-28,2015-02-17,2015-07-30,0.975886060842,0.0879132541613,0.958025967008,0.942963178658,0.983905684627,0.238516229973,0.964189766034,0.934413217259,350,398,440,1112,397,539,916,724,1981,695,987,2272,1117,2367,1146,37409,39963,46072,111495,45635
2015-07-30,2015-04-28,2015-10-28,0.111778812302,0.926767673089,0.913903194291,0.955036623918,0.279240296532,0.946947520969,0.917899217015,0.963507046684,398,440,1112,397,534,916,724,1981,695,812,2272,1117,2367,1146,1257,39963,46072,111495,45635,51869
2015-10-28,2015-07-30,2016-02-17,0.942112592712,0.91441245784,0.953731537058,0.980385424079,0.964322826875,0.919821353487,0.964780482036,0.980836616869,440,1112,397,534,523,724,1981,695,812,830,1117,2367,1146,1257,1223,46072,111495,45635,51869,52583
2016-02-17,2015-10-28,2016-04-29,0.962949985488,0.919928170555,0.944144016024,0.945060625459,0.977991862061,0.923566709441,0.938789825307,0.939968021838,1112,397,534,523,1290,1981,695,812,830,2296,2367,1146,1257,1223,3184,111495,45635,51869,52583,126075
2016-04-29,2016-02-17,2016-08-02,0.960285056145,0.972656175735,0.973228523705,0.943693686364,0.97688636929,0.97510952918,0.97665753215,0.939906288965,397,534,523,1290,453,695,812,830,2296,756,1146,1257,1223,3184,1223,45635,51869,52583,126075,47163
2016-08-02,2016-04-29,2016-11-01,0.981626183661,0.968722165633,0.938398803511,0.982528040628,0.990749375999,0.975453773003,0.93660460814,0.98154045922,534,523,1290,453,540,812,830,2296,756,824,1257,1223,3184,1223,1239,51869,52583,126075,47163,50615
2016-11-01,2016-08-02,2017-02-17,0.981113567995,0.936875152312,0.97752237663,0.978718438292,0.989906211788,0.937179168845,0.980267347237,0.980559920256,523,1290,453,540,545,830,2296,756,824,851,1223,3184,1223,1239,1371,52583,126075,47163,50615,52016
2017-02-17,2016-11-01,2017-04-28,0.986604642887,0.945883359994,0.942462850911,0.946118269419,0.991513613515,0.94245019861,0.939902629444,0.944184583456,1290,453,540,545,1231,2296,756,824,851,2323,3184,1223,1239,1371,2695,126075,47163,50615,52016,123831
2017-04-28,2017-02-17,2017-08-01,0.980830910521,0.965911533845,0.969098347837,0.948002114285,0.989270888571,0.97074971043,0.975498439298,0.945024669971,453,540,545,1231,417,756,824,851,2323,699,1223,1239,1371,2695,1145,47163,50615,52016,123831,47203
2017-08-01,2017-04-28,2017-10-31,0.97232762286,0.957787564428,0.937327081761,0.973518079954,0.985299893859,0.968060923616,0.937863747698,0.973985749229,540,545,1231,417,460,824,851,2323,699,730,1239,1371,2695,1145,1052,50615,52016,123831,47203,48734
