filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-30,1994-12-19,1995-05-12,0.248673811132,0.235669824885,0.2322042765,0.135010356005,0.529319681296,0.529564579362,0.521237481649,0.286749366735,7,7,8,2,125,2,8,7,0,62,6,15,7,6,255,817,989,1025,207,7688
1995-05-12,1995-03-30,1995-08-14,0.559992822362,0.610198239453,0.353207099107,0.236846339961,0.865721640811,0.895806595339,0.454912578696,0.50484272164,7,8,2,125,7,8,7,0,62,2,15,7,6,255,6,989,1025,207,7688,789
1995-08-14,1995-05-12,1995-11-14,0.563896494323,0.257402054186,0.229844236866,0.704790262994,0.878759900614,0.391386919988,0.506780799119,0.906271853422,8,2,125,7,6,7,0,62,2,3,7,6,255,6,9,1025,207,7688,789,907
1995-11-14,1995-08-14,1996-03-28,0.314378721969,0.237128261876,0.774533860188,0.817402026812,0.426087469681,0.500322343737,0.937553852096,0.939344881381,2,125,7,6,8,0,62,2,3,2,6,255,6,9,6,207,7688,789,907,838
1996-03-28,1995-11-14,1996-05-15,0.899137752396,0.250487592892,0.238583618371,0.251491640957,0.948214707457,0.525631558066,0.52117579693,0.520026369001,125,7,6,8,88,62,2,3,2,45,255,6,9,6,243,7688,789,907,838,6676
1996-05-15,1996-03-28,1996-08-14,0.73788438768,0.592882271482,0.670544040055,0.250380150215,0.948332006357,0.877976218877,0.914247313715,0.532352793555,7,6,8,88,6,2,3,2,45,3,6,9,6,243,7,789,907,838,6676,770
1996-08-14,1996-05-15,1996-11-14,0.439732751127,0.382642730915,0.171774345579,0.421580941621,0.769791439935,0.743270938844,0.490136016347,0.757675833641,6,8,88,6,14,3,2,45,3,18,9,6,243,7,10,907,838,6676,770,1345
1996-11-14,1996-08-14,1997-03-31,0.410348503719,0.171839174828,0.418175112707,0.892102910937,0.76248541029,0.489333192769,0.760110627563,0.952692703748,8,88,6,14,14,2,45,3,18,19,6,243,7,10,7,838,6676,770,1345,1329
1997-03-31,1996-11-14,1997-05-15,0.907802805291,0.246104465617,0.254647113816,0.259805278925,0.959385217122,0.517238736064,0.531172513982,0.532307294446,88,6,14,14,107,45,3,18,19,110,243,7,10,7,330,6676,770,1345,1329,8555
1997-05-15,1997-03-31,1997-08-13,0.123892575846,0.0960668468925,0.099527831273,0.200930919443,0.236045715733,0.242569553009,0.251674756644,0.40153956608,6,14,14,107,213,3,18,19,110,291,7,10,7,330,932,770,1345,1329,8555,13587
1997-08-13,1997-05-15,1997-11-14,0.45039117132,0.397650472796,0.26516889632,0.159354166382,0.793962334616,0.76590043968,0.564368092648,0.296396010913,14,14,107,213,15,18,19,110,291,4,10,7,330,932,23,1345,1329,8555,13587,1308
1997-11-14,1997-08-13,1998-03-31,0.455924307485,0.263595601787,0.145494075965,0.843309972724,0.802668230758,0.543618715688,0.263586093237,0.94747690951,14,107,213,15,11,19,110,291,4,3,7,330,932,23,8,1329,8555,13587,1308,1117
1998-03-31,1997-11-14,1998-05-15,0.892083883267,0.207435558391,0.299240957134,0.303334996289,0.966065045541,0.415184676206,0.589650312998,0.567995936309,107,213,15,11,105,110,291,4,3,121,330,932,23,8,335,8555,13587,1308,1117,9358
1998-05-15,1998-03-31,1998-08-14,0.171254589094,0.447662425112,0.478651662704,0.303363292988,0.346802355035,0.801736318606,0.812368280624,0.609046408808,213,15,11,105,29,291,4,3,121,10,932,23,8,335,36,13587,1308,1117,9358,1590
1998-08-14,1998-05-15,1998-11-13,0.369266825371,0.365445509566,0.299362804857,0.399861949705,0.703466009397,0.691912058752,0.603960484982,0.72700940666,15,11,105,29,38,4,3,121,10,77,23,8,335,36,90,1308,1117,9358,1590,3022
1998-11-13,1998-08-14,1999-03-30,0.236737686095,0.245611935301,0.276150211649,0.385028929285,0.521463571394,0.557789449872,0.58237849275,0.659266482225,11,105,29,38,79,3,121,10,77,106,8,335,36,90,122,1117,9358,1590,3022,5666
