filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-05-08,2001-03-29,2001-08-13,0.572992243214,0.571319966299,0.474374335563,0.500110354376,0.796374824917,0.792761586844,0.663986149956,0.725729041805,80,81,12,214,107,65,68,19,250,106,24,24,11,145,57,3592,3690,1413,11695,4507
2001-08-13,2001-05-08,2001-11-14,0.500120581645,0.41113482365,0.425814750969,0.636262428764,0.770298287593,0.635719541831,0.689127302053,0.85838474635,81,12,214,107,141,68,19,250,106,107,24,11,145,57,72,3690,1413,11695,4507,5541
2001-11-14,2001-08-13,2002-03-29,0.417489363805,0.372629466123,0.548628711043,0.619642187817,0.627018637667,0.632247235159,0.796592242398,0.839970965706,12,214,107,141,125,19,250,106,107,127,11,145,57,72,160,1413,11695,4507,5541,6209
2002-03-29,2001-11-14,2002-05-13,0.784065622114,0.507304447789,0.450368218083,0.421116165085,0.921449143681,0.74138985453,0.711888728772,0.661437540328,214,107,141,125,228,250,106,107,127,214,145,57,72,160,75,11695,4507,5541,6209,11301
2002-05-13,2002-03-29,2002-08-14,0.23079568711,0.271053813498,0.305260358837,0.204304244188,0.475519751081,0.513536985201,0.561769266457,0.425858366952,107,141,125,228,346,106,107,127,214,441,57,72,160,75,893,4507,5541,6209,11301,17080
2002-08-14,2002-05-13,2002-11-14,0.595064519853,0.459020921272,0.49524446167,0.204266627133,0.839826579806,0.720613928564,0.708520322033,0.395295477516,141,125,228,346,114,107,127,214,441,158,72,160,75,893,61,5541,6209,11301,17080,5274
2002-11-14,2002-08-14,2003-03-27,0.505279354996,0.449443619822,0.185985060331,0.695338920112,0.749177261028,0.673025250641,0.377343813201,0.862191443878,125,228,346,114,147,127,214,441,158,211,160,75,893,61,126,6209,11301,17080,5274,6493
2003-03-27,2002-11-14,2003-05-06,0.806964614678,0.199958598642,0.493514232177,0.53560378269,0.9337909149,0.427987282517,0.712740389035,0.72915655035,228,346,114,147,278,214,441,158,211,469,75,893,61,126,272,11301,17080,5274,6493,14425
2003-05-06,2003-03-27,2003-08-04,0.176761895076,0.544937621221,0.616593578258,0.651161996234,0.386084193018,0.784368267496,0.826337972581,0.789880248523,346,114,147,278,149,441,158,211,469,380,893,61,126,272,235,17080,5274,6493,14425,7199
2003-08-04,2003-05-06,2003-11-04,0.614254915386,0.566700933556,0.606982277475,0.840640231735,0.83803677636,0.809199721491,0.763853081355,0.917067053552,114,147,278,149,156,158,211,469,380,396,61,126,272,235,253,5274,6493,14425,7199,7832
2003-11-04,2003-08-04,2004-03-12,0.67838947963,0.610309032966,0.838443883099,0.864991820039,0.884687527499,0.768861384119,0.916690991054,0.92957409841,147,278,149,156,156,211,469,380,396,397,126,272,235,253,251,6493,14425,7199,7832,7899
2004-03-12,2003-11-04,2004-05-04,0.77693438601,0.522325890333,0.532825384163,0.543096771055,0.931454147599,0.727805242679,0.725010519543,0.731313186925,278,149,156,156,330,469,380,396,397,647,272,235,253,251,363,14425,7199,7832,7899,20420
2004-05-04,2004-03-12,2004-08-06,0.739200352125,0.65430790314,0.664193922736,0.616755739915,0.92464024275,0.861399739738,0.867937084311,0.754856824378,149,156,156,330,167,380,396,397,647,455,235,253,251,363,268,7199,7832,7899,20420,8536
2004-08-06,2004-05-04,2004-11-12,0.496445750377,0.428188425368,0.397029805385,0.533232334147,0.746564646115,0.689385877999,0.606048161584,0.716344319645,156,156,330,167,223,396,397,647,455,793,253,251,363,268,696,7832,7899,20420,8536,14170
2004-11-12,2004-08-06,2005-03-08,0.242575483946,0.209688236427,0.238761197679,0.288652341452,0.440294939902,0.390198853076,0.433148525278,0.507220263657,156,330,167,223,320,397,647,455,793,1050,251,363,268,696,1311,7899,20420,8536,14170,21424
2005-03-08,2004-11-12,2005-03-29,0.520262688365,0.357207831526,0.363278946907,0.327663189209,0.745781026294,0.598295811347,0.628294759599,0.509445414368,330,167,223,320,582,647,455,793,1050,1034,363,268,696,1311,1280,20420,8536,14170,21424,34513
2005-03-29,2005-03-08,2005-04-28,0.383932666012,0.271731728979,0.177819764781,0.522223831512,0.594308353767,0.495483184285,0.332574672203,0.693173860589,167,223,320,582,72,455,793,1050,1034,195,268,696,1311,1280,124,8536,14170,21424,34513,7241
2005-04-28,2005-03-29,2005-04-29,0.154647989196,0.101233712703,0.284754085,0.424868688515,0.357454436671,0.237697791728,0.517802908509,0.644727382635,223,320,582,72,43,793,1050,1034,195,86,696,1311,1280,124,60,14170,21424,34513,7241,4942
2005-04-29,2005-04-28,2005-08-08,0.250147431223,0.412245986907,0.476023402203,0.24542458524,0.443903141157,0.620278268189,0.652794427058,0.448320102857,320,582,72,43,162,1050,1034,195,86,333,1311,1280,124,60,144,21424,34513,7241,4942,9038
2005-08-08,2005-04-29,2005-11-03,0.399124269576,0.441518178399,0.241855807411,0.676848143241,0.652022441656,0.66791115431,0.468003714837,0.880446701677,582,72,43,162,221,1034,195,86,333,411,1280,124,60,144,194,34513,7241,4942,9038,12123
2005-11-03,2005-08-08,2006-03-06,0.410931083586,0.206601618796,0.626916205305,0.636736736421,0.623263126826,0.408626276714,0.836806133366,0.858779833928,72,43,162,221,237,195,86,333,411,400,124,60,144,194,186,7241,4942,9038,12123,11209
2006-03-06,2005-11-03,2006-05-08,0.340868823833,0.575880974462,0.557080588841,0.556717746989,0.545040777092,0.767053380332,0.777185806868,0.757996034674,43,162,221,237,423,86,333,411,400,588,60,144,194,186,316,4942,9038,12123,11209,22076
2006-05-08,2006-03-06,2006-08-02,0.517722431761,0.41970896649,0.416449109501,0.426764920432,0.747581066699,0.714292334506,0.692155954882,0.660735509141,162,221,237,423,280,333,411,400,588,627,144,194,186,316,686,9038,12123,11209,22076,16329
2006-08-02,2006-05-08,2006-10-30,0.453318127364,0.365329918683,0.382512963242,0.469642227821,0.692488165036,0.620766527663,0.604116199461,0.724475390413,221,237,423,280,321,411,400,588,627,771,194,186,316,686,1011,12123,11209,22076,16329,21503
2006-10-30,2006-08-02,2007-02-28,0.729929300207,0.510478584356,0.495967136337,0.479529231348,0.857887578987,0.722052967667,0.739183841536,0.690718924667,237,423,280,321,262,400,588,627,771,520,186,316,686,1011,377,11209,22076,16329,21503,15057
2007-02-28,2006-10-30,2007-05-03,0.420886712053,0.330142247585,0.363789430467,0.347727670789,0.628767979911,0.568189186874,0.579856582655,0.565887882439,423,280,321,262,601,588,627,771,520,1424,316,686,1011,377,1551,22076,16329,21503,15057,41029
2007-05-03,2007-02-28,2007-08-01,0.239960921744,0.284870380365,0.19512268619,0.791750396333,0.386537936139,0.429141611892,0.319152748195,0.83855966557,280,321,262,601,791,627,771,520,1424,3038,686,1011,377,1551,4150,16329,21503,15057,41029,64407
2007-08-01,2007-05-03,2007-10-31,0.507405105786,0.545701409565,0.304133659053,0.141919253518,0.697269849122,0.794922826382,0.540538807222,0.257377078745,321,262,601,791,196,771,520,1424,3038,526,1011,377,1551,4150,239,21503,15057,41029,64407,13383
2007-10-31,2007-08-01,2008-02-26,0.62426728958,0.311816040299,0.142136891962,0.787239473319,0.833766091505,0.54382359876,0.255787294685,0.911128552936,262,601,791,196,193,520,1424,3038,526,557,377,1551,4150,239,245,15057,41029,64407,13383,13123
2008-02-26,2007-10-31,2008-04-28,0.436942632873,0.144804033577,0.585244126231,0.615294058339,0.641808905286,0.2620188882,0.790235768219,0.801138900187,601,791,196,193,377,1424,3038,526,557,700,1551,4150,239,245,498,41029,64407,13383,13123,26080
