filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-10,1995-05-16,0.593653415106,0.230342542915,0.325488297745,0.341558780721,0.851082497584,0.473013001293,0.668507351946,0.661500560784,143,56,24,26,121,195,129,29,30,201,368,185,29,27,171,12548,4557,2294,2295,9463
1995-05-16,1995-03-28,1995-08-15,0.289574444215,0.430479133958,0.457441634632,0.317353583652,0.553096496591,0.803854287518,0.802526450391,0.641273479492,56,24,26,121,28,129,29,30,201,26,185,29,27,171,40,4557,2294,2295,9463,2108
1995-08-15,1995-05-16,1995-11-14,0.456641612532,0.475416379926,0.356631966803,0.666416050641,0.83176995756,0.831331905564,0.67411320146,0.865259284574,24,26,121,28,38,29,30,201,26,26,29,27,171,40,41,2294,2295,9463,2108,2411
1995-11-14,1995-08-15,1996-03-29,0.512486761318,0.317628946322,0.557451049468,0.647580635543,0.855315700937,0.631772980601,0.819988191135,0.875312674564,26,121,28,38,28,30,201,26,26,25,27,171,40,41,18,2295,9463,2108,2411,2302
1996-03-29,1995-11-14,1996-05-14,0.733243940618,0.322129182086,0.367142638762,0.345415893824,0.924705966302,0.649763952642,0.683933920991,0.647461278721,121,28,38,28,138,201,26,26,25,142,171,40,41,18,191,9463,2108,2411,2302,10435
1996-05-14,1996-03-29,1996-08-13,0.486270321402,0.501346415244,0.558903033167,0.420720072796,0.809782309264,0.830237633296,0.846940102562,0.715134538857,28,38,28,138,24,26,26,25,142,41,40,41,18,191,37,2108,2411,2302,10435,2400
1996-08-13,1996-05-14,1996-11-12,0.273396064504,0.254882990605,0.232070979841,0.335619391884,0.455518173537,0.404519213201,0.394333798044,0.429525982055,38,28,138,24,65,26,25,142,41,127,41,18,191,37,491,2411,2302,10435,2400,7136
1996-11-12,1996-08-13,1997-03-28,0.625395466389,0.371431085182,0.681597422716,0.32377476582,0.886885626784,0.672515603141,0.896142272315,0.418384079572,28,138,24,65,33,25,142,41,127,27,18,191,37,491,28,2302,10435,2400,7136,2549
1997-03-28,1996-11-12,1997-05-13,0.674592991802,0.364532550098,0.348365514177,0.354785023113,0.848246524626,0.636614067135,0.518528410846,0.611815282528,138,24,65,33,173,142,41,127,27,220,191,37,491,28,321,10435,2400,7136,2549,13316
1997-05-13,1997-03-28,1997-08-11,0.52337992291,0.23204548563,0.492648371291,0.338056823058,0.864322887082,0.403829467626,0.821683712783,0.62814588999,24,65,33,173,23,41,127,27,220,50,37,491,28,321,33,2400,7136,2549,13316,2458
1997-08-11,1997-05-13,1997-11-10,0.251955045112,0.374344522406,0.323693016417,0.488067614531,0.444527062864,0.706443447619,0.625083793787,0.777929990584,65,33,173,23,41,127,27,220,50,112,491,28,321,33,149,7136,2549,13316,2458,4560
1997-11-10,1997-08-11,1998-03-27,0.53481936492,0.330693916245,0.565599209249,0.582509717462,0.855626328688,0.616036618422,0.859951884593,0.809639841925,33,173,23,41,34,27,220,50,112,85,28,321,33,149,59,2549,13316,2458,4560,3377
1998-03-27,1997-11-10,1998-05-12,0.665809222806,0.350853501398,0.359919035645,0.418991372506,0.861496282257,0.680614724759,0.678520940423,0.708455779044,173,23,41,34,159,220,50,112,85,249,321,33,149,59,321,13316,2458,4560,3377,13686
1998-05-12,1998-03-27,1998-08-11,0.497491241072,0.36704472973,0.513229435846,0.40132085881,0.832876510962,0.710764516023,0.818113414677,0.693679536549,23,41,34,159,17,50,112,85,249,25,33,149,59,321,31,2458,4560,3377,13686,2560
1998-08-11,1998-05-12,1998-11-10,0.250547796914,0.221281742123,0.333457018791,0.265733664454,0.469250032905,0.409821888831,0.541976445153,0.419039046458,41,34,159,17,110,112,85,249,25,288,149,59,321,31,759,4560,3377,13686,2560,11806
1998-11-10,1998-08-11,1999-03-26,0.297035996408,0.348326706253,0.31496487047,0.796073532045,0.506639432961,0.568555407875,0.499265193343,0.881232159198,34,159,17,110,62,85,249,25,288,203,59,321,31,759,518,3377,13686,2560,11806,8838
1999-03-26,1998-11-10,1999-05-10,0.645589625519,0.374733365395,0.350904639208,0.375046185822,0.89090399574,0.675864046571,0.507639752873,0.535859463105,159,17,110,62,184,249,25,288,203,294,321,31,759,518,279,13686,2560,11806,8838,15117
1999-05-10,1999-03-26,1999-08-02,0.425737930893,0.221623791689,0.353461879544,0.508505169607,0.769798490029,0.394846843854,0.517045900654,0.75348390919,17,110,62,184,42,25,288,203,294,74,31,759,518,279,23,2560,11806,8838,15117,3853
1999-08-02,1999-05-10,1999-11-09,0.755339605662,0.874553595375,0.392653494153,0.424970181355,0.868913740841,0.957344195061,0.557561305107,0.556094071629,110,62,184,42,81,288,203,294,74,230,759,518,279,23,526,11806,8838,15117,3853,9152
1999-11-09,1999-08-02,2000-03-23,0.331313013145,0.469635699279,0.60391837068,0.407897618474,0.501802714582,0.740102841175,0.851386935057,0.537169706988,62,184,42,81,51,203,294,74,230,187,518,279,23,526,112,8838,15117,3853,9152,6169
2000-03-23,1999-11-09,2000-05-16,0.724942840998,0.427194035516,0.308560652419,0.544593859607,0.912231262913,0.723585759263,0.486207340978,0.784532677878,184,42,81,51,163,294,74,230,187,233,279,23,526,112,175,15117,3853,9152,6169,14974
2000-05-16,2000-03-23,2000-08-14,0.423786577669,0.283268113641,0.561885805304,0.514759670973,0.785056744972,0.49130297128,0.856877459415,0.774520548294,42,81,51,163,44,74,230,187,233,98,23,526,112,175,79,3853,9152,6169,14974,4261
2000-08-14,2000-05-16,2000-11-14,0.320174980651,0.5257010001,0.493746898551,0.730108632296,0.535756342993,0.830453324865,0.760623651893,0.910005646317,81,51,163,44,58,230,187,233,98,93,526,112,175,79,92,9152,6169,14974,4261,5153
2000-11-14,2000-08-14,2001-03-13,0.579507838957,0.506850429381,0.688592841708,0.728003058676,0.870901706883,0.777498179205,0.898242230985,0.900475357243,51,163,44,58,55,187,233,98,93,97,112,175,79,92,65,6169,14974,4261,5153,5482
2001-03-13,2000-11-14,2001-05-09,0.763737289953,0.489520677101,0.500018025162,0.532502043531,0.93294517557,0.757576774722,0.754828754774,0.773171812272,163,44,58,55,193,233,98,93,97,248,175,79,92,65,169,14974,4261,5153,5482,15382
2001-05-09,2001-03-13,2001-08-08,0.537626119305,0.524504620444,0.588569291412,0.515178254021,0.81698757997,0.794044886849,0.834446496848,0.764627709824,44,58,55,193,73,98,93,97,248,73,79,92,65,169,28,4261,5153,5482,15382,4887
2001-08-08,2001-05-09,2001-11-07,0.390077299372,0.374215494813,0.355195339384,0.497153591328,0.607700821814,0.572237968625,0.555833904494,0.62887203799,58,55,193,73,114,93,97,248,73,231,92,65,169,28,538,5153,5482,15382,4887,10532
2001-11-07,2001-08-08,2002-03-13,0.579078792297,0.491440539476,0.684230907189,0.484502398669,0.852903826009,0.756109471181,0.888093815614,0.62240755628,55,193,73,114,81,97,248,73,231,283,65,169,28,538,167,5482,15382,4887,10532,7012
2002-03-13,2001-11-07,2002-05-07,0.644602908002,0.467553732791,0.708382198163,0.525198641775,0.841282890637,0.703342947229,0.83686818949,0.733920365146,193,73,114,81,262,248,73,231,283,529,169,28,538,167,725,15382,4887,10532,7012,23412
2002-05-07,2002-03-13,2002-08-08,0.50822183488,0.364047392828,0.567549770359,0.472451503298,0.804445727173,0.571203323535,0.844625227547,0.706764354014,73,114,81,262,50,73,231,283,529,200,28,538,167,725,118,4887,10532,7012,23412,5286
2002-08-08,2002-05-07,2002-11-06,0.384559040271,0.54334675139,0.461671501802,0.737877104129,0.590797866451,0.825829771298,0.70513834712,0.908722648999,114,81,262,50,74,231,283,529,200,314,538,167,725,118,210,10532,7012,23412,5286,8138
