filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-06-13,1997-03-14,1997-10-15,0.591406699696,0.455768359365,0.615841195374,0.74681654816,0.801111720142,0.6849891682,0.810461288881,0.86701811935,58,769,42,112,83,149,2157,161,317,175,33,3102,54,495,156,5794,58273,4523,12856,7519
1997-10-15,1997-06-13,1997-12-12,0.246741861835,0.130450542532,0.228162555541,0.205583262902,0.476815770909,0.30970966667,0.420522502411,0.395983487286,769,42,112,83,421,2157,161,317,175,1358,3102,54,495,156,1939,58273,4523,12856,7519,37506
1997-12-12,1997-10-15,1998-03-13,0.483527268549,0.316430579701,0.436036895826,0.161748717893,0.762211939685,0.493135407115,0.647806976606,0.363807669568,42,112,83,421,59,161,317,175,1358,108,54,495,156,1939,20,4523,12856,7519,37506,4356
1998-03-13,1997-12-12,1998-05-18,0.884196797461,0.622666085693,0.239241072119,0.345160261378,0.961852576514,0.796780068278,0.441735905846,0.495284027452,112,83,421,59,103,317,175,1358,108,216,495,156,1939,20,433,12856,7519,37506,4356,11783
1998-05-18,1998-03-13,1998-06-12,0.0937324439445,0.0431241683496,0.0919643544645,0.115228755431,0.260049480291,0.168961670456,0.271696336562,0.286426574462,83,421,59,103,2,175,1358,108,216,9,156,1939,20,433,12,7519,37506,4356,11783,362
1998-06-12,1998-05-18,1998-10-06,0.187194164236,0.424565361119,0.71214313298,0.168129832956,0.411579725669,0.672239686795,0.85591034684,0.320696434321,421,59,103,2,103,1358,108,216,9,184,1939,20,433,12,188,37506,4356,11783,362,10118
1998-10-06,1998-06-12,1998-12-14,0.15532820341,0.269082737502,0.0444962898574,0.237289062993,0.351499064184,0.502442831426,0.164455067824,0.471907215057,59,103,2,103,710,108,216,9,184,1894,20,433,12,188,2813,4356,11783,362,10118,54447
1998-12-14,1998-10-06,1999-03-12,0.280940390622,0.0888339702211,0.400225183919,0.177875110361,0.447532344367,0.252394325979,0.634382420794,0.365297822091,103,2,103,710,92,216,9,184,1894,193,433,12,188,2813,125,11783,362,10118,54447,6325
1999-03-12,1998-12-14,1999-06-14,0.111549093094,0.410756882128,0.175944360325,0.70827543354,0.309215495967,0.667293636161,0.375415588512,0.867669245515,2,103,710,92,103,9,184,1894,193,223,12,188,2813,125,166,362,10118,54447,6325,7373
1999-06-14,1999-03-12,1999-10-12,0.42819498461,0.237646440374,0.478957450858,0.541135422388,0.718537100088,0.506189764821,0.685687044271,0.734459571853,103,710,92,103,148,184,1894,193,223,461,188,2813,125,166,598,10118,54447,6325,7373,12594
1999-10-12,1999-06-14,1999-10-27,0.851512308472,0.117050900914,0.120918176447,0.1902503194,0.901279758356,0.257395502015,0.266666902401,0.398532403973,710,92,103,148,1174,1894,193,223,461,4220,2813,125,166,598,6237,54447,6325,7373,12594,100732
1999-10-27,1999-10-12,1999-12-14,0.575756123336,0.577841825843,0.491001133929,0.192129897828,0.810166280727,0.809094662484,0.703954160116,0.316387293754,92,103,148,1174,305,193,223,461,4220,538,125,166,598,6237,273,6325,7373,12594,100732,19344
1999-12-14,1999-10-27,2000-03-16,0.544415845083,0.470337424134,0.14553072179,0.605789256509,0.808401531368,0.747491628187,0.309132305244,0.825187595237,103,148,1174,305,118,223,461,4220,538,277,166,598,6237,273,225,7373,12594,100732,19344,9024
2000-03-16,1999-12-14,2000-06-14,0.466646923894,0.201791725793,0.431184624257,0.476320984809,0.737899449312,0.407361210317,0.645898243859,0.714182609896,148,1174,305,118,196,461,4220,538,277,594,598,6237,273,225,582,12594,100732,19344,9024,16606
2000-06-14,2000-03-16,2000-10-13,0.877043021674,0.108251076538,0.11393245857,0.170676786744,0.933698701469,0.21774757825,0.24850165186,0.341785853028,1174,305,118,196,841,4220,538,277,594,2774,6237,273,225,582,4410,100732,19344,9024,16606,67649
2000-10-13,2000-06-14,2000-12-13,0.249219042907,0.195697031458,0.217933660498,0.894123989238,0.461656708429,0.430486248802,0.450942157532,0.90614808407,305,118,196,841,723,538,277,594,2774,2294,273,225,582,4410,2995,19344,9024,16606,67649,58933
2000-12-13,2000-10-13,2001-03-14,0.393653304395,0.326657530346,0.132301955004,0.196985872035,0.707284222601,0.605527780917,0.314959008806,0.454561078351,118,196,841,723,115,277,594,2774,2294,387,225,582,4410,2995,334,9024,16606,67649,58933,10263
2001-03-14,2000-12-13,2001-06-13,0.428827490119,0.0890607936774,0.185968220324,0.481253294912,0.632709028663,0.195679176159,0.380388629848,0.716136409888,196,841,723,115,122,594,2774,2294,387,310,582,4410,2995,334,80,16606,67649,58933,10263,8299
2001-06-13,2001-03-14,2001-10-05,0.143185304671,0.215614428741,0.51964397988,0.614466014429,0.299287782472,0.460853928112,0.789785932825,0.804280892267,841,723,115,122,149,2774,2294,387,310,412,4410,2995,334,80,338,67649,58933,10263,8299,11082
2001-10-05,2001-06-13,2001-12-07,0.272222886059,0.403306951077,0.53787059573,0.557006965783,0.503921246738,0.687317093299,0.767434122062,0.807995443768,723,115,122,149,418,2294,387,310,412,814,2995,334,80,338,695,58933,10263,8299,11082,25174
2001-12-07,2001-10-05,2002-02-28,0.289337877008,0.290961840286,0.361825777256,0.4123679411,0.556674463389,0.490350989894,0.625187972816,0.652048351135,115,122,149,418,225,387,310,412,814,952,334,80,338,695,915,10263,8299,11082,25174,21184
2002-02-28,2001-12-07,2002-05-31,0.356928231222,0.511074819261,0.437778283362,0.367416761239,0.622208620489,0.779310207895,0.735424150369,0.647250831104,122,149,418,225,214,310,412,814,952,732,80,338,695,915,684,8299,11082,25174,21184,21287
2002-05-31,2002-02-28,2002-09-25,0.409532127564,0.450674154531,0.345883581351,0.434766963121,0.670381883871,0.693176254335,0.566427656361,0.684267020855,149,418,225,214,243,412,814,952,732,663,338,695,915,684,797,11082,25174,21184,21287,19062
2002-09-25,2002-05-31,2002-12-05,0.415879548928,0.279791840573,0.319982803217,0.276446859461,0.811311346999,0.65500619745,0.725734600892,0.652284087076,418,225,214,243,560,814,952,732,663,1494,695,915,684,797,1557,25174,21184,21287,19062,44725
2002-12-05,2002-09-25,2003-02-28,0.412727238989,0.638134113489,0.337214350523,0.311038235507,0.673846083365,0.769558136099,0.624784639401,0.730053258135,225,214,243,560,208,952,732,663,1494,696,915,684,797,1557,299,21184,21287,19062,44725,20353
2003-02-28,2002-12-05,2003-05-30,0.49879128102,0.436204632938,0.325973755468,0.406915170073,0.769511426649,0.664246863852,0.696362803716,0.633020704114,214,243,560,208,255,732,663,1494,696,870,684,797,1557,299,803,21287,19062,44725,20353,27575
2003-05-30,2003-02-28,2003-09-19,0.423494939489,0.312012389081,0.549319960888,0.559416095192,0.658242377426,0.682827149053,0.81171467272,0.659980408521,243,560,208,255,170,663,1494,696,870,426,797,1557,299,803,146,19062,44725,20353,27575,13905
2003-09-19,2003-05-30,2003-12-05,0.290248443823,0.314570652459,0.375663011265,0.262553774415,0.645998773189,0.574262802509,0.627686741471,0.468399494896,560,208,255,170,1067,1494,696,870,426,3702,1557,299,803,146,4410,44725,20353,27575,13905,99568
2003-12-05,2003-09-19,2004-03-09,0.456207663044,0.590750675194,0.605197382821,0.368727474677,0.76212254412,0.80088659393,0.792826915877,0.623782406812,208,255,170,1067,212,696,870,426,3702,576,299,803,146,4410,324,20353,27575,13905,99568,18172
2004-03-09,2003-12-05,2004-06-14,0.415909531426,0.436960991404,0.333264789797,0.496498490588,0.686539275749,0.690438915253,0.629471326778,0.754651340295,255,170,1067,212,264,870,426,3702,576,949,803,146,4410,324,627,27575,13905,99568,18172,26331
2004-06-14,2004-03-09,2004-09-24,0.752177226861,0.287118694746,0.665051802854,0.544308448561,0.930274953778,0.501525520348,0.828381014851,0.74983123426,170,1067,212,264,195,426,3702,576,949,459,146,4410,324,627,184,13905,99568,18172,26331,15013
2004-09-24,2004-06-14,2004-12-10,0.758183400015,0.326750165004,0.256210919569,0.339343919171,0.871672540833,0.629565015186,0.580844361397,0.626338805095,1067,212,264,195,648,3702,576,949,459,2133,4410,324,627,184,1526,99568,18172,26331,15013,46087
2004-12-10,2004-09-24,2005-03-08,0.589890389268,0.410547030842,0.468482122607,0.315723086026,0.808542508272,0.686310411556,0.643161803996,0.578327089311,212,264,195,648,381,576,949,459,2133,1247,324,627,184,1526,919,18172,26331,15013,46087,30146
2005-03-08,2004-12-10,2005-06-07,0.42502201739,0.689869100632,0.351855284333,0.534009316113,0.693712348837,0.89638730804,0.617736533593,0.648997338997,264,195,648,381,248,949,459,2133,1247,766,627,184,1526,919,276,26331,15013,46087,30146,15798
2005-06-07,2005-03-08,2005-09-26,0.181842017,0.757521284127,0.233588833901,0.188104876922,0.345299099324,0.81143658251,0.425066192536,0.335083140702,195,648,381,248,792,459,2133,1247,766,2345,184,1526,919,276,3016,15013,46087,30146,15798,64624
2005-09-26,2005-06-07,2005-12-05,0.423896812666,0.610331638577,0.753032326929,0.218824413071,0.688963617668,0.770161899435,0.869094633752,0.375845889908,648,381,248,792,460,2133,1247,766,2345,1206,1526,919,276,3016,569,46087,30146,15798,64624,33520
2005-12-05,2005-09-26,2006-03-09,0.501167960276,0.705160134956,0.17655532277,0.716254323552,0.681579031429,0.891837227337,0.348445904132,0.877303275429,381,248,792,460,344,1247,766,2345,1206,926,919,276,3016,569,237,30146,15798,64624,33520,21349
2006-03-09,2005-12-05,2006-06-09,0.807743965593,0.173950173608,0.750250524549,0.810094714813,0.943000711022,0.328779460694,0.876133425532,0.922522286385,248,792,460,344,269,766,2345,1206,926,788,276,3016,569,237,199,15798,64624,33520,21349,18610
2006-06-09,2006-03-09,2006-09-15,0.365969215544,0.709211256088,0.755204747684,0.859195469676,0.457161608371,0.863429484731,0.906055230895,0.947733989023,792,460,344,269,270,2345,1206,926,788,819,3016,569,237,199,300,64624,33520,21349,18610,20122
2006-09-15,2006-06-09,2006-12-01,0.836974690854,0.690169109575,0.74427704325,0.721264783006,0.949400776617,0.858197461028,0.863670554441,0.860376351294,460,344,269,270,435,1206,926,788,819,1168,569,237,199,300,542,33520,21349,18610,20122,36170
2006-12-01,2006-09-15,2007-03-02,0.601345743404,0.615255946902,0.598564256022,0.679698577928,0.821349287768,0.808131502414,0.808027940563,0.856362548737,344,269,270,435,114,926,788,819,1168,439,237,199,300,542,305,21349,18610,20122,36170,12197
2007-03-02,2006-12-01,2007-05-30,0.692961933932,0.622846435525,0.609064710583,0.666963326294,0.889954347485,0.84973575033,0.802880658331,0.848361155416,269,270,435,114,170,788,819,1168,439,379,199,300,542,305,118,18610,20122,36170,12197,12935
2007-05-30,2007-03-02,2007-09-14,0.661671153779,0.606021935832,0.656757209429,0.819954463328,0.864208662891,0.783383974952,0.826357748437,0.936301409045,270,435,114,170,198,819,1168,439,379,394,300,542,305,118,107,20122,36170,12197,12935,14327
2007-09-14,2007-05-30,2007-11-30,0.824591131786,0.649241763837,0.713468491663,0.769586236198,0.924129968967,0.820776199003,0.87380820739,0.878821979375,435,114,170,198,464,1168,439,379,394,1035,542,305,118,107,400,36170,12197,12935,14327,34175
2007-11-30,2007-09-14,2008-02-29,0.684311084489,0.714025070231,0.767211650224,0.722470222827,0.852259451566,0.893365566692,0.902050801444,0.842535226022,114,170,198,464,126,439,379,394,1035,255,305,118,107,400,55,12197,12935,14327,34175,9561
2008-02-29,2007-11-30,2008-05-30,0.764302647794,0.765392548128,0.698167187128,0.823311535987,0.935506133089,0.914979544156,0.83740742416,0.918888343638,170,198,464,126,168,379,394,1035,255,242,118,107,400,55,52,12935,14327,34175,9561,11919
2008-05-30,2008-02-29,2008-09-12,0.706131959051,0.655425213427,0.715907342498,0.771053843534,0.88727457388,0.83455367048,0.862006752223,0.892961962865,198,464,126,168,192,394,1035,255,242,374,107,400,55,52,267,14327,34175,9561,11919,16734
2008-09-12,2008-05-30,2008-12-04,0.316074951311,0.239615973261,0.2424220386,0.271685656334,0.53924737996,0.448158301034,0.453050927534,0.512474300053,464,126,168,192,841,1035,255,242,374,2678,400,55,52,267,2931,34175,9561,11919,16734,77519
2008-12-04,2008-09-12,2009-03-02,0.644742949341,0.614642174417,0.603107435167,0.267577245174,0.816952361089,0.791481911147,0.806648526572,0.509251768122,126,168,192,841,234,255,242,374,2678,507,55,52,267,2931,271,9561,11919,16734,77519,16800
2009-03-02,2008-12-04,2009-05-29,0.825453242059,0.705793318469,0.233902967492,0.697314023746,0.948000024193,0.865792687071,0.44091306281,0.824213495201,168,192,841,234,156,242,374,2678,507,265,52,267,2931,271,58,11919,16734,77519,16800,12342
2009-05-29,2009-03-02,2009-09-15,0.738798669542,0.236932906359,0.690027958332,0.896134806011,0.891683567466,0.444385712224,0.823134465556,0.953789111684,192,841,234,156,140,374,2678,507,265,238,267,2931,271,58,48,16734,77519,16800,12342,11378
2009-09-15,2009-05-29,2009-12-04,0.310432615905,0.609605109206,0.695847845985,0.713880842827,0.538736234674,0.793979241479,0.84147395352,0.847374015921,841,234,156,140,420,2678,507,265,238,873,2931,271,58,48,344,77519,16800,12342,11378,35023
2009-12-04,2009-09-15,2010-03-01,0.633588147829,0.705355340305,0.727230335203,0.675950563782,0.818506594668,0.853615492353,0.863782363547,0.821646987603,234,156,140,420,212,507,265,238,873,542,271,58,48,344,120,16800,12342,11378,35023,22330
2010-03-01,2009-12-04,2010-05-28,0.762903389473,0.736003429374,0.659119761869,0.853977017908,0.892114035486,0.87363679698,0.809871007642,0.924036650728,156,140,420,212,233,265,238,873,542,557,58,48,344,120,113,12342,11378,35023,22330,22903
2010-05-28,2010-03-01,2010-09-16,0.779482570177,0.653587621332,0.844956598113,0.899335226253,0.905438207767,0.801529364873,0.9183414395,0.953879022896,140,420,212,233,213,238,873,542,557,596,48,344,120,113,101,11378,35023,22330,22903,22964
2010-09-16,2010-05-28,2010-12-06,0.771527858723,0.708251961994,0.727809354525,0.734516846855,0.881649837858,0.846951365418,0.85938694466,0.857584469368,420,212,233,213,769,873,542,557,596,2006,344,120,113,101,690,35023,22330,22903,22964,74384
2010-12-06,2010-09-16,2011-03-01,0.778654502033,0.745745864449,0.756966908493,0.762403444827,0.908763559433,0.876343741788,0.876664672583,0.879300546564,212,233,213,769,298,542,557,596,2006,853,120,113,101,690,268,22330,22903,22964,74384,29431
2011-03-01,2010-12-06,2011-06-01,0.719777117965,0.673344873619,0.680601175065,0.78714045278,0.887727477991,0.84929804947,0.852747112712,0.90976976285,233,213,769,298,358,557,596,2006,853,887,113,101,690,268,655,22903,22964,74384,29431,35746
2011-06-01,2011-03-01,2011-09-14,0.253085248486,0.236770385006,0.270313520021,0.24507439256,0.456848455265,0.432196588179,0.46787538189,0.456969905802,213,769,298,358,745,596,2006,853,887,1071,101,690,268,655,2016,22964,74384,29431,35746,64077
2011-09-14,2011-06-01,2011-12-01,0.288059086869,0.251631710753,0.227851033718,0.941729484076,0.499182278289,0.467658361133,0.457050089823,0.957643853144,769,298,358,745,1334,2006,853,887,1071,2181,690,268,655,2016,3390,74384,29431,35746,64077,123544
2011-12-01,2011-09-14,2012-02-29,0.268729157753,0.228290639305,0.98673944435,0.952507614432,0.477294863194,0.446794078614,0.986083610625,0.957920598076,298,358,745,1334,625,853,887,1071,2181,1069,268,655,2016,3390,1704,29431,35746,64077,123544,54666
2012-02-29,2011-12-01,2012-05-25,0.264879508864,0.936342227169,0.905721491535,0.945808813102,0.498588121753,0.942041211847,0.918959732318,0.95090366462,358,745,1334,625,891,887,1071,2181,1069,1598,655,2016,3390,1704,3563,35746,64077,123544,54666,78777
2012-05-25,2012-02-29,2012-09-13,0.987183329861,0.952776349145,0.994336020399,0.944392779897,0.987856703966,0.957906888602,0.99261125482,0.9479429119,745,1334,625,891,616,1071,2181,1069,1598,946,2016,3390,1704,3563,1767,64077,123544,54666,78777,55379
2012-09-13,2012-05-25,2012-11-29,0.990657849803,0.941900760307,0.898527362838,0.942925391339,0.991737874703,0.949807078236,0.917764992232,0.949959107653,1334,625,891,616,1519,2181,1069,1598,946,2863,3390,1704,3563,1767,3818,123544,54666,78777,55379,134378
2012-11-29,2012-09-13,2013-03-01,0.99180244589,0.938700045388,0.990963569736,0.947968563458,0.992750568419,0.942371481599,0.990544290507,0.954501311407,625,891,616,1519,708,1069,1598,946,2863,1340,1704,3563,1767,3818,1947,54666,78777,55379,134378,59415
2013-03-01,2012-11-29,2013-05-30,0.941687894185,0.988936112359,0.946178524355,0.994074205665,0.95009183703,0.989042150071,0.958159947882,0.99251605148,891,616,1519,708,721,1598,946,2863,1340,1252,3563,1767,3818,1947,2081,78777,55379,134378,59415,62523
2013-05-30,2013-03-01,2013-09-13,0.991993579709,0.94566127221,0.994889832578,0.993809623668,0.993442466208,0.955000929168,0.993796209307,0.992737387422,616,1519,708,721,695,946,2863,1340,1252,1223,1767,3818,1947,2081,1926,55379,134378,59415,62523,60619
2013-09-13,2013-05-30,2013-11-22,0.924102187214,0.943101072004,0.940305586303,0.942280253006,0.936425724709,0.947523864852,0.945787001113,0.947145465593,1519,708,721,695,3035,2863,1340,1252,1223,4622,3818,1947,2081,1926,9520,134378,59415,62523,60619,243288
2013-11-22,2013-09-13,2014-02-21,0.744246285806,0.744931781465,0.74362072739,0.62213999832,0.847511349736,0.84583466404,0.844714138546,0.720720460693,708,721,695,3035,376,1340,1252,1223,4622,1307,1947,2081,1926,9520,1256,59415,62523,60619,243288,49384
2014-02-21,2013-11-22,2014-05-21,0.747307145864,0.741737821716,0.620331857134,0.991208801142,0.848666274455,0.84220371071,0.717994235674,0.991584342242,721,695,3035,376,392,1252,1223,4622,1307,1368,2081,1926,9520,1256,1248,62523,60619,243288,49384,51289
2014-05-21,2014-02-21,2014-09-12,0.746291827164,0.621171459402,0.990555119838,0.99229777061,0.849522656952,0.720537988276,0.991002398783,0.992018209239,695,3035,376,392,386,1223,4622,1307,1368,1237,1926,9520,1256,1248,1211,60619,243288,49384,51289,50154
2014-09-12,2014-05-21,2014-11-21,0.61298544508,0.906408061875,0.908766015341,0.907452416037,0.720372258629,0.93623007864,0.939568799744,0.938953433433,3035,376,392,386,965,4622,1307,1368,1237,2663,9520,1256,1248,1211,2361,243288,49384,51289,50154,113353
2014-11-21,2014-09-12,2015-02-19,0.988190678246,0.983461828656,0.984292270465,0.905120566175,0.992668632884,0.985814564303,0.986000211398,0.936112406558,376,392,386,965,427,1307,1368,1237,2663,1336,1256,1248,1211,2361,1182,49384,51289,50154,113353,50371
2015-02-19,2014-11-21,2015-05-22,0.984198906279,0.980327032546,0.907142387415,0.989624646868,0.989269086297,0.984022138416,0.936322835086,0.99162370371,392,386,965,427,419,1368,1237,2663,1336,1344,1248,1211,2361,1182,1161,51289,50154,113353,50371,51728
2015-05-22,2015-02-19,2015-09-01,0.985151567375,0.908313888876,0.987087556562,0.991853868785,0.991007120117,0.939252881112,0.988357280312,0.991247941499,386,965,427,419,417,1237,2663,1336,1344,1283,1211,2361,1182,1161,1220,50154,113353,50371,51728,53234
2015-09-01,2015-05-22,2015-11-20,0.879739823294,0.925883824161,0.930185173461,0.932620016409,0.944626773956,0.938500348482,0.941597781401,0.944975288027,965,427,419,417,1057,2663,1336,1344,1283,3066,2361,1182,1161,1220,2468,113353,50371,51728,53234,114080
2015-11-20,2015-09-01,2016-02-25,0.950447703866,0.952263123048,0.950840611701,0.96455079974,0.967664146933,0.967476181781,0.964947668623,0.960185170418,427,419,417,1057,390,1336,1344,1283,3066,1527,1182,1161,1220,2468,1297,50371,51728,53234,114080,52548
2016-02-25,2015-11-20,2016-05-24,0.848481408496,0.844104248239,0.86167028958,0.881541556679,0.913460809436,0.907715569467,0.913978738644,0.932116440393,419,417,1057,390,680,1344,1283,3066,1527,2227,1161,1220,2468,1297,3185,51728,53234,114080,52548,80525
2016-05-24,2016-02-25,2016-09-01,0.952304484768,0.962227598902,0.987581714402,0.884036271048,0.970092912606,0.961171315696,0.988889122564,0.938194485776,417,1057,390,680,466,1283,3066,1527,2227,1458,1220,2468,1297,3185,1422,53234,114080,52548,80525,55688
2016-09-01,2016-05-24,2016-11-18,0.988698485107,0.964676809249,0.86432471857,0.966682265294,0.992237325127,0.96278776778,0.919823566667,0.966913347049,1057,390,680,466,1082,3066,1527,2227,1458,3016,2468,1297,3185,1422,2685,114080,52548,80525,55688,116772
2016-11-18,2016-09-01,2017-02-23,0.984921387192,0.875190255962,0.984624127447,0.965936843905,0.989449065561,0.929541233442,0.986369936539,0.961389881966,390,680,466,1082,419,1527,2227,1458,3016,1379,1297,3185,1422,2685,1258,52548,80525,55688,116772,52816
2017-02-23,2016-11-18,2017-05-23,0.706097289288,0.786389754414,0.770673662993,0.791935900143,0.857455481748,0.898514294155,0.878054082462,0.900814315153,680,466,1082,419,599,2227,1458,3016,1379,1930,3185,1422,2685,1258,2444,80525,55688,116772,52816,77591
2017-05-23,2017-02-23,2017-09-01,0.983694784736,0.963856398098,0.988170699743,0.782311606159,0.988829022354,0.962080355035,0.98882638036,0.890737851705,466,1082,419,599,478,1458,3016,1379,1930,1184,1422,2685,1258,2444,1306,55688,116772,52816,77591,54053
2017-09-01,2017-05-23,2017-11-20,0.797176679704,0.777024450083,0.963429071816,0.766427941655,0.905757582281,0.873813888803,0.963484539042,0.864811745825,1082,419,599,478,1219,3016,1379,1930,1184,3536,2685,1258,2444,1306,3596,116772,52816,77591,54053,149793
