filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-31,1994-11-14,1995-05-05,0.516350716529,0.224731780248,0.23660841818,0.246221816828,0.742498771635,0.464792866783,0.494723999009,0.487029373976,419,14,20,19,500,484,14,33,28,787,479,7,35,26,1561,24939,1336,1824,1790,38594
1995-05-05,1995-03-31,1995-08-14,0.256645276828,0.221782917599,0.239253008031,0.273632769082,0.489853947615,0.461355283035,0.47317126259,0.521261848054,14,20,19,500,21,14,33,28,787,72,7,35,26,1561,238,1336,1824,1790,38594,3819
1995-08-14,1995-05-05,1995-11-14,0.462869589704,0.441609097642,0.234971061385,0.260261899292,0.817360951184,0.778073205308,0.478267368307,0.462738977848,20,19,500,21,17,33,28,787,72,27,35,26,1561,238,29,1824,1790,38594,3819,2246
1995-11-14,1995-08-14,1995-11-16,0.518805537036,0.257609268048,0.263525420282,0.593205775496,0.832269328391,0.510470092141,0.491132170924,0.838662733437,19,500,21,17,13,28,787,72,27,50,26,1561,238,29,52,1790,38594,3819,2246,2644
1995-11-16,1995-11-14,1996-04-01,0.14096994418,0.153200479451,0.241639935489,0.297081148443,0.293335543509,0.314256159898,0.401769692662,0.45201576412,500,21,17,13,2,787,72,27,50,0,1561,238,29,52,6,38594,3819,2246,2644,322
1996-04-01,1995-11-16,1996-05-15,0.233957081453,0.335977604836,0.354417682116,0.182229442472,0.488269176365,0.633871925527,0.657675566692,0.36784734612,21,17,13,2,507,72,27,50,0,338,238,29,52,6,294,3819,2246,2644,322,25080
1996-05-15,1996-04-01,1996-08-14,0.469581748648,0.509869781072,0.221221476441,0.345988213461,0.792041273956,0.828526298063,0.379520639662,0.64638257638,17,13,2,507,18,27,50,0,338,99,29,52,6,294,81,2246,2644,322,25080,2841
1996-08-14,1996-05-15,1996-11-13,0.50188443807,0.225728998701,0.33940754223,0.713521935429,0.809433506679,0.367776231612,0.619138446791,0.888585595194,13,2,507,18,25,50,0,338,99,72,52,6,294,81,38,2644,322,25080,2841,3054
1996-11-13,1996-08-14,1997-03-28,0.276560624912,0.332874458422,0.711382294222,0.744995000089,0.417605313839,0.619401103207,0.905470614303,0.904326558829,2,507,18,25,22,0,338,99,72,59,6,294,81,38,29,322,25080,2841,3054,2731
1997-03-28,1996-11-13,1997-05-15,0.789497941987,0.399373625639,0.399075780699,0.399523538977,0.942911147355,0.683981892176,0.65734518109,0.660245651469,507,18,25,22,411,338,99,72,59,407,294,81,38,29,278,25080,2841,3054,2731,23973
1997-05-15,1997-03-28,1997-08-14,0.644457528194,0.618397424209,0.67301896195,0.392449076254,0.898222785896,0.857050802757,0.887892005507,0.644631720989,18,25,22,411,22,99,72,59,407,45,81,38,29,278,23,2841,3054,2731,23973,2340
1997-08-14,1997-05-15,1997-11-14,0.65603556174,0.574802749033,0.388793904865,0.670926785361,0.8852625134,0.815481458092,0.636749221046,0.843072796405,25,22,411,22,67,72,59,407,45,97,38,29,278,23,60,3054,2731,23973,2340,3537
1997-11-14,1997-08-14,1998-03-30,0.623566859264,0.377073954281,0.677640398213,0.792655907794,0.869993788769,0.635975285545,0.868227629792,0.92231103221,22,411,22,67,57,59,407,45,97,95,29,278,23,60,66,2731,23973,2340,3537,3314
1998-03-30,1997-11-14,1998-05-15,0.77428992011,0.392927992888,0.429992670507,0.420967876446,0.948470003185,0.642130298173,0.661025036019,0.662126474449,411,22,67,57,607,407,45,97,95,499,278,23,60,66,346,23973,2340,3537,3314,27641
1998-05-15,1998-03-30,1998-08-14,0.527779055418,0.523853740136,0.537060601038,0.41367268463,0.838418056223,0.794212299669,0.817640918019,0.655381901988,22,67,57,607,32,45,97,95,499,73,23,60,66,346,33,2340,3537,3314,27641,2924
1998-08-14,1998-05-15,1998-08-31,0.492554489998,0.444991737118,0.44992176013,0.533855352136,0.717113374817,0.693335776091,0.700530042757,0.722369257044,67,57,607,32,69,97,95,499,73,140,60,66,346,33,163,3537,3314,27641,2924,6235
1998-08-31,1998-08-14,1998-11-13,0.0827323515877,0.316810308842,0.0878686516403,0.244514563784,0.208332278464,0.469308363862,0.203726221098,0.43360235548,57,607,32,69,27,95,499,73,140,69,66,346,33,163,73,3314,27641,2924,6235,2339
1998-11-13,1998-08-31,1999-02-10,0.429526966133,0.634367188401,0.592443759314,0.203218250722,0.680121163423,0.851267928992,0.76228206044,0.26781295531,607,32,69,27,65,499,73,140,69,159,346,33,163,73,36,27641,2924,6235,2339,4611
1999-02-10,1998-11-13,1999-03-29,0.631035449478,0.589101311212,0.198384937184,0.988333212538,0.850844037593,0.760846545992,0.268692332799,0.997954859409,32,69,27,65,66,73,140,69,159,160,33,163,73,36,37,2924,6235,2339,4611,4719
1999-03-29,1999-02-10,1999-03-31,0.56605293152,0.189430114603,0.913650543529,0.923231588744,0.748886421579,0.26962204049,0.973022220668,0.975144003216,69,27,65,66,69,140,69,159,160,208,163,73,36,37,50,6235,2339,4611,4719,5563
1999-03-31,1999-03-29,1999-05-17,0.198703969549,0.555116833667,0.558376123755,0.651819238688,0.353777412539,0.783482576777,0.785621442018,0.832166541802,27,65,66,69,317,69,159,160,208,640,73,36,37,50,319,2339,4611,4719,5563,21258
1999-05-17,1999-03-31,1999-08-16,0.62703132155,0.634059970241,0.624121044454,0.54537861074,0.846461237944,0.849469722847,0.84725982437,0.774435749293,65,66,69,317,63,159,160,208,640,154,36,37,50,319,73,4611,4719,5563,21258,4903
1999-08-16,1999-05-17,1999-11-15,0.438104760533,0.445438987913,0.437193493414,0.503315736308,0.655086119556,0.664486291452,0.652407604016,0.679367063256,66,69,317,63,131,160,208,640,154,366,37,50,319,73,541,4719,5563,21258,4903,12633
1999-11-15,1999-08-16,1999-11-18,0.62691924287,0.5346689723,0.66767630194,0.572660373638,0.883927081655,0.788748013814,0.850586118271,0.698127352402,69,317,63,131,79,208,640,154,366,307,50,319,73,541,127,5563,21258,4903,12633,7124
1999-11-18,1999-11-15,2000-03-27,0.18597158191,0.227125408105,0.175405732617,0.286127529638,0.317390088276,0.388418404388,0.30851697604,0.416379397814,317,63,131,79,3,640,154,366,307,4,319,73,541,127,6,21258,4903,12633,7124,456
2000-03-27,1999-11-18,2000-05-12,0.504864857676,0.53935759356,0.578735741189,0.207908732273,0.739729413862,0.737463123786,0.785345423947,0.345394159179,63,131,79,3,590,154,366,307,4,1147,73,541,127,6,914,4903,12633,7124,456,34549
2000-05-12,2000-03-27,2000-08-11,0.447084925453,0.666608446918,0.208135632392,0.530749378788,0.622255386785,0.852727169877,0.335954821452,0.716541382618,131,79,3,590,77,366,307,4,1147,108,541,127,6,914,75,12633,7124,456,34549,4904
2000-08-11,2000-05-12,2000-11-13,0.608475216399,0.200262334221,0.583976817157,0.725288860361,0.824146499031,0.33626393386,0.791051863515,0.846826265178,79,3,590,77,94,307,4,1147,108,240,127,6,914,75,259,7124,456,34549,4904,9027
2000-11-13,2000-08-11,2001-03-26,0.246457457556,0.519544020566,0.753387954967,0.757373414914,0.383951770122,0.737295352767,0.907349434947,0.881456419556,3,590,77,94,87,4,1147,108,240,257,6,914,75,259,141,456,34549,4904,9027,7817
2001-03-26,2000-11-13,2001-05-14,0.752145555797,0.538067354026,0.64485210564,0.579347687383,0.918762693694,0.725581073122,0.818730861133,0.769767093732,590,77,94,87,642,1147,108,240,257,1084,914,75,259,141,1034,34549,4904,9027,7817,38413
2001-05-14,2001-03-26,2001-08-13,0.598160986554,0.510242732513,0.554258162204,0.461407776042,0.858013239072,0.749121933716,0.809468241263,0.671596652655,77,94,87,642,38,108,240,257,1084,137,75,259,141,1034,84,4904,9027,7817,38413,4686
2001-08-13,2001-05-14,2001-11-14,0.587046092037,0.596597087677,0.546011602054,0.717348192757,0.822871209309,0.84717344211,0.753647232667,0.875250216429,94,87,642,38,59,240,257,1084,137,262,259,141,1034,84,154,9027,7817,38413,4686,6813
