filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2014-02-21,2014-02-13,2014-05-01,0.0920435553505,0.106175975851,0.133878015282,0.179633490568,0.193167991082,0.160965119123,0.193632611166,0.250291832851,658,610,415,1771,279,885,1099,926,2863,414,2149,2138,1144,3627,360,49806,59235,44474,137142,18102
2014-05-01,2014-02-21,2014-07-31,0.85178961091,0.951943072427,0.938367483253,0.135318477037,0.904902213568,0.974742227804,0.958648025188,0.193399903112,610,415,1771,279,386,1099,926,2863,414,847,2138,1144,3627,360,1039,59235,44474,137142,18102,36764
2014-07-31,2014-05-01,2014-10-30,0.944348816042,0.930750612109,0.141772466445,0.964016912303,0.974241939705,0.958398764116,0.204562474534,0.982752290458,415,1771,279,386,437,926,2863,414,847,841,1144,3627,360,1039,1020,44474,137142,18102,36764,38999
2014-10-30,2014-07-31,2015-02-12,0.937589415371,0.135637404181,0.964721195468,0.962464088479,0.960934174559,0.195934966447,0.981896631925,0.983977557313,1771,279,386,437,366,2863,414,847,841,869,3627,360,1039,1020,1074,137142,18102,36764,38999,40713
2015-02-12,2014-10-30,2015-04-29,0.190609375972,0.931123708621,0.925508689444,0.931883366767,0.263700717229,0.950761565604,0.951705210105,0.953783396011,279,386,437,366,1795,414,847,841,869,3000,360,1039,1020,1074,4016,18102,36764,38999,40713,145548
2015-04-29,2015-02-12,2015-07-29,0.970297231539,0.951233696884,0.953609807922,0.939755683917,0.982586801973,0.9742485549,0.974374873905,0.960276782326,386,437,366,1795,387,847,841,869,3000,871,1039,1020,1074,4016,1192,36764,38999,40713,145548,38394
2015-07-29,2015-04-29,2015-10-28,0.928336056535,0.904692645951,0.9093716494,0.927962668991,0.953427104924,0.943067616507,0.94600346074,0.95806938226,437,366,1795,387,433,841,869,3000,871,940,1020,1074,4016,1192,1162,38999,40713,145548,38394,45039
2015-10-28,2015-07-29,2016-02-11,0.928288952201,0.912486234797,0.932879652497,0.969746986317,0.955167919986,0.949756822106,0.96095934951,0.987027166392,366,1795,387,433,460,869,3000,871,940,1107,1074,4016,1192,1162,1490,40713,145548,38394,45039,51517
2016-02-11,2015-10-28,2016-05-03,0.959312978585,0.910987063033,0.94595279339,0.949004131172,0.978641835153,0.943315378403,0.967076949902,0.970158625455,1795,387,433,460,1738,3000,871,940,1107,2993,4016,1192,1162,1490,3492,145548,38394,45039,51517,138174
2016-05-03,2016-02-11,2016-07-27,0.946594340446,0.954820691361,0.953184705779,0.941157795182,0.971048904634,0.974587298245,0.973895774373,0.961637317152,387,433,460,1738,421,871,940,1107,2993,923,1192,1162,1490,3492,985,38394,45039,51517,138174,38749
2016-07-27,2016-05-03,2016-11-03,0.964771915876,0.944499737324,0.928310792009,0.968564358645,0.977710978918,0.971119188656,0.954405859512,0.983914002547,433,460,1738,421,460,940,1107,2993,923,1117,1162,1490,3492,985,1175,45039,51517,138174,38749,43555
2016-11-03,2016-07-27,2017-02-16,0.928962615195,0.909548167521,0.924326416072,0.924075796829,0.96300675729,0.953524255962,0.961238959069,0.964674535331,460,1738,421,460,703,1107,2993,923,1117,2290,1490,3492,985,1175,2264,51517,138174,38749,43555,67270
2017-02-16,2016-11-03,2017-05-08,0.961398537226,0.908711026336,0.902236571866,0.90720025142,0.980328210246,0.937781405522,0.935397073842,0.952702002289,1738,421,460,703,2443,2993,923,1117,2290,4075,3492,985,1175,2264,4973,138174,38749,43555,67270,177364
2017-05-08,2017-02-16,2017-08-04,0.923126233851,0.911203478714,0.904326693395,0.931247143344,0.957199247109,0.952780402195,0.956851533359,0.961773797871,421,460,703,2443,516,923,1117,2290,4075,1098,985,1175,2264,4973,1737,38749,43555,67270,177364,59590
2017-08-04,2017-05-08,2017-10-27,0.932773344221,0.897422589543,0.913853328633,0.946332283637,0.954903349677,0.94768864163,0.948754418226,0.972778323617,460,703,2443,516,444,1117,2290,4075,1098,829,1175,2264,4973,1737,1091,43555,67270,177364,59590,51184
