filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-11-14,1997-08-14,1998-03-31,0.697300361416,0.193661693568,0.399163341982,0.448922241395,0.869838688276,0.366046241308,0.612995620419,0.691993710539,9,152,9,12,15,16,493,6,31,46,7,712,8,9,8,1861,17062,1401,2208,2406
1998-03-31,1997-11-14,1998-05-13,0.399804131058,0.137255875397,0.115747496024,0.115949390664,0.644334795098,0.271791752272,0.228557968108,0.224193968728,152,9,12,15,531,493,6,31,46,1918,712,8,9,8,4466,17062,1401,2208,2406,68296
1998-05-13,1998-03-31,1998-08-14,0.560015616072,0.450052941286,0.436705231079,0.140239165366,0.755426857873,0.689857295601,0.673032960238,0.262304412605,9,12,15,531,14,6,31,46,1918,26,8,9,8,4466,10,1401,2208,2406,68296,1747
1998-08-14,1998-05-13,1998-11-12,0.787889385291,0.40930027168,0.12126851644,0.522405704614,0.927914977625,0.672544904852,0.232061493154,0.713021754375,12,15,531,14,17,31,46,1918,26,44,9,8,4466,10,12,2208,2406,68296,1747,2456
1998-11-12,1998-08-14,1999-03-26,0.829314792165,0.12896020727,0.48071020099,0.515507377142,0.947203149311,0.244609386477,0.701095786181,0.722377451997,15,531,14,17,21,46,1918,26,44,54,8,4466,10,12,12,2406,68296,1747,2456,2754
1999-03-26,1998-11-12,1999-05-12,0.764155208727,0.194250784795,0.172321613717,0.185703589134,0.883083428798,0.350399159593,0.315211802498,0.331173770425,531,14,17,21,234,1918,26,44,54,851,4466,10,12,12,1823,68296,1747,2456,2754,35090
1999-05-12,1999-03-26,1999-08-12,0.759465844562,0.429181370307,0.444573043383,0.237505362935,0.915420676421,0.664134609595,0.674952102651,0.418891241015,14,17,21,234,19,26,44,54,851,26,10,12,12,1823,13,1747,2456,2754,35090,2297
1999-08-12,1999-05-12,1999-11-09,0.81152801063,0.429150985258,0.194625613884,0.611539287322,0.929009910998,0.678474977053,0.350400002206,0.747225331175,17,21,234,19,22,44,54,851,26,46,12,12,1823,13,12,2456,2754,35090,2297,2936
1999-11-09,1999-08-12,2000-03-30,0.783227387134,0.193436649235,0.597375337106,0.591984663221,0.916747768501,0.349736906044,0.740218549866,0.745858991008,21,234,19,22,22,54,851,26,46,48,12,1823,13,12,14,2754,35090,2297,2936,2941
2000-03-30,1999-11-09,2000-05-15,0.256036459246,0.213379003075,0.187221453546,0.194398587199,0.502743679637,0.461524951517,0.407478818788,0.420161953859,234,19,22,22,366,851,26,46,48,1305,1823,13,12,14,1402,35090,2297,2936,2941,41976
2000-05-15,2000-03-30,2000-08-14,0.332715093039,0.252732733747,0.256426646128,0.3810544628,0.602130974492,0.494131951398,0.499387192054,0.710841080126,19,22,22,366,25,26,46,48,1305,142,13,12,14,1402,101,2297,2936,2941,41976,4443
2000-08-14,2000-05-15,2000-11-14,0.388503500455,0.308693552009,0.29863044217,0.694943080727,0.627340886562,0.564489239263,0.620374620894,0.882618925499,22,22,366,25,20,46,48,1305,142,126,12,14,1402,101,36,2936,2941,41976,4443,4630
2000-11-14,2000-08-14,2001-03-23,0.153719536565,0.225513711009,0.270937459412,0.25079113364,0.298850301034,0.45663141949,0.442772228113,0.390544479357,22,366,25,20,245,48,1305,142,126,643,14,1402,101,36,1817,2941,41976,4443,4630,29151
2001-03-23,2000-11-14,2001-05-15,0.385363115782,0.347463309989,0.307690434181,0.628966912363,0.681377126886,0.577365470783,0.502752251918,0.763454088264,366,25,20,245,539,1305,142,126,643,1449,1402,101,36,1817,2330,41976,4443,4630,29151,48366
2001-05-15,2001-03-23,2001-08-14,0.223297648486,0.190990144871,0.366909340987,0.390894067239,0.395389365232,0.332014436679,0.58184074989,0.618683060873,25,20,245,539,190,142,126,643,1449,833,101,36,1817,2330,1568,4443,4630,29151,48366,27528
2001-08-14,2001-05-15,2001-11-14,0.167384414868,0.342636767362,0.322928160048,0.285050880941,0.288971077047,0.524515897393,0.505377230291,0.453760172939,20,245,539,190,426,126,643,1449,833,1454,36,1817,2330,1568,2468,4630,29151,48366,27528,36458
2001-11-14,2001-08-14,2002-03-21,0.239786270562,0.317031236958,0.222868789704,0.163054388484,0.404182828914,0.51428949184,0.38316144416,0.27427780347,245,539,190,426,57,643,1449,833,1454,129,1817,2330,1568,2468,20,29151,48366,27528,36458,5154
2002-03-21,2001-11-14,2002-05-15,0.662455551281,0.369648995048,0.365333633115,0.263655698021,0.800539097924,0.56657831223,0.538952645457,0.431959781644,539,190,426,57,454,1449,833,1454,129,1182,2330,1568,2468,20,2695,48366,27528,36458,5154,54740
2002-05-15,2002-03-21,2002-08-14,0.224320416739,0.320901724791,0.377657749521,0.389434021742,0.412492961326,0.498703950959,0.628006069432,0.575885830898,190,426,57,454,60,833,1454,129,1182,136,1568,2468,20,2695,423,27528,36458,5154,54740,7207
2002-08-14,2002-05-15,2002-11-14,0.156820006946,0.59742412908,0.267775662609,0.507628907852,0.300377961248,0.807576488557,0.448508390521,0.746765340193,426,57,454,60,56,1454,129,1182,136,148,2468,20,2695,423,94,36458,5154,54740,7207,5193
2002-11-14,2002-08-14,2003-03-21,0.609648858617,0.249197062348,0.362285788542,0.682329847275,0.816993135319,0.414582913064,0.624198800731,0.826445163888,57,454,60,56,131,129,1182,136,148,290,20,2695,423,94,79,5154,54740,7207,5193,9206
2003-03-21,2002-11-14,2003-05-15,0.48042397976,0.334548389721,0.367499672922,0.357142564491,0.683076482754,0.576228166985,0.564376609219,0.540069345058,454,60,56,131,444,1182,136,148,290,1634,2695,423,94,79,2339,54740,7207,5193,9206,53236
2003-05-15,2003-03-21,2003-06-05,0.348808685991,0.596530696723,0.591080157743,0.373823430448,0.619016580075,0.806269946891,0.801444803263,0.541771892949,60,56,131,444,72,136,148,290,1634,158,423,94,79,2339,48,7207,5193,9206,53236,7752
2003-06-05,2003-05-15,2003-08-14,0.547902810883,0.589827247626,0.576726729993,0.602296446133,0.734493889711,0.781515543634,0.689241376533,0.753238365798,56,131,444,72,237,148,290,1634,158,669,94,79,2339,48,351,5193,9206,53236,7752,23403
2003-08-14,2003-06-05,2003-11-14,0.525699502531,0.314847944226,0.663515244424,0.520151806272,0.759280988744,0.477207629052,0.802156109599,0.690043820582,131,444,72,237,110,290,1634,158,669,200,79,2339,48,351,62,9206,53236,7752,23403,10276
2003-11-14,2003-08-14,2004-03-11,0.240884265184,0.186779239445,0.186350961594,0.183454430027,0.468083347357,0.367078296721,0.378037123039,0.354812944439,444,72,237,110,439,1634,158,669,200,1253,2339,48,351,62,2040,53236,7752,23403,10276,41643
2004-03-11,2003-11-14,2004-05-10,0.353908195061,0.493234838658,0.318100274393,0.262860771147,0.56069326041,0.70675416787,0.509947744807,0.512207210051,72,237,110,439,441,158,669,200,1253,1736,48,351,62,2040,2066,7752,23403,10276,41643,62080
2004-05-10,2004-03-11,2004-08-09,0.220435624357,0.189737992939,0.206682727448,0.43013955026,0.356920718749,0.320040859349,0.4034061845,0.604706892892,237,110,439,441,319,669,200,1253,1736,815,351,62,2040,2066,2240,23403,10276,41643,62080,41541
2004-08-09,2004-05-10,2004-11-09,0.273509904637,0.209490032841,0.433802539175,0.982446325362,0.399485764531,0.409700065701,0.612157415283,0.986035858529,110,439,441,319,333,200,1253,1736,815,875,62,2040,2066,2240,2286,10276,41643,62080,41541,42942
