filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-08-10,2001-05-14,2001-11-14,0.75690691759,0.725486885466,0.629400490795,0.857223290401,0.919179694,0.892940749892,0.794658797181,0.940008920601,115,114,307,126,145,296,294,716,393,447,118,115,252,146,184,6021,5927,16684,6357,7160
2001-11-14,2001-08-10,2002-04-01,0.792466179812,0.610084378577,0.831046675215,0.864869735144,0.929926921252,0.778296046377,0.927856278885,0.944292838389,114,307,126,145,139,294,716,393,447,435,115,252,146,184,207,5927,16684,6357,7160,7058
2002-04-01,2001-11-14,2002-05-14,0.27466393776,0.208962647507,0.205220154366,0.200566668483,0.633703059539,0.544327993486,0.541787531559,0.530987515043,307,126,145,139,439,716,393,447,435,1318,252,146,184,207,1105,16684,6357,7160,7058,28438
2002-05-14,2002-04-01,2002-08-14,0.87606715989,0.813690050872,0.809143506785,0.212077325858,0.965706338434,0.929947119803,0.926505634885,0.544648411563,126,145,139,439,135,393,447,435,1318,441,146,184,207,1105,187,6357,7160,7058,28438,6980
2002-08-14,2002-05-14,2002-11-08,0.847018008818,0.776852394452,0.202197379192,0.857055146233,0.957658588,0.914528706874,0.535528736811,0.935172943277,145,139,439,135,140,447,435,1318,441,467,184,207,1105,187,207,7160,7058,28438,6980,7694
2002-11-08,2002-08-14,2003-03-28,0.832160118121,0.195513793376,0.819603549036,0.848606338372,0.935839512094,0.524184518418,0.912191445594,0.923719679534,139,439,135,140,144,435,1318,441,467,478,207,1105,187,207,206,7058,28438,6980,7694,8051
2003-03-28,2002-11-08,2003-05-09,0.244456181092,0.604134711586,0.605275254023,0.608034842166,0.601609539062,0.770085664044,0.775105853046,0.767455808057,439,135,140,144,355,1318,441,467,478,1017,1105,187,207,206,464,28438,6980,7694,8051,22982
2003-05-09,2003-03-28,2003-05-15,0.597357941237,0.599241036333,0.600517939476,0.982782874797,0.760998678565,0.767370532712,0.759248129858,0.989598897826,135,140,144,355,362,441,467,478,1017,1087,187,207,206,464,524,6980,7694,8051,22982,23841
2003-05-15,2003-05-09,2003-05-30,0.634644464473,0.653337824616,0.764561544536,0.779328229597,0.811943594735,0.81749653056,0.866925743868,0.865398864078,140,144,355,362,154,467,478,1017,1087,768,207,206,464,524,421,7694,8051,22982,23841,10994
2003-05-30,2003-05-15,2003-08-14,0.599656521097,0.973090442567,0.985549319265,0.775462297778,0.758226339335,0.983918697587,0.994752080324,0.86466336224,144,355,362,154,357,478,1017,1087,768,1079,206,464,524,421,535,8051,22982,23841,10994,24202
2003-08-14,2003-05-30,2003-11-14,0.574465725513,0.590148056615,0.641422249496,0.589904969433,0.7749774435,0.776370160018,0.805141908613,0.777327259062,355,362,154,357,146,1017,1087,768,1079,570,464,524,421,535,287,22982,23841,10994,24202,10771
2003-11-14,2003-08-14,2004-03-12,0.548281014596,0.58151726173,0.547088659439,0.715735844086,0.764480199957,0.795801154087,0.763268120328,0.883096073072,362,154,357,146,144,1087,768,1079,570,631,524,421,535,287,337,23841,10994,24202,10771,11314
2004-03-12,2003-11-14,2004-05-07,0.5389112719,0.740587710389,0.592740117434,0.628600298696,0.754971953932,0.903410532855,0.797604344427,0.814445949464,154,357,146,144,324,768,1079,570,631,849,421,535,287,337,386,10994,24202,10771,11314,22401
2004-05-07,2004-03-12,2004-08-06,0.518181476301,0.590302182898,0.603930791282,0.621472197988,0.717553767392,0.813824190455,0.821245945295,0.796317197839,357,146,144,324,93,1079,570,631,849,411,535,287,337,386,168,24202,10771,11314,22401,8366
2004-08-06,2004-05-07,2004-11-08,0.711816013027,0.575258796193,0.559159856794,0.733083493897,0.891769864136,0.808334274877,0.746742729897,0.866225614581,146,144,324,93,103,570,631,849,411,432,287,337,386,168,187,10771,11314,22401,8366,8943
2004-11-08,2004-08-06,2005-03-16,0.717537769278,0.519278871761,0.678146526631,0.717736918276,0.88808085558,0.721995641708,0.846997047222,0.869206093876,144,324,93,103,99,631,849,411,432,397,337,386,168,187,179,11314,22401,8366,8943,9083
2005-03-16,2004-11-08,2005-05-10,0.852054864578,0.59154495633,0.561508223419,0.525734696591,0.959073525387,0.785121283051,0.748597856577,0.724049359591,324,93,103,99,338,849,411,432,397,894,386,168,187,179,511,22401,8366,8943,9083,23589
2005-05-10,2005-03-16,2005-08-08,0.819435674935,0.665539309891,0.63775560178,0.631059411582,0.948508680824,0.832048987979,0.817608478262,0.798423170156,93,103,99,338,101,411,432,397,894,395,168,187,179,511,180,8366,8943,9083,23589,8742
2005-08-08,2005-05-10,2005-11-09,0.828177469137,0.612737310031,0.565751447162,0.724262501971,0.945639616971,0.822209382714,0.752314882626,0.856635950621,103,99,338,101,109,432,397,894,395,395,187,179,511,180,182,8943,9083,23589,8742,9484
