filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-02-14,1996-12-17,1997-05-12,0.295898675458,0.292160978232,0.347822281211,0.379641667152,0.558652049911,0.55543035055,0.588789495689,0.662805178858,23,23,31,116,48,9,15,10,112,76,37,37,37,132,199,2127,2237,2276,10926,4655
1997-05-12,1997-02-14,1997-08-14,0.517415056358,0.526547381228,0.425402752337,0.43460614084,0.832836765132,0.812917020528,0.6685076996,0.591077223087,23,31,116,48,30,15,10,112,76,14,37,37,132,199,34,2237,2276,10926,4655,2468
1997-08-14,1997-05-12,1997-12-12,0.200975631634,0.291208191096,0.865470642825,0.235471546721,0.371107095982,0.530480630746,0.913825522608,0.350386857923,31,116,48,30,106,10,112,76,14,248,37,132,199,34,660,2276,10926,4655,2468,12847
1997-12-12,1997-08-14,1998-02-10,0.526755520515,0.376293027202,0.330576633657,0.343304069924,0.80502584497,0.655694341681,0.591573643193,0.568133783422,116,48,30,106,275,112,76,14,248,547,132,199,34,660,879,10926,4655,2468,12847,22151
1998-02-10,1997-12-12,1998-05-08,0.241955080959,0.25083814041,0.179248881726,0.545730210255,0.488708852316,0.514755512317,0.362781423218,0.667092676403,48,30,106,275,42,76,14,248,547,164,199,34,660,879,258,4655,2468,12847,22151,4550
1998-05-08,1998-02-10,1998-05-15,0.238491245682,0.9531043289,0.333892564602,0.182259244671,0.369796501388,0.983423580472,0.564976293596,0.364731898901,30,106,275,42,94,14,248,547,164,246,34,660,879,258,671,2468,12847,22151,4550,12303
1998-05-15,1998-05-08,1998-08-14,0.0825972299586,0.10826196237,0.0640988850749,0.0861504991552,0.187530250082,0.248229419831,0.187621597467,0.194648174664,106,275,42,94,2,248,547,164,246,0,660,879,258,671,5,12847,22151,4550,12303,246
1998-08-14,1998-05-15,1998-12-24,0.316656552538,0.264108735441,0.249328220098,0.132414680277,0.610316660813,0.52766707272,0.393047729045,0.265872343225,275,42,94,2,32,547,164,246,0,18,879,258,671,5,38,22151,4550,12303,246,2767
1998-12-24,1998-08-14,1999-02-12,0.170104773119,0.334869171898,0.0980765161064,0.222124524169,0.348068731027,0.48999218079,0.211731327793,0.398120474914,42,94,2,32,427,164,246,0,18,1442,258,671,5,38,2003,4550,12303,246,2767,41326
1999-02-12,1998-12-24,1999-05-17,0.242374542901,0.200607877095,0.629207343454,0.268956764948,0.435396946874,0.303393372041,0.855788472082,0.456781731513,94,2,32,427,22,246,0,18,1442,23,671,5,38,2003,37,12303,246,2767,41326,2983
1999-05-17,1999-02-12,1999-08-12,0.135784394697,0.622562907833,0.256152401083,0.72723222139,0.269943074846,0.845911876269,0.446060215475,0.88134610334,2,32,427,22,29,0,18,1442,23,26,5,38,2003,37,51,246,2767,41326,2983,3676
1999-08-12,1999-05-17,1999-12-22,0.65616209587,0.276745733819,0.669705382451,0.697380577253,0.858280060622,0.482200348524,0.866889953741,0.856630154777,32,427,22,29,40,18,1442,23,26,29,38,2003,37,51,63,2767,41326,2983,3676,4145
1999-12-22,1999-08-12,2000-02-08,0.647567734031,0.328612552297,0.324780016129,0.378736658819,0.753538955394,0.552227995864,0.54311950176,0.612773538032,427,22,29,40,332,1442,23,26,29,710,2003,37,51,63,1374,41326,2983,3676,4145,32943
2000-02-08,1999-12-22,2000-05-12,0.617537706533,0.530487513613,0.551132986275,0.350356127089,0.887897997549,0.816903494859,0.823642068981,0.560470202671,22,29,40,332,32,23,26,29,710,43,37,51,63,1374,30,2983,3676,4145,32943,3361
2000-05-12,2000-02-08,2000-08-14,0.453971995184,0.401325264908,0.54404298362,0.47695130311,0.679583276888,0.648536240348,0.741184510115,0.665978832437,29,40,332,32,104,26,29,710,43,250,51,63,1374,30,386,3676,4145,32943,3361,9296
2000-08-14,2000-05-12,2000-12-29,0.472767416543,0.551302112281,0.49236652786,0.824106822458,0.696633900094,0.727862011308,0.679024003343,0.935142484405,40,332,32,104,92,29,710,43,250,224,63,1374,30,386,298,4145,32943,3361,9296,8171
2000-12-29,2000-08-14,2001-02-14,0.728708648383,0.39029910248,0.711771642611,0.744564279549,0.877307507505,0.608814285627,0.862346216921,0.861070216568,332,32,104,92,312,710,43,250,224,805,1374,30,386,298,1403,32943,3361,9296,8171,32054
2001-02-14,2000-12-29,2001-04-16,0.683513741911,0.431989153367,0.487514421449,0.440279419606,0.896100806277,0.666605411479,0.701731301582,0.640213074669,32,104,92,312,57,43,250,224,805,84,30,386,298,1403,42,3361,9296,8171,32054,4125
2001-04-16,2001-02-14,2001-05-15,0.42626715295,0.478769028862,0.442412555631,0.931813568321,0.661446741951,0.697022879831,0.642653196217,0.978776399439,104,92,312,57,63,250,224,805,84,100,386,298,1403,42,53,9296,8171,32054,4125,4949
2001-05-15,2001-04-16,2001-08-13,0.414917473927,0.376133107382,0.596163866997,0.622979736603,0.650900044793,0.587001504235,0.803775356198,0.825341688759,92,312,57,63,79,224,805,84,100,212,298,1403,42,53,60,8171,32054,4125,4949,5976
2001-08-13,2001-05-15,2001-12-28,0.361166480414,0.567635303033,0.586147160108,0.679278674239,0.553102708369,0.773954163521,0.793882143235,0.832795033069,312,57,63,79,104,805,84,100,212,229,1403,42,53,60,59,32054,4125,4949,5976,5928
2001-12-28,2001-08-13,2002-02-13,0.310699051769,0.319675749233,0.300877495486,0.297906243183,0.563144092937,0.569076233882,0.544976916369,0.518792038472,57,63,79,104,377,84,100,212,229,1033,42,53,60,59,1954,4125,4949,5976,5928,38418
2002-02-13,2001-12-28,2002-05-14,0.536709159514,0.471599507915,0.471304118284,0.408984186499,0.760132472433,0.695520198484,0.675330089947,0.640861046861,63,79,104,377,127,100,212,229,1033,374,53,60,59,1954,315,4949,5976,5928,38418,9715
2002-05-14,2002-02-13,2002-08-09,0.662922791934,0.529802381728,0.27816771889,0.522342809611,0.847126915952,0.729637197338,0.486807285917,0.631742567768,79,104,377,127,109,212,229,1033,374,277,60,59,1954,315,68,5976,5928,38418,9715,6883
2002-08-09,2002-05-14,2002-12-27,0.742483951525,0.29204701098,0.516358697663,0.724803892428,0.88513370429,0.510660249777,0.649922438735,0.844057946472,104,377,127,109,124,229,1033,374,277,300,59,1954,315,68,76,5928,38418,9715,6883,7489
2002-12-27,2002-08-09,2003-03-31,0.530212749579,0.569374275421,0.282931711298,0.305773129038,0.758734703706,0.727715215241,0.424020357897,0.457116419371,377,127,109,124,559,1033,374,277,300,1659,1954,315,68,76,2743,38418,9715,6883,7489,54363
2003-03-31,2002-12-27,2003-04-01,0.654891573322,0.486126344121,0.512021734736,0.579558725685,0.816754625018,0.66582310136,0.689806873926,0.738572862951,127,109,124,559,338,374,277,300,1659,972,315,68,76,2743,483,9715,6883,7489,54363,28139
2003-04-01,2003-03-31,2003-05-15,0.0901407208252,0.105005296919,0.231599156834,0.255839456284,0.183283841636,0.209291682883,0.409141543497,0.394226529471,109,124,559,338,5,277,300,1659,972,31,68,76,2743,483,66,6883,7489,54363,28139,1431
2003-05-15,2003-04-01,2003-08-14,0.479482009053,0.342510550896,0.486089286191,0.266181546081,0.705176911539,0.533385928874,0.706642163921,0.431446689051,124,559,338,5,74,300,1659,972,31,255,76,2743,483,66,172,7489,54363,28139,1431,7272
2003-08-14,2003-05-15,2003-11-14,0.433812703139,0.45606226652,0.193728942704,0.601691417853,0.648073175615,0.713589374423,0.403460593655,0.784197279521,559,338,5,74,99,1659,972,31,255,290,2743,483,66,172,369,54363,28139,1431,7272,10352
2003-11-14,2003-08-14,2004-03-12,0.522905548649,0.199326459987,0.617467878975,0.606853104788,0.734677290717,0.372902553018,0.829337620547,0.799269729895,338,5,74,99,83,972,31,255,290,217,483,66,172,369,110,28139,1431,7272,10352,7208
2004-03-12,2003-11-14,2004-05-04,0.217142155269,0.501784189591,0.442550785869,0.601579593144,0.3370092663,0.748181459268,0.686761277503,0.797378538692,5,74,99,83,197,31,255,290,217,518,66,172,369,110,195,1431,7272,10352,7208,16024
2004-05-04,2004-03-12,2004-08-03,0.406857704392,0.41534315675,0.383315673106,0.339809997523,0.653231392114,0.659084727115,0.609762609842,0.550644372168,74,99,83,197,128,255,290,217,518,414,172,369,110,195,722,7272,10352,7208,16024,12641
2004-08-03,2004-05-04,2004-11-08,0.515425404184,0.620086763971,0.525595915549,0.421807335039,0.792116470872,0.848652555743,0.75589835532,0.633436626353,99,83,197,128,113,290,217,518,414,200,369,110,195,722,97,10352,7208,16024,12641,7996
2004-11-08,2004-08-03,2005-03-16,0.281436160339,0.240743188853,0.378289479294,0.295466989047,0.506507800129,0.45591717824,0.599226442235,0.503276276905,83,197,128,113,236,217,518,414,200,722,110,195,722,97,1349,7208,16024,12641,7996,25610
2005-03-16,2004-11-08,2005-05-10,0.709306000165,0.383634901643,0.482943096693,0.274432314398,0.837206975552,0.629405342309,0.721403792391,0.489989147691,197,128,113,236,260,518,414,200,722,723,195,722,97,1349,471,16024,12641,7996,25610,25616
2005-05-10,2005-03-16,2005-08-09,0.469711830104,0.536830545718,0.342591645926,0.49743782158,0.712820439038,0.792959477693,0.570768100716,0.770895106189,128,113,236,260,141,414,200,722,723,335,722,97,1349,471,290,12641,7996,25610,25616,10994
2005-08-09,2005-05-10,2005-11-09,0.660534966471,0.263208623201,0.496676265669,0.617476245996,0.889717985687,0.485890126254,0.744793659561,0.820533634912,113,236,260,141,111,200,722,723,335,288,97,1349,471,290,149,7996,25610,25616,10994,9956
2005-11-09,2005-08-09,2006-03-13,0.29891830652,0.505154114639,0.593316053184,0.762313450828,0.530688783488,0.781706487302,0.833946757395,0.885033874294,236,260,141,111,150,722,723,335,288,390,1349,471,290,149,257,25610,25616,10994,9956,12766
2006-03-13,2005-11-09,2006-05-03,0.746619968179,0.52183079823,0.655839222331,0.658496690124,0.89514145271,0.776102454978,0.837345977497,0.844522014606,260,141,111,150,243,723,335,288,390,556,471,290,149,257,294,25616,10994,9956,12766,20660
2006-05-03,2006-03-13,2006-08-01,0.6038094884,0.644727239606,0.65560475205,0.64600192826,0.852870541901,0.842987270942,0.858569532292,0.832795357531,141,111,150,243,112,335,288,390,556,267,290,149,257,294,147,10994,9956,12766,20660,9645
2006-08-01,2006-05-03,2006-10-31,0.710428229724,0.641332219825,0.617658242737,0.818984725694,0.892169822656,0.851610822585,0.80843983236,0.917309829437,111,150,243,112,118,288,390,556,267,293,149,257,294,147,154,9956,12766,20660,9645,10864
