filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2000-08-10,2000-05-12,2000-11-09,0.665434418695,0.552868885441,0.111615495433,0.707439263146,0.893024281125,0.804624636122,0.292818891178,0.858184257594,43,44,446,37,57,116,118,1238,89,92,26,23,1369,21,43,3501,3526,31331,3046,3831
2000-11-09,2000-08-10,2001-03-27,0.672512773603,0.108566831418,0.729210050501,0.758364563013,0.880154138919,0.281960666511,0.869166830588,0.876551147588,44,446,37,57,44,118,1238,89,92,84,23,1369,21,43,20,3526,31331,3046,3831,3249
2001-03-27,2000-11-09,2001-05-08,0.967576600406,0.122176483487,0.134406826928,0.120130057052,0.952403265455,0.295461883887,0.324533019905,0.294574917749,446,37,57,44,462,1238,89,92,84,1328,1369,21,43,20,1844,31331,3046,3831,3249,36334
2001-05-08,2001-03-27,2001-08-06,0.764752893492,0.598890141347,0.639715037365,0.126666664827,0.928234447347,0.813069765023,0.826598814124,0.29675543941,37,57,44,462,36,89,92,84,1328,56,21,43,20,1844,19,3046,3831,3249,36334,2880
2001-08-06,2001-05-08,2001-11-01,0.649868125403,0.559404830201,0.117642253027,0.676399019881,0.871766510095,0.788575003027,0.289364055534,0.821830255795,57,44,462,36,47,92,84,1328,56,138,43,20,1844,19,32,3831,3249,36334,2880,4162
2001-11-01,2001-08-06,2002-04-01,0.708272977849,0.120702696402,0.683906995297,0.708623336972,0.898410283873,0.29769846944,0.826615462367,0.862952492801,44,462,36,47,44,84,1328,56,138,121,20,1844,19,32,40,3249,36334,2880,4162,3954
2002-04-01,2001-11-01,2002-05-15,0.269810018611,0.429832527174,0.43749985749,0.425809708503,0.518741862002,0.655956866893,0.645987475944,0.654409536607,462,36,47,44,287,1328,56,138,121,720,1844,19,32,40,485,36334,2880,4162,3954,20726
2002-05-15,2002-04-01,2002-08-14,0.731213374406,0.607294445303,0.615407602334,0.47752870778,0.907100100883,0.820962218283,0.819072339467,0.679818059057,36,47,44,287,72,56,138,121,720,201,19,32,40,485,68,2880,4162,3954,20726,5170
2002-08-14,2002-05-15,2002-11-07,0.649583861607,0.52269183966,0.417924486064,0.656781703862,0.850030025921,0.747414882132,0.625804057908,0.768554426005,47,44,287,72,71,138,121,720,201,259,32,40,485,68,103,4162,3954,20726,5170,5428
2002-11-07,2002-08-14,2003-03-11,0.621224623831,0.419169006256,0.5409122864,0.60008519898,0.83515457004,0.646199788414,0.718671050667,0.773389307387,44,287,72,71,113,121,720,201,259,438,40,485,68,103,176,3954,20726,5170,5428,9232
