filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-15,1995-03-27,0.386724746159,0.0807124365516,0.802370624603,0.853493198151,0.560729608077,0.153108258384,0.923179928758,0.933839499029,499,3,124,135,136,1163,0,215,249,229,2442,11,86,104,92,54532,288,10421,12063,11604
1995-03-27,1994-11-14,1995-05-15,0.119848388485,0.690531996526,0.698441316811,0.707853092974,0.216267453576,0.861040431522,0.842273548816,0.849884233407,3,124,135,136,344,0,215,249,229,585,11,86,104,92,477,288,10421,12063,11604,31925
1995-05-15,1995-03-27,1995-06-26,0.77669160643,0.732501675462,0.756354367023,0.722343038792,0.939260210989,0.877673056998,0.897709164537,0.866343300465,124,135,136,344,134,215,249,229,585,243,86,104,92,477,114,10421,12063,11604,31925,11291
1995-06-26,1995-05-15,1995-08-14,0.0948622303784,0.0902195226927,0.138434320812,0.104831381117,0.173369803864,0.164098466829,0.235851365832,0.190489001381,135,136,344,134,3,249,229,585,243,0,104,92,477,114,11,12063,11604,31925,11291,297
1995-08-14,1995-06-26,1995-11-14,0.745833382526,0.693107054596,0.798846998552,0.0883303715593,0.893761919251,0.847248022422,0.898249979256,0.162403293685,136,344,134,3,157,229,585,243,0,224,92,477,114,11,110,11604,31925,11291,297,12305
1995-11-14,1995-08-14,1996-03-20,0.689456282585,0.777565955409,0.0893361834441,0.83389600372,0.85643120885,0.89961703647,0.164892138004,0.919120571629,344,134,3,157,181,585,243,0,224,288,477,114,11,110,125,31925,11291,297,12305,13669
1996-03-20,1995-11-14,1996-05-15,0.615545541645,0.162138040316,0.607713864922,0.641152775037,0.792471480625,0.276726699202,0.777116706368,0.80428218652,134,3,157,181,523,243,0,224,288,969,114,11,110,125,1159,11291,297,12305,13669,39229
1996-05-15,1996-03-20,1996-08-14,0.0824012794731,0.717774255135,0.733430871626,0.588112434295,0.156594516592,0.865478987636,0.886969210069,0.767211214042,3,157,181,523,127,0,224,288,969,293,11,110,125,1159,132,297,12305,13669,39229,10906
1996-08-14,1996-05-15,1996-11-14,0.804896417617,0.715673538821,0.561430465409,0.8094495905,0.936577945399,0.874035061639,0.735203718569,0.894825182457,157,181,523,127,121,224,288,969,293,285,110,125,1159,132,118,12305,13669,39229,10906,11593
1996-11-14,1996-08-14,1997-03-25,0.776663669679,0.576384252261,0.81999914995,0.854496459509,0.929532571801,0.756712501314,0.917763727084,0.923451352785,181,523,127,121,126,288,969,293,285,268,125,1159,132,118,112,13669,39229,10906,11593,11357
1997-03-25,1996-11-14,1997-05-15,0.756766315918,0.636205211947,0.612846839326,0.640212563036,0.904837557709,0.795862332076,0.762204596707,0.790393991071,523,127,121,126,385,969,293,285,268,720,1159,132,118,112,1044,39229,10906,11593,11357,37615
1997-05-15,1997-03-25,1997-08-14,0.820076185892,0.742688861767,0.785390148765,0.647363412257,0.955618221045,0.877224777933,0.907744733668,0.790947023385,127,121,126,385,142,293,285,268,720,210,132,118,112,1044,114,10906,11593,11357,37615,10503
1997-08-14,1997-05-15,1997-11-14,0.83938244013,0.763932686793,0.617639170867,0.820251335933,0.961146605647,0.903070768405,0.766005077809,0.901738831494,121,126,385,142,157,285,268,720,210,208,118,112,1044,114,122,11593,11357,37615,10503,11545
1997-11-14,1997-08-14,1998-03-30,0.754779235889,0.563020908622,0.754573037211,0.790163150587,0.882563697091,0.691029912773,0.842246237999,0.862503823647,126,385,142,157,154,268,720,210,208,215,112,1044,114,122,109,11357,37615,10503,11545,11215
1998-03-30,1997-11-14,1998-05-15,0.673232096593,0.400866846247,0.389319812156,0.432189277944,0.774988551578,0.554632918005,0.540037036383,0.59207376048,385,142,157,154,565,720,210,208,215,1446,1044,114,122,109,2448,37615,10503,11545,11215,55831
1998-05-15,1998-03-30,1998-08-14,0.641260028656,0.589297486429,0.692533641771,0.415675949012,0.812969613705,0.764919189529,0.884205628707,0.600168675878,142,157,154,565,111,210,208,215,1446,144,114,122,109,2448,68,10503,11545,11215,55831,8330
1998-08-14,1998-05-15,1998-11-16,0.702641696507,0.695081742304,0.409715176933,0.778881230839,0.84704523947,0.873836968407,0.580471908223,0.90089719319,157,154,565,111,122,208,215,1446,144,153,122,109,2448,68,74,11545,11215,55831,8330,9774
1998-11-16,1998-08-14,1999-03-11,0.73882528304,0.419630837342,0.76220660651,0.814959282726,0.923351334603,0.596046575806,0.913389101633,0.920112423922,154,565,111,122,121,215,1446,144,153,189,109,2448,68,74,77,11215,55831,8330,9774,10651
1999-03-11,1998-11-16,1999-05-17,0.616479692588,0.624839175871,0.624614733233,0.660306593644,0.748366639254,0.801752465167,0.776247721544,0.809925106132,565,111,122,121,354,1446,144,153,189,621,2448,68,74,77,379,55831,8330,9774,10651,30724
1999-05-17,1999-03-11,1999-06-29,0.727121801988,0.703854755987,0.727774803057,0.669872538176,0.925349649213,0.875280374504,0.894111711926,0.810074755313,111,122,121,354,149,144,153,189,621,141,68,74,77,379,72,8330,9774,10651,30724,9047
