filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1995-03-28,0.369557027947,0.775122829212,0.11283210429,0.82440211322,0.52921874975,0.902409385789,0.177561998832,0.911715321965,789,74,7,105,116,1639,103,1,118,132,2757,44,18,62,70,60900,6489,316,7796,8975
1995-03-28,1994-11-14,1995-05-15,0.462298981823,0.101063651283,0.46448187725,0.486272689496,0.646015317252,0.177226080996,0.645685118509,0.673044899514,74,7,105,116,400,103,1,118,132,832,44,18,62,70,1664,6489,316,7796,8975,37782
1995-05-15,1995-03-28,1995-08-14,0.122201962834,0.712864034583,0.700017755121,0.480703647372,0.182068008959,0.879767960734,0.874028395732,0.656288146389,7,105,116,400,109,1,118,132,832,183,18,62,70,1664,84,316,7796,8975,37782,8541
1995-08-14,1995-05-15,1995-11-14,0.757504716124,0.675492408293,0.488059437293,0.849030623959,0.9343124484,0.86940010248,0.671612888134,0.929802633966,105,116,400,109,128,118,132,832,183,206,62,70,1664,84,134,7796,8975,37782,8541,9731
1995-11-14,1995-08-14,1996-03-28,0.57964861013,0.558841329502,0.653492440413,0.673972808912,0.80467170631,0.781618059062,0.808234981459,0.827933014953,116,400,109,128,245,132,832,183,206,379,70,1664,84,134,365,8975,37782,8541,9731,14506
1996-03-28,1995-11-14,1996-05-14,0.762268333439,0.423256739483,0.434544248497,0.544413586478,0.90590716577,0.583657763044,0.597107430242,0.746788688312,400,109,128,245,673,832,183,206,379,1079,1664,84,134,365,2301,37782,8541,9731,14506,46767
1996-05-14,1996-03-28,1996-08-14,0.714627728784,0.66847126557,0.632229090072,0.512831180673,0.861706931031,0.832456146774,0.820329684466,0.668263978444,109,128,245,673,147,183,206,379,1079,274,84,134,365,2301,281,8541,9731,14506,46767,11577
1996-08-14,1996-05-14,1996-11-13,0.770019489944,0.611431628438,0.511052988753,0.740709722745,0.930092237521,0.815115238641,0.66908485505,0.845861183932,128,245,673,147,149,206,379,1079,274,234,134,365,2301,281,228,9731,14506,46767,11577,11266
1996-11-13,1996-08-14,1997-03-28,0.608787572253,0.392965348926,0.741794752929,0.780964841881,0.798434605195,0.544028036987,0.868491336032,0.878891233415,245,673,147,149,151,379,1079,274,234,192,365,2301,281,228,100,14506,46767,11577,11266,10425
1997-03-28,1996-11-13,1997-05-15,0.775966010758,0.4641133049,0.430730810422,0.30731049662,0.898206930482,0.581557483007,0.544721493429,0.42710827897,673,147,149,151,1470,1079,274,234,192,2312,2301,281,228,100,4997,46767,11577,11266,10425,88115
1997-05-15,1997-03-28,1997-08-14,0.731315499233,0.674926638844,0.742636974648,0.339873748703,0.909186002276,0.836946974778,0.898933665841,0.466435177956,147,149,151,1470,131,274,234,192,2312,192,281,228,100,4997,130,11577,11266,10425,88115,10041
1997-08-14,1997-05-15,1997-11-14,0.535607111265,0.518488536427,0.612717206079,0.60742929289,0.685760028944,0.691964830277,0.730494437086,0.749004505359,149,151,1470,131,285,234,192,2312,192,538,228,100,4997,130,613,11266,10425,88115,10041,19700
1997-11-14,1997-08-14,1998-03-27,0.676166378026,0.277229964034,0.67897440186,0.488674326711,0.84008932213,0.411000220454,0.828277282511,0.644317241482,151,1470,131,285,59,192,2312,192,538,94,100,4997,130,613,54,10425,88115,10041,19700,4312
1998-03-27,1997-11-14,1998-05-15,0.737925080122,0.518044774902,0.643680379573,0.437605024961,0.838689369344,0.677207380763,0.796768328773,0.606569998011,1470,131,285,59,582,2312,192,538,94,998,4997,130,613,54,1667,88115,10041,19700,4312,44231
1998-05-15,1998-03-27,1998-08-13,0.77094609638,0.539620928157,0.65116856921,0.521946186748,0.938802240746,0.716056962347,0.813311605739,0.660150583246,131,285,59,582,145,192,538,94,998,209,130,613,54,1667,82,10041,19700,4312,44231,11673
1998-08-13,1998-05-15,1998-11-13,0.592718201609,0.557599349597,0.709667652801,0.742374194545,0.774596471677,0.741084502154,0.830609629488,0.833981395234,285,59,582,145,197,538,94,998,209,365,613,54,1667,82,328,19700,4312,44231,11673,17709
1998-11-13,1998-08-13,1999-03-29,0.635264016341,0.607311310515,0.791601352908,0.754270837147,0.815688935562,0.766111589864,0.894962016621,0.871183109302,59,582,145,197,204,94,998,209,365,316,54,1667,82,328,329,4312,44231,11673,17709,16505
1999-03-29,1998-11-13,1999-05-17,0.788951192593,0.446430312227,0.566226148294,0.583679745012,0.901934375868,0.587614716504,0.717924231173,0.725248811413,582,145,197,204,731,998,209,365,316,1065,1667,82,328,329,2177,44231,11673,17709,16505,47974
1999-05-17,1999-03-29,1999-08-12,0.800447324887,0.716854434686,0.756343856927,0.558140184558,0.938490082807,0.862978554141,0.903725298906,0.7007026117,145,197,204,731,200,209,365,316,1065,279,82,328,329,2177,247,11673,17709,16505,47974,14835
1999-08-12,1999-05-17,1999-08-16,0.744890613836,0.753640077607,0.501123439725,0.843017534101,0.880617312331,0.894600309891,0.638306433277,0.926094797363,197,204,731,200,227,365,316,1065,279,258,328,329,2177,247,156,17709,16505,47974,14835,14074
1999-08-16,1999-08-12,1999-11-12,0.339465337721,0.208090769986,0.360621474488,0.439187600202,0.479234021724,0.317420047353,0.49494178719,0.555350426964,204,731,200,227,4,316,1065,279,258,33,329,2177,247,156,7,16505,47974,14835,14074,858
1999-11-12,1999-08-16,2000-03-22,0.695995061215,0.711038786657,0.703930804029,0.299358629964,0.833080761735,0.853626721766,0.825582930975,0.437328232767,731,200,227,4,345,1065,279,258,33,510,2177,247,156,7,598,47974,14835,14074,858,20658
2000-03-22,1999-11-12,2000-05-12,0.708856642646,0.681116900331,0.322853765351,0.636241940267,0.873794614932,0.849135840665,0.469440226835,0.824941208367,200,227,4,345,467,279,258,33,510,703,247,156,7,598,902,14835,14074,858,20658,31035
2000-05-12,2000-03-22,2000-08-14,0.693538487555,0.319869055743,0.611286816385,0.699761484739,0.853669512774,0.463774376025,0.796821455391,0.850022155887,227,4,345,467,254,258,33,510,703,448,156,7,598,902,354,14074,858,20658,31035,18788
2000-08-14,2000-05-12,2000-11-13,0.393295200349,0.663817693859,0.722526629246,0.791102134259,0.5394527576,0.841754974617,0.867512911789,0.880630030829,4,345,467,254,246,33,510,703,448,381,7,598,902,354,254,858,20658,31035,18788,16926
2000-11-13,2000-08-14,2001-03-22,0.625839763934,0.699382926382,0.755226976431,0.872581148467,0.805038578485,0.84948583052,0.857766862891,0.937310181119,345,467,254,246,217,510,703,448,381,329,598,902,354,254,115,20658,31035,18788,16926,14751
2001-03-22,2000-11-13,2001-05-14,0.811090659586,0.710916587508,0.620029760997,0.590578897962,0.904432424278,0.835547081438,0.764520858111,0.727243547077,467,254,246,217,907,703,448,381,329,1511,902,354,254,115,1772,31035,18788,16926,14751,53197
2001-05-14,2001-03-22,2001-08-13,0.845910175952,0.630184925681,0.589680330406,0.726167891773,0.932389633186,0.777643234164,0.728075081152,0.845406385269,254,246,217,907,214,448,381,329,1511,545,354,254,115,1772,597,18788,16926,14751,53197,20501
2001-08-13,2001-05-14,2001-11-14,0.786000273836,0.788994014214,0.557621591038,0.635292260044,0.923790845254,0.918204056933,0.713514345642,0.743896224173,246,217,907,214,195,381,329,1511,545,376,254,115,1772,597,146,16926,14751,53197,20501,14180
2001-11-14,2001-08-13,2002-03-28,0.806779611505,0.537274858262,0.618216180851,0.902607903239,0.929605292875,0.690487194647,0.734050924778,0.953283553246,217,907,214,195,211,329,1511,545,376,429,115,1772,597,146,149,14751,53197,20501,14180,15749
2002-03-28,2001-11-14,2002-05-14,0.782961115318,0.756778773374,0.69872186889,0.693400329728,0.876079299655,0.867741049967,0.838516185018,0.8268131812,907,214,195,211,462,1511,545,376,429,910,1772,597,146,149,857,53197,20501,14180,15749,34599
2002-05-14,2002-03-28,2002-08-13,0.607154883201,0.789122142166,0.788678894478,0.718212110725,0.751029622031,0.91759524734,0.913637621445,0.848477172622,214,195,211,462,178,545,376,429,910,340,597,146,149,857,168,20501,14180,15749,34599,13761
2002-08-13,2002-05-14,2002-11-13,0.547854991455,0.51385396511,0.597213974047,0.564815918205,0.71522945808,0.67978900432,0.773925170344,0.704140139565,195,211,462,178,441,376,429,910,340,1230,146,149,857,168,1187,14180,15749,34599,13761,34823
2002-11-13,2002-08-13,2003-03-21,0.738155992855,0.664800663038,0.758966635286,0.650682852581,0.879632832348,0.823163159646,0.870009503293,0.807096973731,211,462,178,441,253,429,910,340,1230,693,149,857,168,1187,526,15749,34599,13761,34823,22516
2003-03-21,2002-11-13,2003-05-14,0.70132965148,0.463545862356,0.573463290806,0.53259481338,0.807163154712,0.60338420782,0.739242283894,0.667442313948,462,178,441,253,750,910,340,1230,693,1596,857,168,1187,526,2273,34599,13761,34823,22516,56249
2003-05-14,2003-03-21,2003-08-12,0.637884393175,0.683553150431,0.639072672685,0.680750609875,0.795333745975,0.82843662236,0.797668466485,0.811833691846,178,441,253,750,262,340,1230,693,1596,716,168,1187,526,2273,649,13761,34823,22516,56249,24124
2003-08-12,2003-05-14,2003-11-13,0.553490544493,0.697046119568,0.475715074946,0.69000301434,0.727153761049,0.850441528959,0.616049434666,0.806588564798,441,253,750,262,194,1230,693,1596,716,387,1187,526,2273,649,166,34823,22516,56249,24124,17203
