filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-16,1994-11-14,1995-02-14,0.146326303603,0.16261281337,0.09268607196,0.13863496626,0.358925129391,0.370139216603,0.22980109177,0.353653111711,14,14,279,18,4,6,3,505,4,1,26,8,751,30,13,1740,1239,17895,1715,335
1995-02-14,1994-12-16,1995-02-15,0.202788690153,0.297543334815,0.373364095547,0.109183091928,0.342688396523,0.506399877628,0.526584400841,0.24872350294,14,279,18,4,43,3,505,4,1,125,8,751,30,13,390,1239,17895,1715,335,7232
1995-02-15,1995-02-14,1995-05-11,0.0726562480508,0.1260365819,0.398607167324,0.158042655774,0.212947675268,0.341970247748,0.675943456753,0.320642691951,279,18,4,43,2,505,4,1,125,1,751,30,13,390,13,17895,1715,335,7232,308
1995-05-11,1995-02-15,1995-09-27,0.496300014955,0.119846406627,0.375561491402,0.108028633163,0.747848096508,0.322664920515,0.531277563581,0.29922030808,18,4,43,2,35,4,1,125,1,19,30,13,390,13,137,1715,335,7232,308,2583
1995-09-27,1995-05-11,1995-10-27,0.0319062780201,0.138118424615,0.0248809594276,0.0944735258004,0.12231806351,0.362062422424,0.109469834834,0.309142225003,4,43,2,35,978,1,125,1,19,2809,13,390,13,137,4402,335,7232,308,2583,61216
1995-10-27,1995-09-27,1996-02-13,0.317624580573,0.148624308424,0.4636892103,0.0703559582627,0.476474913638,0.360278018847,0.735186679181,0.229236705635,43,2,35,978,18,125,1,19,2809,8,390,13,137,4402,17,7232,308,2583,61216,1556
1996-02-13,1995-10-27,1996-05-15,0.151200648353,0.611074344826,0.128654574614,0.43897323954,0.333996438231,0.757974657267,0.366430695227,0.617986443926,2,35,978,18,36,1,19,2809,8,64,13,137,4402,17,311,308,2583,61216,1556,4227
1996-05-15,1996-02-13,1996-09-27,0.519170516972,0.0655847628965,0.752093772334,0.465767372381,0.784227529612,0.218678179427,0.889981145428,0.623803280311,35,978,18,36,15,19,2809,8,64,10,137,4402,17,311,19,2583,61216,1556,4227,1790
1996-09-27,1996-05-15,1996-11-12,0.122725224519,0.318356217838,0.285125912203,0.303581689778,0.328898942942,0.596275688312,0.538558627622,0.574824021553,978,18,36,15,155,2809,8,64,10,195,4402,17,311,19,206,61216,1556,4227,1790,10574
1996-11-12,1996-09-27,1997-02-12,0.54013035813,0.248753235621,0.456573241308,0.237800250925,0.814115902282,0.48911286377,0.742645878961,0.546333763262,18,36,15,155,14,8,64,10,195,9,17,311,19,206,10,1556,4227,1790,10574,1393
1997-02-12,1996-11-12,1997-05-14,0.248858512561,0.360502852263,0.249721372357,0.441897026043,0.546755881283,0.692781069092,0.622520453099,0.729196665668,36,15,155,14,40,64,10,195,9,51,311,19,206,10,17,4227,1790,10574,1393,2508
1997-05-14,1997-02-12,1997-09-29,0.178950688942,0.179153410713,0.157098695671,0.21845102163,0.381160265075,0.407763999436,0.346442778563,0.400954533608,15,155,14,40,71,10,195,9,51,140,19,206,10,17,459,1790,10574,1393,2508,7188
1997-09-29,1997-05-14,1997-11-13,0.395772486034,0.215229319317,0.276753193856,0.230632507925,0.800627888123,0.533921548304,0.669883938807,0.459634191752,155,14,40,71,159,195,9,51,140,255,206,10,17,459,541,10574,1393,2508,7188,11394
1997-11-13,1997-09-29,1998-02-12,0.403864212541,0.40020245822,0.2093723328,0.28576402974,0.758779128443,0.726025841928,0.347066587817,0.622073023977,14,40,71,159,31,9,51,140,255,32,10,17,459,541,8,1393,2508,7188,11394,1872
1998-02-12,1997-11-13,1998-05-11,0.0408315740404,0.122636243448,0.0974961876321,0.0389286395618,0.134657772641,0.281056705618,0.235698099541,0.11253679632,40,71,159,31,1019,51,140,255,32,2302,17,459,541,8,5004,2508,7188,11394,1872,72540
1998-05-11,1998-02-12,1998-09-28,0.224192716431,0.273729249633,0.615611039831,0.0381928753506,0.377323436011,0.611693352196,0.82429858718,0.112077538771,71,159,31,1019,29,140,255,32,2302,42,459,541,8,5004,8,7188,11394,1872,72540,2019
1998-09-28,1998-05-11,1998-09-29,0.631112329981,0.394646342093,0.049844917968,0.420312599274,0.901223725362,0.680856426802,0.133182744805,0.68171599382,159,31,1019,29,131,255,32,2302,42,204,541,8,5004,8,73,11394,1872,72540,2019,9010
1998-09-29,1998-09-28,1998-11-16,0.394147524198,0.0498834608796,0.41987989618,0.99889819244,0.680358488927,0.133366758182,0.681305279264,0.999843183429,31,1019,29,131,131,32,2302,42,204,205,8,5004,8,73,75,1872,72540,2019,9010,9011
1998-11-16,1998-09-29,1999-02-10,0.0363568517729,0.577339666155,0.454344367305,0.453970342279,0.116657663671,0.812124962822,0.729847265046,0.729468235376,1019,29,131,131,31,2302,42,204,205,57,5004,8,73,75,8,72540,2019,9010,9011,2167
1999-02-10,1998-11-16,1999-05-10,0.550398691007,0.422158528336,0.421714220694,0.703578832739,0.815168133426,0.708043203697,0.707533153511,0.87497595904,29,131,131,31,27,42,204,205,57,74,8,73,75,8,14,2019,9010,9011,2167,2429
1999-05-10,1999-02-10,1999-09-28,0.423201864363,0.422828040388,0.662953403364,0.729295911074,0.720827279001,0.720416443459,0.876436182203,0.896901094039,131,131,31,27,31,204,205,57,74,67,73,75,8,14,13,9010,9011,2167,2429,2402
1999-09-28,1999-05-10,1999-11-12,0.619552318678,0.317296417357,0.318746613933,0.339109431515,0.86385341151,0.651788157111,0.656358635187,0.671005735152,131,31,27,31,236,205,57,74,67,462,75,8,14,13,261,9011,2167,2429,2402,14022
1999-11-12,1999-09-28,2000-02-14,0.218730144092,0.204732891796,0.212957406604,0.3016210797,0.445033624255,0.437832669878,0.420137535432,0.511918858776,31,27,31,236,86,57,74,67,462,221,8,14,13,261,374,2167,2429,2402,14022,7244
