filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2011-11-02,2011-08-25,2012-02-23,0.573989867289,0.295132549809,0.661273766703,0.903163197128,0.693346611974,0.39393783506,0.745721554898,0.917231716992,1035,910,217,410,690,2291,2742,679,1119,2221,1899,5436,600,1765,2604,101238,95985,25713,44038,75431
2012-02-23,2011-11-02,2012-05-02,0.362985011095,0.68160791301,0.797003453425,0.871715767834,0.470529544708,0.775941243347,0.822963937396,0.913929205791,910,217,410,690,1681,2742,679,1119,2221,3432,5436,600,1765,2604,3545,95985,25713,44038,75431,161845
2012-05-02,2012-02-23,2012-08-14,0.408036938136,0.946310295128,0.873259703024,0.793740514447,0.51013134723,0.961801038695,0.902000800016,0.825596373784,217,410,690,1681,604,679,1119,2221,3432,1627,600,1765,2604,3545,2255,25713,44038,75431,161845,61970
2012-08-14,2012-05-02,2012-11-14,0.936968413314,0.826061447711,0.732829818966,0.949404721903,0.952008262704,0.849635084441,0.754377790037,0.956868669882,410,690,1681,604,1132,1119,2221,3432,1627,2967,1765,2604,3545,2255,4972,44038,75431,161845,61970,122467
2012-11-14,2012-08-14,2013-03-01,0.834598472911,0.728839357769,0.947978979401,0.982511113489,0.853993896778,0.749123587687,0.956289694499,0.986223688538,690,1681,604,1132,1308,2221,3432,1627,2967,3099,2604,3545,2255,4972,4962,75431,161845,61970,122467,136770
2013-03-01,2012-11-14,2013-05-03,0.781407572403,0.934348536406,0.96010499353,0.966516049736,0.80401182001,0.942355353279,0.965385273307,0.9712799817,1681,604,1132,1308,3594,3432,1627,2967,3099,5975,3545,2255,4972,4962,9418,161845,61970,122467,136770,284864
2013-05-03,2013-03-01,2013-08-05,0.95414026629,0.97185270775,0.97795983278,0.962300792343,0.958964959468,0.976300859296,0.983537634836,0.965523364259,604,1132,1308,3594,1332,1627,2967,3099,5975,2424,2255,4972,4962,9418,4070,61970,122467,136770,284864,107029
2013-08-05,2013-05-03,2013-10-30,0.898646278029,0.899308147697,0.879507896647,0.916567159439,0.907692375739,0.909205248051,0.886025551852,0.927665717402,1132,1308,3594,1332,3801,2967,3099,5975,2424,4843,4972,4962,9418,4070,13215,122467,136770,284864,107029,272096
2013-10-30,2013-08-05,2014-02-24,0.718365534007,0.710129770174,0.693450231589,0.530827973852,0.857550480714,0.849864245165,0.838955820891,0.68254188326,1308,3594,1332,3801,1041,3099,5975,2424,4843,3074,4962,9418,4070,13215,3826,136770,284864,107029,272096,118848
2014-02-24,2013-10-30,2014-05-01,0.738615429062,0.666702422699,0.496483662531,0.932308359914,0.866648164444,0.804138744656,0.637028108685,0.957455600099,3594,1332,3801,1041,2632,5975,2424,4843,3074,5731,9418,4070,13215,3826,6564,284864,107029,272096,118848,240225
