filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-10-15,2003-07-15,2004-01-13,0.44039856721,0.410903113285,0.460603995385,0.86577077287,0.676310114705,0.651497693299,0.652024676241,0.940000150823,58,70,455,81,86,96,104,1053,132,135,40,30,1787,257,288,5859,6409,42098,9280,9917
2004-01-13,2003-10-15,2004-05-14,0.699885394009,0.293423072948,0.468151136288,0.513384563057,0.892905400757,0.524087006041,0.683040304138,0.717245942127,70,455,81,86,69,104,1053,132,135,86,30,1787,257,288,28,6409,42098,9280,9917,6275
2004-05-14,2004-01-13,2004-07-12,0.419253450676,0.424011162283,0.424474751348,0.543798077384,0.68420251975,0.659772156079,0.657413638688,0.752004620929,455,81,86,69,247,1053,132,135,86,417,1787,257,288,28,204,42098,9280,9917,6275,18366
2004-07-12,2004-05-14,2004-10-12,0.702704093449,0.686273012517,0.369403911183,0.399876302501,0.804440788772,0.789759907617,0.56910708915,0.63132073432,81,86,69,247,236,132,135,86,417,216,257,288,28,204,455,9280,9917,6275,18366,13280
2004-10-12,2004-07-12,2005-01-07,0.45062244354,0.439943090872,0.449673123454,0.435198677588,0.635421546531,0.659199912224,0.685999991458,0.613171329671,86,69,247,236,141,135,86,417,216,316,288,28,204,455,316,9917,6275,18366,13280,11037
2005-01-07,2004-10-12,2005-05-13,0.406511464124,0.375960275906,0.5502805839,0.4282701637,0.619168205663,0.633315153928,0.733289313256,0.642227479688,69,247,236,141,147,86,417,216,316,325,28,204,455,316,699,6275,18366,13280,11037,15857
2005-05-13,2005-01-07,2005-07-11,0.617747355014,0.597264806681,0.475347524746,0.63959697754,0.791756544979,0.747767959907,0.662207815459,0.826661138763,247,236,141,147,428,417,216,316,325,417,204,455,316,699,619,18366,13280,11037,15857,25132
2005-07-11,2005-05-13,2005-10-07,0.408972321867,0.472226737546,0.373603731655,0.461684147803,0.613949205829,0.676608866843,0.60062837025,0.641541007746,236,141,147,428,71,216,316,325,417,80,455,316,699,619,36,13280,11037,15857,25132,5946
2005-10-07,2005-07-11,2006-01-06,0.259330242714,0.363875071187,0.25808444902,0.184638040067,0.454791514442,0.556513404756,0.428839296255,0.358153974982,141,147,428,71,439,316,325,417,80,1136,316,699,619,36,2887,11037,15857,25132,5946,44530
2006-01-06,2005-10-07,2006-05-12,0.387484116337,0.409314736595,0.72430738052,0.203771078449,0.592888249342,0.59243677752,0.912735846809,0.358371096131,147,428,71,439,116,325,417,80,1136,88,699,619,36,2887,31,15857,25132,5946,44530,6940
2006-05-12,2006-01-06,2006-07-10,0.643007298028,0.622454953319,0.209199555446,0.618333067781,0.785372357719,0.817480988959,0.383399740674,0.802631731979,428,71,439,116,299,417,80,1136,88,297,619,36,2887,31,152,25132,5946,44530,6940,18855
2006-07-10,2006-05-12,2006-10-06,0.717859780601,0.177161103208,0.663918696202,0.655894055128,0.911386100338,0.346716871025,0.879881437828,0.833209642157,71,439,116,299,115,80,1136,88,297,121,36,2887,31,152,39,5946,44530,6940,18855,7504
2006-10-06,2006-07-10,2007-01-08,0.172228445331,0.616956900805,0.607425553957,0.790494778544,0.33888676528,0.853824244133,0.808814005136,0.914991452999,439,116,299,115,151,1136,88,297,121,184,2887,31,152,39,70,44530,6940,18855,7504,8757
2007-01-08,2006-10-06,2007-04-27,0.712342651477,0.60782887754,0.791297584919,0.789029260888,0.91497476365,0.809149841279,0.919497207921,0.91283685598,116,299,115,151,162,88,297,121,184,197,31,152,39,70,67,6940,18855,7504,8757,8730
2007-04-27,2007-01-08,2007-07-06,0.828449721079,0.659643508392,0.625551380678,0.645051425417,0.923286116061,0.831698228347,0.814566374665,0.819781693839,299,115,151,162,322,297,121,184,197,348,152,39,70,67,173,18855,7504,8757,8730,18680
2007-07-06,2007-04-27,2007-10-09,0.778045355786,0.6841906887,0.701391312702,0.692047391448,0.93012750213,0.869369410326,0.883186408272,0.843757635973,115,151,162,322,91,121,184,197,348,137,39,70,67,173,55,7504,8757,8730,18680,7135
2007-10-09,2007-07-06,2008-01-09,0.763658883734,0.637020823423,0.623753626476,0.780937078246,0.924505060037,0.852509669114,0.806863175831,0.915323241706,151,162,322,91,116,184,197,348,137,169,70,67,173,55,60,8757,8730,18680,7135,8138
