filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-13,1994-11-14,1995-05-11,0.799199807478,0.359368525352,0.346545072227,0.37055981039,0.925647304023,0.619678164097,0.533518315932,0.600898647734,567,24,42,24,267,514,23,106,68,298,1034,11,325,54,719,30404,2230,5475,2700,20400
1995-05-11,1995-03-13,1995-08-11,0.565213893145,0.285903247321,0.55566535225,0.367763950227,0.858595814919,0.473230284537,0.848961405013,0.604782188008,24,42,24,267,20,23,106,68,298,71,11,325,54,719,77,2230,5475,2700,20400,2210
1995-08-11,1995-05-11,1995-11-13,0.350367382765,0.559398344631,0.338667896594,0.6557351522,0.49243693611,0.833401536427,0.545586495009,0.845603155029,42,24,267,20,24,106,68,298,71,42,325,54,719,77,42,5475,2700,20400,2210,2181
1995-11-13,1995-08-11,1996-03-14,0.663810971552,0.377615615432,0.631422981414,0.67623827191,0.899552349184,0.601282597604,0.87446766738,0.876887065956,24,267,20,24,31,68,298,71,42,108,54,719,77,42,96,2700,20400,2210,2181,2565
1996-03-14,1995-11-13,1996-05-10,0.695682227613,0.279615092041,0.260991117942,0.300077175188,0.864470408791,0.513953084874,0.466670111719,0.510395880964,267,20,24,31,529,298,71,42,108,629,719,77,42,96,1343,20400,2210,2181,2565,31698
1996-05-10,1996-03-14,1996-08-13,0.382133667636,0.334495829267,0.35034049731,0.246614577899,0.682485933231,0.619196384733,0.641274705618,0.49838708783,20,24,31,529,49,71,42,108,629,58,77,42,96,1343,164,2210,2181,2565,31698,3775
1996-08-13,1996-05-10,1996-11-14,0.794482329367,0.619239030805,0.256940667685,0.368751431418,0.95663193554,0.851141275824,0.443249239966,0.632804982361,24,31,529,49,29,42,108,629,58,10,42,96,1343,164,9,2181,2565,31698,3775,2024
1996-11-14,1996-08-13,1997-03-11,0.458078690075,0.405828839461,0.321608420358,0.346650767533,0.59038522588,0.637122198148,0.57555857363,0.50103560817,31,529,49,29,82,108,629,58,10,222,96,1343,164,9,443,2565,31698,3775,2024,6829
1997-03-11,1996-11-14,1997-05-13,0.685188523781,0.300649394306,0.30918557664,0.429253944326,0.848673586181,0.58988012341,0.501925426536,0.629949202277,529,49,29,82,343,629,58,10,222,350,1343,164,9,443,866,31698,3775,2024,6829,23639
1997-05-13,1997-03-11,1997-08-14,0.374559411734,0.508023805553,0.397660127734,0.388897951225,0.664778820055,0.780883606404,0.585312624667,0.636206271156,49,29,82,343,27,58,10,222,350,88,164,9,443,866,76,3775,2024,6829,23639,2410
1997-08-14,1997-05-13,1997-11-13,0.717301348155,0.341585885015,0.338565542458,0.572990593254,0.917266521998,0.536302521115,0.550779447831,0.806565463634,29,82,343,27,45,10,222,350,88,16,9,443,866,76,7,2024,6829,23639,2410,2352
1997-11-13,1997-08-14,1998-03-09,0.454257937418,0.392611482926,0.564783333558,0.725949462593,0.614280234229,0.61100583101,0.81822819899,0.889180453511,82,343,27,45,67,222,350,88,16,29,443,866,76,7,21,6829,23639,2410,2352,3081
1998-03-09,1997-11-13,1998-05-12,0.819378585797,0.393263770639,0.382664931655,0.437740305855,0.910046249236,0.663820353408,0.593259720059,0.65315216295,343,27,45,67,330,350,88,16,29,283,866,76,7,21,724,23639,2410,2352,3081,22761
1998-05-12,1998-03-09,1998-08-14,0.582171213635,0.513001546865,0.497904407675,0.342055452167,0.838185092929,0.74231546802,0.728139967122,0.570218447233,27,45,67,330,18,88,16,29,283,31,76,7,21,724,7,2410,2352,3081,22761,1863
1998-08-14,1998-05-12,1998-11-12,0.475364877006,0.42215192915,0.426491958857,0.391500378317,0.681137873051,0.660776715272,0.657846748948,0.622914270466,45,67,330,18,72,16,29,283,31,69,7,21,724,7,142,2352,3081,22761,1863,4765
1998-11-12,1998-08-14,1999-03-29,0.35983385018,0.395354038846,0.290245643921,0.843675050792,0.569017476797,0.621909241994,0.494586819335,0.936439133868,67,330,18,72,98,29,283,31,69,128,21,724,7,142,266,3081,22761,1863,4765,7429
1999-03-29,1998-11-12,1999-05-12,0.509960836848,0.226691995047,0.31010853686,0.30858285618,0.769781144166,0.484821405853,0.599287862277,0.580989349929,330,18,72,98,503,283,31,69,128,1240,724,7,142,266,1635,22761,1863,4765,7429,38072
1999-05-12,1999-03-29,1999-08-12,0.231906246239,0.6680472605,0.780871196297,0.304139702394,0.396778570255,0.80702069651,0.881766733065,0.556791139771,18,72,98,503,142,31,69,128,1240,262,7,142,266,1635,486,1863,4765,7429,38072,11964
1999-08-12,1999-05-12,1999-11-03,0.450686813331,0.406338878817,0.290734451052,0.345262633983,0.702843736042,0.579966611892,0.57418102764,0.478843394608,72,98,503,142,54,69,128,1240,262,73,142,266,1635,486,24,4765,7429,38072,11964,3904
1999-11-03,1999-08-12,2000-03-09,0.416665477194,0.295585212845,0.336057919777,0.85112121777,0.600713465171,0.593316352731,0.488796181171,0.94594061099,98,503,142,54,61,128,1240,262,73,65,266,1635,486,24,27,7429,38072,11964,3904,4403
2000-03-09,1999-11-03,2000-05-11,0.508563248128,0.549158066754,0.382665133465,0.401966918009,0.767095180976,0.725244300703,0.60485669473,0.639627017099,503,142,54,61,457,1240,262,73,65,431,1635,486,24,27,1074,38072,11964,3904,4403,29252
2000-05-11,2000-03-09,2000-07-27,0.588953128716,0.379974127326,0.384064192059,0.499315251745,0.770913439237,0.686948959981,0.701327390562,0.733034975674,142,54,61,457,62,262,73,65,431,93,486,24,27,1074,131,11964,3904,4403,29252,5004
2000-07-27,2000-05-11,2000-10-27,0.479669905103,0.436620950551,0.34909227115,0.64253916708,0.810329410986,0.780737593025,0.553635527679,0.777772309419,54,61,457,62,58,73,65,431,93,52,24,27,1074,131,43,3904,4403,29252,5004,3778
2000-10-27,2000-07-27,2001-03-07,0.473599951261,0.38411683531,0.600773507635,0.828625189917,0.817763991794,0.596365926283,0.78016918115,0.928587400596,61,457,62,58,67,65,431,93,52,49,27,1074,131,43,55,4403,29252,5004,3778,4133
2001-03-07,2000-10-27,2001-05-01,0.826838791692,0.460851317179,0.417907614077,0.462739230271,0.91727032934,0.699483228423,0.631919597456,0.678467757837,457,62,58,67,333,431,93,52,49,314,1074,131,43,55,456,29252,5004,3778,4133,23422
2001-05-01,2001-03-07,2001-08-14,0.411022706415,0.308100453876,0.329538336055,0.424037449624,0.665370565888,0.515700342401,0.549633971192,0.668987214116,62,58,67,333,157,93,52,49,314,260,131,43,55,456,448,5004,3778,4133,23422,9968
2001-08-14,2001-05-01,2001-11-13,0.430371361656,0.410996291554,0.431822578387,0.420229898182,0.619990053381,0.614423764486,0.629947384974,0.627532297346,58,67,333,157,97,52,49,314,260,169,43,55,456,448,373,3778,4133,23422,9968,8309
2001-11-13,2001-08-14,2002-03-11,0.551286620447,0.477118983069,0.446886324484,0.485648645027,0.841435897328,0.74078540846,0.689130178944,0.683444712686,67,333,157,97,91,49,314,260,169,91,55,456,448,373,116,4133,23422,9968,8309,6618
2002-03-11,2001-11-13,2002-03-13,0.791437053931,0.691012037732,0.599012644413,0.54639030693,0.900476683287,0.833286887196,0.750985477249,0.73837103064,333,157,97,91,567,314,260,169,91,829,456,448,373,116,1632,23422,9968,8309,6618,42079
2002-03-13,2002-03-11,2002-05-10,0.383768032231,0.401713366158,0.522257320609,0.673044519198,0.596231490957,0.583517010214,0.779271215057,0.767006652119,157,97,91,567,247,260,169,91,829,229,448,373,116,1632,100,9968,8309,6618,42079,15309
2002-05-10,2002-03-13,2002-08-13,0.35159283521,0.333395942854,0.477309791149,0.358383667334,0.62239621009,0.656458060356,0.746391757533,0.627388129371,97,91,567,247,127,169,91,829,229,228,373,116,1632,100,397,8309,6618,42079,15309,10386
2002-08-13,2002-05-10,2002-11-13,0.459878906224,0.37881971815,0.509619933356,0.410965902113,0.761743897805,0.564514366082,0.756259960901,0.611148187733,91,567,247,127,66,91,829,229,228,77,116,1632,100,397,17,6618,42079,15309,10386,4853
2002-11-13,2002-08-13,2003-03-26,0.637499345405,0.461258225585,0.509600542865,0.597046586971,0.797869516683,0.675105372375,0.75869967273,0.724378065027,567,247,127,66,145,829,229,228,77,298,1632,100,397,17,471,42079,15309,10386,4853,11981
2003-03-26,2002-11-13,2003-04-25,0.577744579089,0.453689596362,0.392358675103,0.592190822437,0.750033810406,0.750161657122,0.581607261263,0.773768118212,247,127,66,145,770,229,228,77,298,1150,100,397,17,471,1904,15309,10386,4853,11981,54793
2003-04-25,2003-03-26,2003-08-13,0.559326313141,0.356334149181,0.512475100331,0.574246172661,0.819852414034,0.545981161971,0.717156222122,0.806545852104,127,66,145,770,198,228,77,298,1150,355,397,17,471,1904,419,10386,4853,11981,54793,14370
2003-08-13,2003-04-25,2003-10-27,0.503474739946,0.76876779677,0.586205297438,0.526726265588,0.69857086216,0.917299869443,0.768754315503,0.713690880992,66,145,770,198,156,77,298,1150,355,288,17,471,1904,419,453,4853,11981,54793,14370,12197
2003-10-27,2003-08-13,2004-02-27,0.789783578997,0.588892494681,0.512963633294,0.888088631294,0.930127012159,0.767177835082,0.6999018401,0.962461498445,145,770,198,156,176,298,1150,355,288,278,471,1904,419,453,455,11981,54793,14370,12197,11983
2004-02-27,2003-10-27,2004-04-29,0.814903581761,0.661251383754,0.660092633245,0.660485211436,0.94463405847,0.844098991916,0.807288915133,0.804202840491,770,198,156,176,730,1150,355,288,278,1188,1904,419,453,455,1967,54793,14370,12197,11983,50629
2004-04-29,2004-02-27,2004-08-05,0.562334323089,0.542453102502,0.506294431693,0.648016021559,0.812473005523,0.759949971068,0.741502588709,0.838333760874,198,156,176,730,180,355,288,278,1188,306,419,453,455,1967,380,14370,12197,11983,50629,9840
2004-08-05,2004-04-29,2004-10-28,0.521626077041,0.502874842082,0.561933145104,0.557971109799,0.768481384399,0.751089998019,0.790062821192,0.806267215563,156,176,730,180,186,288,278,1188,306,388,453,455,1967,380,505,12197,11983,50629,9840,12684
2004-10-28,2004-08-05,2005-03-04,0.572224399575,0.5552589619,0.552329124329,0.600600520037,0.80392337938,0.769008790703,0.793507827464,0.816178175768,176,730,180,186,186,278,1188,306,388,231,455,1967,380,505,180,11983,50629,9840,12684,9456
2005-03-04,2004-10-28,2005-04-28,0.79686341155,0.542604582433,0.602673700752,0.600369913586,0.902080041988,0.776251624618,0.809923055154,0.807861279005,730,180,186,186,644,1188,306,388,231,849,1967,380,505,180,1052,50629,9840,12684,9456,41005
2005-04-28,2005-03-04,2005-08-01,0.512750627125,0.509247308804,0.603869718192,0.581683348932,0.762825762438,0.768027772604,0.847040371685,0.785023359387,180,186,186,644,109,306,388,231,849,167,380,505,180,1052,114,9840,12684,9456,41005,7121
2005-08-01,2005-04-28,2005-10-27,0.490800193083,0.572912109757,0.554938135711,0.691874505322,0.761162880207,0.841710394768,0.774959712918,0.874246865347,186,186,644,109,190,388,231,849,167,330,505,180,1052,114,227,12684,9456,41005,7121,10038
