filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2014-05-28,2014-02-06,2014-08-07,0.613258067856,0.844787214998,0.879350554701,0.639495476523,0.858595926537,0.907153331682,0.927464975696,0.720837449321,1398,364,299,190,611,2657,807,573,413,1413,6102,2288,1133,425,2182,135076,62492,42108,25311,82730
2014-08-07,2014-05-28,2014-11-06,0.884103825609,0.893483934514,0.662746739815,0.904710872112,0.933156024316,0.947975190363,0.751125937039,0.947176642821,364,299,190,611,342,807,573,413,1413,865,2288,1133,425,2182,1768,62492,42108,25311,82730,47797
2014-11-06,2014-08-07,2015-02-05,0.990003412651,0.671527853203,0.885660139084,0.904356619975,0.995091195932,0.763730727943,0.93163611239,0.954132144174,299,190,611,342,354,573,413,1413,865,624,1133,425,2182,1768,1206,42108,25311,82730,47797,43850
2015-02-05,2014-11-06,2015-05-27,0.820737189398,0.878704442285,0.897141525435,0.89960324011,0.831258605636,0.925949672535,0.94821046847,0.952369048611,190,611,342,354,367,413,1413,865,624,631,425,2182,1768,1206,1232,25311,82730,47797,43850,45532
2015-05-27,2015-02-05,2015-08-06,0.948317542815,0.895050977302,0.843775337075,0.847421429491,0.975182441263,0.934921733771,0.903464396969,0.906255032226,611,342,354,367,977,1413,865,624,631,2379,2182,1768,1206,1232,3685,82730,47797,43850,45532,105698
2015-08-06,2015-05-27,2015-11-05,0.915768241913,0.859360271231,0.86795785366,0.854666714731,0.951407358117,0.923380046354,0.930172814707,0.917849001166,342,354,367,977,338,865,624,631,2379,590,1768,1206,1232,3685,1009,47797,43850,45532,105698,39307
2015-11-05,2015-08-06,2016-02-03,0.925071353355,0.864951934075,0.841507084217,0.923274052105,0.952995874945,0.929581818165,0.907241140957,0.962256055036,354,367,977,338,423,624,631,2379,590,867,1206,1232,3685,1009,1334,43850,45532,105698,39307,52683
2016-02-03,2015-11-05,2016-06-01,0.823450883162,0.814431177227,0.814016524777,0.826707935441,0.898470530375,0.891890589163,0.899852033158,0.908447107923,367,977,338,423,743,631,2379,590,867,1704,1232,3685,1009,1334,3562,45532,105698,39307,52683,86261
2016-06-01,2016-02-03,2016-08-11,0.906519508322,0.912714562217,0.918135516025,0.817057259289,0.952963617646,0.948581850671,0.952487041589,0.895879538307,977,338,423,743,844,2379,590,867,1704,1784,3685,1009,1334,3562,2266,105698,39307,52683,86261,93458
2016-08-11,2016-06-01,2016-11-10,0.933396199533,0.935007224957,0.824084562504,0.940904864942,0.966856876156,0.970419617312,0.905218537155,0.969943562864,338,423,743,844,534,590,867,1704,1784,869,1009,1334,3562,2266,1433,39307,52683,86261,93458,55082
2016-11-10,2016-08-11,2017-02-14,0.936911859225,0.813071567602,0.923579565274,0.948552294363,0.976093535987,0.903113455052,0.963121806616,0.983686799734,423,743,844,534,583,867,1704,1784,869,892,1334,3562,2266,1433,1516,52683,86261,93458,55082,58411
2017-02-14,2016-11-10,2017-05-31,0.861442664935,0.921129031787,0.943132980898,0.934441785662,0.921989548145,0.957170087495,0.97557271241,0.975868124935,743,844,534,583,599,1704,1784,869,892,1017,3562,2266,1433,1516,1611,86261,93458,55082,58411,61770
2017-05-31,2017-02-14,2017-08-09,0.98314983529,0.94030334805,0.925032414357,0.92393806163,0.993852140242,0.969688534477,0.964105329649,0.958862594255,844,534,583,599,944,1784,869,892,1017,2133,2266,1433,1516,1611,2575,93458,55082,58411,61770,102328
2017-08-09,2017-05-31,2017-11-08,0.967791849056,0.926411957867,0.924234301942,0.923091502104,0.987201565085,0.971425268596,0.965329233958,0.958777292637,534,583,599,944,438,869,892,1017,2133,995,1433,1516,1611,2575,1295,55082,58411,61770,102328,52478
