filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-06-16,1997-04-29,1997-09-15,0.209050516162,0.330064511549,0.363236099887,0.119047550551,0.369370002941,0.612476475132,0.681443615029,0.279678623973,85,39,19,265,9,244,50,63,887,9,729,246,206,1992,13,10667,4165,3155,30608,1568
1997-09-15,1997-06-16,1997-12-15,0.216252628652,0.186106285326,0.277521502818,0.0915322403599,0.373822882627,0.318954153798,0.503118045506,0.203523287816,39,19,265,9,270,50,63,887,9,657,246,206,1992,13,1724,4165,3155,30608,1568,25224
1997-12-15,1997-09-15,1998-04-23,0.477440828782,0.0760202570084,0.513203842787,0.0647359758927,0.72461350334,0.207094420046,0.778440498476,0.161818360539,19,265,9,270,8,63,887,9,657,8,206,1992,13,1724,13,3155,30608,1568,25224,1543
1998-04-23,1997-12-15,1998-06-09,0.343478011621,0.326245640622,0.209300736478,0.223510582287,0.526271195774,0.564169475236,0.339375750873,0.430035271087,265,9,270,8,98,887,9,657,8,248,1992,13,1724,13,374,30608,1568,25224,1543,9634
1998-06-09,1998-04-23,1998-09-14,0.765828243705,0.0854871963722,0.473465954875,0.3210953852,0.94204774549,0.197000370689,0.762001886422,0.54100008975,9,270,8,98,9,9,657,8,248,6,13,1724,13,374,12,1568,25224,1543,9634,1445
1998-09-14,1998-06-09,1998-12-09,0.0937873203722,0.375892780245,0.284341239293,0.565723913523,0.195125620568,0.679036202784,0.494275424056,0.79811750009,270,8,98,9,10,657,8,248,6,14,1724,13,374,12,12,25224,1543,9634,1445,1918
1998-12-09,1998-09-14,1999-04-19,0.56787496329,0.307647084702,0.545343546649,0.614121410845,0.819360866248,0.529364047906,0.82273685616,0.798631763364,8,98,9,10,18,8,248,6,14,22,13,374,12,12,15,1543,9634,1445,1918,2317
1999-04-19,1998-12-09,1999-06-14,0.617235367841,0.326656273324,0.321249777762,0.333356382137,0.825267426698,0.585060337661,0.552166511876,0.587304579584,98,9,10,18,74,248,6,14,22,96,374,12,12,15,113,9634,1445,1918,2317,7837
1999-06-14,1999-04-19,1999-09-14,0.313904373958,0.286493880064,0.293228821178,0.296604097262,0.48399232538,0.432616884493,0.453563395783,0.496027167582,9,10,18,74,58,6,14,22,96,184,12,12,15,113,256,1445,1918,2317,7837,4953
1999-09-14,1999-06-14,1999-12-14,0.379987593275,0.323390031623,0.274382176634,0.358286328396,0.596822396566,0.574361395569,0.52547782421,0.593535008065,10,18,74,58,41,14,22,96,184,42,12,15,113,256,180,1918,2317,7837,4953,4134
1999-12-14,1999-09-14,2000-04-17,0.249665162574,0.179840895578,0.321723253416,0.353830820136,0.389275031002,0.346844524454,0.521878676342,0.640019492973,18,74,58,41,51,22,96,184,42,121,15,113,256,180,431,2317,7837,4953,4134,7427
2000-04-17,1999-12-14,2000-06-05,0.296025522061,0.305891517253,0.252682351961,0.531235934073,0.519914529358,0.536036120885,0.522585340703,0.676357881868,74,58,41,51,202,96,184,42,121,599,113,256,180,431,1474,7837,4953,4134,7427,24043
2000-06-05,2000-04-17,2000-09-08,0.28591312687,0.321110628872,0.206044562468,0.151637797807,0.467634664215,0.61329875911,0.380634690098,0.336630999437,58,41,51,202,13,184,42,121,599,8,256,180,431,1474,15,4953,4134,7427,24043,1628
2000-09-08,2000-06-05,2000-12-08,0.391284677303,0.155092378743,0.114506862554,0.483948204042,0.610379271516,0.316495704246,0.278678949062,0.765380881067,41,51,202,13,17,42,121,599,8,9,180,431,1474,15,14,4134,7427,24043,1628,1906
2000-12-08,2000-09-08,2001-04-17,0.272489588615,0.116779601742,0.458909243308,0.460106539208,0.387402489996,0.283173274004,0.754632752715,0.721515961774,51,202,13,17,14,121,599,8,9,8,431,1474,15,14,12,7427,24043,1628,1906,2027
2001-04-17,2000-12-08,2001-04-20,0.419259560201,0.204041422249,0.181211590706,0.179545716512,0.671348260748,0.41920729943,0.378122120258,0.369923622552,202,13,17,14,200,599,8,9,8,434,1474,15,14,12,895,24043,1628,1906,2027,18422
2001-04-20,2001-04-17,2001-06-15,0.133739030177,0.0858219236505,0.0846966854181,0.130921034933,0.268807945249,0.195894756812,0.190408471344,0.252993262112,13,17,14,200,3,8,9,8,434,2,15,14,12,895,6,1628,1906,2027,18422,343
2001-06-15,2001-04-20,2001-09-05,0.466677017096,0.476668706945,0.234862349641,0.133982912968,0.768502957673,0.769279895665,0.453549576171,0.262609401305,17,14,200,3,15,9,8,434,2,4,14,12,895,6,9,1906,2027,18422,343,1719
2001-09-05,2001-06-15,2001-12-07,0.436329698846,0.202559905192,0.107231982029,0.622945995343,0.741053997861,0.408352464583,0.221764371788,0.850151507642,14,200,3,15,16,8,434,2,4,11,12,895,6,9,11,2027,18422,343,1719,2040
2001-12-07,2001-09-05,2002-04-15,0.199531531423,0.0985652470748,0.591854903497,0.592395175217,0.416737152997,0.212780319293,0.852469934979,0.833754107688,200,3,15,16,16,434,2,4,11,10,895,6,9,11,9,18422,343,1719,2040,1968
2002-04-15,2001-12-07,2002-06-18,0.163114865115,0.358995541694,0.317498289934,0.321160746639,0.257165406064,0.612906111684,0.559392232476,0.577282886934,3,15,16,16,81,2,4,11,10,104,6,9,11,9,226,343,1719,2040,1968,9034
2002-06-18,2002-04-15,2002-09-16,0.642202639551,0.55749536233,0.583009177376,0.418420229704,0.892244520303,0.842305231574,0.86281795881,0.675542791075,15,16,16,81,13,4,11,10,104,17,9,11,9,226,10,1719,2040,1968,9034,1854
2002-09-16,2002-06-18,2002-12-09,0.0886808359189,0.0714129517702,0.128292085824,0.0852921870608,0.193762559768,0.180223960652,0.249204758497,0.193159153635,16,16,81,13,431,11,10,104,17,923,11,9,226,10,2475,2040,1968,9034,1854,35197
2002-12-09,2002-09-16,2003-03-21,0.678523221001,0.300603485581,0.495278453078,0.0803620757504,0.83997502569,0.559769288231,0.76265062354,0.196631488953,16,81,13,431,17,10,104,17,923,40,9,226,10,2475,12,1968,9034,1854,35197,3089
2003-03-21,2002-12-09,2003-06-04,0.580768517912,0.33195880118,0.199099208805,0.290002411769,0.801854168456,0.569897974104,0.328091586904,0.516634428245,81,13,431,17,163,104,17,923,40,338,226,10,2475,12,479,9034,1854,35197,3089,15557
2003-06-04,2003-03-21,2003-09-03,0.523766819639,0.0931053442171,0.5101053892,0.410047599483,0.777854030654,0.216563050208,0.777421949754,0.656135154071,13,431,17,163,9,17,923,40,338,50,10,2475,12,479,21,1854,35197,3089,15557,3448
