filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-11-10,1995-03-29,0.10694376584,0.220903044325,0.189527016767,0.222449321409,0.228915412665,0.380709956184,0.342714897832,0.361228563272,116,14,21,23,2,145,11,7,7,0,231,5,9,7,7,10220,1110,1443,1471,243
1995-03-29,1994-11-14,1995-05-12,0.144195007473,0.17912170266,0.183127009548,0.0789372529171,0.306380251907,0.381768126873,0.385712091092,0.165986922118,14,21,23,2,267,11,7,7,0,794,5,9,7,7,835,1110,1443,1471,243,18771
1995-05-12,1995-03-29,1995-08-10,0.454453792204,0.504637031226,0.268263519793,0.147920443318,0.791127368641,0.807914615198,0.419388597838,0.297651576986,21,23,2,267,14,7,7,0,794,1,9,7,7,835,5,1443,1471,243,18771,957
1995-08-10,1995-05-12,1995-11-13,0.389456247218,0.200639175291,0.166297472434,0.513473121655,0.775893148252,0.367924330755,0.356702662524,0.833990254291,23,2,267,14,17,7,0,794,1,6,7,7,835,5,7,1471,243,18771,957,1202
1995-11-13,1995-08-10,1996-03-28,0.256567395732,0.150167464528,0.544377856966,0.534033090838,0.416836330376,0.321002301845,0.868830177331,0.852324752413,2,267,14,17,16,0,794,1,6,12,7,835,5,7,7,243,18771,957,1202,1119
1996-03-28,1995-11-13,1996-04-25,0.683568817016,0.182249418838,0.203902315431,0.196332750796,0.796859663128,0.402054825558,0.476130639654,0.435004581778,267,14,17,16,123,794,1,6,12,195,835,5,7,7,548,18771,957,1202,1119,11648
1996-04-25,1996-03-28,1996-08-14,0.582840105556,0.450984413228,0.480134554852,0.227915366647,0.899289897535,0.815890399095,0.835276733852,0.437569784157,14,17,16,123,14,1,6,12,195,13,5,7,7,548,9,957,1202,1119,11648,1111
1996-08-14,1996-04-25,1996-10-30,0.40299703953,0.357101609413,0.212390469886,0.483928115838,0.778044032222,0.721205911798,0.467134465295,0.777652035187,17,16,123,14,21,6,12,195,13,36,7,7,548,9,26,1202,1119,11648,1111,1876
1996-10-30,1996-08-14,1997-03-27,0.392316007745,0.215509631251,0.487372273721,0.820728075421,0.777440922844,0.479697533945,0.790520003789,0.930976515615,16,123,14,21,24,12,195,13,36,37,7,548,9,26,25,1119,11648,1111,1876,1841
1997-03-27,1996-10-30,1997-05-08,0.836351067976,0.165730421028,0.205593000083,0.20860465351,0.928924479911,0.364534311968,0.421475267598,0.431010539452,123,14,21,24,163,195,13,36,37,433,548,9,26,25,890,11648,1111,1876,1841,19118
