filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-08-11,1995-05-15,1995-11-14,0.467800915957,0.416918899823,0.276136243236,0.736507993816,0.737347754058,0.695124247134,0.540062099595,0.883645921545,13,23,505,14,28,25,65,1169,36,90,16,59,1984,34,33,2625,3211,38364,2986,3850
1995-11-14,1995-08-11,1996-03-29,0.43879019144,0.28449820142,0.647984547427,0.764889737401,0.729946444305,0.559934233132,0.840017338043,0.88174400852,23,505,14,28,33,65,1169,36,90,109,59,1984,34,33,104,3211,38364,2986,3850,5005
1996-03-29,1995-11-14,1996-05-14,0.564880086262,0.490243735618,0.480486189977,0.498489780153,0.777013780772,0.740907662771,0.707967134021,0.714511658831,505,14,28,33,186,1169,36,90,109,434,1984,34,33,104,544,38364,2986,3850,5005,17706
1996-05-14,1996-03-29,1996-08-14,0.4634689851,0.522408538631,0.498161268523,0.34038349356,0.726515726401,0.754683126458,0.733448413286,0.57772553894,14,28,33,186,18,36,90,109,434,26,34,33,104,544,9,2986,3850,5005,17706,1641
1996-08-14,1996-05-14,1996-11-14,0.462087647371,0.537732536851,0.372662618489,0.538975746339,0.780549376265,0.794806247269,0.634994689345,0.746983930526,28,33,186,18,37,90,109,434,26,115,33,104,544,9,112,3850,5005,17706,1641,4050
1996-11-14,1996-08-14,1997-04-11,0.460673821993,0.380227477223,0.425720009019,0.560089595781,0.795318484334,0.69282373455,0.719238975798,0.814113472451,33,186,18,37,68,109,434,26,115,194,104,544,9,112,155,5005,17706,1641,4050,5418
1997-04-11,1996-11-14,1997-04-29,0.422127917956,0.194850761565,0.354066062818,0.301085597906,0.643966209683,0.413892450395,0.562554130136,0.552610611345,186,18,37,68,600,434,26,115,194,1292,544,9,112,155,2359,17706,1641,4050,5418,42663
1997-04-29,1997-04-11,1997-05-14,0.128589312999,0.132450621732,0.138416297768,0.160627635277,0.309158117653,0.346556048875,0.370479448874,0.381553426305,18,37,68,600,50,26,115,194,1292,28,9,112,155,2359,67,1641,4050,5418,42663,3368
1997-05-14,1997-04-29,1997-08-14,0.367875266534,0.384605527516,0.315586956658,0.164152518793,0.698338905104,0.726957133209,0.561599405374,0.402739237081,37,68,600,50,30,115,194,1292,28,59,112,155,2359,67,87,4050,5418,42663,3368,3033
1997-08-14,1997-05-14,1997-11-04,0.34357786165,0.261972470546,0.149590300028,0.639334158046,0.684824647854,0.512300474148,0.373518416055,0.828956079991,68,600,50,30,40,194,1292,28,59,101,155,2359,67,87,117,5418,42663,3368,3033,4256
1997-11-04,1997-08-14,1998-03-30,0.204218165277,0.125585822968,0.541702362205,0.605108275518,0.43371209145,0.327739844319,0.741006384498,0.763740289502,600,50,30,40,34,1292,28,59,101,67,2359,67,87,117,49,42663,3368,3033,4256,2985
