filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2004-11-12,2004-08-11,2005-03-08,0.50835012601,0.469227954454,0.25744139661,0.566231620474,0.775338465592,0.744081349504,0.476752905195,0.787596910476,46,210,147,51,96,167,479,801,149,502,81,373,1074,76,581,7467,19225,20182,7627,14313
2005-03-08,2004-11-12,2005-03-18,0.808272329348,0.241466876376,0.590360487126,0.514888031117,0.917824544895,0.432657869438,0.761861881469,0.769352802365,210,147,51,96,266,479,801,149,502,599,373,1074,76,581,543,19225,20182,7627,14313,23044
2005-03-18,2005-03-08,2005-05-06,0.0990190336224,0.222661671036,0.218609930834,0.430015028976,0.188236383498,0.340947677836,0.391306028258,0.515912500176,147,51,96,266,12,801,149,502,599,45,1074,76,581,543,32,20182,7627,14313,23044,2159
2005-05-06,2005-03-18,2005-06-28,0.715846446626,0.505927253467,0.623192815718,0.266275504285,0.877805668649,0.746976606815,0.783987982248,0.390006348681,51,96,266,12,45,149,502,599,45,152,76,581,543,32,75,7627,14313,23044,2159,6548
2005-06-28,2005-05-06,2005-08-05,0.195190551309,0.381119688464,0.874214860524,0.212932580242,0.379328248591,0.483859291802,0.898334414271,0.33831217216,96,266,12,45,3,502,599,45,152,26,581,543,32,75,32,14313,23044,2159,6548,1608
2005-08-05,2005-06-28,2005-11-09,0.574033667349,0.232804765363,0.834205290935,0.19086690005,0.751287528156,0.352119760184,0.920658706134,0.312036690498,266,12,45,3,63,599,45,152,26,172,543,32,75,32,92,23044,2159,6548,1608,7599
2005-11-09,2005-08-05,2006-03-08,0.227520048236,0.750722709702,0.191318605919,0.783494323486,0.34452176143,0.881012900728,0.31219947428,0.901091220557,12,45,3,63,71,45,152,26,172,169,32,75,32,92,92,2159,6548,1608,7599,8442
2006-03-08,2005-11-09,2006-05-09,0.645654491067,0.412989828519,0.611987526028,0.630964124799,0.801356462411,0.494801127467,0.774367634034,0.792329067801,45,3,63,71,224,152,26,172,169,526,75,32,92,92,339,6548,1608,7599,8442,21797
2006-05-09,2006-03-08,2006-08-04,0.215896240374,0.731403333472,0.736434250318,0.655997407724,0.344962935954,0.874254406958,0.875967300563,0.808647412168,3,63,71,224,54,26,172,169,526,187,32,92,92,339,92,1608,7599,8442,21797,8097
2006-08-04,2006-05-09,2006-11-03,0.867495226421,0.726950314438,0.605095067485,0.815892245014,0.953140582404,0.882560300287,0.766952963262,0.905002383413,63,71,224,54,68,172,169,526,187,195,92,92,339,92,97,7599,8442,21797,8097,9003
2006-11-03,2006-08-04,2007-02-28,0.843580342822,0.609661466153,0.81257767144,0.816377890376,0.94865278487,0.772082822705,0.906572246377,0.911340560773,71,224,54,68,74,169,526,187,195,208,92,339,92,97,97,8442,21797,8097,9003,9432
2007-02-28,2006-11-03,2007-05-09,0.931717457957,0.677780150638,0.636344572278,0.650268616434,0.983610482195,0.821014119186,0.785431607647,0.793786174384,224,54,68,74,245,526,187,195,208,585,339,92,97,97,385,21797,8097,9003,9432,23050
2007-05-09,2007-02-28,2007-08-06,0.851765396187,0.749750346157,0.762341979888,0.684151821326,0.954183056903,0.885111041655,0.8926551715,0.826457265378,54,68,74,245,50,187,195,208,585,170,92,97,97,385,94,8097,9003,9432,23050,7533
2007-08-06,2007-05-09,2007-11-09,0.222051671115,0.205190894398,0.223270770812,0.227805762084,0.400604439934,0.389346825068,0.413821030111,0.404215293478,68,74,245,50,251,195,208,585,170,1132,97,97,385,94,1853,9003,9432,23050,7533,37385
2007-11-09,2007-08-06,2008-02-29,0.800996856381,0.615398213794,0.769832044659,0.26633434069,0.930132651809,0.78998305748,0.894492321959,0.463139740068,74,245,50,251,75,208,585,170,1132,234,97,385,94,1853,111,9432,23050,7533,37385,9911
2008-02-29,2007-11-09,2008-05-09,0.862603767468,0.653573968324,0.213845774097,0.666993955066,0.95042241039,0.811158059229,0.38595971912,0.809105457089,245,50,251,75,266,585,170,1132,234,681,385,94,1853,111,434,23050,7533,37385,9911,25348
2008-05-09,2008-02-29,2008-08-07,0.432430130853,0.230389038978,0.436916785959,0.420280003463,0.576858221528,0.430472923402,0.579628968713,0.554004938577,50,251,75,266,140,170,1132,234,681,812,94,1853,111,434,413,7533,37385,9911,25348,18210
2008-08-07,2008-05-09,2008-11-07,0.203272829758,0.646009974255,0.62574067095,0.426380659716,0.366279649029,0.847341203261,0.787149657518,0.563213430894,251,75,266,140,73,1132,234,681,812,234,1853,111,434,413,130,37385,9911,25348,18210,9496
2008-11-07,2008-08-07,2009-02-27,0.280928364851,0.281208548712,0.509458957242,0.275312621918,0.421636914002,0.423996955468,0.621256032952,0.397029450619,75,266,140,73,418,234,681,812,234,1284,111,434,413,130,1535,9911,25348,18210,9496,39427
2009-02-27,2008-11-07,2009-05-01,0.702805233141,0.367228759855,0.510162311771,0.486307575593,0.865037018487,0.547356144779,0.704117832964,0.643686395978,266,140,73,418,345,681,812,234,1284,947,434,413,130,1535,967,25348,18210,9496,39427,32823
2009-05-01,2009-02-27,2009-08-04,0.446113929872,0.691629864762,0.305765675364,0.554116264496,0.61186532079,0.866845377743,0.443713253533,0.753769408642,140,73,418,345,62,812,234,1284,947,202,413,130,1535,967,150,18210,9496,39427,32823,9351
2009-08-04,2009-05-01,2009-11-02,0.820793471761,0.257343210429,0.504551407746,0.816359606878,0.945740838783,0.395877552367,0.705326293764,0.909653630472,73,418,345,62,61,234,1284,947,202,208,130,1535,967,150,107,9496,39427,32823,9351,9470
2009-11-02,2009-08-04,2010-02-26,0.210268261,0.31857745828,0.402306595832,0.394638756032,0.413434758296,0.605190564198,0.686337738452,0.664944292479,418,345,62,61,155,1284,947,202,208,394,1535,967,150,107,635,39427,32823,9351,9470,15928
2010-02-26,2009-11-02,2010-04-30,0.705764673851,0.640432031479,0.618116727981,0.37578567576,0.85332836496,0.807674888326,0.782996133866,0.639558095477,345,62,61,155,289,947,202,208,394,757,967,150,107,635,325,32823,9351,9470,15928,25331
2010-04-30,2010-02-26,2010-07-30,0.798664125621,0.71742825878,0.391434208937,0.663314342505,0.930641805319,0.868782612266,0.651137234695,0.795516796113,62,61,155,289,68,202,208,394,757,225,150,107,635,325,100,9351,9470,15928,25331,8912
2010-07-30,2010-04-30,2010-10-29,0.105290804216,0.0507166531762,0.0877527808796,0.111969020936,0.180315885687,0.128145155507,0.157864284132,0.181994368861,61,155,289,68,180,208,394,757,225,4991,107,635,325,100,293,9470,15928,25331,8912,30702
2010-10-29,2010-07-30,2011-02-25,0.0554707640895,0.0853287058037,0.107659387875,0.997989608547,0.132548141822,0.153865396731,0.176774976905,0.997921928176,155,289,68,180,193,394,757,225,4991,5369,635,325,100,293,300,15928,25331,8912,30702,31958
2011-02-25,2010-10-29,2011-04-29,0.458609823187,0.376279183339,0.190589818157,0.180932966697,0.634751545006,0.558815107625,0.1994820652,0.191516797168,289,68,180,193,1305,757,225,4991,5369,3003,325,100,293,300,3778,25331,8912,30702,31958,95510
