filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-11-15,1999-08-16,2000-03-30,0.471317654204,0.555270660918,0.80712482221,0.853954959506,0.750812198608,0.772925925702,0.914367346166,0.932922695157,47,211,39,45,52,74,229,48,56,58,72,329,56,59,60,5082,18600,3997,4565,4699
2000-03-30,1999-11-15,2000-05-15,0.841515468971,0.570974119155,0.547909425648,0.561976123611,0.937354572287,0.793315167241,0.758725795276,0.76228638486,211,39,45,52,227,229,48,56,58,244,329,56,59,60,401,18600,3997,4565,4699,20087
2000-05-15,2000-03-30,2000-05-16,0.697481945855,0.638894419856,0.653737760979,0.592235825529,0.865218404672,0.813017769535,0.818222221862,0.764121559306,39,45,52,227,42,48,56,58,244,74,56,59,60,401,75,3997,4565,4699,20087,4684
2000-05-16,2000-05-15,2000-08-14,0.640399184718,0.65497103983,0.591960650588,0.998435202795,0.814005911701,0.819126364131,0.763652293725,0.999720906765,45,52,227,42,42,56,58,244,74,74,59,60,401,75,76,4565,4699,20087,4684,4679
2000-08-14,2000-05-16,2000-11-07,0.672675797048,0.5685539336,0.855263373875,0.856233076638,0.855853614957,0.760166465472,0.929808395037,0.930513067263,52,227,42,42,56,58,244,74,74,84,60,401,75,76,77,4699,20087,4684,4679,5324
2000-11-07,2000-08-14,2001-03-15,0.554819888092,0.807090992761,0.807617548326,0.837826849196,0.755763643416,0.926687429975,0.927359422831,0.93895519048,227,42,42,56,63,244,74,74,84,96,401,75,76,77,86,20087,4684,4679,5324,5916
2001-03-15,2000-11-07,2001-05-11,0.189123464799,0.188754142546,0.188082633549,0.183281774296,0.330126388429,0.329846868484,0.335581051964,0.328648720697,42,42,56,63,1656,74,74,84,96,5475,75,76,77,86,11303,4684,4679,5324,5916,165531
2001-05-11,2001-03-15,2001-08-09,0.761910747332,0.674888732718,0.685601344339,0.187687601857,0.931633100604,0.869540974582,0.880714722152,0.331269273253,42,56,63,1656,46,74,84,96,5475,80,76,77,86,11303,70,4679,5324,5916,165531,4935
2001-08-09,2001-05-11,2001-11-14,0.704401014612,0.642563403473,0.175508914404,0.784544149681,0.902234145694,0.855733720075,0.319113936549,0.894541664175,56,63,1656,46,61,84,96,5475,80,80,77,86,11303,70,71,5324,5916,165531,4935,5321
2001-11-14,2001-08-09,2002-03-19,0.634657844445,0.181230721267,0.676350561928,0.7460746818,0.856440608921,0.336217742016,0.853329464236,0.892239360933,63,1656,46,61,61,96,5475,80,80,125,86,11303,70,71,92,5916,165531,4935,5321,6626
2002-03-19,2001-11-14,2002-05-15,0.894221030572,0.19913960902,0.191022738336,0.204902286531,0.944985744831,0.356582932429,0.347274960361,0.374156518466,1656,46,61,61,1455,5475,80,80,125,4772,11303,70,71,92,9629,165531,4935,5321,6626,155162
2002-05-15,2002-03-19,2002-06-20,0.593191483053,0.553955524083,0.561424404465,0.2051952431,0.842511721644,0.824037698451,0.823964697715,0.364042326013,46,61,61,1455,86,80,80,125,4772,161,70,71,92,9629,104,4935,5321,6626,155162,7407
2002-06-20,2002-05-15,2002-08-06,0.455098715456,0.471904138929,0.213244868688,0.51136307988,0.650765790531,0.663519474823,0.342759551905,0.702614956481,61,61,1455,86,186,80,125,4772,161,212,71,92,9629,104,247,5321,6626,155162,7407,12738
2002-08-06,2002-06-20,2002-11-14,0.540412428497,0.204548551978,0.661471272419,0.474711508133,0.798635583305,0.368916005329,0.85077245318,0.699302983599,61,1455,86,186,125,125,4772,161,212,274,92,9629,104,247,243,6626,155162,7407,12738,11878
2002-11-14,2002-08-06,2003-03-11,0.191174367922,0.681545444877,0.481918075149,0.778319004204,0.344322933901,0.860524598434,0.70251640951,0.899638191281,1455,86,186,125,111,4772,161,212,274,272,9629,104,247,243,163,155162,7407,12738,11878,12326
2003-03-11,2002-11-14,2003-05-13,0.481945786177,0.514261095808,0.504422619201,0.520074538422,0.705148743944,0.691530330968,0.724283679849,0.708764968133,86,186,125,111,461,161,212,274,272,877,104,247,243,163,1754,7407,12738,11878,12326,45524
2003-05-13,2003-03-11,2003-08-08,0.286067381298,0.389859203562,0.406840913994,0.745650052886,0.451848286414,0.577023591951,0.566804085189,0.858462265348,186,125,111,461,130,212,274,272,877,313,247,243,163,1754,664,12738,11878,12326,45524,17245
2003-08-08,2003-05-13,2003-11-12,0.496136766475,0.45324665478,0.738452155862,0.916890149358,0.68712400723,0.640378437228,0.863696281933,0.957684762374,125,111,461,130,137,274,272,877,313,353,243,163,1754,664,686,11878,12326,45524,17245,20039
