filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-27,1994-11-10,1995-05-12,0.561105845437,0.197433955618,0.201003844863,0.202347667507,0.783940348045,0.442626952267,0.45444671022,0.469920586956,270,20,21,28,394,506,37,34,54,964,1230,24,27,37,1875,28226,1857,2155,2273,35820
1995-05-12,1995-03-27,1995-08-08,0.289186753372,0.25560110159,0.245365548719,0.354302289788,0.508826632509,0.490623508206,0.493976822281,0.590587387771,20,21,28,394,75,37,34,54,964,168,24,27,37,1875,259,1857,2155,2273,35820,4743
1995-08-08,1995-05-12,1995-11-14,0.537537090775,0.465758899848,0.209878073654,0.312984210955,0.855522529882,0.819114533366,0.432514256939,0.492033636381,21,28,394,75,13,34,54,964,168,53,27,37,1875,259,45,2155,2273,35820,4743,2117
1995-11-14,1995-08-08,1996-03-25,0.4724234849,0.222050593445,0.299009007948,0.671634715591,0.845193582461,0.468668378012,0.507467786719,0.896444054301,28,394,75,13,26,54,964,168,53,64,37,1875,259,45,46,2273,35820,4743,2117,2560
1996-03-25,1995-11-14,1996-05-13,0.53640774838,0.341213893752,0.374001250177,0.411590144814,0.735078919546,0.583550340451,0.651240645469,0.696968502449,394,75,13,26,191,964,168,53,64,339,1875,259,45,46,406,35820,4743,2117,2560,15223
1996-05-13,1996-03-25,1996-08-12,0.275991704773,0.140127225491,0.151751241979,0.268736591241,0.413657431998,0.266542869584,0.304767211055,0.41879425884,75,13,26,191,91,168,53,64,339,294,259,45,46,406,818,4743,2117,2560,15223,10482
1996-08-12,1996-05-13,1996-11-13,0.544437326305,0.472813606819,0.375344845996,0.172647516105,0.868767227068,0.82559878464,0.651843809741,0.293957985958,13,26,191,91,28,53,64,339,294,97,45,46,406,818,91,2117,2560,15223,10482,2640
1996-11-13,1996-08-12,1997-03-24,0.388107181032,0.414214129828,0.292410397582,0.481986374503,0.690054167625,0.687881068726,0.458194133829,0.699493112314,26,191,91,28,45,64,339,294,97,130,46,406,818,91,175,2560,15223,10482,2640,4419
1997-03-24,1996-11-13,1997-05-15,0.895665062515,0.254936832689,0.414794966384,0.429201099672,0.972111396607,0.402300044414,0.687148697915,0.688820281813,191,91,28,45,177,339,294,97,130,344,406,818,91,175,404,15223,10482,2640,4419,13827
1997-05-15,1997-03-24,1997-08-12,0.158191309302,0.560457178874,0.409691071044,0.411751179875,0.287874925169,0.87297941972,0.67311196761,0.691499777593,91,28,45,177,22,294,97,130,344,93,818,91,175,404,95,10482,2640,4419,13827,2409
1997-08-12,1997-05-15,1997-11-13,0.56456572893,0.381478759782,0.40411313864,0.579348942966,0.869745826945,0.640807694586,0.669292646268,0.844435295618,28,45,177,22,43,97,130,344,93,152,91,175,404,95,105,2640,4419,13827,2409,3596
1997-11-13,1997-08-12,1998-03-24,0.318128537843,0.293037388926,0.267142556987,0.333129655522,0.495967274479,0.477052043981,0.444808426081,0.457977635127,45,177,22,43,80,130,344,93,152,273,175,404,95,105,581,4419,13827,2409,3596,8388
1998-03-24,1997-11-13,1998-05-12,0.759792692867,0.440477037971,0.497175737571,0.289026621673,0.91783629603,0.723858177315,0.729808680183,0.445453980629,177,22,43,80,202,344,93,152,273,415,404,95,105,581,328,13827,2409,3596,8388,14356
1998-05-12,1998-03-24,1998-08-13,0.259796591673,0.229110539346,0.383327718629,0.271298799573,0.478968183522,0.425572039483,0.592593181723,0.474455340131,22,43,80,202,74,93,152,273,415,154,95,105,581,328,299,2409,3596,8388,14356,5832
1998-08-13,1998-05-12,1998-11-13,0.279273409372,0.934176490919,0.273881731605,0.398214284258,0.451065247636,0.97695860403,0.44294024761,0.599770002098,43,80,202,74,78,152,273,415,154,282,105,581,328,299,567,3596,8388,14356,5832,8290
1998-11-13,1998-08-13,1999-03-26,0.388678421471,0.320599819278,0.902963262003,0.424607535158,0.599420186051,0.558231771715,0.954300218511,0.615870807534,80,202,74,78,91,273,415,154,282,207,581,328,299,567,302,8388,14356,5832,8290,7005
1999-03-26,1998-11-13,1999-05-13,0.73596240673,0.307062406718,0.36131150574,0.362194142725,0.891429386775,0.504264419175,0.529128283083,0.577125227461,202,74,78,91,307,415,154,282,207,644,328,299,567,302,702,14356,5832,8290,7005,20570
1999-05-13,1999-03-26,1999-07-16,0.247317968471,0.239235351616,0.337708041615,0.47828441494,0.458542406382,0.434516638258,0.562838187915,0.713912325266,74,78,91,307,42,154,282,207,644,154,299,567,302,702,89,5832,8290,7005,20570,3595
1999-07-16,1999-05-13,1999-08-12,0.096633743209,0.118160186705,0.138619388031,0.201867001874,0.219341375283,0.270865693116,0.279448735476,0.373458844315,78,91,307,42,2,282,207,644,154,1,567,302,702,89,11,8290,7005,20570,3595,343
1999-08-12,1999-07-16,1999-11-12,0.357936109809,0.425479527939,0.753676144261,0.165195199663,0.563168309758,0.641145565729,0.882449652564,0.325450175695,91,307,42,2,53,207,644,154,1,141,302,702,89,11,66,7005,20570,3595,343,4120
1999-11-12,1999-08-12,2000-03-30,0.41900876273,0.723060411979,0.160209782569,0.846820133495,0.636436528246,0.879623758913,0.32235289212,0.954063309426,307,42,2,53,66,644,154,1,141,133,702,89,11,66,64,20570,3595,343,4120,4240
2000-03-30,1999-11-12,2000-05-12,0.505113754509,0.161480976456,0.46892974174,0.480419011658,0.761939286716,0.321501650766,0.701459317106,0.705132382467,42,2,53,66,222,154,1,141,133,423,89,11,66,64,393,3595,343,4120,4240,15024
2000-05-12,2000-03-30,2000-08-14,0.210475751335,0.58458843538,0.590703689313,0.533880903364,0.399080349945,0.833673309763,0.842754267904,0.757467500668,2,53,66,222,35,1,141,133,423,113,11,66,64,393,103,343,4120,4240,15024,3098
2000-08-14,2000-05-12,2000-11-14,0.655777283063,0.607443198579,0.472717183863,0.730827940663,0.903230662217,0.872029378633,0.714580533794,0.89025882498,53,66,222,35,46,141,133,423,113,122,66,64,393,103,138,4120,4240,15024,3098,3900
2000-11-14,2000-08-14,2001-03-28,0.629876809417,0.476020494094,0.705577916792,0.801912774903,0.891756194722,0.731142507788,0.894171717661,0.945494288317,66,222,35,46,61,133,423,113,122,122,64,393,103,138,149,4240,15024,3098,3900,4163
2001-03-28,2000-11-14,2001-05-15,0.764892170416,0.49295827025,0.465877739836,0.50478792601,0.920921420633,0.732835203579,0.704776510918,0.730351415919,222,35,46,61,241,423,113,122,122,387,393,103,138,149,450,15024,3098,3900,4163,16033
2001-05-15,2001-03-28,2001-08-13,0.469610305789,0.422725586042,0.452500542941,0.688913889683,0.732145277176,0.689107066256,0.709874867464,0.830735453182,35,46,61,241,91,113,122,122,387,213,103,138,149,450,235,3098,3900,4163,16033,5953
2001-08-13,2001-05-15,2001-11-13,0.371672317681,0.363362012121,0.358744561792,0.364102646396,0.561690919856,0.547514432582,0.55787896099,0.549950132913,46,61,241,91,103,122,122,387,213,313,138,149,450,235,654,3900,4163,16033,5953,9862
2001-11-13,2001-08-13,2002-03-28,0.358411171497,0.529289257972,0.401451346931,0.410401358157,0.561336220385,0.720110909717,0.643583011454,0.575064789967,61,241,91,103,180,122,387,213,313,389,149,450,235,654,584,4163,16033,5953,9862,12334
2002-03-28,2001-11-13,2002-05-13,0.836461432725,0.690249216153,0.350833418434,0.447699658526,0.950973247354,0.856395698387,0.553077573857,0.661102021657,241,91,103,180,273,387,213,313,389,499,450,235,654,584,433,16033,5953,9862,12334,17867
2002-05-13,2002-03-28,2002-08-14,0.326536861954,0.303828978528,0.757698260113,0.390505759782,0.571238978069,0.48996915203,0.856974830281,0.608458595628,91,103,180,273,56,213,313,389,499,215,235,654,584,433,273,5953,9862,12334,17867,6680
2002-08-14,2002-05-13,2002-11-12,0.321095675192,0.275713303352,0.377343567142,0.338056285778,0.506773440563,0.437748072969,0.603778465837,0.496806749784,103,180,273,56,35,313,389,499,215,160,654,584,433,273,91,9862,12334,17867,6680,4002
2002-11-12,2002-08-14,2003-03-20,0.37288336368,0.483391637881,0.357842493737,0.578250666643,0.580672639115,0.710630143101,0.579569843582,0.758713598248,180,273,56,35,73,389,499,215,160,265,584,433,273,91,227,12334,17867,6680,4002,7430
2003-03-20,2002-11-12,2003-05-08,0.711157665443,0.449600981976,0.464420064298,0.483589026137,0.865311241906,0.638053335874,0.698660008483,0.719111887774,273,56,35,73,251,499,215,160,265,512,433,273,91,227,409,17867,6680,4002,7430,17859
2003-05-08,2003-03-20,2003-08-06,0.329868720775,0.488134474102,0.485897373172,0.552917809475,0.52657933707,0.757078399988,0.726418773599,0.767282816659,56,35,73,251,39,215,160,265,512,190,273,91,227,409,102,6680,4002,7430,17859,4714
2003-08-06,2003-05-08,2003-11-12,0.659520902038,0.501014419368,0.499090649371,0.68708844714,0.87054031896,0.743136312554,0.725180552979,0.869095884401,35,73,251,39,49,160,265,512,190,194,91,227,409,102,110,4002,7430,17859,4714,5268
2003-11-12,2003-08-06,2004-03-15,0.520671074659,0.500315650568,0.663940124571,0.85837909423,0.76457659539,0.733197344991,0.868425084792,0.955633158748,73,251,39,49,54,265,512,190,194,210,227,409,102,110,123,7430,17859,4714,5268,5594
2004-03-15,2003-11-12,2004-05-07,0.494185129001,0.28731087174,0.278848764078,0.28550687014,0.687313885736,0.50712027468,0.468575566031,0.473585095591,251,39,49,54,428,512,190,194,210,857,409,102,110,123,1468,17859,4714,5268,5594,34684
2004-05-07,2004-03-15,2004-08-05,0.598741362507,0.579070969821,0.587926873234,0.315452951864,0.862145609385,0.820709351842,0.829819551504,0.520905314916,39,49,54,428,53,190,194,210,857,232,102,110,123,1468,151,4714,5268,5594,34684,5956
2004-08-05,2004-05-07,2004-11-05,0.283874337247,0.269292865583,0.383057786241,0.353955902148,0.456551807787,0.442415096002,0.555322703096,0.493989968854,49,54,428,53,192,194,210,857,232,604,110,123,1468,151,759,5268,5594,34684,5956,14209
2004-11-05,2004-08-05,2005-03-08,0.294841339717,0.373902219907,0.341410509965,0.333100133702,0.489773638158,0.636634889437,0.524456260208,0.516791402392,54,428,53,192,132,210,857,232,604,580,123,1468,151,759,648,5594,34684,5956,14209,16653
2005-03-08,2004-11-05,2005-05-05,0.463348140778,0.547536091508,0.337223924029,0.369910959192,0.660719126052,0.784626961163,0.531986085919,0.583452209876,428,53,192,132,358,857,232,604,580,835,1468,151,759,648,681,34684,5956,14209,16653,24030
2005-05-05,2005-03-08,2005-08-03,0.636174841674,0.277152261862,0.317695494275,0.582882044489,0.890044378637,0.463678960301,0.531231086439,0.795384739992,53,192,132,358,65,232,604,580,835,378,151,759,648,681,289,5956,14209,16653,24030,7120
2005-08-03,2005-05-05,2005-11-03,0.292076248671,0.282530656372,0.503881905391,0.670748017813,0.467024243892,0.491554718656,0.745132249068,0.874729650539,192,132,358,65,80,604,580,835,378,393,759,648,681,289,335,14209,16653,24030,7120,7944
