filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-11-13,1995-09-27,1996-03-13,0.262860782305,0.648772370057,0.749389706364,0.150882260086,0.612626580517,0.862151771754,0.901937506858,0.325834269014,65,23,30,2,33,79,98,89,0,39,212,77,79,8,47,8197,3312,3707,267,3151
1996-03-13,1995-11-13,1996-05-15,0.335686410823,0.331830806819,0.109268378726,0.333973142726,0.590583471785,0.580660716476,0.248868017666,0.566922214244,23,30,2,33,607,98,89,0,39,815,77,79,8,47,1881,3312,3707,267,3151,43456
1996-05-15,1996-03-13,1996-08-13,0.42000552334,0.143327607957,0.425371342183,0.31817806089,0.741101115006,0.311980930418,0.726016221981,0.568230483954,30,2,33,607,26,89,0,39,815,48,79,8,47,1881,46,3707,267,3151,43456,3892
1996-08-13,1996-05-15,1996-11-13,0.154981676378,0.47305850828,0.32443366845,0.697190076656,0.319884573142,0.759428072619,0.567701690479,0.895890681857,2,33,607,26,31,0,39,815,48,84,8,47,1881,46,75,267,3151,43456,3892,5284
1996-11-13,1996-08-13,1997-03-14,0.531480114123,0.309848977218,0.659748802125,0.782619657484,0.800575938026,0.54909546245,0.88230918115,0.920044832906,33,607,26,31,32,39,815,48,84,61,47,1881,46,75,66,3151,43456,3892,5284,4823
1997-03-14,1996-11-13,1997-05-09,0.792442296953,0.406573464647,0.419440215839,0.416944861364,0.916613695029,0.661831948533,0.65819967734,0.64345820694,607,26,31,32,605,815,48,84,61,753,1881,46,75,66,1599,43456,3892,5284,4823,40942
1997-05-09,1997-03-14,1997-08-12,0.557143543993,0.562569437282,0.593977957158,0.389448583289,0.859088890213,0.835878409006,0.850078964512,0.61317590538,26,31,32,605,19,48,84,61,753,30,46,75,66,1599,37,3892,5284,4823,40942,3053
1997-08-12,1997-05-09,1997-11-14,0.586845760246,0.554840588345,0.400584370781,0.717176380862,0.882493561512,0.852742230012,0.650430934235,0.892755383562,31,32,605,19,29,84,61,753,30,62,75,66,1599,37,59,5284,4823,40942,3053,3831
1997-11-14,1997-08-12,1998-03-19,0.581732884249,0.395939448902,0.683400472694,0.784335764898,0.879851674866,0.654597094255,0.881950990806,0.924965315262,32,605,19,29,30,61,753,30,62,56,66,1599,37,59,57,4823,40942,3053,3831,4202
1998-03-19,1997-11-14,1998-05-08,0.885182604479,0.388077696221,0.408402744268,0.415633715719,0.966285660513,0.622158961987,0.660275452931,0.671480425694,605,19,29,30,463,753,30,62,56,793,1599,37,59,57,1700,40942,3053,3831,4202,37085
1998-05-08,1998-03-19,1998-08-14,0.575774411311,0.565501148352,0.58415314651,0.431118549244,0.869294669842,0.859363726862,0.872647123359,0.693782457332,19,29,30,463,26,30,62,56,793,82,37,59,57,1700,77,3053,3831,4202,37085,3768
