filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-05-15,1996-02-13,1996-09-23,0.174333559827,0.236565512188,0.0799460384562,0.349635816528,0.398802031975,0.475215501266,0.159462747058,0.555366906994,58,262,15,190,600,260,1003,15,652,1844,610,2347,17,1561,4041,9164,35992,1489,23681,51551
1996-09-23,1996-05-15,1996-11-13,0.293361788098,0.228568312322,0.514025437497,0.284928112008,0.594519619849,0.454696027321,0.647970325928,0.472588779978,262,15,190,600,286,1003,15,652,1844,664,2347,17,1561,4041,944,35992,1489,23681,51551,22440
1996-11-13,1996-09-23,1997-02-12,0.339522486413,0.247851926856,0.203522822131,0.334128592247,0.535043400086,0.423249484294,0.327956776628,0.586710009298,15,190,600,286,65,15,652,1844,664,256,17,1561,4041,944,268,1489,23681,51551,22440,5247
1997-02-12,1996-11-13,1997-05-14,0.174283223325,0.13340160296,0.294352607034,0.483594703058,0.379936525825,0.276866252954,0.612249890077,0.737604418053,190,600,286,65,62,652,1844,664,256,228,1561,4041,944,268,183,23681,51551,22440,5247,4917
1997-05-14,1997-02-12,1997-09-26,0.182329955765,0.385484212368,0.406094926483,0.450459095745,0.29776764778,0.652833161276,0.669801316298,0.776920480532,600,286,65,62,116,1844,664,256,228,214,4041,944,268,183,250,51551,22440,5247,4917,6570
1997-09-26,1997-05-14,1997-11-14,0.444167223051,0.582511614096,0.423420795612,0.478694291926,0.688321568523,0.773329071309,0.737336213297,0.726197305298,286,65,62,116,267,664,256,228,214,650,944,268,183,250,861,22440,5247,4917,6570,21339
1997-11-14,1997-09-26,1998-02-13,0.408011759261,0.405570418424,0.670475007343,0.512296777165,0.68331250753,0.764102520441,0.898797673651,0.755220311117,65,62,116,267,108,256,228,214,650,212,268,183,250,861,205,5247,4917,6570,21339,6268
1998-02-13,1997-11-14,1998-05-12,0.107828661056,0.138864502141,0.152393946128,0.140942059432,0.337324079864,0.349923678135,0.363461076363,0.336448011466,62,116,267,108,137,228,214,650,212,594,183,250,861,205,1443,4917,6570,21339,6268,19112
1998-05-12,1998-02-13,1998-09-24,0.223152599269,0.239837693628,0.21033814086,0.165703594404,0.389346955601,0.403249387854,0.357537771178,0.439229758458,116,267,108,137,409,214,650,212,594,1425,250,861,205,1443,3041,6570,21339,6268,19112,40889
1998-09-24,1998-05-12,1998-11-12,0.407329960335,0.463235048634,0.179156344439,0.35191040517,0.641680423648,0.678823013786,0.454915420318,0.580286709425,267,108,137,409,404,650,212,594,1425,1052,861,205,1443,3041,1597,21339,6268,19112,40889,34208
