filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-10,1994-08-12,1995-03-24,0.351899919945,0.150198840277,0.641230546076,0.771311782331,0.579850536225,0.365818192545,0.819489370195,0.866566217764,316,51,37,44,46,717,33,55,69,55,1004,44,22,32,20,25558,3241,2208,2695,2889
1995-03-24,1994-11-10,1995-05-11,0.267318627359,0.449043433144,0.448775746131,0.444383898396,0.5623879952,0.674874334134,0.642767873529,0.647416323217,51,37,44,46,189,33,55,69,55,432,44,22,32,20,212,3241,2208,2695,2889,14943
1995-05-11,1995-03-24,1995-08-08,0.492630369783,0.417479804999,0.401774971241,0.348102350569,0.785098150541,0.692011548981,0.688135773509,0.612647376225,37,44,46,189,32,55,69,55,432,39,22,32,20,212,62,2208,2695,2889,14943,2128
1995-08-08,1995-05-11,1995-11-13,0.582835086155,0.443215276851,0.32836502364,0.490789579198,0.856311916597,0.730995363999,0.549624831546,0.704194233815,44,46,189,32,27,69,55,432,39,44,32,20,212,62,16,2695,2889,14943,2128,2169
1995-11-13,1995-08-08,1996-03-28,0.580898608052,0.333465722311,0.450547984268,0.661486334119,0.859771506061,0.58455658908,0.707790050055,0.810351832127,46,189,32,27,39,55,432,39,44,46,20,212,62,16,16,2889,14943,2128,2169,2496
1996-03-28,1995-11-13,1996-05-10,0.841271545222,0.366350148781,0.323263866971,0.3478836162,0.949090220495,0.634905360297,0.536009401937,0.577124775755,189,32,27,39,208,432,39,44,46,429,212,62,16,16,431,14943,2128,2169,2496,16435
1996-05-10,1996-03-28,1996-08-13,0.521881876024,0.433763842702,0.421964137654,0.329745956489,0.825609194162,0.706133247711,0.718308487467,0.576428649868,32,27,39,208,31,39,44,46,429,28,62,16,16,431,12,2128,2169,2496,16435,1706
1996-08-13,1996-05-10,1996-11-13,0.652974129363,0.42789008937,0.298278968237,0.62943124496,0.890755334644,0.732141662276,0.520393775435,0.771709438734,27,39,208,31,40,44,46,429,28,42,16,16,431,12,16,2169,2496,16435,1706,2108
1996-11-13,1996-08-13,1997-03-26,0.622300477926,0.276457461323,0.541297196087,0.609340440053,0.884785739074,0.506087761716,0.731047824509,0.77601721434,39,208,31,40,50,46,429,28,42,48,16,431,12,16,16,2496,16435,1706,2108,2246
1997-03-26,1996-11-13,1997-04-29,0.590367892429,0.241167295858,0.226532133108,0.218640305055,0.796349780638,0.467991088663,0.430253130862,0.424201202477,208,31,40,50,317,429,28,42,48,984,431,12,16,16,1631,16435,1706,2108,2246,31897
