filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-03-28,1995-11-14,1996-05-14,0.745798494918,0.257046173771,0.232711904234,0.243702569381,0.870157844668,0.494638661695,0.439700991122,0.469064932026,122,17,20,22,111,172,8,11,10,201,518,14,13,19,645,17457,1543,1788,1891,15345
1996-05-14,1996-03-28,1996-08-14,0.631316759505,0.497769819678,0.51117190601,0.243822068715,0.892302040724,0.749312223538,0.766891195703,0.469705439566,17,20,22,111,13,8,11,10,201,11,14,13,19,645,17,1543,1788,1891,15345,1576
1996-08-14,1996-05-14,1996-11-13,0.719882615581,0.522841934235,0.257056600425,0.472272072035,0.919950030975,0.766960436503,0.498361985944,0.738088692418,20,22,111,13,13,11,10,201,11,13,13,19,645,17,46,1788,1891,15345,1576,2134
1996-11-13,1996-08-14,1997-03-21,0.765659475455,0.225210634158,0.484043419672,0.602714723315,0.935177275175,0.443819866575,0.745912409921,0.789489560584,22,111,13,13,14,10,201,11,13,12,19,645,17,46,24,1891,15345,1576,2134,1931
1997-03-21,1996-11-13,1997-05-15,0.378779674679,0.134495326391,0.144143525222,0.129801368227,0.665376400786,0.331600787482,0.344389397892,0.30835373347,111,13,13,14,188,201,11,13,12,610,645,17,46,24,1356,15345,1576,2134,1931,29354
1997-05-15,1997-03-21,1997-07-10,0.639878165987,0.46883665357,0.501340252078,0.154992628021,0.892196374652,0.732246963105,0.74004998126,0.364916054714,13,13,14,188,13,11,13,12,610,10,17,46,24,1356,28,1576,2134,1931,29354,1763
1997-07-10,1997-05-15,1997-08-14,0.0628133608624,0.0563875506037,0.589358098314,0.0615873032974,0.175957655148,0.158553334674,0.621198657513,0.170522945468,13,14,188,13,50,13,12,610,10,208,46,24,1356,28,279,2134,1931,29354,1763,13269
1997-08-14,1997-07-10,1997-11-14,0.550749377762,0.124181111388,0.549283916936,0.0532525686555,0.772653673484,0.301332671659,0.747685169617,0.150188803011,14,188,13,50,13,12,610,10,208,12,24,1356,28,279,27,1931,29354,1763,13269,2162
1997-11-14,1997-08-14,1998-03-19,0.121563305444,0.487821307279,0.0528812397684,0.63356325044,0.304935338845,0.716527735862,0.149054303992,0.788373731085,188,13,50,13,16,610,10,208,12,20,1356,28,279,27,32,29354,1763,13269,2162,2257
1998-03-19,1997-11-14,1998-04-08,0.172332231376,0.435168991963,0.148870032542,0.1534737753,0.351923780397,0.680893984571,0.303765683086,0.312281180178,13,50,13,16,271,10,208,12,20,719,28,279,27,32,1475,1763,13269,2162,2257,36181
1998-04-08,1998-03-19,1998-05-14,0.0329631955003,0.0775910901638,0.106964983948,0.0704235778191,0.0923208440998,0.234792761794,0.27396562597,0.190492828021,50,13,16,271,2,208,12,20,719,4,279,27,32,1475,12,13269,2162,2257,36181,286
1998-05-14,1998-04-08,1998-08-14,0.358561927046,0.377389273105,0.192658494816,0.118681280731,0.661510040078,0.663533447588,0.387453218666,0.30589797382,13,16,271,2,20,12,20,719,4,26,27,32,1475,12,28,2162,2257,36181,286,2160
