filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-04-17,1995-12-12,1996-06-18,0.613404606206,0.253552283536,0.263092301823,0.39454619413,0.788200014013,0.52220299751,0.594830657686,0.677657588256,871,6,42,135,211,1856,31,257,424,507,4029,31,401,910,1345,79482,1868,6934,13254,27253
1996-06-18,1996-04-17,1996-09-17,0.471375022361,0.225507915809,0.29241988089,0.310414892467,0.676416499848,0.482030768801,0.550218965062,0.594913848263,6,42,135,211,20,31,257,424,507,41,31,401,910,1345,126,1868,6934,13254,27253,3035
1996-09-17,1996-06-18,1996-12-17,0.210943429381,0.28586309654,0.338253032748,0.209927415414,0.407478183997,0.530446470484,0.54431636852,0.391287898632,42,135,211,20,394,257,424,507,41,1821,401,910,1345,126,2818,6934,13254,27253,3035,43545
1996-12-17,1996-09-17,1997-04-17,0.233942432435,0.267847290111,0.476854896829,0.116923704042,0.427288968901,0.508862523687,0.651876798693,0.202723034616,135,211,20,394,19,424,507,41,1821,30,910,1345,126,2818,14,13254,27253,3035,43545,2015
1997-04-17,1996-12-17,1997-06-17,0.345585855206,0.20200183422,0.376011506231,0.0938380553499,0.520058365257,0.330572736747,0.543590292622,0.182395215983,211,20,394,19,2314,507,41,1821,30,3774,1345,126,2818,14,9643,27253,3035,43545,2015,155594
1997-06-17,1997-04-17,1997-09-16,0.252167910112,0.131126642786,0.275411283619,0.199202958853,0.474689473657,0.272245226677,0.544088326051,0.368233224723,20,394,19,2314,38,41,1821,30,3774,63,126,2818,14,9643,78,3035,43545,2015,155594,3621
1997-09-16,1997-06-17,1997-12-16,0.265712722275,0.062461662633,0.302702251522,0.0917861657486,0.522085982298,0.157653412927,0.507602392603,0.239063440541,394,19,2314,38,636,1821,30,3774,63,1174,2818,14,9643,78,2623,43545,2015,155594,3621,46194
1997-12-16,1997-09-16,1997-12-17,0.219689066754,0.340054203734,0.146047551117,0.119286660903,0.463742711591,0.49709807695,0.363001430093,0.3079295459,19,2314,38,636,27,30,3774,63,1174,55,14,9643,78,2623,262,2015,155594,3621,46194,3770
1997-12-17,1997-12-16,1998-04-16,0.0785592884105,0.206655217015,0.0556874975217,0.18306779562,0.149720295341,0.386197832691,0.131076853235,0.345008386472,2314,38,636,27,2,3774,63,1174,55,3,9643,78,2623,262,6,155594,3621,46194,3770,368
1998-04-16,1997-12-17,1998-06-16,0.276797716541,0.171085672069,0.17675413255,0.167019813301,0.60249703451,0.334895196513,0.406975318382,0.325053864811,38,636,27,2,140,63,1174,55,3,324,78,2623,262,6,696,3621,46194,3770,368,19553
1998-06-16,1998-04-16,1998-09-15,0.0524507797296,0.15452848651,0.298739634682,0.182568622989,0.137536031292,0.370334790581,0.497751074195,0.405519504948,636,27,2,140,9,1174,55,3,324,12,2623,262,6,696,15,46194,3770,368,19553,1612
1998-09-15,1998-06-16,1998-12-15,0.122253023163,0.126207731123,0.164795970036,0.151005012622,0.372332267564,0.296651090726,0.427503319265,0.35731427261,27,2,140,9,57,55,3,324,12,79,262,6,696,15,165,3770,368,19553,1612,5409
1998-12-15,1998-09-15,1999-04-21,0.255552541049,0.282097932627,0.303808788824,0.256858530051,0.451904565523,0.607596806353,0.595965917106,0.516776557709,2,140,9,57,17,3,324,12,79,59,6,696,15,165,77,368,19553,1612,5409,3144
1999-04-21,1998-12-15,1999-06-15,0.572635005686,0.218187267227,0.189781932936,0.381786220919,0.808938634163,0.42646658318,0.420738924606,0.647586547712,140,9,57,17,170,324,12,79,59,316,696,15,165,77,535,19553,1612,5409,3144,16282
1999-06-15,1999-04-21,1999-09-14,0.046465626096,0.0766701340163,0.132931345303,0.133496527955,0.109208053283,0.196935541805,0.221935292912,0.23721817856,9,57,17,170,449,12,79,59,316,1128,15,165,77,535,3711,1612,5409,3144,16282,66662
1999-09-14,1999-06-15,1999-12-14,0.167252058298,0.193329663518,0.154094631322,0.54453678647,0.278950936437,0.255309759639,0.244165678416,0.753108646936,57,17,170,449,508,79,59,316,1128,1476,165,77,535,3711,4534,5409,3144,16282,66662,68862
