filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-05-14,2003-03-07,2003-08-08,0.163457429612,0.314583091729,0.508979321833,0.539253496265,0.335081488506,0.530117921209,0.727627583074,0.709258158506,177,277,66,484,86,624,978,323,1196,358,1199,1733,338,1503,419,17698,31156,11243,40485,10122
2003-08-08,2003-05-14,2003-11-07,0.617903394869,0.241922735342,0.315600228538,0.271656315698,0.750816992244,0.398186383406,0.528684558802,0.468880612779,277,66,484,86,623,978,323,1196,358,2927,1733,338,1503,419,5428,31156,11243,40485,10122,70308
2003-11-07,2003-08-08,2004-03-04,0.681791828027,0.408116023971,0.604301422449,0.217804294025,0.880857751039,0.568644234357,0.771902160299,0.366880261329,66,484,86,623,73,323,1196,358,2927,410,338,1503,419,5428,437,11243,40485,10122,70308,9658
2004-03-04,2003-11-07,2004-05-10,0.645367328768,0.637545861178,0.269527265857,0.577759941784,0.785461517549,0.806464429686,0.449564785395,0.738352424368,484,86,623,73,377,1196,358,2927,410,913,1503,419,5428,437,944,40485,10122,70308,9658,27183
2004-05-10,2004-03-04,2004-08-05,0.609626568756,0.209246914716,0.627408655206,0.655153241937,0.820397664216,0.375400904233,0.809433489699,0.820876235617,86,623,73,377,67,358,2927,410,913,356,419,5428,437,944,402,10122,70308,9658,27183,7852
2004-08-05,2004-05-10,2004-11-09,0.650237592509,0.221892909568,0.277876556279,0.263727892812,0.78221201007,0.398737572918,0.471089594908,0.42956322699,623,73,377,67,311,2927,410,913,356,1129,5428,437,944,402,2168,70308,9658,27183,7852,33802
2004-11-09,2004-08-05,2005-03-02,0.624950095969,0.52218057199,0.630244778414,0.29859750147,0.864546865764,0.747608860365,0.831020045438,0.4982218632,73,377,67,311,100,410,913,356,1129,553,437,944,402,2168,718,9658,27183,7852,33802,11402
2005-03-02,2004-11-09,2005-05-09,0.736362503822,0.564451101955,0.311932984656,0.500913656284,0.879809815805,0.750529351923,0.513507320225,0.715120598468,377,67,311,100,434,913,356,1129,553,1056,944,402,2168,718,1402,27183,7852,33802,11402,33354
2005-05-09,2005-03-02,2005-08-05,0.472243401916,0.302022209659,0.41053808552,0.44071661129,0.712165769539,0.573622350979,0.684836988749,0.67741564575,67,311,100,434,115,356,1129,553,1056,728,402,2168,718,1402,948,7852,33802,11402,33354,13844
2005-08-05,2005-05-09,2005-11-03,0.944565071065,0.284879336532,0.329277882461,0.302681517154,0.971945026994,0.496349040622,0.533125293327,0.562130233035,311,100,434,115,299,1129,553,1056,728,1224,2168,718,1402,948,2269,33802,11402,33354,13844,33946
2005-11-03,2005-08-05,2006-03-16,0.566537022161,0.541214112107,0.41553768172,0.279162408564,0.797913890187,0.739316648589,0.648578282802,0.467939597573,100,434,115,299,89,553,1056,728,1224,693,718,1402,948,2269,781,11402,33354,13844,33946,14044
2006-03-16,2005-11-03,2006-05-02,0.70045395204,0.411142963278,0.286434994847,0.593918264508,0.875137835507,0.659394910084,0.480070206303,0.775467467058,434,115,299,89,526,1056,728,1224,693,1532,1402,948,2269,781,1585,33354,13844,33946,14044,41183
