filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-14,1997-05-15,1997-11-17,0.773372547864,0.637188677998,0.504422725879,0.768741324631,0.940559619211,0.831257926503,0.738200219111,0.884628471423,18,18,78,21,25,26,23,145,15,27,19,17,89,21,28,2952,2869,12131,3066,3746
1997-11-17,1997-08-14,1998-03-26,0.730129019555,0.510445291642,0.728581044101,0.770043357035,0.911264766731,0.748007073215,0.875291314229,0.899891927268,18,78,21,25,30,23,145,15,27,40,17,89,21,28,26,2869,12131,3066,3746,3774
1998-03-26,1997-11-17,1998-05-15,0.375621327996,0.27968482677,0.274426301813,0.274978296092,0.565806330091,0.463086860758,0.452401640026,0.449366536894,78,21,25,30,484,145,15,27,40,1337,89,21,28,26,2736,12131,3066,3746,3774,47587
1998-05-15,1998-03-26,1998-08-14,0.745560648467,0.646352140502,0.65087289746,0.302657350945,0.918205129388,0.847789526084,0.846395964351,0.469447734598,21,25,30,484,28,15,27,40,1337,29,21,28,26,2736,22,3066,3746,3774,47587,3628
1998-08-14,1998-05-15,1998-11-16,0.581582945036,0.505299458206,0.500957425,0.635707038087,0.820857367595,0.755440696738,0.620903577152,0.813948575709,25,30,484,28,58,27,40,1337,29,110,28,26,2736,22,184,3746,3774,47587,3628,7066
1998-11-16,1998-08-14,1999-03-30,0.674262662645,0.277208412506,0.707081023298,0.665821913666,0.890941275382,0.453020808487,0.872314216517,0.839218209281,30,484,28,58,49,40,1337,29,110,87,26,2736,22,184,30,3774,47587,3628,7066,5509
1999-03-30,1998-11-16,1999-05-17,0.619870044811,0.342998466056,0.433626080683,0.335985900579,0.797800200138,0.551761737769,0.631658522636,0.537653701372,484,28,58,49,634,1337,29,110,87,1277,2736,22,184,30,2464,47587,3628,7066,5509,49379
1999-05-17,1999-03-30,1999-08-13,0.724955115881,0.572242139697,0.724755596125,0.395938288936,0.910917412313,0.798214597284,0.872784820415,0.59251814247,28,58,49,634,55,29,110,87,1277,85,22,184,30,2464,26,3628,7066,5509,49379,5566
1999-08-13,1999-05-17,1999-11-12,0.646675935458,0.735216955533,0.376563481825,0.874673411004,0.848774273805,0.882273821517,0.569509810008,0.941470347502,58,49,634,55,80,110,87,1277,85,94,184,30,2464,26,34,7066,5509,49379,5566,6970
1999-11-12,1999-08-13,2000-03-21,0.609995467284,0.48107771305,0.661295995838,0.688568138504,0.770060673917,0.684486591736,0.788094855315,0.785959687215,49,634,55,80,116,87,1277,85,94,251,30,2464,26,34,329,5509,49379,5566,6970,11940
2000-03-21,1999-11-12,2000-05-15,0.521118505522,0.610362506418,0.613636948053,0.544968992366,0.719731472003,0.805072608548,0.79455694171,0.735284819811,634,55,80,116,237,1277,85,94,251,369,2464,26,34,329,425,49379,5566,6970,11940,22322
2000-05-15,2000-03-21,2000-06-06,0.800381024345,0.786228573503,0.610114943676,0.637338676838,0.938547125218,0.91496252408,0.760229876478,0.810426312275,55,80,116,237,49,85,94,251,369,52,26,34,329,425,31,5566,6970,11940,22322,5304
2000-06-06,2000-05-15,2000-08-14,0.207142462659,0.175928080132,0.150593427573,0.228003322124,0.325340777712,0.297857249469,0.270191678883,0.347657338538,80,116,237,49,2,94,251,369,52,0,34,329,425,31,9,6970,11940,22322,5304,231
2000-08-14,2000-06-06,2000-11-14,0.588345918251,0.600118008611,0.895400026448,0.204899901815,0.739530740366,0.781993604388,0.943364977899,0.307932426129,116,237,49,2,63,251,369,52,0,60,329,425,31,9,40,11940,22322,5304,231,6251
2000-11-14,2000-08-14,2001-03-29,0.43518037927,0.559509257808,0.142018079914,0.571484672172,0.702700548002,0.770502091741,0.278565177573,0.770700813771,237,49,2,63,98,369,52,0,60,168,425,31,9,40,287,22322,5304,231,6251,10142
2001-03-29,2000-11-14,2001-05-15,0.400125307532,0.116853800107,0.382617289234,0.418107000043,0.570695961071,0.229073623791,0.548208592093,0.665056129429,49,2,63,98,650,52,0,60,168,1278,31,9,40,287,2355,5304,231,6251,10142,50909
2001-05-15,2001-03-29,2001-08-14,0.222827721399,0.805316318301,0.519538827439,0.405373229198,0.340898236634,0.908605642069,0.750387779578,0.577599168549,2,63,98,650,55,0,60,168,1278,59,9,40,287,2355,41,231,6251,10142,50909,4994
2001-08-14,2001-05-15,2001-11-14,0.739080444902,0.521458479132,0.470018066764,0.756814142601,0.890808203315,0.797059326078,0.674057492275,0.883031565347,63,98,650,55,74,60,168,1278,59,118,40,287,2355,41,171,6251,10142,50909,4994,7505
2001-11-14,2001-08-14,2002-03-25,0.550109234382,0.387220438356,0.869053484094,0.747995426174,0.779914984561,0.559021710024,0.932772098806,0.884669037498,98,650,55,74,58,168,1278,59,118,66,287,2355,41,171,45,10142,50909,4994,7505,5784
2002-03-25,2001-11-14,2002-05-15,0.567029229754,0.679083800421,0.627971160307,0.66871560436,0.710292189914,0.820551658986,0.816288929114,0.809270321446,650,55,74,58,290,1278,59,118,66,448,2355,41,171,45,467,50909,4994,7505,5784,24628
2002-05-15,2002-03-25,2002-08-14,0.769945312341,0.615251627633,0.715051072741,0.705038235503,0.916678611792,0.826907649481,0.871940040103,0.841137818079,55,74,58,290,72,59,118,66,448,103,41,171,45,467,61,4994,7505,5784,24628,6231
2002-08-14,2002-05-15,2002-11-14,0.211103618105,0.154933192196,0.239758823035,0.176147647903,0.379105145158,0.296659417503,0.395643855905,0.324593775258,74,58,290,72,908,118,66,448,103,2256,171,45,467,61,5178,7505,5784,24628,6231,80010
2002-11-14,2002-08-14,2003-03-27,0.452460377874,0.427429891452,0.485058028542,0.18261589997,0.782326973731,0.745314326168,0.792339228261,0.412822915614,58,290,72,908,146,66,448,103,2256,239,45,467,61,5178,269,5784,24628,6231,80010,11839
2003-03-27,2002-11-14,2003-05-14,0.849524638299,0.663299038335,0.196732623204,0.445875012704,0.947460449343,0.825326796329,0.347913339788,0.7505645586,290,72,908,146,272,448,103,2256,239,365,467,61,5178,269,193,24628,6231,80010,11839,25107
2003-05-14,2003-03-27,2003-08-14,0.535853642923,0.268911470064,0.37312283966,0.551270773473,0.745744552774,0.462361270726,0.694171086923,0.723764760948,72,908,146,272,103,103,2256,239,365,229,61,5178,269,193,428,6231,80010,11839,25107,13464
2003-08-14,2003-05-14,2003-11-13,0.3030266758,0.332679940143,0.476308613453,0.51177685609,0.478342443282,0.609917670045,0.613916165525,0.680167528756,908,146,272,103,258,2256,239,365,229,496,5178,269,193,428,798,80010,11839,25107,13464,23729
2003-11-13,2003-08-14,2004-03-12,0.435361204038,0.615378715946,0.571798096113,0.706997067536,0.766264401229,0.770024036573,0.756879521665,0.852064510898,146,272,103,258,170,239,365,229,496,349,269,193,428,798,446,11839,25107,13464,23729,17237
2004-03-12,2003-11-13,2004-05-07,0.740540217972,0.541980179447,0.593601180437,0.671379270826,0.871451932418,0.748222853574,0.738216560271,0.848885573769,272,103,258,170,469,365,229,496,349,899,193,428,798,446,1606,25107,13464,23729,17237,40148
2004-05-07,2004-03-12,2004-08-06,0.868921905617,0.54922908266,0.63206639174,0.601015008232,0.940979540313,0.740123115839,0.810527055504,0.790141659445,103,258,170,469,141,229,496,349,899,291,428,798,446,1606,530,13464,23729,17237,40148,15403
2004-08-06,2004-05-07,2004-11-08,0.328374149806,0.299318065481,0.340095635498,0.339483894556,0.508912885108,0.496894518758,0.515621320671,0.537781951955,258,170,469,141,441,496,349,899,291,1428,798,446,1606,530,3074,23729,17237,40148,15403,49867
2004-11-08,2004-08-06,2005-03-25,0.671349905524,0.64633952097,0.601345908493,0.24218187378,0.822580639967,0.809975835644,0.748547666669,0.395888531835,170,469,141,441,102,349,899,291,1428,172,446,1606,530,3074,78,17237,40148,15403,49867,9886
2005-03-25,2004-11-08,2005-05-06,0.757417978917,0.544057547815,0.332923160322,0.582352029699,0.915114080858,0.75544057787,0.508463390252,0.761370064373,469,141,441,102,669,899,291,1428,172,1570,1606,530,3074,78,2274,40148,15403,49867,9886,60208
2005-05-06,2005-03-25,2005-08-09,0.596929058123,0.239695293333,0.800349638021,0.600868924384,0.775975147861,0.411169608816,0.908486232886,0.782936908334,141,441,102,669,94,291,1428,172,1570,190,530,3074,78,2274,93,15403,49867,9886,60208,10041
2005-08-09,2005-05-06,2005-11-08,0.245802365205,0.774747583029,0.569056563693,0.880381715232,0.420946140543,0.908225817232,0.762903618027,0.947886824548,441,102,669,94,112,1428,172,1570,190,244,3074,78,2274,93,119,49867,9886,60208,10041,12376
2005-11-08,2005-08-09,2006-03-09,0.837779574998,0.559798163967,0.877205267,0.880265017739,0.940434000004,0.74171118554,0.938260767821,0.947060855332,102,669,94,112,107,172,1570,190,244,227,78,2274,93,119,95,9886,60208,10041,12376,11430
2006-03-09,2005-11-08,2006-05-09,0.672793107697,0.771396681809,0.755538349102,0.759694551568,0.828924331716,0.875956499999,0.870004491848,0.863488431745,669,94,112,107,341,1570,190,244,227,443,2274,93,119,95,223,60208,10041,12376,11430,30346
2006-05-09,2006-03-09,2006-08-09,0.834405392856,0.755580767419,0.776416758352,0.741581150515,0.939683567446,0.891130414473,0.896058960447,0.856020620139,94,112,107,341,73,190,244,227,443,116,93,119,95,223,65,10041,12376,11430,30346,9503
2006-08-09,2006-05-09,2006-11-08,0.823022536568,0.765540803922,0.720115722205,0.851716515758,0.94143980298,0.897921105195,0.842454340404,0.922516625843,112,107,341,73,87,244,227,443,116,125,119,95,223,65,86,12376,11430,30346,9503,10575
2006-11-08,2006-08-09,2007-02-27,0.824830112903,0.711000818195,0.811547813201,0.823865539185,0.94253273481,0.838718141519,0.910768169011,0.913362049611,107,341,73,87,106,227,443,116,125,109,95,223,65,86,86,11430,30346,9503,10575,10732
2007-02-27,2006-11-08,2007-05-08,0.826111531433,0.657247941722,0.642836108947,0.651435568583,0.910183745847,0.790536156925,0.77633505318,0.778596899098,341,73,87,106,498,443,116,125,109,943,223,65,86,86,1197,30346,9503,10575,10732,45380
