filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-03-16,1998-10-23,1999-05-06,0.736702004097,0.535367046413,0.194655326399,0.206060136386,0.821848726932,0.728207662419,0.407216679885,0.406874473388,262,212,44,48,412,549,456,37,83,1091,1387,1663,46,43,2938,31879,21919,3705,4076,53244
1999-05-06,1999-03-16,1999-07-29,0.157253936413,0.428870822433,0.576850673615,0.174735685573,0.335068465373,0.686003900602,0.738035342113,0.329070200689,212,44,48,412,45,456,37,83,1091,76,1663,46,43,2938,37,21919,3705,4076,53244,3492
1999-07-29,1999-05-06,1999-10-25,0.272071873054,0.278335235034,0.289573529747,0.408396061967,0.490426264356,0.445719478456,0.449222834458,0.599549888752,44,48,412,45,83,37,83,1091,76,261,46,43,2938,37,390,3705,4076,53244,3492,8485
1999-10-25,1999-07-29,2000-03-10,0.212606956867,0.386412833035,0.227458878593,0.483786840628,0.364480716611,0.543838879041,0.375212427171,0.661319992014,48,412,45,83,191,83,1091,76,261,354,43,2938,37,390,945,4076,53244,3492,8485,18028
2000-03-10,1999-10-25,2000-05-04,0.290747995579,0.369105370946,0.277226497204,0.212449718413,0.439197930402,0.652055141183,0.523592785721,0.379517931248,412,45,83,191,138,1091,76,261,354,147,2938,37,390,945,234,53244,3492,8485,18028,14585
2000-05-04,2000-03-10,2000-05-05,0.111300493287,0.126601163777,0.123642263683,0.155563318356,0.255316276396,0.257188636415,0.221313360329,0.308206474933,45,83,191,138,107,76,261,354,147,796,37,390,945,234,1848,3492,8485,18028,14585,11969
2000-05-05,2000-05-04,2000-07-28,0.126715005658,0.123750336627,0.15574656996,0.999723030522,0.257485930443,0.221624262562,0.308679619048,0.999918471941,83,191,138,107,107,261,354,147,796,796,390,945,234,1848,1849,8485,18028,14585,11969,11983
2000-07-28,2000-05-05,2000-10-20,0.31547799571,0.165444552387,0.0927132939327,0.0927574970913,0.605967820083,0.358833634999,0.193652173341,0.193791776737,191,138,107,107,88,354,147,796,796,221,945,234,1848,1849,489,18028,14585,11969,11983,11828
2000-10-20,2000-07-28,2001-03-16,0.254097760942,0.489614285578,0.489682466644,0.130125078511,0.533760619033,0.686481526299,0.68678093274,0.28687410256,138,107,107,88,59,147,796,796,221,219,234,1848,1849,489,620,14585,11969,11983,11828,5955
2001-03-16,2000-10-20,2001-05-04,0.166926949078,0.167094859012,0.171879532568,0.254331748995,0.33412221196,0.334608183756,0.350864919032,0.515505246056,107,107,88,59,188,796,796,221,219,219,1848,1849,489,620,290,11969,11983,11828,5955,17583
2001-05-04,2001-03-16,2001-07-27,0.14169740201,0.125021412996,0.28932448865,0.363757774894,0.285513080078,0.261634592341,0.570088210532,0.630312073752,107,88,59,188,33,796,221,219,219,69,1849,489,620,290,58,11983,11828,5955,17583,2959
2001-07-27,2001-05-04,2001-10-19,0.135123835248,0.271211147112,0.345237988593,0.687602935644,0.25989309752,0.547554668166,0.604548812674,0.844851956612,88,59,188,33,50,221,219,219,69,101,489,620,290,58,65,11828,5955,17583,2959,4027
2001-10-19,2001-07-27,2001-12-10,0.132646733059,0.157098578527,0.14887535916,0.159246067607,0.289817022409,0.304373560328,0.27556037305,0.273100072097,59,188,33,50,169,219,219,69,101,656,620,290,58,65,1380,5955,17583,2959,4027,26363
2001-12-10,2001-10-19,2002-03-22,0.333552307678,0.628570966237,0.885007431677,0.163706592971,0.610769565404,0.829330041678,0.968482994658,0.288781238122,188,33,50,169,58,219,69,101,656,140,290,58,65,1380,67,17583,2959,4027,26363,4470
