filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-14,1995-05-15,0.653817402649,0.28132446275,0.342658831397,0.276227263631,0.768352146326,0.482704319979,0.480203914853,0.492967071498,600,16,132,17,322,1747,9,340,13,558,4244,9,912,12,1131,70706,1405,15945,1731,25933
1995-05-15,1995-03-28,1995-08-11,0.825372832244,0.129596734147,0.528711585425,0.271092200426,0.960985382602,0.264405288803,0.800240725557,0.454491295458,16,132,17,322,22,9,340,13,558,3,9,912,12,1131,7,1405,15945,1731,25933,1371
1995-08-11,1995-05-15,1995-11-13,0.385649504775,0.316739428799,0.309448560277,0.375659390331,0.53879836212,0.62617289186,0.550785061834,0.63193128928,132,17,322,22,40,340,13,558,3,37,912,12,1131,7,143,15945,1731,25933,1371,3143
1995-11-13,1995-08-11,1996-03-29,0.593122628152,0.269571563726,0.534187180999,0.565668387807,0.884166923995,0.502974330419,0.791896602667,0.708103031837,17,322,22,40,20,13,558,3,37,16,12,1131,7,143,7,1731,25933,1371,3143,1790
1996-03-29,1995-11-13,1996-05-15,0.772364671547,0.178871487377,0.257582556906,0.185557110843,0.871368985192,0.314720608803,0.445140650731,0.35908787827,322,22,40,20,469,558,3,37,16,1243,1131,7,143,7,2827,25933,1371,3143,1790,51803
1996-05-15,1996-03-29,1996-08-14,0.672871156778,0.321510531769,0.447311292862,0.20728455143,0.866832307956,0.605630889966,0.74425534233,0.374305092583,22,40,20,469,11,3,37,16,1243,29,7,143,7,2827,8,1371,3143,1790,51803,1889
1996-08-14,1996-05-15,1996-11-14,0.432997500962,0.449830424359,0.205444094403,0.66461754094,0.699424616882,0.748049949063,0.362361647098,0.843713537209,40,20,469,11,14,37,16,1243,29,36,143,7,2827,8,7,3143,1790,51803,1889,2168
1996-11-14,1996-08-14,1997-03-28,0.55460918145,0.23111814093,0.597684598228,0.65823906248,0.82939678357,0.420017914811,0.822080816119,0.845276235053,20,469,11,14,20,16,1243,29,36,37,7,2827,8,7,8,1790,51803,1889,2168,2572
1997-03-28,1996-11-14,1997-05-15,0.609765589075,0.158104678844,0.154792668538,0.175323117882,0.737285591316,0.307780065256,0.292819447881,0.332050472342,469,11,14,20,990,1243,29,36,37,2821,2827,8,7,8,7027,51803,1889,2168,2572,112804
1997-05-15,1997-03-28,1997-08-13,0.630291099308,0.498982694409,0.49167156603,0.156839066198,0.865511049978,0.767899159801,0.769727451732,0.286580742803,11,14,20,990,14,29,36,37,2821,7,8,7,8,7027,7,1889,2168,2572,112804,1926
1997-08-13,1997-05-15,1997-11-13,0.67394950802,0.473209953978,0.156046875064,0.577638303366,0.879930539803,0.765207006285,0.288400821975,0.793305433083,14,20,990,14,17,36,37,2821,7,14,7,8,7027,7,11,2168,2572,112804,1926,2393
1997-11-13,1997-08-13,1998-03-27,0.633166990669,0.158427528616,0.506761630327,0.622872282652,0.865766119501,0.292033268972,0.737065982196,0.826432159346,20,990,14,17,30,37,2821,7,14,18,8,7027,7,11,7,2572,112804,1926,2393,2818
