filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-22,1994-10-26,1995-05-11,0.631584567346,0.410731066583,0.461349635015,0.461194843744,0.819429260972,0.649170575248,0.714511474707,0.710846851775,302,20,19,21,134,808,8,13,11,162,1409,9,14,10,137,30012,1750,2566,2558,14675
1995-05-11,1995-03-22,1995-08-08,0.611818497639,0.502644218216,0.501481292798,0.417170588287,0.844203046591,0.775596208827,0.789410449131,0.644480405313,20,19,21,134,16,8,13,11,162,4,9,14,10,137,10,1750,2566,2558,14675,1604
1995-08-08,1995-05-11,1995-11-01,0.41562686651,0.333635591918,0.309202398914,0.476444733649,0.709536003766,0.646600844024,0.584744463535,0.71508298548,19,21,134,16,58,13,11,162,4,20,14,10,137,10,112,2566,2558,14675,1604,2883
1995-11-01,1995-08-08,1996-03-22,0.153773540045,0.143770148731,0.151579728651,0.179638007916,0.327973600889,0.338007903761,0.313974768863,0.399013905853,21,134,16,58,105,11,162,4,20,325,10,137,10,112,742,2558,14675,1604,2883,10287
1996-03-22,1995-11-01,1996-05-15,0.788352632368,0.353800729205,0.321724272974,0.228101301873,0.933931270185,0.59248063162,0.611949894548,0.447272830788,134,16,58,105,172,162,4,20,325,217,137,10,112,742,493,14675,1604,2883,10287,17374
1996-05-15,1996-03-22,1996-08-13,0.729660601953,0.423214422701,0.147181067322,0.358310100856,0.938524733997,0.709405585885,0.318819218197,0.617640276157,16,58,105,172,18,4,20,325,217,38,10,112,742,493,34,1604,2883,10287,17374,1771
1996-08-13,1996-05-15,1996-11-14,0.41340528881,0.192025437964,0.338217674427,0.362716198894,0.694745735705,0.442829861722,0.619843017912,0.543048656644,58,105,172,18,97,20,325,217,38,158,112,742,493,34,288,2883,10287,17374,1771,5639
1996-11-14,1996-08-13,1997-03-17,0.851877594932,0.259005783069,0.20926606854,0.312977678787,0.871120539115,0.533366418714,0.401128430484,0.598625439941,105,172,18,97,101,325,217,38,158,381,742,493,34,288,759,10287,17374,1771,5639,12068
1997-03-17,1996-11-14,1997-05-14,0.476825664358,0.23292324469,0.360844486338,0.322379307671,0.682606091742,0.413099317528,0.624442155794,0.619192998826,172,18,97,101,477,217,38,158,381,1446,493,34,288,759,2102,17374,1771,5639,12068,35479
1997-05-14,1997-03-17,1997-08-14,0.525490236151,0.237751498361,0.168799899586,0.225779036566,0.820003747787,0.467965733667,0.385552328876,0.422809055472,18,97,101,477,22,38,158,381,1446,79,34,288,759,2102,27,1771,5639,12068,35479,2667
1997-08-14,1997-05-14,1997-11-07,0.337021562258,0.253870522102,0.711226477416,0.371799144188,0.565489847948,0.509080334419,0.874302102946,0.476899066316,97,101,477,22,113,158,381,1446,79,346,288,759,2102,27,424,5639,12068,35479,2667,7623
1997-11-07,1997-08-14,1998-03-18,0.17730778938,0.224927186032,0.567356400578,0.307943616233,0.396310890769,0.455118964021,0.821301381936,0.455052371535,101,477,22,113,33,381,1446,79,346,119,759,2102,27,424,80,12068,35479,2667,7623,3471
1998-03-18,1997-11-07,1998-05-12,0.44348787532,0.457141452491,0.274848694266,0.480293384912,0.617008603923,0.720894121748,0.451006139736,0.755968623823,477,22,113,33,128,1446,79,346,119,275,2102,27,424,80,215,35479,2667,7623,3471,14567
1998-05-12,1998-03-18,1998-05-21,0.544219037462,0.245181738874,0.400217577867,0.455308241797,0.84936852475,0.420455055744,0.729392373595,0.699040587344,22,113,33,128,22,79,346,119,275,110,27,424,80,215,24,2667,7623,3471,14567,2864
1998-05-21,1998-05-12,1998-07-21,0.0890915608419,0.1276794373,0.207265052405,0.424941254601,0.204293391911,0.315684690457,0.360011222733,0.551972190521,113,33,128,22,2,346,119,275,110,23,424,80,215,24,10,7623,3471,14567,2864,529
1998-07-21,1998-05-21,1998-11-12,0.241083851805,0.32312869089,0.408063157141,0.200954952078,0.543386102578,0.608591743405,0.602677414907,0.335523093901,33,128,22,2,45,119,275,110,23,188,80,215,24,10,197,3471,14567,2864,529,6103
1998-11-12,1998-07-21,1999-02-22,0.439415021164,0.534254886646,0.210438408479,0.362163626894,0.754080438514,0.776480513819,0.385000935983,0.604390671007,128,22,2,45,43,275,110,23,188,85,215,24,10,197,17,14567,2864,529,6103,3830
1999-02-22,1998-11-12,1999-03-31,0.353866068082,0.0889325151751,0.27808381196,0.762986769054,0.523273766663,0.22114322723,0.480522806946,0.813818833939,22,2,45,43,33,110,23,188,85,50,24,10,197,17,16,2864,529,6103,3830,2121
1999-03-31,1999-02-22,1999-05-17,0.0831734403694,0.367661118349,0.233544714047,0.216416415633,0.18505274007,0.594474369335,0.442231724885,0.438568353855,2,45,43,33,636,23,188,85,50,1497,10,197,17,16,2721,529,6103,3830,2121,52323
1999-05-17,1999-03-31,1999-06-09,0.188635470248,0.151325907878,0.121703836009,0.270560570075,0.457877499241,0.345131059306,0.271006590632,0.469664500503,45,43,33,636,189,188,85,50,1497,278,197,17,16,2721,922,6103,3830,2121,52323,16309
1999-06-09,1999-05-17,1999-08-16,0.40225750817,0.408776710269,0.20972223887,0.238212834193,0.718549378984,0.645967801946,0.393616917623,0.370933324013,43,33,636,189,41,85,50,1497,278,74,17,16,2721,922,21,3830,2121,52323,16309,3168
1999-08-16,1999-06-09,1999-11-12,0.349091253701,0.233888293566,0.216774525199,0.53634803761,0.672832877436,0.442502281411,0.403635125688,0.787444601354,33,636,189,41,69,50,1497,278,74,233,16,2721,922,21,46,2121,52323,16309,3168,5899
1999-11-12,1999-08-16,2000-03-10,0.230387458318,0.194402625313,0.452583138446,0.630090458209,0.456925710313,0.412267832526,0.766205089098,0.855905301257,636,189,41,69,79,1497,278,74,233,342,2721,922,21,46,196,52323,16309,3168,5899,7434
2000-03-10,1999-11-12,2000-05-03,0.358197847783,0.276615045256,0.339709274015,0.364950917543,0.576994476848,0.487602050949,0.539640921747,0.598402770792,189,41,69,79,775,278,74,233,342,2103,922,21,46,196,2941,16309,3168,5899,7434,57448
2000-05-03,2000-03-10,2000-07-25,0.198981036504,0.230935197764,0.2830769572,0.529686499737,0.369328458628,0.412568520684,0.470360832418,0.709426981581,41,69,79,775,259,74,233,342,2103,1134,21,46,196,2941,2104,3168,5899,7434,57448,27249
2000-07-25,2000-05-03,2000-11-13,0.255034397505,0.246152728946,0.45386287886,0.303805822391,0.540346982876,0.583080469341,0.638612703077,0.527737147499,69,79,775,259,124,233,342,2103,1134,469,46,196,2941,2104,441,5899,7434,57448,27249,10274
2000-11-13,2000-07-25,2001-03-28,0.308399320019,0.409252989291,0.542773336267,0.305502558143,0.599620467127,0.663492480512,0.776837557683,0.576889445036,79,775,259,124,214,342,2103,1134,469,1038,196,2941,2104,441,1359,7434,57448,27249,10274,21222
2001-03-28,2000-11-13,2001-05-15,0.806558505748,0.584062254273,0.448967182963,0.512576545347,0.933827100241,0.74493487126,0.647257271218,0.720378714344,775,259,124,214,682,2103,1134,469,1038,1800,2941,2104,441,1359,2982,57448,27249,10274,21222,52111
2001-05-15,2001-03-28,2001-08-14,0.850416026321,0.242219288983,0.463568849938,0.421105068074,0.909545622507,0.474316526914,0.72992277536,0.592548798561,259,124,214,682,184,1134,469,1038,1800,630,2104,441,1359,2982,949,27249,10274,21222,52111,16676
2001-08-14,2001-05-15,2001-10-26,0.295685477157,0.270432628433,0.282574298928,0.321842382944,0.581173937213,0.460132905815,0.428996028323,0.42270589197,124,214,682,184,88,469,1038,1800,630,262,441,1359,2982,949,68,10274,21222,52111,16676,6109
2001-10-26,2001-08-14,2002-03-28,0.398940035161,0.53514393098,0.377613329519,0.534402441291,0.597488723076,0.700739903838,0.535844633032,0.666464418132,214,682,184,88,126,1038,1800,630,262,372,1359,2982,949,68,603,21222,52111,16676,6109,11172
2002-03-28,2001-10-26,2002-05-14,0.608179193344,0.665437373631,0.187398497473,0.441056322851,0.765634812924,0.793346950371,0.305577813813,0.599272061291,682,184,88,126,1555,1800,630,262,372,4012,2982,949,68,603,7415,52111,16676,6109,11172,118017
2002-05-14,2002-03-28,2002-08-09,0.28082567543,0.601759939736,0.411660799713,0.190365725663,0.4188642563,0.811244260914,0.596987362304,0.309288925763,184,88,126,1555,106,630,262,372,4012,285,949,68,603,7415,91,16676,6109,11172,118017,6070
2002-08-09,2002-05-14,2002-11-12,0.598432793065,0.408521125854,0.257690882391,0.738657747794,0.843659223359,0.623423041537,0.389375507862,0.863727609184,88,126,1555,106,153,262,372,4012,285,391,68,603,7415,91,178,6109,11172,118017,6070,8891
2002-11-12,2002-08-09,2003-03-24,0.477439341879,0.220325059264,0.659542105508,0.694518669729,0.665194588135,0.367572983852,0.835689362579,0.867712698545,126,1555,106,153,166,372,4012,285,391,393,603,7415,91,178,159,11172,118017,6070,8891,9584
2003-03-24,2002-11-12,2003-05-14,0.444171713577,0.368085800114,0.417574986986,0.420780417023,0.646874116753,0.563920139607,0.638680296829,0.635913722628,1555,106,153,166,463,4012,285,391,393,1294,7415,91,178,159,1442,118017,6070,8891,9584,38443
2003-05-14,2003-03-24,2003-08-14,0.604459261858,0.556607816071,0.565116225688,0.44271939695,0.796065148615,0.776954242685,0.793702072486,0.673400928605,106,153,166,463,154,285,391,393,1294,354,91,178,159,1442,228,6070,8891,9584,38443,9609
2003-08-14,2003-05-14,2003-11-13,0.536039601973,0.482068592112,0.638153322884,0.56514578229,0.772005907208,0.732862698864,0.773655558262,0.749243171916,153,166,463,154,192,391,393,1294,354,383,178,159,1442,228,277,8891,9584,38443,9609,11803
2003-11-13,2003-08-14,2004-03-12,0.670099872187,0.365679794352,0.608219515431,0.644784857199,0.870457316793,0.565472291668,0.797739629734,0.803247735991,166,463,154,192,198,393,1294,354,383,324,159,1442,228,277,131,9584,38443,9609,11803,9716
2004-03-12,2003-11-13,2004-05-07,0.623202237792,0.532551398988,0.566769727504,0.581055065323,0.787263310076,0.764449842536,0.760402184819,0.773598208502,463,154,192,198,573,1294,354,383,324,891,1442,228,277,131,722,38443,9609,11803,9716,31700
2004-05-07,2004-03-12,2004-08-06,0.290274345207,0.243256882091,0.210751420801,0.281630434455,0.500326991005,0.422693567682,0.36478633654,0.453947723231,154,192,198,573,333,354,383,324,891,1199,228,277,131,722,2218,9609,11803,9716,31700,33242
