filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-11,1997-05-27,1997-11-13,0.58829269815,0.150017765185,0.573677111499,0.357471937809,0.88038323274,0.307826985175,0.83244360631,0.553894863085,25,154,37,210,43,39,528,67,455,96,20,1354,27,989,77,3040,18270,3686,23455,3789
1997-11-13,1997-08-11,1998-02-13,0.978938708287,0.15436582738,0.377781342455,0.186553563843,0.992577590434,0.315815328889,0.511490073797,0.334668712144,154,37,210,43,156,528,67,455,96,586,1354,27,989,77,1383,18270,3686,23455,3789,18729
1998-02-13,1997-11-13,1998-05-27,0.167978951076,0.200022256859,0.168249778386,0.17077582146,0.413567981145,0.410464586339,0.399331845891,0.403179245214,37,210,43,156,152,67,455,96,586,306,27,989,77,1383,534,3686,23455,3789,18729,11945
1998-05-27,1998-02-13,1998-08-05,0.67993646602,0.469047572227,0.362442505168,0.191059050149,0.822392635962,0.725416982144,0.465733012936,0.422101826514,210,43,156,152,151,455,96,586,306,290,989,77,1383,534,414,23455,3789,18729,11945,14821
1998-08-05,1998-05-27,1998-11-09,0.653855023329,0.158146324256,0.157832144988,0.518740794334,0.907871745679,0.307698658601,0.379106597583,0.724612309093,43,156,152,151,29,96,586,306,290,57,77,1383,534,414,28,3789,18729,11945,14821,3401
1998-11-09,1998-08-05,1999-02-12,0.376105922826,0.174678068226,0.418060613824,0.33870217389,0.50884576606,0.388492601686,0.576047459294,0.508801337879,156,152,151,29,53,586,306,290,57,189,1383,534,414,28,494,18729,11945,14821,3401,9533
1999-02-12,1998-11-09,1999-05-18,0.164168695021,0.474450743396,0.642991309186,0.358477804706,0.401051595998,0.721260207204,0.849337102255,0.510665206221,152,151,29,53,35,306,290,57,189,86,534,414,28,494,22,11945,14821,3401,9533,4074
1999-05-18,1999-02-12,1999-08-03,0.757172119202,0.585637693261,0.329615198125,0.643696220592,0.886043110126,0.79846765786,0.50547305341,0.824727708561,151,29,53,35,125,290,57,189,86,239,414,28,494,22,105,14821,3401,9533,4074,11383
1999-08-03,1999-05-18,1999-11-09,0.729114431796,0.342213298401,0.739592931695,0.667068010656,0.931097159882,0.503685543134,0.888044835094,0.835697401353,29,53,35,125,31,57,189,86,239,78,28,494,22,105,18,3401,9533,4074,11383,3582
1999-11-09,1999-08-03,2000-02-11,0.933280349041,0.310842959044,0.304442078127,0.352234187435,0.976033394329,0.464643351478,0.467341937802,0.476088438591,53,35,125,31,50,189,86,239,78,169,494,22,105,18,462,9533,4074,11383,3582,8845
2000-02-11,1999-11-09,2000-06-07,0.583444939917,0.379177889657,0.474248085697,0.23889749622,0.753612771683,0.5522358239,0.645206370104,0.376709639879,35,125,31,50,28,86,239,78,169,46,22,105,18,462,23,4074,11383,3582,8845,3120
2000-06-07,2000-02-11,2000-08-07,0.269551058452,0.170146633273,0.220826353451,0.18278478096,0.473882464609,0.379101853502,0.415877849021,0.393601726607,125,31,50,28,271,239,78,169,46,723,105,18,462,23,1121,11383,3582,8845,3120,25091
2000-08-07,2000-06-07,2000-11-14,0.580101226033,0.23427669303,0.589128929237,0.204337529087,0.760408907988,0.381557017223,0.772348814759,0.426581935634,31,50,28,271,30,78,169,46,723,48,18,462,23,1121,20,3582,8845,3120,25091,3082
