filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-07-21,1999-05-04,1999-10-20,0.180478540397,0.662529334179,0.557190190526,0.790323034846,0.316613453642,0.856259639182,0.772015232876,0.910181609739,1349,47,193,29,30,3421,152,372,132,144,8114,65,202,68,70,108566,4321,16514,3873,4342
1999-10-20,1999-07-21,2000-02-16,0.649126153308,0.530809577332,0.706010311064,0.750464299265,0.863109385982,0.766669660209,0.87325920429,0.869978226096,47,193,29,30,65,152,372,132,144,169,65,202,68,70,135,4321,16514,3873,4342,5764
2000-02-16,1999-10-20,2000-04-18,0.554638100022,0.350077440517,0.347516688948,0.424933607446,0.722411889246,0.583448997738,0.558870557531,0.657415793779,193,29,30,65,625,372,132,144,169,933,202,68,70,135,1283,16514,3873,4342,5764,32460
2000-04-18,2000-02-16,2000-08-14,0.6233528859,0.570221085389,0.540287180103,0.338200952498,0.88428092254,0.824391547827,0.803668958175,0.559708781336,29,30,65,625,26,132,144,169,933,116,68,70,135,1283,65,3873,4342,5764,32460,3282
2000-08-14,2000-04-18,2000-11-14,0.430366811419,0.439136370745,0.443991571551,0.401144120347,0.67688603259,0.709294107051,0.712054482675,0.648942221615,30,65,625,26,176,144,169,933,116,469,70,135,1283,65,601,4342,5764,32460,3282,12028
2000-11-14,2000-08-14,2001-03-15,0.339014002308,0.675921487439,0.181040409577,0.359453652074,0.502573631473,0.794708883115,0.359354429998,0.591661413457,65,625,26,176,435,169,933,116,469,537,135,1283,65,601,1064,5764,32460,3282,12028,23978
2001-03-15,2000-11-14,2001-05-15,0.580525744749,0.352188716525,0.400409142052,0.355057541508,0.737075172507,0.59420547324,0.647478649753,0.572191510508,625,26,176,435,151,933,116,469,537,449,1283,65,601,1064,509,32460,3282,12028,23978,16872
2001-05-15,2001-03-15,2001-08-14,0.308739275459,0.316270710095,0.219635207567,0.479571412194,0.656972082305,0.669588632863,0.459376819109,0.777011423981,26,176,435,151,63,116,469,537,449,247,65,601,1064,509,316,3282,12028,23978,16872,6539
2001-08-14,2001-05-15,2001-11-14,0.315101745958,0.212411865444,0.515200559552,0.514772200611,0.560011155332,0.374760919402,0.740332496104,0.770527383158,176,435,151,63,47,469,537,449,247,122,601,1064,509,316,113,12028,23978,16872,6539,4627
2001-11-14,2001-08-14,2002-03-22,0.236568654399,0.518861634114,0.501890582106,0.801790074328,0.418109600385,0.765755225549,0.797547458674,0.917433287727,435,151,63,47,60,537,449,247,122,152,1064,509,316,113,168,23978,16872,6539,4627,5334
2002-03-22,2001-11-14,2002-05-14,0.547509989455,0.340637671265,0.414174476352,0.425280605331,0.799443562231,0.669691670144,0.648182768682,0.678835475563,151,63,47,60,432,449,247,122,152,565,509,316,113,168,881,16872,6539,4627,5334,25462
2002-05-14,2002-03-22,2002-08-14,0.476720953402,0.681639824748,0.660289568945,0.428151813742,0.785430678853,0.8696987017,0.872328514833,0.668413203313,63,47,60,432,28,247,122,152,565,122,316,113,168,881,127,6539,4627,5334,25462,4606
2002-08-14,2002-05-14,2002-11-14,0.655825539478,0.563358165742,0.396503720332,0.665404354416,0.880353810702,0.825038817898,0.647206937812,0.862072120053,47,60,432,28,51,122,152,565,122,184,113,168,881,127,147,4627,5334,25462,4606,7332
2002-11-14,2002-08-14,2003-03-21,0.650788853802,0.413403323421,0.626728840734,0.784220648601,0.881011631158,0.673250596976,0.850790468708,0.911695309573,60,432,28,51,71,152,565,122,184,258,168,881,127,147,242,5334,25462,4606,7332,9047
2003-03-21,2002-11-14,2003-05-15,0.538262571139,0.519038796691,0.554951086532,0.601147214111,0.794731212806,0.778244180017,0.778835959214,0.811588207692,432,28,51,71,271,565,122,184,258,691,881,127,147,242,928,25462,4606,7332,9047,29358
2003-05-15,2003-03-21,2003-08-14,0.607080683317,0.659848064169,0.719387771524,0.642668648778,0.849456830194,0.85891884814,0.893729807441,0.841747915433,28,51,71,271,54,122,184,258,691,270,127,147,242,928,213,4606,7332,9047,29358,9188
2003-08-14,2003-05-15,2003-11-12,0.704718152025,0.66830151396,0.600205413655,0.841698433063,0.893508830948,0.868139447208,0.805850739156,0.937627243499,51,71,271,54,68,184,258,691,270,279,147,242,928,213,232,7332,9047,29358,9188,10578
2003-11-12,2003-08-14,2004-03-12,0.746064098215,0.60802301784,0.821770603341,0.857874642265,0.918706938962,0.817265786862,0.937577323805,0.946156215568,71,271,54,68,86,258,691,270,279,308,242,928,213,232,315,9047,29358,9188,10578,11185
2004-03-12,2003-11-12,2004-05-07,0.737319715173,0.739367850913,0.742133565109,0.755745703469,0.89548860746,0.899751067625,0.89404941237,0.897088721678,271,54,68,86,208,691,270,279,308,497,928,213,232,315,492,29358,9188,10578,11185,23243
2004-05-07,2004-03-12,2004-08-09,0.740785746257,0.70713151255,0.733538403727,0.785048228749,0.929692915226,0.895194779015,0.906315649165,0.906023892981,54,68,86,208,80,270,279,308,497,389,213,232,315,492,383,9188,10578,11185,23243,11189
2004-08-09,2004-05-07,2004-11-03,0.5899733552,0.570002215215,0.588892791398,0.636876070181,0.83836864783,0.828554892094,0.816958275124,0.856338281925,68,86,208,80,140,279,308,497,389,492,232,315,492,383,982,10578,11185,23243,11189,17421
2004-11-03,2004-08-09,2005-03-08,0.639074524692,0.644698085283,0.673069878714,0.643775297462,0.843441156632,0.829943408803,0.84921892384,0.838501729348,86,208,80,140,183,308,497,389,492,583,315,492,383,982,873,11185,23243,11189,17421,19182
2005-03-08,2004-11-03,2005-05-10,0.883529516807,0.722028209619,0.634942236211,0.70701663201,0.974658385709,0.888732111494,0.831717600657,0.847112448006,208,80,140,183,225,497,389,492,583,521,492,383,982,873,636,23243,11189,17421,19182,25382
2005-05-10,2005-03-08,2005-07-29,0.741069950964,0.641150492162,0.70115592524,0.797648474184,0.932267880483,0.85053312286,0.852259554885,0.904049055073,80,140,183,225,91,389,492,583,521,404,383,982,873,636,514,11189,17421,19182,25382,13184
