filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-08-13,2002-05-13,2002-11-13,0.767704142712,0.741536849652,0.579202884176,0.83786186314,0.897203235341,0.878258770509,0.734167337503,0.906290370373,73,84,210,35,66,203,199,331,145,187,85,86,324,74,77,9029,9641,20282,6304,8833
2002-11-13,2002-08-13,2003-03-25,0.763904930719,0.580880572679,0.824663229089,0.893814319593,0.89555594655,0.749622732768,0.907854964338,0.944008838766,84,210,35,66,80,199,331,145,187,198,86,324,74,77,74,9641,20282,6304,8833,9590
2003-03-25,2002-11-13,2003-05-14,0.819280140521,0.677283096049,0.666300970885,0.689095759372,0.938447463199,0.814635806293,0.770560224059,0.796896325422,210,35,66,80,230,331,145,187,198,360,324,74,77,74,249,20282,6304,8833,9590,21457
2003-05-14,2003-03-25,2003-08-13,0.212700621007,0.187100875859,0.208784549594,0.246478216636,0.395031374868,0.346738094744,0.373040629403,0.439747939762,35,66,80,230,328,145,187,198,360,528,74,77,74,249,1352,6304,8833,9590,21457,23470
2003-08-13,2003-05-14,2003-11-13,0.266005729993,0.258489004181,0.278482541478,0.95589492468,0.452720432357,0.45489952416,0.482603616585,0.967340714738,66,80,230,328,383,187,198,360,528,584,77,74,249,1352,1353,8833,9590,21457,23470,25275
2003-11-13,2003-08-13,2004-03-12,0.661077931733,0.647029766163,0.234974028507,0.316498803784,0.844339109523,0.799020357791,0.40581403289,0.503030460573,80,230,328,383,107,198,360,528,584,248,74,249,1352,1353,80,9590,21457,23470,25275,9184
2004-03-12,2003-11-13,2004-05-10,0.820718127456,0.275574479846,0.309602740323,0.669272794924,0.932354480045,0.483786555629,0.51998108516,0.800149837655,230,328,383,107,303,360,528,584,248,448,249,1352,1353,80,492,21457,23470,25275,9184,23930
2004-05-10,2004-03-12,2004-08-06,0.25848068454,0.277856621547,0.530792356768,0.685286018751,0.486178397744,0.519015297227,0.747043262434,0.8305520844,328,383,107,303,103,528,584,248,448,274,1352,1353,80,492,292,23470,25275,9184,23930,11028
2004-08-06,2004-05-10,2004-11-05,0.952080877784,0.277577083515,0.303488542521,0.352557540778,0.967498340358,0.500786806145,0.526637576933,0.566482361619,383,107,303,103,405,584,248,448,274,707,1353,80,492,292,1346,25275,9184,23930,11028,25756
2004-11-05,2004-08-06,2005-03-11,0.745648754017,0.579628840925,0.651590482822,0.3382932407,0.902948841109,0.747379876931,0.774441755625,0.524607587475,107,303,103,405,154,248,448,274,707,372,80,492,292,1346,80,9184,23930,11028,25756,10997
