filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-06,1994-10-21,1995-03-08,0.45365192981,0.275292782467,0.600631789777,0.0773238818497,0.781921623433,0.545927332034,0.820120511882,0.234168499283,18,166,26,44,22,15,116,9,33,8,14,150,8,34,8,1532,10431,1460,3295,1446
1995-03-08,1994-12-06,1995-07-25,0.275737579747,0.586620068261,0.0777584985049,0.787373462806,0.541606153958,0.81034590159,0.232319717008,0.908673692265,166,26,44,22,23,116,9,33,8,8,150,8,34,8,8,10431,1460,3295,1446,1470
1995-07-25,1995-03-08,1995-09-08,0.256824896072,0.1183936749,0.251318096728,0.254325231203,0.515350875584,0.308841114001,0.481076176936,0.478748298574,26,44,22,23,251,9,33,8,8,264,8,34,8,8,373,1460,3295,1446,1470,13113
1995-09-08,1995-07-25,1995-10-27,0.0392528340676,0.188918021775,0.189381647349,0.212808722793,0.141225905268,0.410506473975,0.40844043774,0.421556424643,44,22,23,251,52,33,8,8,264,41,34,8,8,373,133,3295,1446,1470,13113,3188
1995-10-27,1995-09-08,1995-12-06,0.0802777903007,0.0782863169615,0.123317020636,0.0391279574604,0.244407489011,0.236777500171,0.324695114565,0.142307135544,22,23,251,52,19,8,8,264,41,19,8,8,373,133,23,1446,1470,13113,3188,1878
1995-12-06,1995-10-27,1996-03-08,0.548742314371,0.248952651845,0.232940632314,0.0719377383107,0.818456159438,0.472387444838,0.429775736575,0.21499543608,23,251,52,19,21,8,264,41,19,5,8,373,133,23,8,1470,13113,3188,1878,1352
1996-03-08,1995-12-06,1996-05-24,0.262647671588,0.211008116538,0.0748445090626,0.737987241473,0.502921600469,0.422670904822,0.226838767393,0.886802877015,251,52,19,21,25,264,41,19,5,22,373,133,23,8,15,13113,3188,1878,1352,1580
1996-05-24,1996-03-08,1996-07-24,0.167049994953,0.144993398842,0.30613372108,0.316979301602,0.391290640922,0.373684329537,0.56531940186,0.593092690636,52,19,21,25,105,41,19,5,22,65,133,23,8,15,57,3188,1878,1352,1580,6203
1996-07-24,1996-05-24,1996-09-12,0.146670994966,0.191562721106,0.212525750861,0.459464288606,0.349938202581,0.350370198042,0.373471197954,0.628903870661,19,21,25,105,317,19,5,22,65,529,23,8,15,57,913,1878,1352,1580,6203,23869
1996-09-12,1996-07-24,1996-10-28,0.491915816964,0.539680402933,0.323416621012,0.220339507744,0.798777562831,0.827786141932,0.630609409379,0.407237566365,21,25,105,317,22,5,22,65,529,28,8,15,57,913,13,1352,1580,6203,23869,1582
1996-10-28,1996-09-12,1996-12-16,0.0726122250636,0.137642210295,0.137718680175,0.0765430491281,0.226537133429,0.362912722684,0.334602472979,0.250087508777,25,105,317,22,17,22,65,529,28,18,15,57,913,13,23,1580,6203,23869,1582,1939
1996-12-16,1996-10-28,1997-03-14,0.270106643488,0.176198241923,0.577926714727,0.0630859911988,0.56261762141,0.354751991264,0.857307485127,0.219630029756,105,317,22,17,20,65,529,28,18,27,57,913,13,23,14,6203,23869,1582,1939,1553
1997-03-14,1996-12-16,1997-07-23,0.191449112962,0.584391762668,0.0686300158172,0.714026192922,0.347674922061,0.831643584426,0.213538533691,0.905246655403,317,22,17,20,22,529,28,18,27,27,913,13,23,14,14,23869,1582,1939,1553,1538
1997-07-23,1997-03-14,1997-09-12,0.183858773054,0.0960712070168,0.156782871955,0.170544293911,0.39800713651,0.271439753016,0.35068065976,0.341503087806,22,17,20,22,332,28,18,27,27,406,13,23,14,14,888,1582,1939,1553,1538,23102
1997-09-12,1997-07-23,1997-10-24,0.0709375781036,0.463084828112,0.505852419169,0.170694758764,0.228473724585,0.797629710399,0.790125600446,0.37183138224,17,20,22,332,24,18,27,27,406,7,23,14,14,888,6,1939,1553,1538,23102,1351
1997-10-24,1997-09-12,1997-12-11,0.062996649071,0.0683303131637,0.0953091772374,0.0711918387947,0.219589739724,0.212853950167,0.270111765066,0.229290123789,20,22,332,24,17,27,27,406,7,17,14,14,888,6,24,1553,1538,23102,1351,1978
1997-12-11,1997-10-24,1998-03-13,0.591112460771,0.162863331626,0.646063978853,0.0718753099311,0.841584095151,0.341035284356,0.863305748528,0.22021793119,22,332,24,17,20,27,406,7,17,6,14,888,6,24,6,1538,23102,1351,1978,1337
