filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-05-15,2001-03-14,2001-08-14,0.543457899861,0.670105146987,0.667860652054,0.350583147414,0.806087673751,0.808274100694,0.802456829595,0.497601681962,277,176,186,1416,155,1132,706,668,4243,548,1354,410,373,8988,382,25148,18310,17496,141600,13907
2001-08-14,2001-05-15,2001-08-16,0.829888247561,0.673769085859,0.309464218764,0.763444484139,0.923374906461,0.834836684817,0.450533232919,0.873276142646,176,186,1416,155,187,706,668,4243,548,733,410,373,8988,382,458,18310,17496,141600,13907,17778
2001-08-16,2001-08-14,2001-11-13,0.0594365824503,0.108470160403,0.086748593707,0.0786574007917,0.117624813322,0.242809938442,0.16537049436,0.148630443142,186,1416,155,187,4,668,4243,548,733,1,373,8988,382,458,6,17496,141600,13907,17778,317
2001-11-13,2001-08-16,2002-03-18,0.307060722709,0.729446042886,0.749351205971,0.0680874450651,0.455998399209,0.864822699868,0.888521790959,0.136646688099,1416,155,187,4,202,4243,548,733,1,871,8988,382,458,6,527,141600,13907,17778,317,19838
2002-03-18,2001-11-13,2002-05-14,0.575635780272,0.533795084127,0.101862004788,0.539744171813,0.721261907278,0.677972258755,0.204099399732,0.689912291661,155,187,4,202,1224,548,733,1,871,2815,382,458,6,527,3288,13907,17778,317,19838,81523
2002-05-14,2002-03-18,2002-08-14,0.724991854609,0.0855572496109,0.711099540259,0.585777926105,0.863239611538,0.161111232414,0.860690215688,0.723053878952,187,4,202,1224,147,733,1,871,2815,647,458,6,527,3288,403,17778,317,19838,81523,14425
2002-08-14,2002-05-14,2002-11-14,0.094340256741,0.519568507068,0.565451548903,0.573958559202,0.190613117496,0.724288307894,0.744439339005,0.746656220615,4,202,1224,147,368,1,871,2815,647,1739,6,527,3288,403,2168,317,19838,81523,14425,39988
2002-11-14,2002-08-14,2003-03-19,0.477848215103,0.49333871116,0.429995383105,0.458695330542,0.67779222331,0.716690298016,0.647366958263,0.705771559982,202,1224,147,368,839,871,2815,647,1739,2394,527,3288,403,2168,3534,19838,81523,14425,39988,50849
2003-03-19,2002-11-14,2003-05-14,0.846957545985,0.70361742589,0.590044370725,0.496347004062,0.926373637794,0.817533982319,0.757666785892,0.706270391145,1224,147,368,839,942,2815,647,1739,2394,2383,3288,403,2168,3534,2145,81523,14425,39988,50849,66447
2003-05-14,2003-03-19,2003-08-13,0.776075398269,0.585332910471,0.473295036938,0.72497232607,0.886567537402,0.770877403385,0.686838594845,0.834232065399,147,368,839,942,321,647,1739,2394,2383,1213,403,2168,3534,2145,1135,14425,39988,50849,66447,28239
