filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-21,1994-11-14,1995-05-12,0.387202891265,0.218450569535,0.212682689746,0.215248329772,0.64099883638,0.407984049716,0.415271798024,0.411376997857,446,13,12,10,230,1359,19,35,23,716,3064,7,18,8,1494,44188,1408,1648,1591,23032
1995-05-12,1995-03-21,1995-08-04,0.636848033406,0.500252931278,0.514753670315,0.24353969713,0.878838139788,0.765288901492,0.767885233649,0.439145009669,13,12,10,230,8,19,35,23,716,21,7,18,8,1494,6,1408,1648,1591,23032,1612
1995-08-04,1995-05-12,1995-11-14,0.529150755903,0.475152563838,0.250440199909,0.686992782611,0.845736778378,0.779566440651,0.485080346304,0.857711891396,12,10,230,8,16,35,23,716,21,39,18,8,1494,6,10,1648,1591,23032,1612,2251
1995-11-14,1995-08-04,1996-03-29,0.53853550697,0.251672143838,0.669355011612,0.715427587177,0.828581161372,0.475106066499,0.849942501653,0.881735046426,10,230,8,16,17,23,716,21,39,30,8,1494,6,10,9,1591,23032,1612,2251,2372
1996-03-29,1995-11-14,1996-05-15,0.454310822235,0.158686774286,0.170313068833,0.192946725714,0.677052185356,0.326782583991,0.359016779025,0.372390486281,230,8,16,17,778,716,21,39,30,2638,1494,6,10,9,4321,23032,1612,2251,2372,78589
1996-05-15,1996-03-29,1996-06-26,0.341138656706,0.31228045365,0.356155800758,0.297823274368,0.661975882979,0.641175731684,0.671795709917,0.573998622559,8,16,17,778,64,21,39,30,2638,155,6,10,9,4321,134,1612,2251,2372,78589,5282
1996-06-26,1996-05-15,1996-08-14,0.173078672841,0.180566408747,0.186447430775,0.1529591715,0.388401282178,0.38526645712,0.340324827993,0.369983723282,16,17,778,64,4,39,30,2638,155,2,10,9,4321,134,20,2251,2372,78589,5282,694
1996-08-14,1996-06-26,1996-11-14,0.491004044041,0.183538485753,0.392095716443,0.158674437314,0.758722828551,0.365829699375,0.690361036442,0.335374858715,17,778,64,4,42,30,2638,155,2,36,9,4321,134,20,21,2372,78589,5282,694,3333
1996-11-14,1996-08-14,1997-03-26,0.617241156028,0.321917992108,0.119498386074,0.188562287321,0.765161591798,0.5574006444,0.222410451018,0.322369460318,778,64,4,42,286,2638,155,2,36,776,4321,134,20,21,1468,78589,5282,694,3333,27239
1997-03-26,1996-11-14,1997-05-06,0.272847144547,0.27091790385,0.338051998989,0.248690264431,0.578442592574,0.498496066375,0.600919478723,0.385561006297,64,4,42,286,225,155,2,36,776,405,134,20,21,1468,536,5282,694,3333,27239,19856
1997-05-06,1997-03-26,1997-08-12,0.173279539947,0.553845234262,0.189048821378,0.358743918314,0.347852076998,0.808832285558,0.319160614096,0.603010478692,4,42,286,225,17,2,36,776,405,12,20,21,1468,536,23,694,3333,27239,19856,2442
1997-08-12,1997-05-06,1997-11-06,0.578829909098,0.174968482322,0.351313907816,0.635662828446,0.877269543791,0.319612417566,0.643444705274,0.83252762497,42,286,225,17,44,36,776,405,12,32,21,1468,536,23,48,3333,27239,19856,2442,4113
1997-11-06,1997-08-12,1998-03-30,0.174545523614,0.316434713129,0.554578107351,0.544551027801,0.275079058853,0.510286596233,0.698559831376,0.712734012824,286,225,17,44,33,776,405,12,32,37,1468,536,23,48,29,27239,19856,2442,4113,3702
1998-03-30,1997-11-06,1998-05-14,0.594633402816,0.370165874724,0.382474386161,0.451789660646,0.803197317627,0.593309396959,0.631512813148,0.63649548447,225,17,44,33,231,405,12,32,37,592,536,23,48,29,759,19856,2442,4113,3702,22905
1998-05-14,1998-03-30,1998-08-13,0.6521573145,0.52758836914,0.73107697851,0.458086621156,0.797935867207,0.738680180789,0.889197784591,0.671529686036,17,44,33,231,12,12,32,37,592,12,23,48,29,759,26,2442,4113,3702,22905,2808
1998-08-13,1998-05-14,1998-11-10,0.547654322388,0.723634964034,0.414223352585,0.812377139438,0.741679015137,0.900652168162,0.619379260258,0.912830091368,44,33,231,12,13,32,37,592,12,22,48,29,759,26,31,4113,3702,22905,2808,3528
1998-11-10,1998-08-13,1998-11-12,0.805584220214,0.426267710696,0.786269411178,0.846246768875,0.953464915947,0.625552198123,0.908834567254,0.940399577233,33,231,12,13,18,37,592,12,22,22,29,759,26,31,30,3702,22905,2808,3528,3692
1998-11-12,1998-11-10,1999-01-27,0.184130413239,0.284146486971,0.26654510375,0.303483006226,0.332479666439,0.430862131524,0.36861724215,0.386871124103,231,12,13,18,2,592,12,22,22,7,759,26,31,30,11,22905,2808,3528,3692,427
1999-01-27,1998-11-12,1999-03-22,0.579097727877,0.707206657513,0.842763935598,0.15047708114,0.760987032559,0.85437801487,0.900475101809,0.274313171984,12,13,18,2,16,12,22,22,7,15,26,31,30,11,23,2808,3528,3692,427,1977
1999-03-22,1999-01-27,1999-05-14,0.227939905144,0.231500984082,0.105271085811,0.172901621904,0.396107443224,0.397016500095,0.226881741962,0.320072400309,13,18,2,16,579,22,22,7,15,1836,31,30,11,23,2837,3528,3692,427,1977,52165
1999-05-14,1999-03-22,1999-08-03,0.704855818525,0.240269726865,0.561793757193,0.233019429088,0.886892144679,0.378706536889,0.766182826325,0.41376258434,18,2,16,579,24,22,7,15,1836,18,30,11,23,2837,23,3692,427,1977,52165,3233
1999-08-03,1999-05-14,1999-08-13,0.199376719181,0.606013508873,0.216649404188,0.851928953304,0.323305133992,0.815249548302,0.386513492476,0.934659933075,2,16,579,24,24,7,15,1836,18,22,11,23,2837,23,25,427,1977,52165,3233,3927
1999-08-13,1999-08-03,1999-11-12,0.147362560098,0.0937071710165,0.141193105412,0.133498712964,0.240393104195,0.184023255415,0.222225001593,0.203701492982,16,579,24,24,2,15,1836,18,22,0,23,2837,23,25,8,1977,52165,3233,3927,229
1999-11-12,1999-08-13,2000-03-22,0.216410299242,0.814307441032,0.860564456563,0.116440750048,0.389639176516,0.925513415868,0.950318534433,0.188823038138,579,24,24,2,21,1836,18,22,0,23,2837,23,25,8,24,52165,3233,3927,229,4129
2000-03-22,1999-11-12,2000-05-05,0.533777830036,0.515322565654,0.158090175487,0.527868509025,0.742976919582,0.706963474961,0.251577761521,0.710462494245,24,24,2,21,208,18,22,0,23,458,23,25,8,24,476,3233,3927,229,4129,21742
2000-05-05,2000-03-22,2000-05-10,0.494111952675,0.132239672363,0.503192613808,0.710785420404,0.706996681071,0.212537909863,0.710312983808,0.854760091543,24,2,21,208,39,22,0,23,458,40,25,8,24,476,34,3927,229,4129,21742,5528
2000-05-10,2000-05-05,2000-08-14,0.133644563307,0.694398645306,0.544989222298,0.556205026559,0.225633376518,0.888660634613,0.764537765802,0.7734284017,2,21,208,39,20,0,23,458,40,54,8,24,476,34,53,229,4129,21742,5528,4230
2000-08-14,2000-05-10,2000-11-13,0.183451653387,0.251659891679,0.204507299224,0.206628518801,0.314874934169,0.41159320332,0.371822041827,0.350587440359,21,208,39,20,238,23,458,40,54,939,24,476,34,53,1369,4129,21742,5528,4230,22562
2000-11-13,2000-08-14,2001-03-28,0.225237215958,0.19046637713,0.166062882584,0.255803674725,0.384543724695,0.359033066988,0.309274077481,0.408885216467,208,39,20,238,288,458,40,54,939,727,476,34,53,1369,1457,21742,5528,4230,22562,22739
2001-03-28,2000-11-13,2001-05-14,0.271601807749,0.224286741206,0.332240870618,0.413963700859,0.451162965099,0.391675801651,0.496610350629,0.602299767706,39,20,238,288,725,40,54,939,727,1884,34,53,1369,1457,3445,5528,4230,22562,22739,64298
