filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-07,1997-03-07,1997-06-23,0.120796262593,0.106626482223,0.10565131987,0.257607752369,0.257883373533,0.248264550279,0.245781414625,0.428048914034,11,23,28,174,158,23,55,63,431,599,25,32,33,850,1244,1396,1955,2162,19409,17909
1997-06-23,1997-05-07,1997-08-07,0.0818223752618,0.080836799661,0.151646995689,0.0518438563626,0.264366975782,0.26545806258,0.364346290255,0.162828911746,23,28,174,158,7,55,63,431,599,17,32,33,850,1244,59,1955,2162,19409,17909,1862
1997-08-07,1997-06-23,1997-10-22,0.511699907811,0.252667312847,0.124633458091,0.101108939733,0.795049268272,0.4735397332,0.266195821536,0.30101158189,28,174,158,7,9,63,431,599,17,41,33,850,1244,59,37,2162,19409,17909,1862,1980
1997-10-22,1997-08-07,1998-03-17,0.253645709872,0.127062286894,0.0956094998936,0.75729626341,0.464402529469,0.266824335732,0.289947087108,0.888318126735,174,158,7,9,20,431,599,17,41,49,850,1244,59,37,41,19409,17909,1862,1980,1998
1998-03-17,1997-10-22,1998-05-01,0.157997238284,0.170749108921,0.284800877996,0.302503875493,0.309831072648,0.409827884904,0.537095482603,0.54356834596,158,7,9,20,121,599,17,41,49,277,1244,59,37,41,286,17909,1862,1980,1998,12754
1998-05-01,1998-03-17,1998-06-19,0.107377884695,0.536018398951,0.614261991184,0.285744799352,0.300103192157,0.803764684548,0.827780044095,0.513813390928,7,9,20,121,14,17,41,49,277,38,59,37,41,286,31,1862,1980,1998,12754,1554
1998-06-19,1998-05-01,1998-07-24,0.098599684281,0.0958887965561,0.16031452125,0.112490983519,0.284674092487,0.277468407544,0.372402201001,0.280874571012,9,20,121,14,22,41,49,277,38,37,37,41,286,31,90,1980,1998,12754,1554,3841
1998-07-24,1998-06-19,1998-11-10,0.531681701132,0.262235924356,0.673301536779,0.0983888252076,0.818682401809,0.505383348529,0.876576812765,0.26477944939,20,121,14,22,25,49,277,38,37,40,41,286,31,90,35,1998,12754,1554,3841,1885
1998-11-10,1998-07-24,1999-03-10,0.271724069719,0.610657442939,0.0964277700446,0.583957765928,0.548560978536,0.858259249629,0.274995069549,0.856007413876,121,14,22,25,25,277,38,37,40,56,286,31,90,35,36,12754,1554,3841,1885,2189
1999-03-10,1998-11-10,1999-05-17,0.0424383818169,0.0471558232992,0.0411890055108,0.0479909217364,0.132107251124,0.156175877877,0.131952961968,0.148544487523,14,22,25,25,1308,38,37,40,56,5939,31,90,35,36,9247,1554,3841,1885,2189,129190
1999-05-17,1999-03-10,1999-06-30,0.0994160052236,0.52468829673,0.608655545319,0.0503253101485,0.286045560042,0.813351940112,0.865739920729,0.157811375616,22,25,25,1308,18,37,40,56,5939,68,90,35,36,9247,41,3841,1885,2189,129190,2200
1999-06-30,1999-05-17,1999-08-10,0.0999933595144,0.0976289553319,0.0496693644913,0.10234412226,0.273266632934,0.28231025936,0.162788066847,0.294635963813,25,25,1308,18,26,40,56,5939,68,34,35,36,9247,41,73,1885,2189,129190,2200,3913
1999-08-10,1999-06-30,1999-11-08,0.620303775874,0.0487356332458,0.768404632049,0.100107905301,0.876749185633,0.148012443403,0.905889212054,0.276420845553,25,1308,18,26,25,56,5939,68,34,67,36,9247,41,73,39,2189,129190,2200,3913,2327
1999-11-08,1999-08-10,2000-03-10,0.215365399105,0.161843545045,0.0678665260492,0.156797818012,0.411505531333,0.334539193841,0.195510089092,0.310543442808,1308,18,26,25,255,5939,68,34,67,1142,9247,41,73,39,2143,129190,2200,3913,2327,31845
2000-03-10,1999-11-08,2000-05-05,0.0970169853945,0.049301562613,0.0925543699594,0.24565328549,0.289556587727,0.188392096942,0.269293118668,0.492850805361,18,26,25,255,504,68,34,67,1142,2126,41,73,39,2143,3270,2200,3913,2327,31845,52104
2000-05-05,2000-03-10,2000-06-28,0.104848480122,0.554610049866,0.151734327113,0.102665780606,0.284262553304,0.811097168517,0.311031692516,0.285990365909,26,25,255,504,33,34,67,1142,2126,76,73,39,2143,3270,48,3913,2327,31845,52104,2235
2000-06-28,2000-05-05,2000-08-04,0.117242294998,0.0786932352349,0.0582431437687,0.129073445966,0.297120249987,0.215344536691,0.207655680585,0.318174167354,25,255,504,33,13,67,1142,2126,76,20,39,2143,3270,48,35,2327,31845,52104,2235,1847
2000-08-04,2000-06-28,2000-11-03,0.142066886998,0.0967139752769,0.831975579233,0.120218546128,0.293301792203,0.273219983819,0.917678623647,0.294994016546,255,504,33,13,35,1142,2126,76,20,77,2143,3270,48,35,48,31845,52104,2235,1847,2622
2000-11-03,2000-08-04,2001-03-09,0.210511925381,0.339379939764,0.0919054551661,0.330870137448,0.451562835396,0.51869180799,0.233849813108,0.520657807448,504,33,13,35,88,2126,76,20,77,206,3270,48,35,48,505,52104,2235,1847,2622,7300
2001-03-09,2000-11-03,2001-05-11,0.0924589462409,0.0536313028546,0.0866436011498,0.233503393569,0.254783529157,0.180208147428,0.238867042664,0.458123471947,33,13,35,88,799,76,20,77,206,3557,48,35,48,505,5262,2235,1847,2622,7300,83156
2001-05-11,2001-03-09,2001-06-28,0.119536290124,0.610232780427,0.300084181683,0.0956988507153,0.318912028676,0.826720741523,0.520025744469,0.273696967696,13,35,88,799,37,20,77,206,3557,140,35,48,505,5262,98,1847,2622,7300,83156,2911
