filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-10-13,1994-07-14,1995-02-21,0.301259862015,0.631769260445,0.101652023702,0.714646751289,0.612447792771,0.854469685492,0.330567794982,0.903219165678,200,20,18,19,15,93,7,13,6,10,74,10,15,10,10,11926,1338,2417,1289,1433
1995-02-21,1994-10-13,1995-02-27,0.285896680525,0.174606815843,0.286953748511,0.284263024945,0.590578425699,0.429991325623,0.582092096511,0.581499514836,20,18,19,15,272,7,13,6,10,253,10,15,10,10,154,1338,2417,1289,1433,16576
1995-02-27,1995-02-21,1995-04-14,0.113051643891,0.133135185875,0.124352522681,0.234579156829,0.302518981147,0.366550100666,0.353539290094,0.461939881477,18,19,15,272,3,13,6,10,253,5,15,10,10,154,9,2417,1289,1433,16576,624
1995-04-14,1995-02-27,1995-05-26,0.198476336848,0.190448086885,0.276782344915,0.0945264592603,0.393169298766,0.390153644858,0.497396694015,0.276657226914,19,15,272,3,35,6,10,253,5,77,10,10,154,9,213,1289,1433,16576,624,3642
1995-05-26,1995-04-14,1995-07-14,0.100743550142,0.173162770961,0.110231199323,0.0586962709284,0.328017262733,0.423441413282,0.293098324237,0.193458399899,15,272,3,35,17,10,253,5,77,15,10,154,9,213,14,1433,16576,624,3642,2397
1995-07-14,1995-05-26,1995-10-16,0.280155763762,0.110399209402,0.335517050756,0.0942043103303,0.555035596507,0.322956862512,0.449732650954,0.313967622785,272,3,35,17,15,253,5,77,15,49,154,9,213,14,12,16576,624,3642,2397,1585
1995-10-16,1995-07-14,1996-02-23,0.106986436033,0.300946079903,0.0888095723647,0.778217337075,0.313362340259,0.431900838232,0.302365433407,0.909936478214,3,35,17,15,18,5,77,15,49,56,9,213,14,12,11,624,3642,2397,1585,1658
1996-02-23,1995-10-16,1996-04-12,0.24036257802,0.168196659601,0.286611644359,0.283692301462,0.479062661263,0.406070055221,0.569523569309,0.557650146565,35,17,15,18,188,77,15,49,56,170,213,14,12,11,80,3642,2397,1585,1658,12227
1996-04-12,1996-02-23,1996-05-28,0.0938644161752,0.337744888859,0.322398443592,0.287693613184,0.303324746783,0.728878479445,0.706340235123,0.592421276577,17,15,18,188,12,15,49,56,170,25,14,12,11,80,12,2397,1585,1658,12227,1363
1996-05-28,1996-04-12,1996-07-12,0.0903721144934,0.0862396942715,0.163377431461,0.0902378505404,0.310458354903,0.299968345197,0.400951998107,0.298386093249,15,18,188,12,21,49,56,170,25,22,12,11,80,12,15,1585,1658,12227,1363,2882
1996-07-12,1996-05-28,1996-10-15,0.153474564324,0.237112515714,0.257184577216,0.0540232517126,0.390779969688,0.484068589884,0.486254453361,0.190987988578,18,188,12,21,38,56,170,25,22,99,11,80,12,15,235,1658,12227,1363,2882,4266
1996-10-15,1996-07-12,1997-02-25,0.266779588442,0.437145887548,0.0868401076434,0.329126204297,0.553323808021,0.783012909142,0.284621075964,0.469197244375,188,12,21,38,18,170,25,22,99,94,80,12,15,235,16,12227,1363,2882,4266,2094
1997-02-25,1996-10-15,1997-04-11,0.290172006661,0.176042229105,0.328854152847,0.3727334369,0.568405648769,0.420050156224,0.537301508821,0.579431628447,12,21,38,18,281,25,22,99,94,337,12,15,235,16,224,1363,2882,4266,2094,17812
