filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-15,1995-03-28,1995-08-14,0.631196599103,0.454853092187,0.612862973023,0.261467824129,0.908035476179,0.801449134009,0.873982943824,0.48293127779,15,60,12,352,10,48,59,46,578,50,43,42,43,1611,39,1836,2909,1851,29116,2018
1995-08-14,1995-05-15,1995-11-14,0.545175602145,0.605510880409,0.251451718366,0.726422783334,0.868748055971,0.855335531445,0.454048833988,0.881050427435,60,12,352,10,9,59,46,578,50,48,42,43,1611,39,39,2909,1851,29116,2018,2112
1995-11-14,1995-08-14,1996-03-28,0.694046704625,0.2424707465,0.608515820369,0.595464906012,0.834809303306,0.420216664715,0.76605156186,0.730470143241,12,352,10,9,6,46,578,50,48,37,43,1611,39,39,37,1851,29116,2018,2112,1111
1996-03-28,1995-11-14,1996-05-13,0.805782805729,0.288314462534,0.284611418254,0.270347440653,0.908948563613,0.521210676661,0.494834071021,0.457150671015,352,10,9,6,358,578,50,48,37,557,1611,39,39,37,1284,29116,2018,2112,1111,30789
1996-05-13,1996-03-28,1996-08-14,0.666550299317,0.607261756259,0.57024031844,0.30647277379,0.922390376305,0.846978155499,0.754342004596,0.53393653166,10,9,6,358,11,50,48,37,557,42,39,39,37,1284,40,2018,2112,1111,30789,1942
1996-08-14,1996-05-13,1996-11-13,0.694014729763,0.51177563195,0.279775520441,0.702829831763,0.922454789431,0.708370979241,0.505457875544,0.873751321979,9,6,358,11,10,48,37,557,42,45,39,37,1284,40,40,2112,1111,30789,1942,2229
1996-11-13,1996-08-14,1997-03-31,0.612206894028,0.280930044771,0.731885804845,0.789563168775,0.781489487113,0.503946846411,0.900910293084,0.91246772657,6,358,11,10,10,37,557,42,45,43,37,1284,40,40,38,1111,30789,1942,2229,2083
1997-03-31,1996-11-13,1997-05-15,0.830428162177,0.176102389983,0.169995077475,0.162806307101,0.893518474728,0.36070151676,0.345632706206,0.33255751296,358,11,10,10,168,557,42,45,43,349,1284,40,40,38,1237,30789,1942,2229,2083,21156
1997-05-15,1997-03-31,1997-08-14,0.686880608168,0.542178412636,0.59034339828,0.196125859196,0.916140007049,0.811141977124,0.840134811539,0.391428238195,11,10,10,168,14,42,45,43,349,43,40,40,38,1237,42,1942,2229,2083,21156,2203
1997-08-14,1997-05-15,1997-11-14,0.701213239387,0.608431065045,0.191522125794,0.683917352225,0.915101133424,0.841242708611,0.381168928172,0.860710898034,10,10,168,14,18,45,43,349,43,48,40,38,1237,42,41,2229,2083,21156,2203,2661
1997-11-14,1997-08-14,1998-03-26,0.658047652258,0.199712805801,0.685095647189,0.769766597493,0.880955810049,0.402417086909,0.87478575046,0.896347359713,10,168,14,18,24,43,349,43,48,44,38,1237,42,41,40,2083,21156,2203,2661,2677
1998-03-26,1997-11-14,1998-05-14,0.827283723107,0.325498899616,0.322097918972,0.341203233248,0.895680202821,0.572516846175,0.563242020191,0.590005821704,168,14,18,24,599,349,43,48,44,647,1237,42,41,40,1573,21156,2203,2661,2677,36958
1998-05-14,1998-03-26,1998-08-14,0.63145854337,0.539851794541,0.591102110647,0.33270270146,0.892405238975,0.810553921317,0.84618363301,0.561056738592,14,18,24,599,24,43,48,44,647,58,42,41,40,1573,48,2203,2661,2677,36958,2356
1998-08-14,1998-05-14,1998-11-13,0.640399090073,0.559090734967,0.325810550223,0.711586497974,0.887782518714,0.832583925745,0.563422111145,0.883337371518,18,24,599,24,23,48,44,647,58,67,41,40,1573,48,58,2661,2677,36958,2356,2791
1998-11-13,1998-08-14,1999-03-24,0.158494890648,0.24173105903,0.176892068723,0.189690871704,0.360207575569,0.483383590402,0.365453271484,0.370747550635,24,599,24,23,113,44,647,58,67,344,40,1573,48,58,823,2677,36958,2356,2791,13961
