filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-05-06,1994-03-11,1994-08-11,0.464019624413,0.500892093317,0.339641999599,0.303565013958,0.792396952497,0.818084322111,0.680922610469,0.633726577321,27,30,101,40,39,55,52,76,11,65,22,35,120,38,72,2742,2506,6661,2691,2409
1994-08-11,1994-05-06,1994-11-10,0.541042596278,0.370448813472,0.322813771881,0.748889864965,0.84683900327,0.701663729948,0.636085383324,0.920677368082,30,101,40,39,40,52,76,11,65,66,35,120,38,72,74,2506,6661,2691,2409,2766
1994-11-10,1994-08-11,1995-03-06,0.38323613227,0.332376343982,0.674584629443,0.767405434538,0.707372768799,0.637511393192,0.903387202869,0.934827549465,101,40,39,40,41,76,11,65,66,64,120,38,72,74,72,6661,2691,2409,2766,2706
1995-03-06,1994-11-10,1995-05-08,0.577684362341,0.384828295757,0.421317190116,0.449800579822,0.803932632474,0.712955025894,0.724741367675,0.736688771139,40,39,40,41,139,11,65,66,64,100,38,72,74,72,158,2691,2409,2766,2706,7454
1995-05-08,1995-03-06,1995-08-02,0.542418866258,0.57950318034,0.63415704132,0.45298832807,0.875663585541,0.873731098006,0.896948798674,0.732834906953,39,40,41,139,42,65,66,64,100,57,72,74,72,158,96,2409,2766,2706,7454,2546
1995-08-02,1995-05-08,1995-11-13,0.61469228777,0.615958958883,0.437262076735,0.781826899199,0.89772806431,0.886264377137,0.723991754242,0.93467508458,40,41,139,42,31,66,64,100,57,63,74,72,158,96,105,2766,2706,7454,2546,2782
1995-11-13,1995-08-02,1996-03-11,0.548646670963,0.389007001977,0.617930204222,0.652130389927,0.835520098428,0.691912589878,0.87453251626,0.880704123792,41,139,42,31,44,64,100,57,63,133,72,158,96,105,181,2706,7454,2546,2782,3593
1996-03-11,1995-11-13,1996-05-09,0.666768092855,0.413016305713,0.407117195996,0.474056583582,0.882548856516,0.722446260401,0.711304407381,0.75216622901,139,42,31,44,148,100,57,63,133,264,158,96,105,181,262,7454,2546,2782,3593,8871
1996-05-09,1996-03-11,1996-07-29,0.533446432805,0.501392732719,0.597007490321,0.634532103309,0.83058120568,0.798157680453,0.865246550832,0.830126495148,42,31,44,148,62,57,63,133,264,171,96,105,181,262,209,2546,2782,3593,8871,4034
1996-07-29,1996-05-09,1996-10-25,0.546020849653,0.592978812826,0.600348230905,0.806988334272,0.836053810056,0.863101293523,0.816167314956,0.944109712952,31,44,148,62,57,63,133,264,171,168,105,181,262,209,207,2782,3593,8871,4034,4490
