filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2005-10-07,2005-08-05,2006-01-17,0.163858692784,0.249962419859,0.367070590375,0.427014649793,0.350257302147,0.48259419468,0.606778207727,0.660096170081,6,580,146,321,188,33,1655,419,721,1096,17,3589,294,684,1567,1653,77209,18587,38585,26234
2006-01-17,2005-10-07,2006-04-12,0.321093366406,0.536364926303,0.57949217751,0.463711172472,0.548222601877,0.78217612454,0.791379359133,0.721626158765,580,146,321,188,216,1655,419,721,1096,881,3589,294,684,1567,765,77209,18587,38585,26234,22561
2006-04-12,2006-01-17,2006-08-11,0.688233263364,0.605232461276,0.434952218821,0.6902373049,0.848874770145,0.785910471961,0.664268534117,0.85723202106,146,321,188,216,170,419,721,1096,881,588,294,684,1567,765,347,18587,38585,26234,22561,16740
2006-08-11,2006-04-12,2006-10-10,0.631235102938,0.609858229875,0.52024308997,0.473268662197,0.768359751322,0.780368111737,0.742521950047,0.641927539708,321,188,216,170,878,721,1096,881,588,2952,684,1567,765,347,3574,38585,26234,22561,16740,84794
2006-10-10,2006-08-11,2007-01-30,0.428700969458,0.592369192563,0.709302104448,0.502842773656,0.664492202804,0.802331400762,0.872033131612,0.661952728671,188,216,170,878,107,1096,881,588,2952,464,1567,765,347,3574,357,26234,22561,16740,84794,13580
2007-01-30,2006-10-10,2007-04-09,0.581312452414,0.605744433959,0.504231187372,0.721558336026,0.803341868114,0.804840130585,0.686321772822,0.853103421324,216,170,878,107,195,881,588,2952,464,714,765,347,3574,357,420,22561,16740,84794,13580,18870
2007-04-09,2007-01-30,2007-08-09,0.409890947504,0.592246492489,0.438383733875,0.504636919405,0.633880775624,0.80551422013,0.650616778722,0.712051847504,170,878,107,195,381,588,2952,464,714,1425,347,3574,357,420,1471,16740,84794,13580,18870,41121
2007-08-09,2007-04-09,2007-10-10,0.705813674911,0.57866236095,0.666569253145,0.514447371369,0.851842909299,0.752050109584,0.831168867568,0.752350559578,878,107,195,381,699,2952,464,714,1425,1753,3574,357,420,1471,1697,84794,13580,18870,41121,54317
2007-10-10,2007-08-09,2008-01-09,0.584962527199,0.551588871453,0.377131207566,0.55165333295,0.785343748297,0.77286531472,0.621113026684,0.767765217821,107,195,381,699,176,464,714,1425,1753,466,357,420,1471,1697,591,13580,18870,41121,54317,15892
2008-01-09,2007-10-10,2008-04-09,0.68844462023,0.504004503715,0.644537545962,0.616881319811,0.859142070867,0.770869051122,0.827513768647,0.813379144226,195,381,699,176,198,714,1425,1753,466,552,420,1471,1697,591,699,18870,41121,54317,15892,18560
2008-04-09,2008-01-09,2008-07-29,0.429597797938,0.53664665826,0.4828584819,0.560386632245,0.663965822255,0.729070564097,0.705475095722,0.73259386573,381,699,176,198,382,1425,1753,466,552,1129,1471,1697,591,699,1430,41121,54317,15892,18560,28862
2008-07-29,2008-04-09,2008-10-09,0.820526289754,0.664206312171,0.640321269077,0.501949257672,0.944754692988,0.802070602078,0.817414282739,0.688731834702,699,176,198,382,552,1753,466,552,1129,1308,1697,591,699,1430,1311,54317,15892,18560,28862,49760
2008-10-09,2008-07-29,2009-01-08,0.538979813969,0.594346356168,0.560726424615,0.570118348458,0.77188024675,0.805388312845,0.772379504429,0.775356251456,176,198,382,552,191,466,552,1129,1308,611,591,699,1430,1311,906,15892,18560,28862,49760,18026
2009-01-08,2008-10-09,2009-04-09,0.544647231222,0.463175456127,0.502682709306,0.617411555207,0.742604102088,0.695157901351,0.712523820517,0.80836444379,198,382,552,191,202,552,1129,1308,611,634,699,1430,1311,906,793,18560,28862,49760,18026,20423
