filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-20,1994-11-10,1995-05-09,0.937956949609,0.709412528275,0.710102087054,0.478765102513,0.986229235041,0.85234680516,0.838413758817,0.685733536547,499,60,89,209,548,1358,318,352,585,1231,1080,264,219,993,975,51937,10935,12070,24478,52901
1995-05-09,1995-03-20,1995-08-10,0.850758341684,0.792992349352,0.518677747559,0.714486817529,0.959937913096,0.90150420961,0.712963651456,0.846946363817,60,89,209,548,83,318,352,585,1231,250,264,219,993,975,207,10935,12070,24478,52901,10554
1995-08-10,1995-05-09,1995-11-09,0.862612807773,0.529396282726,0.72558722537,0.872916461199,0.960939384767,0.723373074241,0.849411037652,0.939234151741,89,209,548,83,111,352,585,1231,250,268,219,993,975,207,208,12070,24478,52901,10554,12423
1995-11-09,1995-08-10,1996-03-06,0.546072517342,0.725373389082,0.844034076118,0.900471329701,0.743722626352,0.857990037503,0.933235234271,0.961267087861,209,548,83,111,120,585,1231,250,268,313,993,975,207,208,194,24478,52901,10554,12423,13367
1996-03-06,1995-11-09,1996-05-14,0.935911712257,0.697656177545,0.720008343938,0.738421755984,0.984387998692,0.839032433632,0.845006247613,0.859189606917,548,83,111,120,560,1231,250,268,313,1496,975,207,208,194,1141,52901,10554,12423,13367,55186
1996-05-14,1996-03-06,1996-08-13,0.866624160378,0.826911041765,0.826497933805,0.713188547325,0.969676271698,0.930018992388,0.930824939786,0.840124298992,83,111,120,560,68,250,268,313,1496,223,207,208,194,1141,193,10554,12423,13367,55186,10067
1996-08-13,1996-05-14,1996-11-12,0.776499732905,0.740209327886,0.647563232431,0.780841759962,0.902134120226,0.875722103074,0.801510209105,0.878280866576,111,120,560,68,103,268,313,1496,223,345,208,194,1141,193,548,12423,13367,55186,10067,15371
1996-11-12,1996-08-13,1997-03-07,0.880461483219,0.725336054435,0.85374492815,0.781429429628,0.969872506755,0.858557120055,0.942679547137,0.887786826627,120,560,68,103,110,313,1496,223,345,300,194,1141,193,548,181,13367,55186,10067,15371,12477
1997-03-07,1996-11-12,1997-05-12,0.929085848762,0.702227490482,0.635247534519,0.731863026832,0.981772634472,0.837915459693,0.790988936577,0.857383055615,560,68,103,110,623,1496,223,345,300,1322,1141,193,548,181,942,55186,10067,15371,12477,56405
1997-05-12,1997-03-07,1997-08-12,0.57394983612,0.568539425919,0.552010847244,0.547818470632,0.698076948114,0.722966583072,0.674953920965,0.68678107972,68,103,110,623,160,223,345,300,1322,470,193,548,181,942,948,10067,15371,12477,56405,26670
1997-08-12,1997-05-12,1997-11-12,0.762887488296,0.825418967791,0.689165438139,0.567449025047,0.89549227943,0.936731491561,0.827014115615,0.687902737037,103,110,623,160,86,345,300,1322,470,216,548,181,942,948,154,15371,12477,56405,26670,13454
1997-11-12,1997-08-12,1998-03-04,0.847047841447,0.703577429274,0.579071483467,0.893176663345,0.958498025528,0.843783355689,0.707164372485,0.958960509186,110,623,160,86,101,300,1322,470,216,282,181,942,948,154,171,12477,56405,26670,13454,14736
1998-03-04,1997-11-12,1998-05-11,0.838380803504,0.515165110074,0.690156081297,0.702468830669,0.942350689498,0.665972496545,0.826205992189,0.842237607322,623,160,86,101,560,1322,470,216,282,1244,942,948,154,171,699,56405,26670,13454,14736,52609
1998-05-11,1998-03-04,1998-08-13,0.49528037778,0.713035597707,0.712114494214,0.695550825156,0.643090559434,0.863309370124,0.874742313515,0.842738827336,160,86,101,560,103,470,216,282,1244,169,948,154,171,699,138,26670,13454,14736,52609,11301
1998-08-13,1998-05-11,1998-11-06,0.776737478699,0.716479901675,0.678120317386,0.822773355241,0.91967147863,0.886958379022,0.832291654424,0.92090109616,86,101,560,103,120,216,282,1244,169,208,154,171,699,138,176,13454,14736,52609,11301,13213
1998-11-06,1998-08-13,1999-03-08,0.732207496607,0.691002244754,0.820230553574,0.864821468424,0.904689444531,0.853516382852,0.932328969336,0.949293112571,101,560,103,120,117,282,1244,169,208,258,171,699,138,176,174,14736,52609,11301,13213,15101
1999-03-08,1998-11-06,1999-05-12,0.900149639233,0.683069136933,0.682545403508,0.730593669699,0.976981917195,0.83622520247,0.829210144869,0.859001439742,560,103,120,117,590,1244,169,208,258,1317,699,138,176,174,816,52609,11301,13213,15101,56631
