filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-04-30,1997-03-31,1997-07-15,0.909272231274,0.282367916156,0.249291569511,0.445800131648,0.945457066093,0.482357511746,0.408676908774,0.654725805928,194,819,30,563,205,481,588,94,1067,464,1042,1195,45,1851,1197,19856,27008,4643,44707,22569
1997-07-15,1997-04-30,1997-10-14,0.147542665114,0.463845485199,0.347840027344,0.247057033687,0.246128666858,0.724039733172,0.51582670963,0.394235407196,819,30,563,205,84,588,94,1067,464,116,1195,45,1851,1197,86,27008,4643,44707,22569,8918
1997-10-14,1997-07-15,1998-02-20,0.44780676631,0.329431077356,0.233807759789,0.838163644574,0.70999342261,0.495379977504,0.382113645149,0.947162672035,30,563,205,84,97,94,1067,464,116,119,45,1851,1197,86,70,4643,44707,22569,8918,8972
1998-02-20,1997-10-14,1998-04-13,0.527300152805,0.336435128935,0.627817506321,0.602856045022,0.686427701537,0.501215919021,0.795585033713,0.769618852381,563,205,84,97,341,1067,464,116,119,751,1851,1197,86,70,1136,44707,22569,8918,8972,40516
1998-04-13,1998-02-20,1998-05-06,0.297239258561,0.195050541031,0.185673448647,0.300188475051,0.478511552603,0.284449884517,0.272551993287,0.401160654782,205,84,97,341,416,464,116,119,751,1605,1197,86,70,1136,3437,22569,8918,8972,40516,52945
1998-05-06,1998-04-13,1998-07-14,0.184149773035,0.176479658601,0.198501974661,0.0773590660804,0.410124991145,0.395698252659,0.413969230002,0.184078273554,84,97,341,416,2,116,119,751,1605,6,86,70,1136,3437,6,8918,8972,40516,52945,350
1998-07-14,1998-05-06,1998-10-14,0.609466674081,0.612914545857,0.288721204851,0.1613537227,0.800605702331,0.806177367034,0.421720552455,0.364151795386,97,341,416,2,176,119,751,1605,6,230,70,1136,3437,6,316,8972,40516,52945,350,13223
1998-10-14,1998-07-14,1999-02-23,0.570225946758,0.359231445468,0.13802792379,0.601080630559,0.746127763007,0.523415059096,0.324978629815,0.796567139729,341,416,2,176,188,751,1605,6,230,556,1136,3437,6,316,959,40516,52945,350,13223,21443
1999-02-23,1998-10-14,1999-04-14,0.323810916067,0.122343625282,0.497300758319,0.508026615085,0.432384306079,0.262381329418,0.671318669047,0.680345132836,416,2,176,188,616,1605,6,230,556,1764,3437,6,316,959,3188,52945,350,13223,21443,74758
1999-04-14,1999-02-23,1999-07-14,0.161689222577,0.5624251473,0.661249837486,0.549695425582,0.34306697767,0.752348355719,0.819701023896,0.680942418981,2,176,188,616,126,6,230,556,1764,299,6,316,959,3188,469,350,13223,21443,74758,13684
1999-07-14,1999-04-14,1999-10-15,0.658438120701,0.501226968314,0.405995980174,0.666917545255,0.836243547096,0.668172057808,0.529469343959,0.772046289779,176,188,616,126,110,230,556,1764,299,190,316,959,3188,469,104,13223,21443,74758,13684,10064
1999-10-15,1999-07-14,2000-02-25,0.705797344,0.415083130308,0.431616187914,0.44477353442,0.837525535281,0.607281746117,0.621309868304,0.595215764777,188,616,126,110,364,556,1764,299,190,839,959,3188,469,104,1393,21443,74758,13684,10064,29189
2000-02-25,1999-10-15,2000-04-13,0.964335284645,0.505860749655,0.424631370394,0.384230239101,0.984838522523,0.650916341152,0.552159831457,0.568216191966,616,126,110,364,526,1764,299,190,839,1527,3188,469,104,1393,2484,74758,13684,10064,29189,66387
2000-04-13,2000-02-25,2000-07-14,0.397284474969,0.241993479076,0.333981018244,0.915988825705,0.510862733727,0.323899430077,0.466426056319,0.92616040924,126,110,364,526,251,299,190,839,1527,1072,469,104,1393,2484,2003,13684,10064,29189,66387,39447
2000-07-14,2000-04-13,2000-10-16,0.797954423487,0.384704303816,0.393242099418,0.240126266281,0.929819457386,0.558519042009,0.519801750071,0.314876043891,110,364,526,251,96,190,839,1527,1072,145,104,1393,2484,2003,81,10064,29189,66387,39447,9880
2000-10-16,2000-07-14,2001-02-16,0.46578659393,0.392311354478,0.241312431315,0.723338328459,0.67231900228,0.556491771896,0.344611939648,0.889743040575,364,526,251,96,175,839,1527,1072,145,373,1393,2484,2003,81,413,29189,66387,39447,9880,14748
2001-02-16,2000-10-16,2001-02-27,0.954869492699,0.906880295835,0.365201545956,0.368112902421,0.979956817006,0.926268550072,0.48422938671,0.522314380549,526,251,96,175,642,1527,1072,145,373,1615,2484,2003,81,413,3009,66387,39447,9880,14748,70529
2001-02-27,2001-02-16,2001-04-16,0.906940528643,0.365143348768,0.367968268179,0.999911771765,0.926317444885,0.48415845912,0.522163217877,0.999981463354,251,96,175,642,642,1072,145,373,1615,1615,2003,81,413,3009,3006,39447,9880,14748,70529,70425
2001-04-16,2001-02-27,2001-07-13,0.478343355609,0.445567324326,0.424662077681,0.424533222222,0.648521457147,0.655199134126,0.575250678984,0.575113128461,96,175,642,642,150,145,373,1615,1615,385,81,413,3009,3006,591,9880,14748,70529,70425,17750
2001-07-13,2001-04-16,2001-10-15,0.660163957197,0.369017220237,0.368926774896,0.535627332071,0.84835110107,0.468355959774,0.468243966057,0.664170810956,175,642,642,150,82,373,1615,1615,385,221,413,3009,3006,591,107,14748,70529,70425,17750,11884
2001-10-15,2001-07-13,2002-02-14,0.356149130128,0.356042718519,0.374509893624,0.441435942892,0.494698607259,0.494531381677,0.54768846532,0.563873048981,642,642,150,82,272,1615,1615,385,221,798,3009,3006,591,107,1421,70529,70425,17750,11884,30565
2002-02-14,2001-10-15,2002-04-15,0.596355300668,0.38676031596,0.245804734116,0.296721466402,0.82460237127,0.624999613035,0.406136730322,0.52678112827,642,150,82,272,1247,1615,385,221,798,3617,3006,591,107,1421,5618,70425,17750,11884,30565,148082
2002-04-15,2002-02-14,2002-07-11,0.603586655279,0.748599402382,0.458570741988,0.316299976364,0.742372026938,0.874812491195,0.603065806652,0.511369150667,150,82,272,1247,104,385,221,798,3617,318,591,107,1421,5618,282,17750,11884,30565,148082,14928
2002-07-11,2002-04-15,2002-10-15,0.292868812727,0.282682115595,0.529511150041,0.340025780169,0.356329243725,0.394628780792,0.730968599082,0.42289879673,82,272,1247,104,251,221,798,3617,318,1282,107,1421,5618,282,2245,11884,30565,148082,14928,45881
2002-10-15,2002-07-11,2002-11-01,0.417357444465,0.277976064419,0.565395142456,0.3125367576,0.620927200113,0.534114109842,0.804009328687,0.46577806529,272,1247,104,251,151,798,3617,318,1282,559,1421,5618,282,2245,543,30565,148082,14928,45881,22987
2002-11-01,2002-10-15,2003-02-19,0.235063763147,0.696948851155,0.274283286967,0.743212909355,0.400686819324,0.843668441001,0.341958918346,0.889680913536,1247,104,251,151,116,3617,318,1282,559,452,5618,282,2245,543,183,148082,14928,45881,22987,16802
2003-02-19,2002-11-01,2003-04-11,0.555682334814,0.333832478909,0.447761192973,0.469720586595,0.689445309731,0.427900800467,0.66310123923,0.599235190967,104,251,151,116,729,318,1282,559,452,1954,282,2245,543,183,2901,14928,45881,22987,16802,80955
2003-04-11,2003-02-19,2003-07-11,0.24303198919,0.362809534113,0.41231162153,0.423204588313,0.337617275195,0.589805355284,0.578449449185,0.582314359214,251,151,116,729,241,1282,559,452,1954,974,2245,543,183,2901,1289,45881,22987,16802,80955,33532
2003-07-11,2003-04-11,2003-10-14,0.402658418228,0.470570687495,0.437626011281,0.965138074682,0.634915740961,0.637028014307,0.599000432218,0.975500404741,151,116,729,241,247,559,452,1954,974,1088,543,183,2901,1289,1343,22987,16802,80955,33532,35891
2003-10-14,2003-07-11,2004-02-25,0.547233993053,0.438408279422,0.937052713986,0.962973330788,0.692126601993,0.600897745081,0.957685193272,0.983029223983,116,729,241,247,286,452,1954,974,1088,1042,183,2901,1289,1343,1342,16802,80955,33532,35891,37554
2004-02-25,2003-10-14,2004-04-08,0.802071522514,0.461742670909,0.486274542299,0.500420654568,0.908667634713,0.61176319633,0.637602675382,0.648298408858,729,241,247,286,551,1954,974,1088,1042,1599,2901,1289,1343,1342,1934,80955,33532,35891,37554,63537
