filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-04,1994-10-21,1995-03-24,0.182311605771,0.16664593613,0.377102328055,0.162680339739,0.426364616693,0.324014677772,0.668341831143,0.434658442092,366,55,20,43,32,661,160,18,18,67,1407,545,9,20,152,28523,8263,2122,3465,3884
1995-03-24,1994-11-04,1995-05-09,0.266070570344,0.258240125243,0.232339058552,0.229555070121,0.448306084866,0.471702862161,0.531518092275,0.537148913865,55,20,43,32,269,160,18,18,67,311,545,9,20,152,505,8263,2122,3465,3884,17921
1995-05-09,1995-03-24,1995-07-18,0.303956888034,0.139155499366,0.230797830308,0.255039243902,0.580201939246,0.409210112665,0.583344313222,0.541312440088,20,43,32,269,27,18,18,67,311,102,9,20,152,505,146,2122,3465,3884,17921,3850
1995-07-18,1995-05-09,1995-11-13,0.162694673102,0.328706914602,0.282855301091,0.384166044531,0.411158465594,0.657952632182,0.519237362883,0.668384325944,43,32,269,27,26,18,67,311,102,58,20,152,505,146,59,3465,3884,17921,3850,3220
1995-11-13,1995-07-18,1996-03-22,0.370481549092,0.299733570303,0.374512030281,0.625286779414,0.724205567916,0.548126991031,0.6684569352,0.827949126849,32,269,27,26,29,67,311,102,58,40,152,505,146,59,25,3884,17921,3850,3220,3003
1996-03-22,1995-11-13,1996-05-10,0.511801229862,0.151595015327,0.170119328162,0.170518651645,0.666469146408,0.361815138994,0.317881823736,0.31135693066,269,27,26,29,60,311,102,58,40,262,505,146,59,25,573,17921,3850,3220,3003,11736
1996-05-10,1996-03-22,1996-07-16,0.213578947868,0.302838971841,0.264202235119,0.24367549934,0.413497302876,0.403460804291,0.383610492018,0.381879981569,27,26,29,60,51,102,58,40,262,241,146,59,25,573,338,3850,3220,3003,11736,6809
1996-07-16,1996-05-10,1996-11-12,0.575849512018,0.574264450155,0.161026307574,0.277457507308,0.8359713033,0.834875067228,0.292750038667,0.375252764864,26,29,60,51,15,58,40,262,241,56,59,25,573,338,41,3220,3003,11736,6809,2884
1996-11-12,1996-07-16,1997-03-25,0.63621806526,0.163910291737,0.268794097876,0.656392681557,0.897424844268,0.306027653442,0.378115404029,0.855064049978,29,60,51,15,18,40,262,241,56,58,25,573,338,41,43,3003,11736,6809,2884,2941
1997-03-25,1996-11-12,1997-05-13,0.645268354223,0.604296397647,0.129450701987,0.129153007136,0.767343508798,0.763080987219,0.24887774839,0.255459690423,60,51,15,18,118,262,241,56,58,441,573,338,41,43,854,11736,6809,2884,2941,17184
1997-05-13,1997-03-25,1997-05-15,0.274184749947,0.498505637842,0.495032160119,0.144402222374,0.406908465148,0.778489624593,0.789248268712,0.282414152822,51,15,18,118,39,241,56,58,441,64,338,41,43,854,38,6809,2884,2941,17184,2932
1997-05-15,1997-05-13,1997-07-16,0.409526947212,0.408334422303,0.12268125611,0.901971708427,0.712363606197,0.722867212863,0.257290647905,0.956231426305,15,18,118,39,38,56,58,441,64,48,41,43,854,38,29,2884,2941,17184,2932,2671
1997-07-16,1997-05-15,1997-11-07,0.28637815909,0.584209414451,0.305379845381,0.268126059556,0.417907658925,0.742100274793,0.427914198321,0.39258047419,18,118,39,38,49,58,441,64,48,206,43,854,38,29,275,2941,17184,2932,2671,6532
1997-11-07,1997-07-16,1998-03-20,0.156425610741,0.185935640007,0.166984440789,0.197907549895,0.38446787813,0.446434214981,0.419396592947,0.423653330176,118,39,38,49,80,441,64,48,206,273,854,38,29,275,670,17184,2932,2671,6532,11414
1998-03-20,1997-11-07,1998-05-12,0.194706331667,0.175763037747,0.135145269854,0.101650571005,0.420067011242,0.402835007084,0.265910696398,0.281219931016,39,38,49,80,41,64,48,206,273,197,38,29,275,670,189,2932,2671,6532,11414,7253
1998-05-12,1998-03-20,1998-08-03,0.183129039724,0.793286141892,0.170564140928,0.120897396184,0.313825140548,0.900891173524,0.403874553804,0.225842753697,38,49,80,41,125,48,206,273,197,237,29,275,670,189,351,2671,6532,11414,7253,8065
1998-08-03,1998-05-12,1998-11-10,0.386719807097,0.186353645455,0.129420634468,0.477951190272,0.585144351306,0.463499491002,0.256505235497,0.658648043963,49,80,41,125,131,206,273,197,237,423,275,670,189,351,856,6532,11414,7253,8065,13548
1998-11-10,1998-08-03,1999-03-22,0.227147280141,0.197986983424,0.173854119191,0.229556358959,0.503881723895,0.445247413847,0.314669252476,0.431296660177,80,41,125,131,45,273,197,237,423,210,670,189,351,856,145,11414,7253,8065,13548,6628
1999-03-22,1998-11-10,1999-05-18,0.139279264693,0.182751357879,0.301711473708,0.170348786481,0.232465086089,0.315579048886,0.506572759548,0.321847593928,41,125,131,45,416,197,237,423,210,1524,189,351,856,145,3604,7253,8065,13548,6628,57377
