filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-12,1998-05-06,1998-11-16,0.580275832765,0.45006261697,0.119637179483,0.388134120629,0.836666966092,0.725148666835,0.304040086371,0.619020081225,18,20,678,57,26,43,80,1957,91,59,14,21,4156,179,12,2840,3877,75891,4559,2970
1998-11-16,1998-08-12,1998-12-23,0.42195845836,0.394607330013,0.297296410048,0.508696676135,0.765134412326,0.493038054099,0.595378442458,0.752684809476,20,678,57,26,48,80,1957,91,59,117,21,4156,179,12,131,3877,75891,4559,2970,5684
1998-12-23,1998-11-16,1999-03-18,0.14491826604,0.194419576417,0.206404192531,0.284088125013,0.362108943993,0.463327980235,0.438010412597,0.587737948377,678,57,26,48,25,1957,91,59,117,72,4156,179,12,131,42,75891,4559,2970,5684,2227
1999-03-18,1998-12-23,1999-05-07,0.342804653925,0.361890763155,0.360300551133,0.347155275255,0.589703108628,0.600112145887,0.639758896178,0.541272499034,57,26,48,25,424,91,59,117,72,446,179,12,131,42,468,4559,2970,5684,2227,23732
1999-05-07,1999-03-18,1999-08-16,0.398629724075,0.411666228019,0.276956971914,0.401268128007,0.684186971773,0.663789326199,0.446602733115,0.645388690966,26,48,25,424,34,59,117,72,446,38,12,131,42,468,17,2970,5684,2227,23732,3006
1999-08-16,1999-05-07,1999-11-15,0.416833126998,0.253541203948,0.401059303744,0.791423923698,0.675816030355,0.410875829299,0.642582439249,0.881035516648,48,25,424,34,36,117,72,446,38,41,131,42,468,17,17,5684,2227,23732,3006,3377
1999-11-15,1999-08-16,2000-03-24,0.243912758183,0.387406529516,0.748643225228,0.795685814669,0.400704222761,0.633145605402,0.870493865283,0.889607019405,25,424,34,36,38,72,446,38,41,47,42,468,17,17,18,2227,23732,3006,3377,3374
2000-03-24,1999-11-15,2000-05-15,0.85296521173,0.340416667771,0.350518247089,0.342574945714,0.948365403843,0.592552872784,0.593059932003,0.58372758924,424,34,36,38,456,446,38,41,47,437,468,17,17,18,624,23732,3006,3377,3374,24193
2000-05-15,2000-03-24,2000-08-15,0.833701870806,0.657796858079,0.643517149976,0.338029790772,0.948351043968,0.830884535684,0.825950302307,0.561165246897,34,36,38,456,26,38,41,47,437,17,17,17,18,624,14,3006,3377,3374,24193,2509
2000-08-15,2000-05-15,2000-11-15,0.808328603953,0.641152308921,0.341338778217,0.723519610011,0.946466302218,0.833846804902,0.568965592405,0.847832906604,36,38,456,26,27,41,47,437,17,23,17,18,624,14,26,3377,3374,24193,2509,2882
