filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-13,1994-11-09,1995-06-22,0.50099782161,0.294864818348,0.598697372726,0.669095758643,0.844293293999,0.575240074867,0.786270750158,0.806176620228,11,184,6,7,7,12,167,0,1,1,28,274,7,9,9,1543,11041,920,1027,1136
1995-06-22,1995-02-13,1995-08-01,0.469225414943,0.154128607349,0.159843073902,0.179074012025,0.763191178808,0.328221011266,0.34268520492,0.382035138449,184,6,7,7,473,167,0,1,1,465,274,7,9,9,1006,11041,920,1027,1136,19461
1995-08-01,1995-06-22,1995-11-14,0.749357676647,0.545046975742,0.541406333188,0.168142985105,0.94012601901,0.772527513628,0.771099897152,0.3488444951,6,7,7,473,9,0,1,1,465,1,7,9,9,1006,8,920,1027,1136,19461,951
1995-11-14,1995-08-01,1996-02-06,0.689007980941,0.495866773953,0.180008226522,0.582147831845,0.923459539452,0.761846856822,0.392750156828,0.781103313346,7,7,473,9,17,1,1,465,1,1,9,9,1006,8,11,1027,1136,19461,951,1199
1996-02-06,1995-11-14,1996-02-14,0.401140216279,0.386012146639,0.379577135902,0.364945559582,0.68129786027,0.590874165699,0.645738684493,0.651050687277,7,473,9,17,60,1,465,1,1,37,9,1006,8,11,60,1136,19461,951,1199,4503
1996-02-14,1996-02-06,1996-06-26,0.184248850927,0.551940539456,0.714120666886,0.39456437037,0.406156708665,0.777444980348,0.827591838194,0.705865621346,473,9,17,60,16,465,1,1,37,2,1006,8,11,60,11,19461,951,1199,4503,1270
1996-06-26,1996-02-14,1996-08-01,0.187852896255,0.199330366904,0.38149508831,0.207328588544,0.472115525131,0.498281841002,0.718528652255,0.521116905462,9,17,60,16,244,1,1,37,2,187,8,11,60,11,208,951,1199,4503,1270,12707
1996-08-01,1996-06-26,1996-11-14,0.478899029718,0.367992584661,0.471154878653,0.221362761082,0.758315743526,0.696626275601,0.760084449337,0.567296562892,17,60,16,244,17,1,37,2,187,16,11,60,11,208,27,1199,4503,1270,12707,1404
1996-11-14,1996-08-01,1997-01-31,0.334666444133,0.459905147416,0.189156550398,0.478262763397,0.631400041411,0.752050986959,0.502110274192,0.762480049474,60,16,244,17,9,37,2,187,16,11,60,11,208,27,17,4503,1270,12707,1404,1408
1997-01-31,1996-11-14,1997-06-23,0.601363234072,0.196664877396,0.461651637413,0.724947621506,0.898913718986,0.517364627806,0.74979759295,0.823032586343,16,244,17,9,10,2,187,16,11,8,11,208,27,17,17,1270,12707,1404,1408,1371
1997-06-23,1997-01-31,1997-08-12,0.552104112975,0.24799866195,0.24723376181,0.256106074113,0.848034884766,0.57201178975,0.521904799374,0.535580164177,244,17,9,10,270,187,16,11,8,243,208,27,17,17,394,12707,1404,1408,1371,14670
1997-08-12,1997-06-23,1997-11-10,0.466162238906,0.398627477346,0.392878085488,0.233067357461,0.863443578874,0.73148237036,0.723050616684,0.574762154724,17,9,10,270,27,16,11,8,243,9,27,17,17,394,22,1404,1408,1371,14670,1417
1997-11-10,1997-08-12,1998-02-17,0.496003332004,0.378647685509,0.220749698012,0.547358639591,0.845866486391,0.710814019274,0.556121924135,0.802153690513,9,10,270,27,24,11,8,243,9,12,17,17,394,22,23,1408,1371,14670,1417,1696
