filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1995-03-29,0.351563083881,0.53044696687,0.108868072263,0.544245620881,0.636893378984,0.779655967086,0.202800391135,0.723919277894,110,5,16,19,6,195,17,5,54,17,284,12,47,99,12,11965,1324,1282,2360,1577
1995-03-29,1994-11-14,1995-05-15,0.188422647201,0.215484737563,0.313446288444,0.204890952299,0.43072472442,0.323630687873,0.611859413566,0.433854038204,5,16,19,6,206,17,5,54,17,509,12,47,99,12,900,1324,1282,2360,1577,21262
1995-05-15,1995-03-29,1995-08-14,0.0781897033624,0.211123484338,0.145993812835,0.265376016863,0.155828118733,0.403521174304,0.295863142991,0.493937734844,16,19,6,206,135,5,54,17,509,375,47,99,12,900,998,1282,2360,1577,21262,13786
1995-08-14,1995-05-15,1995-11-13,0.47078373026,0.470257613796,0.185354218663,0.172292154194,0.733466806582,0.760903026396,0.443054266532,0.368280213097,19,6,206,135,11,54,17,509,375,69,99,12,900,998,72,2360,1577,21262,13786,2192
1995-11-13,1995-08-14,1996-03-25,0.511978455282,0.172591391262,0.163855694252,0.710339513069,0.824511963307,0.427800274062,0.350782974752,0.848756787183,6,206,135,11,13,17,509,375,69,65,12,900,998,72,77,1577,21262,13786,2192,2317
1996-03-25,1995-11-13,1996-05-15,0.44639903772,0.229070490904,0.328730952539,0.319570116799,0.692598679793,0.44379385311,0.655794146625,0.643155441283,206,135,11,13,123,509,375,69,65,254,900,998,72,77,473,21262,13786,2192,2317,12667
1996-05-15,1996-03-25,1996-08-13,0.160910469897,0.537913116807,0.509293982541,0.357329232149,0.362380002587,0.78086899993,0.76005787161,0.672985538135,135,11,13,123,11,375,69,65,254,51,998,72,77,473,64,13786,2192,2317,12667,1929
1996-08-13,1996-05-15,1996-11-14,0.603512747477,0.487193736819,0.34877512546,0.669978954846,0.860374117623,0.766024430546,0.662089139929,0.827280987558,11,13,123,11,12,69,65,254,51,60,72,77,473,64,79,2192,2317,12667,1929,2533
1996-11-14,1996-08-13,1997-03-21,0.551249289632,0.324532346419,0.538473042853,0.589236851102,0.843632917776,0.639918149759,0.765376386581,0.811774974213,13,123,11,12,8,65,254,51,60,48,77,473,64,79,76,2317,12667,1929,2533,2730
1997-03-21,1996-11-14,1997-05-09,0.659195257773,0.333216434963,0.337479225877,0.338005990624,0.868893229681,0.618221037273,0.612577278726,0.59150577276,123,11,12,8,140,254,51,60,48,294,473,64,79,76,541,12667,1929,2533,2730,15616
1997-05-09,1997-03-21,1997-08-13,0.125902187122,0.112142105558,0.10645781571,0.218416079043,0.284387335894,0.263615384088,0.252902669095,0.385332258623,11,12,8,140,151,51,60,48,294,537,64,79,76,541,1484,1929,2533,2730,15616,20522
1997-08-13,1997-05-09,1997-11-12,0.337801429077,0.283263106002,0.249961001091,0.312088192098,0.623605541967,0.568917719954,0.518474109478,0.52060439514,12,8,140,151,31,60,48,294,537,87,79,76,541,1484,287,2533,2730,15616,20522,5167
1997-11-12,1997-08-13,1998-03-18,0.619014734309,0.347151746271,0.115033426915,0.348209213859,0.88849795165,0.603714780139,0.263760548947,0.61190349199,8,140,151,31,14,48,294,537,87,60,76,541,1484,287,72,2730,15616,20522,5167,2520
1998-03-18,1997-11-12,1998-05-12,0.428956750055,0.232718316373,0.191432676489,0.212030080178,0.670454333223,0.464025833562,0.468990147668,0.453654553074,140,151,31,14,224,294,537,87,60,688,541,1484,287,72,1626,15616,20522,5167,2520,32210
1998-05-12,1998-03-18,1998-06-29,0.134702737746,0.284318534402,0.64060031441,0.215194967322,0.305172670397,0.580262541102,0.825582313709,0.466048634182,151,31,14,224,11,537,87,60,688,48,1484,287,72,1626,63,20522,5167,2520,32210,2022
1998-06-29,1998-05-12,1998-08-13,0.0772199372662,0.0920388648043,0.12492413804,0.098561366333,0.230134033256,0.24519748008,0.292330660029,0.265091939036,31,14,224,11,14,87,60,688,48,21,287,72,1626,63,50,5167,2520,32210,2022,2827
1998-08-13,1998-06-29,1998-11-12,0.639679206383,0.198766307573,0.737748882327,0.0902854537447,0.829727311975,0.432925470072,0.869059165519,0.240916745984,14,224,11,14,15,60,688,48,21,60,72,1626,63,50,76,2520,32210,2022,2827,2476
1998-11-12,1998-08-13,1999-03-25,0.204379881241,0.667445693291,0.0837748066364,0.783594982117,0.447456658768,0.85091414418,0.227751946087,0.89305161523,224,11,14,15,19,688,48,21,60,72,1626,63,50,76,83,32210,2022,2827,2476,2800
1999-03-25,1998-11-12,1999-05-12,0.397610214884,0.177323419561,0.378863905326,0.396856931545,0.696839847258,0.360548121315,0.66105799722,0.693086787954,11,14,15,19,85,48,21,60,72,220,63,50,76,83,150,2022,2827,2476,2800,12502
1999-05-12,1999-03-25,1999-06-29,0.085913909998,0.651666066687,0.662618612156,0.448978746391,0.238593425183,0.820531423157,0.838339651426,0.732322496935,14,15,19,85,24,21,60,72,220,99,50,76,83,150,90,2827,2476,2800,12502,3246
1999-06-29,1999-05-12,1999-08-13,0.0895962186629,0.0831786635539,0.176438250009,0.0859706182895,0.2442459862,0.230910204921,0.363413946477,0.243804230668,15,19,85,24,11,60,72,220,99,21,76,83,150,90,43,2476,2800,12502,3246,2694
1999-08-13,1999-06-29,1999-11-15,0.676174514162,0.436695699221,0.83732486812,0.0850707376798,0.856565617561,0.70322898003,0.908853900095,0.234189256511,19,85,24,11,21,72,220,99,21,88,83,150,90,43,92,2800,12502,3246,2694,3579
1999-11-15,1999-08-13,2000-03-17,0.406078577458,0.635428436519,0.0801408991682,0.681083439169,0.681124346736,0.842670096287,0.223056074201,0.855407990296,85,24,11,21,30,220,99,21,88,80,150,90,43,92,118,12502,3246,2694,3579,4083
2000-03-17,1999-11-15,2000-03-28,0.219180114025,0.13300343422,0.21387511988,0.24936394217,0.46206149368,0.347662949151,0.438593608391,0.465473741573,24,11,21,30,242,99,21,88,80,641,90,43,92,118,1246,3246,2694,3579,4083,28703
2000-03-28,2000-03-17,2000-05-15,0.244307291898,0.343623622436,0.391447027065,0.396790724213,0.487020738721,0.630708890561,0.651165079874,0.589380141287,11,21,30,242,59,21,88,80,641,87,43,92,118,1246,88,2694,3579,4083,28703,5642
2000-05-15,2000-03-28,2000-06-28,0.42698696689,0.62530293108,0.26961005825,0.448299014006,0.69986121929,0.834573338696,0.458848508637,0.643195265469,21,30,242,59,29,88,80,641,87,66,92,118,1246,88,134,3579,4083,28703,5642,3682
