filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2014-02-21,2013-10-31,2014-05-01,0.399226285614,0.547822545136,0.833514343214,0.92643258484,0.436980286051,0.825853608977,0.893361364566,0.9519496126,541,480,431,290,978,798,991,1464,809,1759,718,1631,2448,1022,2392,40687,43696,53247,32560,89900
2014-05-01,2014-02-21,2014-07-31,0.560174280631,0.868850344981,0.956061044207,0.913502869632,0.835289579846,0.92551710494,0.975018957389,0.939815182231,480,431,290,978,278,991,1464,809,1759,929,1631,2448,1022,2392,1105,43696,53247,32560,89900,29238
2014-07-31,2014-05-01,2014-10-31,0.838317527184,0.920441742872,0.891484571597,0.931390353911,0.897606669833,0.956712580495,0.932423650421,0.962875089252,431,290,978,278,365,1464,809,1759,929,1060,2448,1022,2392,1105,1276,53247,32560,89900,29238,36768
2014-10-31,2014-07-31,2015-02-27,0.33393264948,0.339779291739,0.349005642603,0.357480787366,0.402512682789,0.413890711716,0.41551359342,0.430606810277,290,978,278,365,1782,809,1759,929,1060,6956,1022,2392,1105,1276,13226,32560,89900,29238,36768,190550
2015-02-27,2014-10-31,2015-05-08,0.609925357354,0.567253194118,0.567631322752,0.731177762535,0.673897755305,0.628681120252,0.640584274477,0.837367899751,978,278,365,1782,2933,1759,929,1060,6956,7828,2392,1105,1276,13226,13965,89900,29238,36768,190550,268982
2015-05-08,2015-02-27,2015-08-07,0.920323679213,0.900059466422,0.351115173513,0.576987892334,0.95542864477,0.94906595763,0.428508517786,0.651608399875,278,365,1782,2933,465,929,1060,6956,7828,1134,1105,1276,13226,13965,1345,29238,36768,190550,268982,41026
2015-08-07,2015-05-08,2015-11-04,0.900706717777,0.328553895679,0.556630658551,0.934933087962,0.942663550997,0.402696126023,0.630386033076,0.963833064691,365,1782,2933,465,555,1060,6956,7828,1134,1085,1276,13226,13965,1345,1394,36768,190550,268982,41026,46397
2015-11-04,2015-08-07,2016-02-29,0.392700235573,0.620297714681,0.87353751443,0.919572470505,0.473431335314,0.699055069937,0.923741099288,0.949140653581,1782,2933,465,555,689,6956,7828,1134,1085,1678,13226,13965,1345,1394,2611,190550,268982,41026,46397,64287
2016-02-29,2015-11-04,2016-05-10,0.807908372775,0.774240107629,0.802247538171,0.835874494517,0.874193383692,0.847977731486,0.860713297581,0.892597388269,2933,465,555,689,1959,7828,1134,1085,1678,4414,13965,1345,1394,2611,7667,268982,41026,46397,64287,171747
2016-05-10,2016-02-29,2016-08-09,0.779195640931,0.793895252056,0.832639583327,0.849494058993,0.85421465677,0.858537783042,0.893585727292,0.918166409956,465,555,689,1959,649,1134,1085,1678,4414,2337,1345,1394,2611,7667,3431,41026,46397,64287,171747,76082
2016-08-09,2016-05-10,2016-11-09,0.592938820074,0.632561497692,0.756490889805,0.705341959953,0.689178592992,0.738076231699,0.865023011085,0.821185357636,555,689,1959,649,1039,1085,1678,4414,2337,3335,1394,2611,7667,3431,6526,46397,64287,171747,76082,116057
2016-11-09,2016-08-09,2017-02-27,0.837153733958,0.948533848297,0.851775867725,0.767233691888,0.893845707726,0.966053754255,0.919635308699,0.86860075294,689,1959,649,1039,692,1678,4414,2337,3335,1980,2611,7667,3431,6526,3385,64287,171747,76082,116057,72491
2017-02-27,2016-11-09,2017-05-10,0.857745384791,0.78586351399,0.602953242687,0.831637090968,0.899197720876,0.850643644825,0.699131688844,0.884689363309,1959,649,1039,692,1263,4414,2337,3335,1980,2338,7667,3431,6526,3385,2578,171747,76082,116057,72491,108266
2017-05-10,2017-02-27,2017-08-09,0.815829570094,0.571191336369,0.588125335198,0.395313323507,0.829036394305,0.716119261943,0.682418941606,0.483815606838,649,1039,692,1263,1405,2337,3335,1980,2338,5755,3431,6526,3385,2578,9459,76082,116057,72491,108266,172933
2017-08-09,2017-05-10,2017-11-09,0.585019316062,0.830863662778,0.93103421739,0.3760837482,0.672321777951,0.879995633623,0.9556070688,0.455808286953,1039,692,1263,1405,356,3335,1980,2338,5755,837,6526,3385,2578,9459,937,116057,72491,108266,172933,37180
