filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-05-15,2002-04-30,2002-08-14,0.377481188478,0.256263632822,0.37870675876,0.152102783853,0.546672979953,0.399722062632,0.590465871413,0.332332789579,24,39,474,90,127,48,98,965,77,425,34,39,1717,55,740,3862,5379,38661,6430,15579
2002-08-14,2002-05-15,2002-11-14,0.450958446683,0.401589864606,0.160337932032,0.334088332373,0.666673339836,0.58537520479,0.31995229991,0.484620460861,39,474,90,127,84,98,965,77,425,168,39,1717,55,740,195,5379,38661,6430,15579,9088
2002-11-14,2002-08-14,2003-03-31,0.35073977693,0.138757185696,0.322028175603,0.277991092942,0.560165916348,0.312778470323,0.56320477464,0.434112803526,474,90,127,84,494,965,77,425,168,1331,1717,55,740,195,2183,38661,6430,15579,9088,37663
2003-03-31,2002-11-14,2003-05-09,0.299262603737,0.363398123629,0.413831606108,0.400662638981,0.519296175828,0.57067278331,0.59573305115,0.605735975116,90,127,84,494,474,77,425,168,1331,1129,55,740,195,2183,1522,6430,15579,9088,37663,41263
2003-05-09,2003-03-31,2003-08-14,0.397464221625,0.498726255147,0.334054738327,0.468467648506,0.583182198617,0.682894041754,0.489468937066,0.659135673635,127,84,494,474,44,425,168,1331,1129,75,740,195,2183,1522,103,15579,9088,37663,41263,6606
2003-08-14,2003-05-09,2003-11-14,0.702993354438,0.252905183092,0.400631345292,0.552298535283,0.888790133326,0.428513625617,0.591553105717,0.723559699883,84,494,474,44,83,168,1331,1129,75,200,195,2183,1522,103,190,9088,37663,41263,6606,10761
2003-11-14,2003-08-14,2004-03-15,0.386398879516,0.423477653198,0.437467902371,0.493777533441,0.572179205766,0.629716986042,0.632538278721,0.675277619601,494,474,44,83,149,1331,1129,75,200,431,2183,1522,103,190,575,37663,41263,6606,10761,17429
2004-03-15,2003-11-14,2004-05-10,0.786117149663,0.45384643807,0.415625543816,0.43006486718,0.905340878766,0.664174221164,0.615693784714,0.635533873348,474,44,83,149,468,1129,75,200,431,935,1522,103,190,575,1293,41263,6606,10761,17429,38797
2004-05-10,2004-03-15,2004-08-06,0.177341119428,0.143346272499,0.15803563986,0.194754539831,0.350225904593,0.313867690003,0.338202520434,0.389251508389,44,83,149,468,283,75,200,431,935,1240,103,190,575,1293,1233,6606,10761,17429,38797,34445
2004-08-06,2004-05-10,2004-11-05,0.654906088978,0.414438164815,0.476570057637,0.173180292655,0.841708972133,0.62741837391,0.677036556349,0.339671075095,83,149,468,283,75,200,431,935,1240,218,190,575,1293,1233,101,10761,17429,38797,34445,8794
2004-11-05,2004-08-06,2005-03-14,0.625628942558,0.452510774595,0.163852657533,0.64012938566,0.768035245625,0.655705101515,0.329935003547,0.795886878704,149,468,283,75,91,431,935,1240,218,264,575,1293,1233,101,91,17429,38797,34445,8794,10218
2005-03-14,2004-11-05,2005-05-10,0.783323754812,0.204084030616,0.500316796638,0.520137593615,0.920840271786,0.399396081064,0.674242312524,0.67448466398,468,283,75,91,418,935,1240,218,264,990,1293,1233,101,91,1104,38797,34445,8794,10218,38450
2005-05-10,2005-03-14,2005-05-13,0.150764351369,0.244730066292,0.252970922584,0.339981977655,0.385888451221,0.467857530998,0.465742629242,0.591413856908,283,75,91,418,249,1240,218,264,990,1011,1233,101,91,1104,1370,34445,8794,10218,38450,25561
2005-05-13,2005-05-10,2005-08-09,0.245519653181,0.253673697607,0.341475075195,0.999822771753,0.468996136518,0.466744084963,0.593412362324,0.999847084365,75,91,418,249,249,218,264,990,1011,1012,101,91,1104,1370,1373,8794,10218,38450,25561,25662
2005-08-09,2005-05-13,2005-11-08,0.535998472355,0.544075269401,0.305913729667,0.30705718121,0.751266696719,0.719429489132,0.527383307155,0.529019803068,91,418,249,249,110,264,990,1011,1012,172,91,1104,1370,1373,89,10218,38450,25561,25662,12135
2005-11-08,2005-08-09,2006-03-15,0.541159224762,0.293516740712,0.294584382127,0.694466038869,0.72563388166,0.520939431232,0.522480393728,0.838278144214,418,249,249,110,122,990,1011,1012,172,238,1104,1370,1373,89,122,38450,25561,25662,12135,13839
2006-03-15,2005-11-08,2006-05-10,0.326204289683,0.327701815524,0.566069596654,0.574059744586,0.575691435566,0.577686585138,0.736673412356,0.744862957212,249,249,110,122,456,1011,1012,172,238,996,1370,1373,89,122,998,25561,25662,12135,13839,39349
2006-05-10,2006-03-15,2006-08-08,0.318234504695,0.544032144164,0.551364191062,0.643832272738,0.568297754544,0.748549454062,0.756426824385,0.824925748498,249,110,122,456,130,1012,172,238,996,220,1373,89,122,998,95,25662,12135,13839,39349,12605
2006-08-08,2006-05-10,2006-11-08,0.66423973062,0.564865358581,0.610793025567,0.75075992626,0.838637914942,0.766209197636,0.782577919155,0.883154018773,110,122,456,130,124,172,238,996,220,191,89,122,998,95,81,12135,13839,39349,12605,12457
2006-11-08,2006-08-08,2007-02-28,0.671242072554,0.611980984691,0.708510254724,0.809245569693,0.852728324705,0.795772080131,0.872918805657,0.907163079933,122,456,130,124,145,238,996,220,191,224,122,998,95,81,161,13839,39349,12605,12457,13664
2007-02-28,2006-11-08,2007-05-09,0.799223145909,0.601612059639,0.59716614789,0.61049727929,0.896903683999,0.775079819158,0.745393933273,0.76252457284,456,130,124,145,771,996,220,191,224,1480,998,95,81,161,2150,39349,12605,12457,13664,56185
2007-05-09,2007-02-28,2007-08-01,0.667379371651,0.660949462386,0.684607155893,0.600949120313,0.869973514836,0.839510490653,0.859563756294,0.750923189905,130,124,145,771,108,220,191,224,1480,163,95,81,161,2150,111,12605,12457,13664,56185,9607
2007-08-01,2007-05-09,2007-11-09,0.414032868409,0.375840022164,0.397031376122,0.42459210044,0.602630250794,0.576655222088,0.607568107001,0.591402064123,124,145,771,108,226,191,224,1480,163,600,81,161,2150,111,1196,12457,13664,56185,9607,24255
2007-11-09,2007-08-01,2008-02-25,0.389043050449,0.429475393948,0.379671603633,0.817946637586,0.579203190212,0.652192015169,0.554787426604,0.897376460916,145,771,108,226,403,224,1480,163,600,1249,161,2150,111,1196,2252,13664,56185,9607,24255,39213
2008-02-25,2007-11-09,2008-05-09,0.847801979212,0.643374344014,0.387234643178,0.421726937594,0.93551464891,0.799015188539,0.591722852819,0.629525556053,771,108,226,403,611,1480,163,600,1249,1070,2150,111,1196,2252,1412,56185,9607,24255,39213,47810
2008-05-09,2008-02-25,2008-08-08,0.70599385258,0.363666469523,0.361872777235,0.661436391884,0.869494425443,0.560600921001,0.547714110016,0.803090629074,108,226,403,611,240,163,600,1249,1070,560,111,1196,2252,1412,372,9607,24255,39213,47810,23415
2008-08-08,2008-05-09,2008-11-07,0.414287711067,0.361129378123,0.59938449395,0.83984692081,0.607447409849,0.550300897106,0.755544900226,0.912059587896,226,403,611,240,172,600,1249,1070,560,340,1196,2252,1412,372,292,24255,39213,47810,23415,20677
2008-11-07,2008-08-08,2009-02-27,0.371309629092,0.567172924065,0.808713009971,0.853137437238,0.553739974667,0.725533471259,0.900331601374,0.932893277595,403,611,240,172,220,1249,1070,560,340,400,2252,1412,372,292,307,39213,47810,23415,20677,23438
2009-02-27,2008-11-07,2009-05-08,0.721101791571,0.684363022179,0.657088830391,0.659013166423,0.864496133692,0.820027846649,0.787299386471,0.778227443296,611,240,172,220,1094,1070,560,340,400,1796,1412,372,292,307,2762,47810,23415,20677,23438,73230
2009-05-08,2009-02-27,2009-08-07,0.744173133455,0.720598853861,0.715872773031,0.626039886524,0.890429579385,0.864697495375,0.859468262552,0.767638687541,240,172,220,1094,145,560,340,400,1796,228,372,292,307,2762,218,23415,20677,23438,73230,15549
2009-08-07,2009-05-08,2009-11-06,0.766174459462,0.679182346034,0.62863850805,0.79904564847,0.898531402501,0.832005389128,0.785863340678,0.881042573566,172,220,1094,145,267,340,400,1796,228,392,292,307,2762,218,628,20677,23438,73230,15549,22591
2009-11-06,2009-08-07,2010-02-18,0.7831831913,0.59044528168,0.834034305605,0.812771097586,0.910122429494,0.733309273216,0.915459420696,0.896075566708,220,1094,145,267,176,400,1796,228,392,316,307,2762,218,628,257,23438,73230,15549,22591,19125
2010-02-18,2009-11-06,2010-05-05,0.822259828868,0.723385338299,0.703099484898,0.719712644898,0.917946783455,0.850056730764,0.835750652537,0.829221663561,1094,145,267,176,655,1796,228,392,316,1126,2762,218,628,257,1300,73230,15549,22591,19125,52355
2010-05-05,2010-02-18,2010-08-04,0.846137030891,0.738730941431,0.787341193539,0.731829806783,0.949585641911,0.862973137245,0.893302943513,0.85479365615,145,267,176,655,143,228,392,316,1126,247,218,628,257,1300,192,15549,22591,19125,52355,15736
