filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-20,1994-11-10,1995-05-11,0.623367349251,0.329439392294,0.366831108741,0.512417869605,0.832198422486,0.513729888916,0.587143557297,0.711952208859,126,63,55,23,82,362,150,148,73,243,601,313,253,81,245,13179,6584,4658,2438,9014
1995-05-11,1995-03-20,1995-08-10,0.357351126834,0.436350823187,0.684560522224,0.489422618095,0.494837844655,0.616726707107,0.861098560596,0.685210844103,63,55,23,82,10,150,148,73,243,74,313,253,81,245,71,6584,4658,2438,9014,1913
1995-08-10,1995-05-11,1995-11-08,0.467518506832,0.668847987932,0.486923042148,0.82930301725,0.643808834449,0.85842617285,0.693839307176,0.93988453519,55,23,82,10,9,148,73,243,74,70,253,81,245,71,69,4658,2438,9014,1913,2058
1995-11-08,1995-08-10,1996-03-12,0.706535047515,0.482414663104,0.783533767862,0.819838227663,0.895725537752,0.69461446986,0.919336119447,0.931194199346,23,82,10,9,11,73,243,74,70,73,81,245,71,69,85,2438,9014,1913,2058,2165
1996-03-12,1995-11-08,1996-05-08,0.251767540901,0.132262708039,0.139294895989,0.137832897272,0.36991190622,0.228132673646,0.239210504429,0.233682885033,82,10,9,11,1115,243,74,70,73,1719,245,71,69,85,3640,9014,1913,2058,2165,56414
1996-05-08,1996-03-12,1996-08-08,0.336510637352,0.317695040199,0.337513278927,0.19583920778,0.591006194673,0.580467906008,0.596443160872,0.352813084223,10,9,11,1115,12,74,70,73,1719,84,71,69,85,3640,175,1913,2058,2165,56414,3567
1996-08-08,1996-05-08,1996-11-05,0.320682539181,0.294738392377,0.234028329329,0.352813913878,0.517300844894,0.502127354317,0.368458053061,0.630223895634,9,11,1115,12,21,70,73,1719,84,114,69,85,3640,175,182,2058,2165,56414,3567,4621
1996-11-05,1996-08-08,1997-03-06,0.273308247968,0.749887579233,0.30843288448,0.338096118567,0.417292181962,0.82830716751,0.531138937063,0.493120180488,11,1115,12,21,127,73,1719,84,114,202,85,3640,175,182,253,2165,56414,3567,4621,6388
1997-03-06,1996-11-05,1997-05-02,0.313409821675,0.343033675813,0.351646556518,0.356410007284,0.422777818992,0.639815778512,0.580774756532,0.529231280141,1115,12,21,127,117,1719,84,114,202,222,3640,175,182,253,316,56414,3567,4621,6388,11894
1997-05-02,1997-03-06,1997-08-01,0.301353312416,0.303136204289,0.92020343066,0.358308043415,0.528289914225,0.476706228932,0.972859429464,0.521446680929,12,21,127,117,143,84,114,202,222,200,175,182,253,316,273,3567,4621,6388,11894,6251
