filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2003-07-31,2003-05-14,2003-10-31,0.61816889727,0.40350312746,0.552752740978,0.713565556741,0.805839775802,0.622689730609,0.702428874316,0.84090269803,46,247,266,44,46,131,246,548,109,101,136,349,134,45,71,7378,10552,16982,6556,6582
2003-10-31,2003-07-31,2004-02-27,0.387875854109,0.431536826479,0.460187528848,0.547581717679,0.647395627029,0.660447871726,0.719587313808,0.757340271121,247,266,44,46,40,246,548,109,101,93,349,134,45,71,50,10552,16982,6556,6582,6138
2004-02-27,2003-10-31,2004-04-30,0.76204183848,0.434325168691,0.429756118923,0.502150904188,0.909046039849,0.690954482545,0.652252147457,0.702741516604,266,44,46,40,266,548,109,101,93,520,134,45,71,50,149,16982,6556,6582,6138,16765
2004-04-30,2004-02-27,2004-08-02,0.508568863006,0.480516868234,0.5829289497,0.629024316901,0.785774318174,0.738664905316,0.804107010497,0.802924465073,44,46,40,266,55,109,101,93,520,102,45,71,50,149,61,6556,6582,6138,16765,6238
2004-08-02,2004-04-30,2004-11-09,0.0732130447758,0.0718652399528,0.0863202682747,0.0918214601971,0.260834461399,0.250660883206,0.27476899517,0.275443292109,46,40,266,55,372,101,93,520,102,1394,71,50,149,61,2279,6582,6138,16765,6238,34335
2004-11-09,2004-08-02,2005-03-15,0.663212627081,0.514856365642,0.616834443837,0.0825537315281,0.874328997307,0.728922947733,0.812644909805,0.262066207845,40,266,55,372,59,93,520,102,1394,270,50,149,61,2279,157,6138,16765,6238,34335,7563
2005-03-15,2004-11-09,2005-05-10,0.800104885481,0.569966677527,0.086454573758,0.563595244431,0.92957785476,0.787745365348,0.276042612711,0.755798905551,266,55,372,59,285,520,102,1394,270,722,149,61,2279,157,289,16765,6238,34335,7563,19592
2005-05-10,2005-03-15,2005-08-09,0.717373346792,0.0818322071703,0.646750244689,0.602542543689,0.899212322277,0.266262563939,0.818757204969,0.787595959834,55,372,59,285,43,102,1394,270,722,187,61,2279,157,289,123,6238,34335,7563,19592,5680
2005-08-09,2005-05-10,2005-11-09,0.0900880115433,0.598637852695,0.560642255143,0.74946179259,0.280778758655,0.803844288518,0.766242224544,0.871850483978,372,59,285,43,55,1394,270,722,187,240,2279,157,289,123,137,34335,7563,19592,5680,7237
2005-11-09,2005-08-09,2006-03-16,0.733892085409,0.528866811574,0.70233308919,0.768521487353,0.909788022181,0.755022980092,0.862565361466,0.877788244216,59,285,43,55,74,270,722,187,240,244,157,289,123,137,176,7563,19592,5680,7237,7727
2006-03-16,2005-11-09,2006-05-09,0.829967202825,0.611551715509,0.606599340221,0.610303828635,0.946837342232,0.800093208283,0.789330776829,0.788777255213,285,43,55,74,344,722,187,240,244,636,289,123,137,176,257,19592,5680,7237,7727,20510
2006-05-09,2006-03-16,2006-08-09,0.752820049004,0.653600837398,0.654141309772,0.643171278231,0.910588630183,0.84195859962,0.843444930705,0.830988376852,43,55,74,344,58,187,240,244,636,195,123,137,176,257,113,5680,7237,7727,20510,7289
2006-08-09,2006-05-09,2006-11-09,0.1427656683,0.126053161379,0.132902095724,0.158178738692,0.420547326031,0.398167251563,0.409002827143,0.429588923495,55,74,344,58,303,240,244,636,195,908,137,176,257,113,1354,7237,7727,20510,7289,24467
2006-11-09,2006-08-09,2007-02-28,0.748048499099,0.574512419744,0.765259670952,0.150240710819,0.91642223792,0.785090802241,0.89239806194,0.422185205188,74,344,58,303,58,244,636,195,908,170,176,257,113,1354,123,7727,20510,7289,24467,7562
2007-02-28,2006-11-09,2007-05-07,0.863586383886,0.62435673203,0.131390801526,0.58571142286,0.965849106806,0.806541636241,0.400096777814,0.7749859215,344,58,303,58,326,636,195,908,170,588,257,113,1354,123,267,20510,7289,24467,7562,19572
2007-05-07,2007-02-28,2007-08-06,0.780835636805,0.138144806863,0.657082836388,0.610318214743,0.926193174386,0.411212825923,0.84339328538,0.795509918848,58,303,58,326,52,195,908,170,588,203,113,1354,123,267,149,7289,24467,7562,19572,7228
2007-08-06,2007-05-07,2007-11-02,0.139811327733,0.570342858866,0.49223247609,0.720859087284,0.39975571557,0.758373748535,0.655218196665,0.818619783032,303,58,326,52,57,908,170,588,203,219,1354,123,267,149,156,24467,7562,19572,7228,8073
2007-11-02,2007-08-06,2008-02-28,0.738938199797,0.46529814431,0.661429926581,0.718390081394,0.877176121837,0.644728872099,0.791415188397,0.839631181326,58,326,52,57,58,170,588,203,219,212,123,267,149,156,158,7562,19572,7228,8073,8020
