filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-10-16,1995-09-28,1996-01-16,0.220915460494,0.11443453861,0.170785445763,0.0537626753364,0.417158520569,0.270719179409,0.363011502008,0.163684050398,25,14,73,2,283,28,13,74,1,552,79,19,68,11,1664,1987,1526,7382,240,23531
1996-01-16,1995-10-16,1996-04-15,0.493836539926,0.320305229117,0.127709683854,0.115533027421,0.837064878843,0.60778393472,0.336697762296,0.245652879585,14,73,2,283,13,13,74,1,552,7,19,68,11,1664,15,1526,7382,240,23531,1485
1996-04-15,1996-01-16,1996-08-30,0.319592377061,0.115925026822,0.111282269078,0.619603998505,0.61699585119,0.316219710297,0.249088347776,0.857319634272,73,2,283,13,22,74,1,552,7,12,68,11,1664,15,15,7382,240,23531,1485,1745
1996-08-30,1996-04-15,1996-09-23,0.171383516343,0.170833985792,0.339377481927,0.348382415666,0.362325881525,0.358557376476,0.631013379296,0.642721812534,2,283,13,22,93,1,552,7,12,79,11,1664,15,15,74,240,23531,1485,1745,8127
1996-09-23,1996-08-30,1996-10-15,0.0562130450019,0.0666560653085,0.0614829640811,0.179757338044,0.175235894054,0.195461465703,0.187597927418,0.228608197839,283,13,22,93,2,552,7,12,79,0,1664,15,15,74,14,23531,1485,1745,8127,321
1996-10-15,1996-09-23,1997-01-14,0.470496378117,0.476126226266,0.372981922224,0.0842878740947,0.809541118135,0.811305471192,0.685882087945,0.238425846593,13,22,93,2,12,7,12,79,0,17,15,15,74,14,15,1485,1745,8127,321,1771
1997-01-14,1996-10-15,1997-04-14,0.297182993805,0.249652051198,0.047675730803,0.398036946983,0.618952985774,0.552557538061,0.180608660162,0.661667025956,22,93,2,12,38,12,79,0,17,75,15,74,14,15,135,1745,8127,321,1771,3365
1997-04-14,1997-01-14,1997-08-29,0.343242473204,0.0597019285422,0.608493126466,0.418077208813,0.657086408229,0.194470071322,0.861282878887,0.684772538404,93,2,12,38,14,79,0,17,75,17,74,14,15,135,16,8127,321,1771,3365,1842
1997-08-29,1997-04-14,1997-10-15,0.0943287713881,0.374327069787,0.255346915876,0.362489511517,0.200126804691,0.682176968812,0.549978831686,0.664157516101,2,12,38,14,92,0,17,75,17,94,14,15,135,16,76,321,1771,3365,1842,8830
1997-10-15,1997-08-29,1998-01-14,0.513214408816,0.289634873354,0.447639519228,0.451685353584,0.828630397054,0.606071866287,0.793263700565,0.724491522165,12,38,14,92,12,17,75,17,94,28,15,135,16,76,24,1771,3365,1842,8830,2199
1998-01-14,1997-10-15,1998-01-15,0.31154312229,0.433027275237,0.392323133266,0.622465993599,0.648237003874,0.80327453846,0.664871456328,0.852430895637,38,14,92,12,7,75,17,94,28,22,135,16,76,24,18,3365,1842,8830,2199,1923
