filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2012-02-22,2011-10-27,2012-04-25,0.645497502114,0.403168621102,0.847660037412,0.850284463571,0.743003504754,0.545504745521,0.866598742674,0.861456864233,505,111,389,396,1037,1179,278,827,890,2349,536,275,1044,1188,2244,39667,10112,32814,33944,86049
2012-04-25,2012-02-22,2012-07-25,0.319865055094,0.930231116638,0.935276186553,0.853245587933,0.412148511976,0.956978745734,0.954566380667,0.85725910009,111,389,396,1037,346,278,827,890,2349,603,275,1044,1188,2244,935,10112,32814,33944,86049,29680
2012-07-25,2012-04-25,2012-10-22,0.934478193003,0.896194230728,0.836973000313,0.933394418817,0.95088431782,0.924148255047,0.841796834803,0.953371859818,389,396,1037,346,521,827,890,2349,603,1061,1044,1188,2244,935,1957,32814,33944,86049,29680,50731
2012-10-22,2012-07-25,2013-02-22,0.940111649912,0.837308889176,0.941886474518,0.932603625667,0.953840862186,0.844723168472,0.956355343998,0.958690150273,396,1037,346,521,576,890,2349,603,1061,1155,1188,2244,935,1957,1901,33944,86049,29680,50731,54719
2013-02-22,2012-10-22,2013-04-25,0.910676411744,0.938028150286,0.918541839829,0.936105699659,0.912071034178,0.946257773689,0.937790841997,0.946926599483,1037,346,521,576,2111,2349,603,1061,1155,2954,2244,935,1957,1901,4556,86049,29680,50731,54719,152198
2013-04-25,2013-02-22,2013-07-30,0.934419216304,0.907946587505,0.925189923141,0.926200282435,0.951562502234,0.941345891481,0.951342163763,0.947484479478,346,521,576,2111,743,603,1061,1155,2954,1615,935,1957,1901,4556,2135,29680,50731,54719,152198,61759
2013-07-30,2013-04-25,2013-10-23,0.904029619276,0.898540592158,0.90003976502,0.884862336179,0.929271197841,0.925694227337,0.916696830053,0.913921889113,521,576,2111,743,1082,1061,1155,2954,1615,1936,1957,1901,4556,2135,3591,50731,54719,152198,61759,88441
2013-10-23,2013-07-30,2014-02-21,0.756976851541,0.697442427914,0.746816288856,0.617933313837,0.872470686408,0.830907634196,0.868749907998,0.764256050387,576,2111,743,1082,424,1155,2954,1615,1936,1506,1901,4556,2135,3591,1410,54719,152198,61759,88441,52852
2014-02-21,2013-10-23,2014-04-24,0.721860422295,0.696888797761,0.557855536893,0.856455721135,0.865638329912,0.842306401212,0.715940797732,0.921727699909,2111,743,1082,424,1530,2954,1615,1936,1506,3139,4556,2135,3591,1410,3769,152198,61759,88441,52852,143210
2014-04-24,2014-02-21,2014-07-29,0.615591999403,0.457072815084,0.713658376936,0.719669253185,0.766497520273,0.614284588577,0.804577739174,0.801884440006,743,1082,424,1530,757,1615,1936,1506,3139,2488,2135,3591,1410,3769,4190,61759,88441,52852,143210,96619
2014-07-29,2014-04-24,2014-10-23,0.601652645167,0.885727485059,0.83864006263,0.722949080254,0.744785678228,0.944071757923,0.911769406795,0.824838901046,1082,424,1530,757,433,1936,1506,3139,2488,1592,3591,1410,3769,4190,1943,88441,52852,143210,96619,60562
2014-10-23,2014-07-29,2015-02-20,0.967740873709,0.841941721297,0.717388672403,0.903346098161,0.986128864826,0.90821483028,0.803540206152,0.951143493223,424,1530,757,433,411,1506,3139,2488,1592,1375,1410,3769,4190,1943,1061,52852,143210,96619,60562,51088
2015-02-20,2014-10-23,2015-04-22,0.961297538408,0.717700300442,0.860695515013,0.885371667495,0.98398000435,0.79506233343,0.910441103757,0.920080700366,1530,757,433,411,1606,3139,2488,1592,1375,3442,3769,4190,1943,1061,3736,143210,96619,60562,51088,156566
2015-04-22,2015-02-20,2015-04-29,0.687710053297,0.744867934555,0.775702415931,0.834934604345,0.790500353568,0.895135595665,0.912906348059,0.927476641356,757,433,411,1606,416,2488,1592,1375,3442,1193,4190,1943,1061,3736,1328,96619,60562,51088,156566,55141
2015-04-29,2015-04-22,2015-07-28,0.178253862734,0.143444446636,0.201112541385,0.124598182147,0.271693667156,0.221228401718,0.294056680952,0.21450578482,433,411,1606,416,313,1592,1375,3442,1193,194,1943,1061,3736,1328,218,60562,51088,156566,55141,16410
2015-07-28,2015-04-29,2015-10-21,0.878314653774,0.883209118588,0.786206315561,0.138552136329,0.927752058451,0.926882781143,0.926108510872,0.212155723451,411,1606,416,313,506,1375,3442,1193,194,1287,1061,3736,1328,218,1480,51088,156566,55141,16410,59251
2015-10-21,2015-07-28,2016-02-19,0.886271563463,0.788330547751,0.143179894944,0.950817072145,0.925919002951,0.925087768233,0.21762071211,0.976166192722,1606,416,313,506,528,3442,1193,194,1287,1502,3736,1328,218,1480,1471,156566,55141,16410,59251,60128
2016-02-19,2015-10-21,2016-04-20,0.768129310687,0.195343409788,0.908559942988,0.912177341706,0.903605219831,0.283617063629,0.94106510701,0.940035136075,416,313,506,528,1678,1193,194,1287,1502,3153,1328,218,1480,1471,3079,55141,16410,59251,60128,148565
2016-04-20,2016-02-19,2016-07-26,0.143003298887,0.941338651649,0.943570941958,0.928197270078,0.215621495774,0.971246813121,0.968700268738,0.952468062119,313,506,528,1678,402,194,1287,1502,3153,1148,218,1480,1471,3079,1267,16410,59251,60128,148565,52895
2016-07-26,2016-04-20,2016-10-25,0.960030255465,0.921300678861,0.865672967521,0.906750504201,0.978708699859,0.959132714748,0.916460618521,0.950125940634,506,528,1678,402,508,1287,1502,3153,1148,1574,1480,1471,3079,1267,2217,59251,60128,148565,52895,64902
2016-10-25,2016-07-26,2017-02-17,0.97102929172,0.911795606049,0.957714540908,0.90804135827,0.984799972558,0.938387643587,0.974997439775,0.952186554055,528,1678,402,508,485,1502,3153,1148,1574,1385,1471,3079,1267,2217,1352,60128,148565,52895,64902,58035
2017-02-17,2016-10-25,2017-04-25,0.982346559369,0.923013713284,0.895794478255,0.913338085899,0.991843342237,0.949568926716,0.933876544243,0.94015427467,1678,402,508,485,1694,3153,1148,1574,1385,3185,3079,1267,2217,1352,3787,148565,52895,64902,58035,148882
2017-04-25,2017-02-17,2017-07-27,0.909864503559,0.950874909602,0.881252553501,0.898575534637,0.951178773608,0.973526935232,0.932390501953,0.937558408678,402,508,485,1694,536,1148,1574,1385,3185,1321,1267,2217,1352,3787,2452,52895,64902,58035,148882,66594
2017-07-27,2017-04-25,2017-10-25,0.926550606997,0.936514901903,0.902282135348,0.884854777611,0.959941947869,0.967976282736,0.938337772285,0.935331467975,508,485,1694,536,537,1574,1385,3185,1321,1036,2217,1352,3787,2452,1223,64902,58035,148882,66594,56685
