filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2002-05-10,2002-03-22,2002-07-30,0.195384798161,0.410289839024,0.314750052615,0.496255504232,0.436225518651,0.723618345453,0.553006135206,0.748679424065,87,37,145,171,23,344,116,397,470,79,684,122,526,397,74,10980,5971,12648,19962,4183
2002-07-30,2002-05-10,2002-11-12,0.46020513599,0.32008926364,0.488256911719,0.682211031198,0.787254489396,0.568130083606,0.755963817387,0.887277536979,37,145,171,23,27,116,397,470,79,97,122,526,397,74,79,5971,12648,19962,4183,4991
2002-11-12,2002-07-30,2003-03-24,0.328046736777,0.473341185711,0.567607173725,0.700065288209,0.578436738314,0.734038070792,0.806212329273,0.860941016423,145,171,23,27,36,397,470,79,97,215,526,397,74,79,104,12648,19962,4183,4991,6699
2003-03-24,2002-11-12,2003-05-14,0.675451202788,0.393812115313,0.421967418424,0.465799298327,0.827626665582,0.618372369438,0.643600190788,0.671669152889,171,23,27,36,499,470,79,97,215,1210,397,74,79,104,1793,19962,4183,4991,6699,42620
2003-05-14,2003-03-24,2003-08-06,0.367761386534,0.369161907672,0.454518403411,0.525249999759,0.664691717473,0.666852621295,0.737397841808,0.746741489504,23,27,36,499,67,79,97,215,1210,269,74,79,104,1793,437,4183,4991,6699,42620,9922
2003-08-06,2003-05-14,2003-11-06,0.4529405165,0.511600278438,0.475909749682,0.520094217327,0.734797864544,0.777649363861,0.695504553524,0.760452180375,27,36,499,67,146,97,215,1210,269,227,79,104,1793,437,170,4991,6699,42620,9922,9141
2003-11-06,2003-08-06,2004-03-10,0.287978119205,0.596595250909,0.354388972973,0.435334972289,0.457486310695,0.74998889344,0.553996499074,0.594300094607,36,499,67,146,877,215,1210,269,227,1481,104,1793,437,170,2485,6699,42620,9922,9141,40439
2004-03-10,2003-11-06,2004-05-04,0.692071842306,0.47355500735,0.519465422084,0.349665024502,0.818870429613,0.69622547078,0.722140473932,0.482652597961,499,67,146,877,246,1210,269,227,1481,611,1793,437,170,2485,533,42620,9922,9141,40439,26871
2004-05-04,2004-03-10,2004-07-29,0.418894756139,0.487550852979,0.269232746692,0.601487292796,0.685743104841,0.743443766613,0.40887527355,0.785582529594,67,146,877,246,55,269,227,1481,611,173,437,170,2485,533,165,9922,9141,40439,26871,7799
2004-07-29,2004-05-04,2004-10-27,0.429812529525,0.48406965365,0.488417045175,0.515473361966,0.66021144592,0.646180798751,0.654753200204,0.673341784093,146,877,246,55,186,227,1481,611,173,404,170,2485,533,165,812,9141,40439,26871,7799,18554
2004-10-27,2004-07-29,2005-03-04,0.270297631753,0.564976936528,0.636965071201,0.527084686794,0.423469604894,0.764764363372,0.848036520522,0.695550255731,877,246,55,186,91,1481,611,173,404,245,2485,533,165,812,200,40439,26871,7799,18554,10395
2005-03-04,2004-10-27,2005-04-28,0.464607696314,0.318835898827,0.490446846555,0.321175525493,0.576210430771,0.463480038871,0.638879716889,0.465116469806,246,55,186,91,2223,611,173,404,245,3289,533,165,812,200,3787,26871,7799,18554,10395,105664
2005-04-28,2005-03-04,2005-07-28,0.627288440529,0.580479770374,0.596712428857,0.449981207348,0.834472676759,0.749960579373,0.813492096192,0.590630838805,55,186,91,2223,100,173,404,245,3289,231,165,812,200,3787,234,7799,18554,10395,105664,9379
2005-07-28,2005-04-28,2005-10-25,0.661957671065,0.473585927779,0.549564083276,0.704807393588,0.809752825395,0.683240313151,0.695485721359,0.831612262924,186,91,2223,100,200,404,245,3289,231,477,812,200,3787,234,664,18554,10395,105664,9379,18643
2005-10-25,2005-07-28,2006-02-17,0.710662330564,0.315764972955,0.66507073731,0.551631232637,0.894336844898,0.449800185631,0.834167945654,0.710142352096,91,2223,100,200,89,245,3289,231,477,269,200,3787,234,664,187,10395,105664,9379,18643,10661
2006-02-17,2005-10-25,2006-04-25,0.564398585255,0.70740854779,0.718406771863,0.598832488986,0.672940554214,0.839605175388,0.824054936803,0.760146465985,2223,100,200,89,377,3289,231,477,269,938,3787,234,664,187,958,105664,9379,18643,10661,36665
2006-04-25,2006-02-17,2006-07-27,0.70354506853,0.59571782802,0.595484639463,0.610412845261,0.878508587853,0.776550497416,0.789183726003,0.787849797263,100,200,89,377,99,231,477,269,938,255,234,664,187,958,240,9379,18643,10661,36665,10917
2006-07-27,2006-04-25,2006-10-24,0.794095990301,0.535167788234,0.679828021534,0.715795628329,0.914025999185,0.720721263161,0.815631327801,0.838295062117,200,89,377,99,264,477,269,938,255,509,664,187,958,240,505,18643,10661,36665,10917,18697
2006-10-24,2006-07-27,2007-02-21,0.778318831271,0.520140072762,0.647434554659,0.593731821332,0.906792362245,0.698325127812,0.808039333612,0.74445153243,89,377,99,264,123,269,938,255,509,330,187,958,240,505,234,10661,36665,10917,18697,11330
2007-02-21,2006-10-24,2007-04-24,0.812948795519,0.640888187917,0.587561744366,0.610820920982,0.9186110125,0.805737160983,0.745777241112,0.759598837655,377,99,264,123,371,938,255,509,330,770,958,240,505,234,699,36665,10917,18697,11330,30554
2007-04-24,2007-02-21,2007-07-24,0.588435995659,0.708513255834,0.474332483076,0.535704897185,0.776592288019,0.860442390615,0.654684081271,0.709137890783,99,264,123,371,227,255,509,330,770,667,240,505,234,699,695,10917,18697,11330,30554,20711
2007-07-24,2007-04-24,2007-10-24,0.68562691165,0.62519193517,0.626159247576,0.564665642492,0.845002806981,0.822950571409,0.798655970007,0.723711824995,264,123,371,227,151,509,330,770,667,470,505,234,699,695,546,18697,11330,30554,20711,15408
