filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-11-12,1998-08-12,1999-03-26,0.222812177357,0.378496927303,0.17046351344,0.664885295298,0.430256329528,0.651398774729,0.432260132572,0.853272780243,159,26,25,8,12,734,117,32,41,58,1321,136,22,30,35,26164,3610,4801,2167,2591
1999-03-26,1998-11-12,1999-05-12,0.286650440332,0.303499793686,0.373641285106,0.386714021232,0.538927148958,0.627938591485,0.636907468719,0.663078212222,26,25,8,12,133,117,32,41,58,288,136,22,30,35,244,3610,4801,2167,2591,15605
1999-05-12,1999-03-26,1999-06-23,0.170613812177,0.509123824774,0.483342135949,0.421479128219,0.42847075722,0.752894708259,0.748646826335,0.683600710514,25,8,12,133,13,32,41,58,288,43,22,30,35,244,27,4801,2167,2591,15605,2143
1999-06-23,1999-05-12,1999-08-16,0.171590067243,0.173849246426,0.304460100707,0.172478074623,0.424627697369,0.443772236426,0.629971570586,0.437183350879,8,12,133,13,33,41,58,288,43,36,30,35,244,27,28,2167,2591,15605,2143,5026
1999-08-16,1999-06-23,1999-11-12,0.106556257145,0.201436224161,0.126950392175,0.0929896611388,0.211821268604,0.366611333926,0.231545846254,0.224338794875,12,133,13,33,667,58,288,43,36,3134,35,244,27,28,5703,2591,15605,2143,5026,75960
1999-11-12,1999-08-16,2000-03-30,0.217751104322,0.227074502265,0.0959641340748,0.497479103786,0.474147199904,0.411206525701,0.288958708264,0.750958051802,133,13,33,667,92,288,43,36,3134,272,244,27,28,5703,477,15605,2143,5026,75960,9347
2000-03-30,1999-11-12,2000-05-12,0.172001874485,0.202818628309,0.486136730219,0.301356774751,0.324080183387,0.340700703277,0.6699264453,0.551460098022,13,33,667,92,754,43,36,3134,272,2632,27,28,5703,477,5537,2143,5026,75960,9347,91271
2000-05-12,2000-03-30,2000-06-05,0.169220778353,0.125823524229,0.203684764579,0.208544117993,0.420508974438,0.239355627752,0.419910578887,0.384886531911,33,667,92,754,15,36,3134,272,2632,80,28,5703,477,5537,60,5026,75960,9347,91271,3244
2000-06-05,2000-05-12,2000-08-14,0.107783415316,0.104047988638,0.155546025409,0.17240863023,0.253998278773,0.305408048996,0.333044687025,0.412709872373,667,92,754,15,15,3134,272,2632,80,24,5703,477,5537,60,17,75960,9347,91271,3244,2165
2000-08-14,2000-06-05,2000-11-14,0.196469668565,0.194235567891,0.579324324471,0.15343430655,0.410068303107,0.346582347541,0.801122476305,0.357040873129,92,754,15,15,31,272,2632,80,24,115,477,5537,60,17,85,9347,91271,3244,2165,5509
2000-11-14,2000-08-14,2001-03-29,0.205435997148,0.552825450123,0.153513933707,0.756534094444,0.368695384439,0.798239363383,0.358809266712,0.889049492378,754,15,15,31,48,2632,80,24,115,130,5537,60,17,85,104,91271,3244,2165,5509,6435
2001-03-29,2000-11-14,2001-05-15,0.343538126423,0.261862615027,0.351489958836,0.370499332838,0.569477621993,0.521948000239,0.556523786971,0.579015045275,15,15,31,48,354,80,24,115,130,994,60,17,85,104,1307,3244,2165,5509,6435,45212
2001-05-15,2001-03-29,2001-05-31,0.151807853121,0.24970841086,0.25711772396,0.67390321437,0.352864425848,0.425043810338,0.435873993343,0.790661812494,15,31,48,354,151,24,115,130,994,658,17,85,104,1307,1032,2165,5509,6435,45212,19236
2001-05-31,2001-05-15,2001-08-14,0.155272021663,0.156391913907,0.254785940613,0.142877691559,0.360944018351,0.3645646786,0.497243102187,0.331952392,31,48,354,151,14,115,130,994,658,18,85,104,1307,1032,23,5509,6435,45212,19236,2272
2001-08-14,2001-05-31,2001-11-14,0.132718601734,0.414039001486,0.573141812475,0.0852857444252,0.272131346551,0.576590372398,0.747816343848,0.227856598157,48,354,151,14,685,130,994,658,18,1795,104,1307,1032,23,3602,6435,45212,19236,2272,57314
2001-11-14,2001-08-14,2002-04-01,0.453965436428,0.38204272218,0.157790247409,0.191675550601,0.70760194182,0.571191372394,0.360941422467,0.324175058062,354,151,14,685,57,994,658,18,1795,229,1307,1032,23,3602,138,45212,19236,2272,57314,7448
2002-04-01,2001-11-14,2002-05-15,0.653945072299,0.204117682666,0.439439959754,0.507048086906,0.775531902763,0.402446356083,0.581916019773,0.749509703765,151,14,685,57,399,658,18,1795,229,1218,1032,23,3602,138,1468,19236,2272,57314,7448,52558
2002-05-15,2002-04-01,2002-08-14,0.175392037898,0.178442709482,0.574686503464,0.575167210951,0.376405206728,0.32912042134,0.834996642056,0.789320747354,14,685,57,399,87,18,1795,229,1218,364,23,3602,138,1468,231,2272,57314,7448,52558,8761
2002-08-14,2002-05-15,2002-11-18,0.193339593906,0.539913164041,0.542948587735,0.742104951135,0.351898733001,0.822128401622,0.779186032304,0.897325820761,685,57,399,87,133,1795,229,1218,364,686,3602,138,1468,231,509,57314,7448,52558,8761,12786
2002-11-18,2002-08-14,2003-03-31,0.59841006635,0.56265981772,0.691066623628,0.781527653401,0.85770125285,0.786227845555,0.882800764128,0.917213666654,57,399,87,133,120,229,1218,364,686,966,138,1468,231,509,554,7448,52558,8761,12786,16139
2003-03-31,2002-11-18,2003-05-20,0.576452065045,0.404881341272,0.42469195539,0.465779653862,0.768561262311,0.613687030356,0.638684785139,0.66163721599,399,87,133,120,957,1218,364,686,966,4347,1468,231,509,554,5208,52558,8761,12786,16139,103814
2003-05-20,2003-03-31,2003-07-09,0.594113013622,0.570881125379,0.645106837352,0.489103518405,0.863579992855,0.846795911461,0.883557666338,0.665652756498,87,133,120,957,173,364,686,966,4347,1279,231,509,554,5208,895,8761,12786,16139,103814,18662
2003-07-09,2003-05-20,2003-08-14,0.277799190601,0.284837667793,0.233596365587,0.310615996282,0.507966692681,0.484338785019,0.413751090125,0.520072100873,133,120,957,173,36,686,966,4347,1279,275,509,554,5208,895,201,12786,16139,103814,18662,7080
2003-08-14,2003-07-09,2003-11-13,0.663691789678,0.47036641215,0.806751288351,0.294789399324,0.883315973237,0.643896342078,0.912419774235,0.511016236488,120,957,173,36,168,966,4347,1279,275,1132,554,5208,895,201,640,16139,103814,18662,7080,19266
2003-11-13,2003-08-14,2003-12-10,0.518664566293,0.717947805507,0.287233777598,0.814130113829,0.690111999912,0.882218276623,0.502563957541,0.917438751067,957,173,36,168,273,4347,1279,275,1132,1521,5208,895,201,640,915,103814,18662,7080,19266,24508
2003-12-10,2003-11-13,2004-03-16,0.714146144109,0.292535085718,0.80907066573,0.939983228717,0.880037275302,0.510426107341,0.916733404884,0.973774465271,173,36,168,273,237,1279,275,1132,1521,1408,895,201,640,915,792,18662,7080,19266,24508,22879
2004-03-16,2003-12-10,2004-04-29,0.221769210275,0.283749564421,0.336207647617,0.280322510365,0.40717067148,0.415420168812,0.473007820194,0.404980974599,36,168,273,237,2485,275,1132,1521,1408,9116,201,640,915,792,15681,7080,19266,24508,22879,257705
2004-04-29,2004-03-16,2004-05-10,0.261687304174,0.269568724116,0.250853757951,0.207250415976,0.489453803076,0.490852664435,0.470645266233,0.368518505046,168,273,237,2485,40,1132,1521,1408,9116,73,640,915,792,15681,69,19266,24508,22879,257705,4719
