filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-09,1995-05-10,0.701111043802,0.368410927425,0.360798552812,0.376348720321,0.908410757384,0.647202528034,0.63598687172,0.646410925817,258,23,40,112,243,356,27,39,207,438,378,16,18,338,674,18200,2108,2831,6881,20025
1995-05-10,1995-03-29,1995-08-09,0.578598206996,0.510013034736,0.340618932062,0.343395745979,0.865914361032,0.804191174715,0.603362111177,0.634547119204,23,40,112,243,22,27,39,207,438,18,16,18,338,674,12,2108,2831,6881,20025,1780
1995-08-09,1995-05-10,1995-11-09,0.626724609233,0.339508631054,0.320125242899,0.626544293773,0.885737305702,0.610158646201,0.618030718504,0.866202447291,40,112,243,22,30,39,207,438,18,27,18,338,674,12,17,2831,6881,20025,1780,2221
1995-11-09,1995-08-09,1996-03-27,0.368282470849,0.319436411763,0.621008967342,0.649791470821,0.633985016037,0.620148769805,0.886364811443,0.897175094947,112,243,22,30,47,207,438,18,27,30,338,674,12,17,19,6881,20025,1780,2221,2211
1996-03-27,1995-11-09,1996-05-10,0.738143927233,0.356279590325,0.333745931403,0.329944293392,0.887475066081,0.619980660179,0.601816944761,0.596038415786,243,22,30,47,287,438,18,27,30,394,674,12,17,19,698,20025,1780,2221,2211,21773
1996-05-10,1996-03-27,1996-08-09,0.5829321884,0.487966303341,0.513410853856,0.359202648943,0.886842291748,0.806383877864,0.837662716223,0.63665489437,22,30,47,287,21,18,27,30,394,45,12,17,19,698,42,1780,2221,2211,21773,2183
1996-08-09,1996-05-10,1996-11-13,0.285176311243,0.260740777025,0.432168410737,0.244707000994,0.480032498208,0.452790538772,0.694691649264,0.429846112927,30,47,287,21,264,27,30,394,45,343,17,19,698,42,642,2221,2211,21773,2183,12652
1996-11-13,1996-08-09,1997-03-26,0.422903295299,0.373468197767,0.398073798105,0.417173503811,0.687220638498,0.655535067549,0.674856452581,0.648341790105,47,287,21,264,52,30,394,45,343,91,19,698,42,642,170,2211,21773,2183,12652,4932
1997-03-26,1996-11-13,1997-05-14,0.677439019507,0.376297342638,0.309865011903,0.401368583973,0.844370740687,0.696283480301,0.534307984135,0.635388579963,287,21,264,52,230,394,45,343,91,293,698,42,642,170,331,21773,2183,12652,4932,15749
1997-05-14,1997-03-26,1997-08-08,0.424917836567,0.187027603597,0.353306687392,0.355053132965,0.785975913583,0.391065894766,0.672191956564,0.68753077371,21,264,52,230,52,45,343,91,293,69,42,642,170,331,55,2183,12652,4932,15749,3411
1997-08-08,1997-05-14,1997-11-10,0.224647154932,0.359317105485,0.368634865411,0.51997665319,0.418944680778,0.668495617604,0.669201498067,0.843709441417,264,52,230,52,46,343,91,293,69,48,642,170,331,55,31,12652,4932,15749,3411,3886
1997-11-10,1997-08-08,1998-03-25,0.396805420329,0.372101423022,0.476815728367,0.706718268726,0.6997358024,0.668486378137,0.832276937633,0.906790327263,52,230,52,46,27,91,293,69,48,68,170,331,55,31,50,4932,15749,3411,3886,3655
1998-03-25,1997-11-10,1998-05-12,0.717800368636,0.377000684469,0.43235420283,0.446560386496,0.90236516473,0.707142189574,0.712457559822,0.711668708192,230,52,46,27,258,293,69,48,68,369,331,55,31,50,408,15749,3411,3886,3655,21693
1998-05-12,1998-03-25,1998-08-11,0.455341649519,0.461915603305,0.475633680076,0.45108644152,0.816451967079,0.798064123709,0.803005708341,0.735643165694,52,46,27,258,38,69,48,68,369,41,55,31,50,408,18,3411,3886,3655,21693,2411
1998-08-11,1998-05-12,1998-11-13,0.548226456192,0.511085314433,0.431328139261,0.61466346719,0.862162572951,0.825364489197,0.701422107758,0.868795140764,46,27,258,38,52,48,68,369,41,77,31,50,408,18,28,3886,3655,21693,2411,3666
1998-11-13,1998-08-11,1999-03-24,0.524132254451,0.430088255516,0.571477760144,0.68274985359,0.82423726376,0.698954085746,0.849302094992,0.909940865824,27,258,38,52,71,68,369,41,77,100,50,408,18,28,36,3655,21693,2411,3666,4517
1999-03-24,1998-11-13,1999-05-12,0.810143566539,0.417449148203,0.415727392048,0.463979317811,0.929244527135,0.677862287277,0.655561974825,0.669753795589,258,38,52,71,329,369,41,77,100,537,408,18,28,36,697,21693,2411,3666,4517,26593
