filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-03-07,1996-12-09,1997-07-23,0.179761379572,0.272979093771,0.186271193771,0.284675801765,0.423425783251,0.525044558442,0.449315662222,0.538799416772,191,25,82,15,37,358,65,84,47,124,188,55,38,51,233,13070,2152,5499,2274,4421
1997-07-23,1997-03-07,1997-09-05,0.290494503906,0.467029960942,0.277576821903,0.192737083595,0.476611780831,0.739360491414,0.455491591168,0.410556583639,25,82,15,37,200,65,84,47,124,467,55,38,51,233,538,2152,5499,2274,4421,17822
1997-09-05,1997-07-23,1997-12-05,0.373105788533,0.530435470632,0.231556310131,0.287112488401,0.653169496005,0.788885211433,0.516277067487,0.470036639103,82,15,37,200,20,84,47,124,467,43,38,51,233,538,39,5499,2274,4421,17822,2149
1997-12-05,1997-09-05,1998-03-06,0.126705196416,0.231194852804,0.160361082249,0.118159336636,0.258674804928,0.4510275958,0.305560795056,0.244631740897,15,37,200,20,122,47,124,467,43,561,51,233,538,39,888,2274,4421,17822,2149,12512
1998-03-06,1997-12-05,1998-07-22,0.291026345054,0.322991396555,0.521192573153,0.125178193923,0.57462148746,0.555133379089,0.751304035323,0.270710951821,37,200,20,122,24,124,467,43,561,59,233,538,39,888,97,4421,17822,2149,12512,3228
1998-07-22,1998-03-06,1998-09-04,0.386717650824,0.186060970424,0.267791697025,0.21506223723,0.582454755281,0.381751017641,0.499047907238,0.415103824764,200,20,122,24,454,467,43,561,59,1358,538,39,888,97,1907,17822,2149,12512,3228,30074
1998-09-04,1998-07-22,1998-09-11,0.426989587133,0.0917341068904,0.428802470614,0.354510018377,0.672639181881,0.223603842861,0.682688953051,0.522010068177,20,122,24,454,54,43,561,59,1358,82,39,888,97,1907,63,2149,12512,3228,30074,5887
1998-09-11,1998-09-04,1998-12-11,0.157571178003,0.19013143056,0.568153545496,0.236202568903,0.351802562686,0.387652716483,0.755786878052,0.41728222773,122,24,454,54,87,561,59,1358,82,297,888,97,1907,63,390,12512,3228,30074,5887,7953
1998-12-11,1998-09-11,1999-03-15,0.230314063198,0.253293391464,0.279677337702,0.240077933533,0.474472574529,0.515663175684,0.492431931619,0.479586327678,24,454,54,87,85,59,1358,82,297,269,97,1907,63,390,297,3228,30074,5887,7953,8575
1999-03-15,1998-12-11,1999-07-12,0.429593276036,0.142328181648,0.361308396656,0.22110547304,0.653556531285,0.249725916523,0.599949629202,0.426144793409,454,54,87,85,607,1358,82,297,269,1933,1907,63,390,297,2805,30074,5887,7953,8575,46225
1999-07-12,1999-03-15,1999-08-31,0.651731851911,0.201254604299,0.279194001439,0.197192677582,0.813179503865,0.410207872711,0.54656649117,0.333079806805,54,87,85,607,161,82,297,269,1933,309,63,390,297,2805,146,5887,7953,8575,46225,12097
1999-08-31,1999-07-12,1999-12-03,0.23825858491,0.158815908022,0.826269946677,0.130798914319,0.497812113452,0.345115892534,0.92477797095,0.259830843969,87,85,607,161,3366,297,269,1933,309,7300,390,297,2805,146,9717,7953,8575,46225,12097,173893
1999-12-03,1999-08-31,2000-02-29,0.205365150594,0.385943763867,0.189461120453,0.260300108768,0.436053556291,0.647234185164,0.374095353235,0.542559864007,85,607,161,3366,121,269,1933,309,7300,515,297,2805,146,9717,783,8575,46225,12097,173893,11813
2000-02-29,1999-12-03,2000-07-12,0.77557257492,0.143236075901,0.777086669548,0.325748218557,0.895458874337,0.276571333616,0.902730664956,0.596644346857,607,161,3366,121,1759,1933,309,7300,515,5144,2805,146,9717,783,7039,46225,12097,173893,11813,108620
2000-07-12,2000-02-29,2000-07-13,0.215614115481,0.884855540845,0.298324834539,0.826865477158,0.360907016559,0.956966041783,0.580392064283,0.91993065293,161,3366,121,1759,2044,309,7300,515,5144,4437,146,9717,783,7039,5849,12097,173893,11813,108620,105659
