filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-23,1994-11-10,1995-05-09,0.844566561164,0.252384064733,0.214914227898,0.236573698064,0.960082770663,0.48756769731,0.428917422255,0.449123049848,28,3,3,3,34,23,1,0,0,25,24,4,4,4,22,4411,654,726,670,4280
1995-05-09,1995-03-23,1995-08-10,0.926077929024,0.625217982172,0.746924591776,0.253278140325,0.981284975796,0.795477309421,0.884012955492,0.486126711586,3,3,3,34,3,1,0,0,25,0,4,4,4,22,4,654,726,670,4280,652
1995-08-10,1995-05-09,1995-11-09,0.90676087595,0.580308991348,0.215710564543,0.616294158638,0.979708119698,0.765209870965,0.435552788432,0.793908490546,3,3,34,3,1,0,0,25,0,1,4,4,22,4,4,726,670,4280,652,715
1995-11-09,1995-08-10,1996-03-29,0.859923949232,0.231240208747,0.706938801597,0.572867933072,0.962531072208,0.454649036376,0.881272521663,0.772854918479,3,34,3,1,2,0,25,0,1,0,4,22,4,4,4,670,4280,652,715,695
1996-03-29,1995-11-09,1996-05-09,0.754983786801,0.220635420527,0.184886514851,0.204015937529,0.863167187187,0.420676811618,0.373238423595,0.396182442568,34,3,1,2,33,25,0,1,0,25,22,4,4,4,42,4280,652,715,695,5728
1996-05-09,1996-03-29,1996-08-07,0.845775448632,0.574226707458,0.691971205648,0.216690464337,0.959372474842,0.78490632664,0.879955090066,0.416975312895,3,1,2,33,2,0,1,0,25,0,4,4,4,42,4,652,715,695,5728,646
1996-08-07,1996-05-09,1996-11-08,0.795053503714,0.582009038997,0.187690230244,0.616125132892,0.937945384555,0.78002594608,0.37323008916,0.810226117699,1,2,33,2,2,1,0,25,0,0,4,4,42,4,4,715,695,5728,646,727
1996-11-08,1996-08-07,1997-03-26,0.883110224175,0.206319542963,0.701361911452,0.589770693256,0.978260219743,0.397313568185,0.885094497022,0.780487564602,2,33,2,2,2,0,25,0,0,0,4,42,4,4,4,695,5728,646,727,698
1997-03-26,1996-11-08,1997-05-12,0.694450925681,0.169121493546,0.150970736879,0.160843100372,0.83301891629,0.342731605708,0.311372107723,0.325130251155,33,2,2,2,43,25,0,0,0,64,42,4,4,4,244,5728,646,727,698,8055
1997-05-12,1997-03-26,1997-08-11,0.83510259387,0.609193588342,0.719286152753,0.171843848928,0.965861644243,0.806473790028,0.888060687914,0.344311840671,2,2,2,43,2,0,0,0,64,0,4,4,4,244,4,646,727,698,8055,647
1997-08-11,1997-05-12,1997-11-10,0.892918666348,0.577524203712,0.153466095362,0.625294278325,0.972771353209,0.775125243399,0.314623578347,0.810633797234,2,2,43,2,2,0,0,64,0,0,4,4,244,4,4,727,698,8055,647,724
1997-11-10,1997-08-11,1998-03-26,0.838299683171,0.15754002509,0.689163128531,0.577911584435,0.967178749664,0.322404870187,0.877319897996,0.772977024735,2,43,2,2,2,0,64,0,0,0,4,244,4,4,4,698,8055,647,724,702
1998-03-26,1997-11-10,1998-05-12,0.705645678078,0.205241476601,0.179254438921,0.189293721727,0.846527229321,0.401850159255,0.362552040101,0.378147546386,43,2,2,2,35,64,0,0,0,28,244,4,4,4,35,8055,647,724,702,5644
1998-05-12,1998-03-26,1998-08-07,0.771979831464,0.561331732329,0.673306900031,0.20683201493,0.940740740741,0.781361834101,0.863779939143,0.400705287006,2,2,2,35,2,0,0,0,28,0,4,4,4,35,4,647,724,702,5644,633
1998-08-07,1998-05-12,1998-11-10,0.796253577292,0.536159265118,0.186407475639,0.619355866134,0.944684770168,0.754596990699,0.371824687264,0.801096792255,2,2,35,2,2,0,0,28,0,0,4,4,35,4,6,724,702,5644,633,733
1998-11-10,1998-08-07,1999-03-24,0.766371214969,0.187646804192,0.670889900679,0.545444401375,0.943430919957,0.386999770346,0.868937239081,0.760280550806,2,35,2,2,3,0,28,0,0,3,4,35,4,6,4,702,5644,633,733,742
1999-03-24,1998-11-10,1999-05-11,0.8385837781,0.193903161778,0.167887516848,0.185590941728,0.951534055738,0.394721111221,0.36095893116,0.383123707625,35,2,2,3,38,28,0,0,3,33,35,4,6,4,132,5644,633,733,742,6221
1999-05-11,1999-03-24,1999-08-10,0.780821997796,0.523688668611,0.671275262405,0.192358313398,0.938397307986,0.76986463737,0.866938959917,0.394933216037,2,2,3,38,3,0,0,3,33,4,4,6,4,132,4,633,733,742,6221,701
1999-08-10,1999-05-11,1999-11-10,0.780858483934,0.543544107649,0.165780903455,0.646540455009,0.935244351176,0.752916405975,0.351192892238,0.807771155906,2,3,38,3,3,0,3,33,4,4,6,4,132,4,4,733,742,6221,701,805
1999-11-10,1999-08-10,2000-03-23,0.781517108916,0.181381682314,0.692754565367,0.598934281855,0.952157870142,0.375872187908,0.862964108639,0.757698110032,3,38,3,3,3,3,33,4,4,4,4,132,4,4,4,742,6221,701,805,770
2000-03-23,1999-11-10,2000-05-08,0.761899139118,0.172748412667,0.147373787772,0.164643705717,0.884678633341,0.393953295465,0.349712650806,0.377313316849,38,3,3,3,21,33,4,4,4,24,132,4,4,4,126,6221,701,805,770,4632
2000-05-08,2000-03-23,2000-08-11,0.763133676157,0.519887812291,0.620086424542,0.190826433631,0.930708426824,0.755162517089,0.842342343973,0.406152113436,3,3,3,21,2,4,4,4,24,0,4,4,4,126,4,701,805,770,4632,686
2000-08-11,2000-05-08,2000-11-09,0.716956686727,0.461637524567,0.155273430954,0.599596762996,0.91091309457,0.716245863284,0.355439827504,0.789322900123,3,3,21,2,2,4,4,24,0,4,4,4,126,4,9,805,770,4632,686,840
